artist,music_name,duration,lastfm_url,youtube_url,mood_EN,mood_KOR
Olivia Rodrigo,ballad of a homeschooled girl,0,https://www.last.fm/music/Olivia+Rodrigo/_/ballad+of+a+homeschooled+girl,https://www.youtube.com/watch?v=obSpLSnJ-wI,Anxious,
Olivia Rodrigo,makING THE beD,0,https://www.last.fm/music/Olivia+Rodrigo/_/makING+THE+beD,https://www.youtube.com/watch?v=OuuBnf2aGCc,Anxious,
Olivia Rodrigo,The Grudge,0,https://www.last.fm/music/Olivia+Rodrigo/_/The+Grudge,https://www.youtube.com/watch?v=Qt5wB7KXSaM,Anxious,
Olivia Rodrigo,logical,0,https://www.last.fm/music/Olivia+Rodrigo/_/logical,https://www.youtube.com/watch?v=I6OeAufKDBg,Anxious,
Taylor Swift,Out of the Woods (Taylor's Version),0,https://www.last.fm/music/Taylor+Swift/_/Out+of+the+Woods+(Taylor%27s+Version),https://www.youtube.com/watch?v=gp1MR2WAAXY,Anxious,
Olivia Rodrigo,Can’t Catch Me Now - from The Hunger Games: The Ballad of Songbirds & Snakes,0,https://www.last.fm/music/Olivia+Rodrigo/_/Can%E2%80%99t+Catch+Me+Now+-+from+The+Hunger+Games:+The+Ballad+of+Songbirds+&+Snakes,https://www.youtube.com/watch?v=GlM6lcFbLSg,Anxious,
Declan Mckenna,Why Do You Feel So Down,0,https://www.last.fm/music/Declan+Mckenna/_/Why+Do+You+Feel+So+Down,https://www.youtube.com/watch?v=1OHLTyTMvck,Anxious,
Weezer,I Just Threw Out the Love of My Dreams,156,https://www.last.fm/music/Weezer/_/I+Just+Threw+Out+the+Love+of+My+Dreams,https://www.youtube.com/watch?v=r2dosVRzLSM,Anxious,
Ethel Cain,family tree,0,https://www.last.fm/music/Ethel+Cain/_/family+tree,https://www.youtube.com/watch?v=L9I6YUWaAhw,Anxious,
Bring Me the Horizon,Nihilist Blues (feat. Grimes),0,https://www.last.fm/music/Bring+Me+the+Horizon/_/Nihilist+Blues+(feat.+Grimes),https://www.youtube.com/watch?v=iwzfR7-33Wc,Anxious,
Declan Mckenna,The Key to Life on Earth,0,https://www.last.fm/music/Declan+Mckenna/_/The+Key+to+Life+on+Earth,https://www.youtube.com/watch?v=rxdpozZtJkc,Anxious,
Ayra Starr,Rush,0,https://www.last.fm/music/Ayra+Starr/_/Rush,https://www.youtube.com/watch?v=crtQSTYWtqE,Anxious,
Halsey,You Asked for This,0,https://www.last.fm/music/Halsey/_/You+Asked+for+This,https://www.youtube.com/watch?v=IkN1q4yuSVc,Anxious,
Weezer,All My Favorite Songs,0,https://www.last.fm/music/Weezer/_/All+My+Favorite+Songs,https://www.youtube.com/watch?v=AGPdXYG1msg,Anxious,
The Cure,Lullaby - 2010 Remaster,0,https://www.last.fm/music/The+Cure/_/Lullaby+-+2010+Remaster,https://www.youtube.com/watch?v=sS6t56U9tBg,Anxious,
Nicki Minaj,BiG FoOt,0,https://www.last.fm/music/Nicki+Minaj/_/BiG+FoOt,https://www.youtube.com/watch?v=vKkoBUPav3s,Anxious,
Carissa's Wierd,They'll Only Miss You When You Leave,287,https://www.last.fm/music/Carissa%27s+Wierd/_/They%27ll+Only+Miss+You+When+You+Leave,https://www.youtube.com/watch?v=JFDasUfP6kQ,Anxious,
Caroline Polachek,Parachute,0,https://www.last.fm/music/Caroline+Polachek/_/Parachute,https://www.youtube.com/watch?v=T6HDrFxDVX8,Anxious,
Tove Lo,True Romance,0,https://www.last.fm/music/Tove+Lo/_/True+Romance,https://www.youtube.com/watch?v=pvbEAkFbcPo,Anxious,
Death Grips,Blood Creepin,290,https://www.last.fm/music/Death+Grips/_/Blood+Creepin,,Anxious,
Weezer,Jacked Up,0,https://www.last.fm/music/Weezer/_/Jacked+Up,https://www.youtube.com/watch?v=vWhShRS74fo,Anxious,
Poppy,Don't Go Outside,0,https://www.last.fm/music/Poppy/_/Don%27t+Go+Outside,https://www.youtube.com/watch?v=yeRuFdgrwuY,Anxious,
Black Eyes,Deformative,147,https://www.last.fm/music/Black+Eyes/_/Deformative,https://www.youtube.com/watch?v=NZJZQssdM5g,Anxious,
Ted Leo and the Pharmacists,Parallel or Together?,296,https://www.last.fm/music/Ted+Leo+and+the+Pharmacists/_/Parallel+or+Together%3F,https://www.youtube.com/watch?v=LDXI7tn8r9o,Anxious,
The Birthday Party,Mr Clarinet,222,https://www.last.fm/music/The+Birthday+Party/_/Mr+Clarinet,https://www.youtube.com/watch?v=QTKAZ2CjnsE,Anxious,
Mercury Rev,Delta Sun Bottleneck Stomp,379,https://www.last.fm/music/Mercury+Rev/_/Delta+Sun+Bottleneck+Stomp,https://www.youtube.com/watch?v=zmkRmHLgDOA,Anxious,
Akira Yamaoka,Sickness Unto Foolish Death,186,https://www.last.fm/music/Akira+Yamaoka/_/Sickness+Unto+Foolish+Death,https://www.youtube.com/watch?v=vLll5RrjLCk,Anxious,
Jonny Greenwood,Future Markets,161,https://www.last.fm/music/Jonny+Greenwood/_/Future+Markets,https://www.youtube.com/watch?v=9V5xXjLD8KQ,Anxious,
Declan Mckenna,Nothing Works,0,https://www.last.fm/music/Declan+Mckenna/_/Nothing+Works,https://www.youtube.com/watch?v=YVsV6CKUuhs,Anxious,
Blonde Redhead,Bipolar,302,https://www.last.fm/music/Blonde+Redhead/_/Bipolar,https://www.youtube.com/watch?v=MIE0ttW4UBQ,Anxious,
Dirty Projectors,My Offwhite Flag,183,https://www.last.fm/music/Dirty+Projectors/_/My+Offwhite+Flag,https://www.youtube.com/watch?v=qIeCZQemTC0,Anxious,
Frog Eyes,Idle Songs,144,https://www.last.fm/music/Frog+Eyes/_/Idle+Songs,https://www.youtube.com/watch?v=PGFreOd6kx0,Anxious,
Devendra Banhart,Onward the Indian,170,https://www.last.fm/music/Devendra+Banhart/_/Onward+the+Indian,https://www.youtube.com/watch?v=ugF8Sf9ytqg,Anxious,
Black Eyes,A Pack of Wolves,122,https://www.last.fm/music/Black+Eyes/_/A+Pack+of+Wolves,https://www.youtube.com/watch?v=0bu_uM5SaBY,Anxious,
Akira Yamaoka,Memory of the Waters,106,https://www.last.fm/music/Akira+Yamaoka/_/Memory+of+the+Waters,https://www.youtube.com/watch?v=28puMNP_i2E,Anxious,
