artist,music_name,duration,lastfm_url,youtube_url,mood_EN,mood_KOR
Childish Gambino,Redbone,0,https://www.last.fm/music/Childish+Gambino/_/Redbone,https://www.youtube.com/watch?v=Kp7eSUU9oy8,Calm,
Bon Iver,Holocene,337,https://www.last.fm/music/Bon+Iver/_/Holocene,https://www.youtube.com/watch?v=TWcyIpul8OE,Calm,
Arctic Monkeys,Only Ones Who Know,182,https://www.last.fm/music/Arctic+Monkeys/_/Only+Ones+Who+Know,https://www.youtube.com/watch?v=3htnUhv4lOM,Calm,
Billie Eilish,bury a friend,0,https://www.last.fm/music/Billie+Eilish/_/bury+a+friend,https://www.youtube.com/watch?v=HUHC9tYz8ik,Calm,
Taylor Swift,Snow on the Beach (feat. Lana Del Rey),0,https://www.last.fm/music/Taylor+Swift/_/Snow+on+the+Beach+(feat.+Lana+Del+Rey),https://www.youtube.com/watch?v=ycE7bUq3-2k,Calm,
Ariana Grande,we can't be friends (wait for your love),0,https://www.last.fm/music/Ariana+Grande/_/we+can%27t+be+friends+(wait+for+your+love),https://www.youtube.com/watch?v=KNtJGQkC-WI,Calm,
Childish Gambino,Sober,252,https://www.last.fm/music/Childish+Gambino/_/Sober,https://www.youtube.com/watch?v=jx96Twg-Aew,Calm,
Steve Lacy,Infrunami,0,https://www.last.fm/music/Steve+Lacy/_/Infrunami,https://www.youtube.com/watch?v=Ol0-9Ob-QNk,Calm,
Bakar,Hell n back,0,https://www.last.fm/music/Bakar/_/Hell+n+back,https://www.youtube.com/watch?v=_Gax6Oib7CM,Calm,
Arcade Fire,Neon Bible,136,https://www.last.fm/music/Arcade+Fire/_/Neon+Bible,https://www.youtube.com/watch?v=eHe4cDG2ErM,Calm,
Led Zeppelin,Stairway to Heaven - Remaster,0,https://www.last.fm/music/Led+Zeppelin/_/Stairway+to+Heaven+-+Remaster,https://www.youtube.com/watch?v=iXQUu5Dti4g,Calm,
Post Malone,White Iverson,0,https://www.last.fm/music/Post+Malone/_/White+Iverson,https://www.youtube.com/watch?v=SLsTskih7_I,Calm,
Death Cab for Cutie,Brothers on a Hotel Bed,0,https://www.last.fm/music/Death+Cab+for+Cutie/_/Brothers+on+a+Hotel+Bed,https://www.youtube.com/watch?v=yWS6ZGGrQYk,Calm,
Sufjan Stevens,Should Have Known Better,0,https://www.last.fm/music/Sufjan+Stevens/_/Should+Have+Known+Better,https://www.youtube.com/watch?v=lJJT00wqlOo,Calm,
Radiohead,Codex,287,https://www.last.fm/music/Radiohead/_/Codex,https://www.youtube.com/watch?v=T7t38uDUg5E,Calm,
Taylor Swift,Nothing New (feat. Phoebe Bridgers) (Taylor’s Version) (From The Vault),0,https://www.last.fm/music/Taylor+Swift/_/Nothing+New+(feat.+Phoebe+Bridgers)+(Taylor%E2%80%99s+Version)+(From+The+Vault),https://www.youtube.com/watch?v=m3fWCRvz5JA,Calm,
Travis Scott,ASTROTHUNDER,0,https://www.last.fm/music/Travis+Scott/_/ASTROTHUNDER,https://www.youtube.com/watch?v=nZo1pPyNExo,Calm,
Erik Satie,Gymnopédie No. 1,101,https://www.last.fm/music/Erik+Satie/_/Gymnop%C3%A9die+No.+1,https://www.youtube.com/watch?v=2WfaotSK3mI,Calm,
The Beatles,Sun King,146,https://www.last.fm/music/The+Beatles/_/Sun+King,https://www.youtube.com/watch?v=6bNMxWGHlTI,Calm,
Vansire,Metamodernity,0,https://www.last.fm/music/Vansire/_/Metamodernity,https://www.youtube.com/watch?v=LHsVtH0CS7I,Calm,
Deftones,Teenager,200,https://www.last.fm/music/Deftones/_/Teenager,https://www.youtube.com/watch?v=a3-JkuXTcdk,Calm,
Sara Bareilles,Gravity,313,https://www.last.fm/music/Sara+Bareilles/_/Gravity,https://www.youtube.com/watch?v=rEXhAMtbaec,Calm,
Ed Sheeran,Tenerife Sea,241,https://www.last.fm/music/Ed+Sheeran/_/Tenerife+Sea,https://www.youtube.com/watch?v=4rg6puSP9ks,Calm,
Gnash,"I Hate U, I Love U (feat. Olivia O'Brien)",0,"https://www.last.fm/music/Gnash/_/I+Hate+U,+I+Love+U+(feat.+Olivia+O%27Brien)",https://www.youtube.com/watch?v=BiQIc7fG9pA,Calm,
Post Malone,Chemical,0,https://www.last.fm/music/Post+Malone/_/Chemical,https://www.youtube.com/watch?v=IzPQ_jA00bk,Calm,
Daughter,Smother,241,https://www.last.fm/music/Daughter/_/Smother,https://www.youtube.com/watch?v=GnkzvAXWV-0,Calm,
Gorillaz,Stylo (Feat. Mos Def And Bobby Womack),0,https://www.last.fm/music/Gorillaz/_/Stylo+(Feat.+Mos+Def+And+Bobby+Womack),https://www.youtube.com/watch?v=nhPaWIeULKk,Calm,
Troye Sivan,Dance to This (feat. Ariana Grande),0,https://www.last.fm/music/Troye+Sivan/_/Dance+to+This+(feat.+Ariana+Grande),https://www.youtube.com/watch?v=bhxhNIQBKJI,Calm,
Aphex Twin,aisatsana [102],321,https://www.last.fm/music/Aphex+Twin/_/aisatsana+%5B102%5D,https://www.youtube.com/watch?v=3_MRe3JwFc8,Calm,
Coldplay,Til Kingdom Come,251,https://www.last.fm/music/Coldplay/_/Til+Kingdom+Come,https://www.youtube.com/watch?v=E0UN-pVTLf4,Calm,
Ariana Grande,Moonlight,0,https://www.last.fm/music/Ariana+Grande/_/Moonlight,https://www.youtube.com/watch?v=denGNWMNsSY,Calm,
Rhye,Open,222,https://www.last.fm/music/Rhye/_/Open,https://www.youtube.com/watch?v=sng_CdAAw8M,Calm,
