artist,music_name,duration,lastfm_url,youtube_url,mood_EN,mood_KOR
Mazzy Star,Fade Into You,291,https://www.last.fm/music/Mazzy+Star/_/Fade+Into+You,https://www.youtube.com/watch?v=avv2IIdDnnk,Dreamy,
Radiohead,How to Disappear Completely,356,https://www.last.fm/music/Radiohead/_/How+to+Disappear+Completely,https://www.youtube.com/watch?v=nZq_jeYsbTs,Dreamy,
Radiohead,Subterranean Homesick Alien,267,https://www.last.fm/music/Radiohead/_/Subterranean+Homesick+Alien,https://www.youtube.com/watch?v=_fTWmUlTEqE,Dreamy,
Frank Ocean,Ivy,0,https://www.last.fm/music/Frank+Ocean/_/Ivy,https://www.youtube.com/watch?v=AE005nZeF-A,Dreamy,
The Weeknd,Stargirl Interlude,0,https://www.last.fm/music/The+Weeknd/_/Stargirl+Interlude,https://www.youtube.com/watch?v=TkxVOa6u59M,Dreamy,
The Smiths,There Is a Light That Never Goes Out - 2011 Remaster,0,https://www.last.fm/music/The+Smiths/_/There+Is+a+Light+That+Never+Goes+Out+-+2011+Remaster,https://www.youtube.com/watch?v=siO6dkqidc4,Dreamy,
Radiohead,Pyramid Song,0,https://www.last.fm/music/Radiohead/_/Pyramid+Song,https://www.youtube.com/watch?v=3M_Gg1xAHE4,Dreamy,
Grizzly Bear,Two Weeks,207,https://www.last.fm/music/Grizzly+Bear/_/Two+Weeks,https://www.youtube.com/watch?v=tjecYugTbIQ,Dreamy,
The Velvet Underground,Sunday Morning,175,https://www.last.fm/music/The+Velvet+Underground/_/Sunday+Morning,https://www.youtube.com/watch?v=Xhbyj8pqUao,Dreamy,
Cigarettes After Sex,SUNSETZ,0,https://www.last.fm/music/Cigarettes+After+Sex/_/SUNSETZ,https://www.youtube.com/watch?v=5-rbSNzU_b8,Dreamy,
Slowdive,When the Sun Hits,287,https://www.last.fm/music/Slowdive/_/When+the+Sun+Hits,https://www.youtube.com/watch?v=O5iK_mqtJ04,Dreamy,
Beach House,Silver Soul,273,https://www.last.fm/music/Beach+House/_/Silver+Soul,https://www.youtube.com/watch?v=njbmwfndFH4,Dreamy,
Mac DeMarco,Freaking Out the Neighborhood,173,https://www.last.fm/music/Mac+DeMarco/_/Freaking+Out+the+Neighborhood,https://www.youtube.com/watch?v=MeRIAew8eXc,Dreamy,
Kali Uchis,Dead To Me,0,https://www.last.fm/music/Kali+Uchis/_/Dead+To+Me,https://www.youtube.com/watch?v=OcUDK4kAUIw,Dreamy,
Beach House,Myth,255,https://www.last.fm/music/Beach+House/_/Myth,https://www.youtube.com/watch?v=FuvWc3ToDHg,Dreamy,
Billie Eilish,idontwannabeyouanymore,0,https://www.last.fm/music/Billie+Eilish/_/idontwannabeyouanymore,https://www.youtube.com/watch?v=-tn2S3kJlyU,Dreamy,
The Weeknd,aFTeR hoURs,0,https://www.last.fm/music/The+Weeknd/_/aFTeR+hoURs,https://www.youtube.com/watch?v=ygTZZpVkmKg,Dreamy,
Cocteau Twins,Cherry-Coloured Funk,192,https://www.last.fm/music/Cocteau+Twins/_/Cherry-Coloured+Funk,https://www.youtube.com/watch?v=PbbUeLkZt74,Dreamy,
Salvia Palth,I Was All Over Her,161,https://www.last.fm/music/Salvia+Palth/_/I+Was+All+Over+Her,https://www.youtube.com/watch?v=9rN2Cj2VG28,Dreamy,
The Smiths,This Night Has Opened My Eyes - 2011 Remaster,0,https://www.last.fm/music/The+Smiths/_/This+Night+Has+Opened+My+Eyes+-+2011+Remaster,https://www.youtube.com/watch?v=iWcQqWW3QCI,Dreamy,
The Smiths,"Please, Please, Please, Let Me Get What I Want - 2011 Remaster",0,"https://www.last.fm/music/The+Smiths/_/Please,+Please,+Please,+Let+Me+Get+What+I+Want+-+2011+Remaster",https://www.youtube.com/watch?v=w3qPMe_cCJk,Dreamy,
The 1975,Somebody Else,0,https://www.last.fm/music/The+1975/_/Somebody+Else,https://www.youtube.com/watch?v=Bimd2nZirT4,Dreamy,
Slowdive,Alison,231,https://www.last.fm/music/Slowdive/_/Alison,https://www.youtube.com/watch?v=jkM3M3zGcGE,Dreamy,
Air,Playground Love,216,https://www.last.fm/music/Air/_/Playground+Love,https://www.youtube.com/watch?v=hFuu5wPFv1M,Dreamy,
Strawberry Guy,Mrs Magic,0,https://www.last.fm/music/Strawberry+Guy/_/Mrs+Magic,https://www.youtube.com/watch?v=a7WgfVB9zys,Dreamy,
The xx,Infinity,313,https://www.last.fm/music/The+xx/_/Infinity,https://www.youtube.com/watch?v=8EIJB_zHw94,Dreamy,
The Jesus and Mary Chain,Just Like Honey,181,https://www.last.fm/music/The+Jesus+and+Mary+Chain/_/Just+Like+Honey,https://www.youtube.com/watch?v=7EgB__YratE,Dreamy,
My Bloody Valentine,Sometimes,319,https://www.last.fm/music/My+Bloody+Valentine/_/Sometimes,https://www.youtube.com/watch?v=hSI_9P9rRt4,Dreamy,
Kali Uchis,Melting,0,https://www.last.fm/music/Kali+Uchis/_/Melting,https://www.youtube.com/watch?v=_QGIzmtIr3E,Dreamy,
Aurora,Runaway,0,https://www.last.fm/music/Aurora/_/Runaway,https://www.youtube.com/watch?v=d_HlPboLRL8,Dreamy,
The xx,Fantasy,158,https://www.last.fm/music/The+xx/_/Fantasy,https://www.youtube.com/watch?v=SZ26_buhHfI,Dreamy,
Sigur Rós,Svefn-g-englar,0,https://www.last.fm/music/Sigur+R%C3%B3s/_/Svefn-g-englar,https://www.youtube.com/watch?v=8L64BcCRDAE,Dreamy,
The Shins,Sleeping Lessons,238,https://www.last.fm/music/The+Shins/_/Sleeping+Lessons,https://www.youtube.com/watch?v=42HqbyTc6uA,Dreamy,
Joy Division,Disorder - 2007 Remaster,0,https://www.last.fm/music/Joy+Division/_/Disorder+-+2007+Remaster,https://www.youtube.com/watch?v=5BIElTtN6Fs,Dreamy,
Arcade Fire,Neon Bible,136,https://www.last.fm/music/Arcade+Fire/_/Neon+Bible,https://www.youtube.com/watch?v=eHe4cDG2ErM,Dreamy,
Sufjan Stevens,Mystery Of Love,0,https://www.last.fm/music/Sufjan+Stevens/_/Mystery+Of+Love,https://www.youtube.com/watch?v=KQT32vW61eI,Dreamy,
Cocteau Twins,"Sea, Swallow Me",181,"https://www.last.fm/music/Cocteau+Twins/_/Sea,+Swallow+Me",https://www.youtube.com/watch?v=1uWbEe7U3ZY,Dreamy,
Björk,Hyperballad,292,https://www.last.fm/music/Bj%C3%B6rk/_/Hyperballad,https://www.youtube.com/watch?v=6CSiU0j_lFA,Dreamy,
Beach House,Master of None,199,https://www.last.fm/music/Beach+House/_/Master+of+None,https://www.youtube.com/watch?v=s2YiUTh9dj4,Dreamy,
Lana Del Rey,Lucky Ones,227,https://www.last.fm/music/Lana+Del+Rey/_/Lucky+Ones,https://www.youtube.com/watch?v=gdPO2yjTX-Q,Dreamy,
Arcade Fire,Sprawl II (Mountains Beyond Mountains),325,https://www.last.fm/music/Arcade+Fire/_/Sprawl+II+(Mountains+Beyond+Mountains),https://www.youtube.com/watch?v=awHWColYQ90,Dreamy,
Air,Cherry Blossom Girl,226,https://www.last.fm/music/Air/_/Cherry+Blossom+Girl,https://www.youtube.com/watch?v=mQONxOIPPuI,Dreamy,
Travis Scott,SKELETONS,0,https://www.last.fm/music/Travis+Scott/_/SKELETONS,https://www.youtube.com/watch?v=tAyYYKcySXA,Dreamy,
Bat for Lashes,Daniel,248,https://www.last.fm/music/Bat+for+Lashes/_/Daniel,https://www.youtube.com/watch?v=9yEjT_pIkhU,Dreamy,
SZA,saturn,0,https://www.last.fm/music/SZA/_/saturn,https://www.youtube.com/watch?v=V2G8ESoDXm8,Dreamy,
Joy Division,Love Will Tear Us Apart - 2020 Remaster,0,https://www.last.fm/music/Joy+Division/_/Love+Will+Tear+Us+Apart+-+2020+Remaster,https://www.youtube.com/watch?v=zuuObGsB0No,Dreamy,
My Bloody Valentine,To Here Knows When,349,https://www.last.fm/music/My+Bloody+Valentine/_/To+Here+Knows+When,https://www.youtube.com/watch?v=PpXZAmeQDqY,Dreamy,
Sigur Rós,Sæglópur,491,https://www.last.fm/music/Sigur+R%C3%B3s/_/S%C3%A6gl%C3%B3pur,https://www.youtube.com/watch?v=TFHCWZh0_Co,Dreamy,
Foo Fighters,Walking After You,247,https://www.last.fm/music/Foo+Fighters/_/Walking+After+You,https://www.youtube.com/watch?v=TNwkN9vrUYY,Dreamy,
Slowdive,40 Days,196,https://www.last.fm/music/Slowdive/_/40+Days,https://www.youtube.com/watch?v=3AjsdpVZp38,Dreamy,
The Beatles,Strawberry Fields Forever - Remastered 2009,0,https://www.last.fm/music/The+Beatles/_/Strawberry+Fields+Forever+-+Remastered+2009,https://www.youtube.com/watch?v=10LSq_J5ol4,Dreamy,
Taylor Swift,"""Slut!"" (Taylor's Version) (From The Vault)",0,https://www.last.fm/music/Taylor+Swift/_/%22Slut%21%22+(Taylor%27s+Version)+(From+The+Vault),https://www.youtube.com/watch?v=qrxsceexTBw,Dreamy,
Beach House,Take Care,348,https://www.last.fm/music/Beach+House/_/Take+Care,https://www.youtube.com/watch?v=N5kKenry2kU,Dreamy,
Sufjan Stevens,Futile Devices,133,https://www.last.fm/music/Sufjan+Stevens/_/Futile+Devices,https://www.youtube.com/watch?v=RaKXCrogzfk,Dreamy,
The Maccabees,Toothpaste Kisses,169,https://www.last.fm/music/The+Maccabees/_/Toothpaste+Kisses,https://www.youtube.com/watch?v=8SJmWSWQgdM,Dreamy,
The Weeknd,What You Need,206,https://www.last.fm/music/The+Weeknd/_/What+You+Need,https://www.youtube.com/watch?v=PGCVhhUxnp8,Dreamy,
Halsey,Colors,0,https://www.last.fm/music/Halsey/_/Colors,https://www.youtube.com/watch?v=JGulAZnnTKA,Dreamy,
Frank Ocean,End,134,https://www.last.fm/music/Frank+Ocean/_/End,https://www.youtube.com/watch?v=sIROWXH8xWU,Dreamy,
Boards of Canada,Dayvan Cowboy,0,https://www.last.fm/music/Boards+of+Canada/_/Dayvan+Cowboy,https://www.youtube.com/watch?v=A2zKARkpDW4,Dreamy,
The Weeknd,Alone Again,0,https://www.last.fm/music/The+Weeknd/_/Alone+Again,https://www.youtube.com/watch?v=JH398xAYpZA,Dreamy,
Lana Del Rey,White Mustang,0,https://www.last.fm/music/Lana+Del+Rey/_/White+Mustang,https://www.youtube.com/watch?v=F4ELqraXx-U,Dreamy,
Foals,Spanish Sahara,395,https://www.last.fm/music/Foals/_/Spanish+Sahara,https://www.youtube.com/watch?v=eYoINidnLRQ,Dreamy,
Beach House,Norway,233,https://www.last.fm/music/Beach+House/_/Norway,https://www.youtube.com/watch?v=2L_R-DELtX8,Dreamy,
Slowdive,Dagger,210,https://www.last.fm/music/Slowdive/_/Dagger,https://www.youtube.com/watch?v=rk2YkAkhKPM,Dreamy,
The Velvet Underground,Candy Says,331,https://www.last.fm/music/The+Velvet+Underground/_/Candy+Says,https://www.youtube.com/watch?v=O4rbTBKRedE,Dreamy,
Slowdive,Here She Comes,141,https://www.last.fm/music/Slowdive/_/Here+She+Comes,https://www.youtube.com/watch?v=MuEXah6rc1g,Dreamy,
My Bloody Valentine,Blown a Wish,0,https://www.last.fm/music/My+Bloody+Valentine/_/Blown+a+Wish,https://www.youtube.com/watch?v=W8LuKT3n69I,Dreamy,
The Beatles,I'm Only Sleeping,181,https://www.last.fm/music/The+Beatles/_/I%27m+Only+Sleeping,https://www.youtube.com/watch?v=5XwXliCK19Y,Dreamy,
Kali Uchis,I Wish You Roses,0,https://www.last.fm/music/Kali+Uchis/_/I+Wish+You+Roses,https://www.youtube.com/watch?v=-Y7zc0eO26k,Dreamy,
Slowdive,Machine Gun,268,https://www.last.fm/music/Slowdive/_/Machine+Gun,https://www.youtube.com/watch?v=JT80rvZTzpE,Dreamy,
Mazzy Star,Into Dust,332,https://www.last.fm/music/Mazzy+Star/_/Into+Dust,https://www.youtube.com/watch?v=04J0ihSeIuI,Dreamy,
Spiritualized,Ladies and Gentlemen We Are Floating in Space,220,https://www.last.fm/music/Spiritualized/_/Ladies+and+Gentlemen+We+Are+Floating+in+Space,https://www.youtube.com/watch?v=-UGbOqadHb0,Dreamy,
Slowdive,Souvlaki Space Station,308,https://www.last.fm/music/Slowdive/_/Souvlaki+Space+Station,https://www.youtube.com/watch?v=-NwwXCyKGKo,Dreamy,
Lana Del Rey,Yayo,345,https://www.last.fm/music/Lana+Del+Rey/_/Yayo,https://www.youtube.com/watch?v=XC6g_wHjGss,Dreamy,
Mazzy Star,Halah,195,https://www.last.fm/music/Mazzy+Star/_/Halah,https://www.youtube.com/watch?v=vHGHcvJDpaA,Dreamy,
Harry Styles,Daydreaming,0,https://www.last.fm/music/Harry+Styles/_/Daydreaming,https://www.youtube.com/watch?v=G2BYATpr4uY,Dreamy,
Beach House,Wildflower,0,https://www.last.fm/music/Beach+House/_/Wildflower,https://www.youtube.com/watch?v=ijnrCaEHHK0,Dreamy,
Beach House,PPP,0,https://www.last.fm/music/Beach+House/_/PPP,https://www.youtube.com/watch?v=NFhJRTdmviA,Dreamy,
Bon Iver,"Hinnom, TX",165,"https://www.last.fm/music/Bon+Iver/_/Hinnom,+TX",https://www.youtube.com/watch?v=ve5dUOWI0q4,Dreamy,
Alvvays,Dreams Tonite,0,https://www.last.fm/music/Alvvays/_/Dreams+Tonite,https://www.youtube.com/watch?v=ZXu6q-6JKjA,Dreamy,
Mazzy Star,Blue Light,269,https://www.last.fm/music/Mazzy+Star/_/Blue+Light,https://www.youtube.com/watch?v=H7VUO-WxppY,Dreamy,
The Weeknd,Faith,0,https://www.last.fm/music/The+Weeknd/_/Faith,https://www.youtube.com/watch?v=RcS_8-a-sMg,Dreamy,
Purity Ring,Fineshrine,209,https://www.last.fm/music/Purity+Ring/_/Fineshrine,https://www.youtube.com/watch?v=Xqw4wo8vdY8,Dreamy,
Beach Fossils,Sleep Apnea,146,https://www.last.fm/music/Beach+Fossils/_/Sleep+Apnea,https://www.youtube.com/watch?v=nuvJSl24wAw,Dreamy,
Ariana Grande,eternal sunshine,0,https://www.last.fm/music/Ariana+Grande/_/eternal+sunshine,https://www.youtube.com/watch?v=dS_HLHozs1E,Dreamy,
Radiohead,Give Up the Ghost,290,https://www.last.fm/music/Radiohead/_/Give+Up+the+Ghost,https://www.youtube.com/watch?v=QGGb7o7EbFs,Dreamy,
Sky Ferreira,Everything Is Embarrassing,249,https://www.last.fm/music/Sky+Ferreira/_/Everything+Is+Embarrassing,https://www.youtube.com/watch?v=rEamE0MYPkg,Dreamy,
