artist,music_name,duration,lastfm_url,youtube_url,mood_EN,mood_KOR
Leslie Parrish,Killing My Love,378,https://www.last.fm/music/Leslie+Parrish/_/Killing+My+Love,https://www.youtube.com/watch?v=YdYwICNPDwI,Pump-up,
The Faint,Cars Pass in Cold Blood,161,https://www.last.fm/music/The+Faint/_/Cars+Pass+in+Cold+Blood,https://www.youtube.com/watch?v=CohkZzqZAJI,Pump-up,
Perfume,スウィートドーナッツ,177,https://www.last.fm/music/Perfume/_/%E3%82%B9%E3%82%A6%E3%82%A3%E3%83%BC%E3%83%88%E3%83%89%E3%83%BC%E3%83%8A%E3%83%83%E3%83%84,https://www.youtube.com/watch?v=zmFUh5o7c9M,Pump-up,
Supercar,STROBOLIGHTS,0,https://www.last.fm/music/Supercar/_/STROBOLIGHTS,https://www.youtube.com/watch?v=edHPVwP7MgA,Pump-up,
Soul Coughing,Casiotone Nation,0,https://www.last.fm/music/Soul+Coughing/_/Casiotone+Nation,https://www.youtube.com/watch?v=cXtVe2z8r5A,Pump-up,
Ruiner,Paint Peals,76,https://www.last.fm/music/Ruiner/_/Paint+Peals,https://www.youtube.com/watch?v=IAyUf62rOVg,Pump-up,
Red Hot Chili Peppers,Search & Destroy,263,https://www.last.fm/music/Red+Hot+Chili+Peppers/_/Search+&+Destroy,https://www.youtube.com/watch?v=VW0sueFgcCk,Pump-up,
Utada,The Workout,240,https://www.last.fm/music/Utada/_/The+Workout,https://www.youtube.com/watch?v=PY9i232yNnY,Pump-up,
Boa,ID; Peace B,234,https://www.last.fm/music/Boa/_/ID;+Peace+B,https://www.youtube.com/watch?v=DfslE2pbmCk,Pump-up,
TobyMac,Boomin',202,https://www.last.fm/music/TobyMac/_/Boomin%27,https://www.youtube.com/watch?v=wTqNj8YnQV4,Pump-up,
Supercar,Warning Bell,252,https://www.last.fm/music/Supercar/_/Warning+Bell,https://www.youtube.com/watch?v=hTA4dby_5iE,Pump-up,
Daddy Yankee,Mirame,195,https://www.last.fm/music/Daddy+Yankee/_/Mirame,https://www.youtube.com/watch?v=qpCZmdsczno,Pump-up,
Terror,Hardship Belongs To Me,149,https://www.last.fm/music/Terror/_/Hardship+Belongs+To+Me,https://www.youtube.com/watch?v=7r34NdlWan4,Pump-up,
ORANGE RANGE,上海ハニー,176,https://www.last.fm/music/ORANGE+RANGE/_/%E4%B8%8A%E6%B5%B7%E3%83%8F%E3%83%8B%E3%83%BC,https://www.youtube.com/watch?v=6hP_a7BCF6Q,Pump-up,
tefnek,motor crazycycle (Crazy Motorcycle),295,https://www.last.fm/music/tefnek/_/motor+crazycycle+(Crazy+Motorcycle),https://www.youtube.com/watch?v=h3RhggOX-Pc,Pump-up,
Robots in Disguise,Mirror Mirror,0,https://www.last.fm/music/Robots+in+Disguise/_/Mirror+Mirror,https://www.youtube.com/watch?v=I0cbB8cAhpU,Pump-up,
m-flo,prism,270,https://www.last.fm/music/m-flo/_/prism,https://www.youtube.com/watch?v=FcDNiQ_og4w,Pump-up,
Gorillaz,19-2000 (TheWiseguysHouseOfWisdomRemix),0,https://www.last.fm/music/Gorillaz/_/19-2000+(TheWiseguysHouseOfWisdomRemix),,Pump-up,
Boa,MOTO,186,https://www.last.fm/music/Boa/_/MOTO,https://www.youtube.com/watch?v=4M1XuHJmaJk,Pump-up,
Fatboy Slim,Can You Feel It?,0,https://www.last.fm/music/Fatboy+Slim/_/Can+You+Feel+It%3F,,Pump-up,
浜崎あゆみ,until that Day...,287,https://www.last.fm/music/%E6%B5%9C%E5%B4%8E%E3%81%82%E3%82%86%E3%81%BF/_/until+that+Day...,https://www.youtube.com/watch?v=KGUgVU-a4hY,Pump-up,
The Crystal Method,Koma + Bones-Morpheus (Meat Ka,0,https://www.last.fm/music/The+Crystal+Method/_/Koma+%252B+Bones-Morpheus+(Meat+Ka,,Pump-up,
Tia,流星,315,https://www.last.fm/music/Tia/_/%E6%B5%81%E6%98%9F,https://www.youtube.com/watch?v=P_Oe9aILCac,Pump-up,
B'z,Don't Leave Me,0,https://www.last.fm/music/B%27z/_/Don%27t+Leave+Me,https://www.youtube.com/watch?v=8vU_SZFi_2E,Pump-up,
Boa,Be the one,227,https://www.last.fm/music/Boa/_/Be+the+one,https://www.youtube.com/watch?v=sFXbKp0UGQQ,Pump-up,
Icepick,Show Of Force,143,https://www.last.fm/music/Icepick/_/Show+Of+Force,https://www.youtube.com/watch?v=76O6_z8GKUc,Pump-up,
Boa,気持ちはつたわる,263,https://www.last.fm/music/Boa/_/%E6%B0%97%E6%8C%81%E3%81%A1%E3%81%AF%E3%81%A4%E3%81%9F%E3%82%8F%E3%82%8B,https://www.youtube.com/watch?v=tnyKhP8c8Io,Pump-up,
Metric,Dead Disco (Album Version),0,https://www.last.fm/music/Metric/_/Dead+Disco+(Album+Version),https://www.youtube.com/watch?v=cEsr5Mm3JfE,Pump-up,
Motorcycle,As the Rush Comes (EnMass Breaks Mix),0,https://www.last.fm/music/Motorcycle/_/As+the+Rush+Comes+(EnMass+Breaks+Mix),,Pump-up,
Boa,Nobody but you,250,https://www.last.fm/music/Boa/_/Nobody+but+you,https://www.youtube.com/watch?v=GtZR1zcZh3E,Pump-up,
Fantastic Plastic Machine,Spectacular,0,https://www.last.fm/music/Fantastic+Plastic+Machine/_/Spectacular,https://www.youtube.com/watch?v=VDEKM6prMiA,Pump-up,
Nelly,Heart of a Champion (feat. Lincoln University Vocal Ensemble),0,https://www.last.fm/music/Nelly/_/Heart+of+a+Champion+(feat.+Lincoln+University+Vocal+Ensemble),,Pump-up,
Daddy Yankee Ft. Zion y Lennox,Tu Principe,0,https://www.last.fm/music/Daddy+Yankee+Ft.+Zion+y+Lennox/_/Tu+Principe,https://www.youtube.com/watch?v=h-r627KOxj4,Pump-up,
m-flo,The 3rd Impact,71,https://www.last.fm/music/m-flo/_/The+3rd+Impact,https://www.youtube.com/watch?v=GVXcjN2JDyA,Pump-up,
Boa,Silent Screamerz,209,https://www.last.fm/music/Boa/_/Silent+Screamerz,https://www.youtube.com/watch?v=JQj8dnVUPJo,Pump-up,
MINMI,Another World,244,https://www.last.fm/music/MINMI/_/Another+World,https://www.youtube.com/watch?v=mfhnwErkfHA,Pump-up,
Capsule,Week-End,0,https://www.last.fm/music/Capsule/_/Week-End,,Pump-up,
Cascada,Cascada - Piece Of Heaven,0,https://www.last.fm/music/Cascada/_/Cascada+-+Piece+Of+Heaven,,Pump-up,
