artist,music_name,duration,lastfm_url,youtube_url,mood_EN,mood_KOR
Radiohead,How to Disappear Completely,356,https://www.last.fm/music/Radiohead/_/How+to+Disappear+Completely,https://www.youtube.com/watch?v=nZq_jeYsbTs,Depressing,
LIL UZI VERT,XO TOUR Llif3,0,https://www.last.fm/music/LIL+UZI+VERT/_/XO+TOUR+Llif3,https://www.youtube.com/watch?v=WrsFXgQk5UI,Depressing,
Lorde,Liability,0,https://www.last.fm/music/Lorde/_/Liability,https://www.youtube.com/watch?v=BtvJaNeELic,Depressing,
Sufjan Stevens,Fourth of July,0,https://www.last.fm/music/Sufjan+Stevens/_/Fourth+of+July,https://www.youtube.com/watch?v=JTeKpWp8Psw,Depressing,
Joji,Worldstar Money (Interlude),0,https://www.last.fm/music/Joji/_/Worldstar+Money+(Interlude),https://www.youtube.com/watch?v=VNyGaTO0dU0,Depressing,
LIL PEEP,Falling Down - Bonus Track,0,https://www.last.fm/music/LIL+PEEP/_/Falling+Down+-+Bonus+Track,https://www.youtube.com/watch?v=gAmnE44582E,Depressing,
Bright Eyes,Lua,271,https://www.last.fm/music/Bright+Eyes/_/Lua,https://www.youtube.com/watch?v=TSBs-hiapo4,Depressing,
Elliott Smith,Needle in the Hay,0,https://www.last.fm/music/Elliott+Smith/_/Needle+in+the+Hay,https://www.youtube.com/watch?v=EgNgvCLRqWc,Depressing,
Joji,Will He,0,https://www.last.fm/music/Joji/_/Will+He,https://www.youtube.com/watch?v=R2zXxQHBpd8,Depressing,
Kanye West,Coldest Winter,237,https://www.last.fm/music/Kanye+West/_/Coldest+Winter,https://www.youtube.com/watch?v=n6rjQ9VVLDI,Depressing,
Baby Keem,16,0,https://www.last.fm/music/Baby+Keem/_/16,https://www.youtube.com/watch?v=SAsdUkKlA8Y,Depressing,
Taylor Swift,hOaX,0,https://www.last.fm/music/Taylor+Swift/_/hOaX,https://www.youtube.com/watch?v=ryLGxpjwAhM,Depressing,
Placebo,Without You I'm Nothing,250,https://www.last.fm/music/Placebo/_/Without+You+I%27m+Nothing,https://www.youtube.com/watch?v=BLmypIo-wFY,Depressing,
Brand New,Jesus Christ,0,https://www.last.fm/music/Brand+New/_/Jesus+Christ,https://www.youtube.com/watch?v=MSQ95DcgWYI,Depressing,
Radiohead,Give Up the Ghost,290,https://www.last.fm/music/Radiohead/_/Give+Up+the+Ghost,https://www.youtube.com/watch?v=QGGb7o7EbFs,Depressing,
The Smiths,I Know It's Over,349,https://www.last.fm/music/The+Smiths/_/I+Know+It%27s+Over,https://www.youtube.com/watch?v=M6o1SEj02t0,Depressing,
Brand New,The Boy Who Blocked His Own Shot,263,https://www.last.fm/music/Brand+New/_/The+Boy+Who+Blocked+His+Own+Shot,https://www.youtube.com/watch?v=e2RY26wQkc8,Depressing,
The Smiths,Asleep,250,https://www.last.fm/music/The+Smiths/_/Asleep,https://www.youtube.com/watch?v=9xCtYtBH_bU,Depressing,
Joji,Demons,0,https://www.last.fm/music/Joji/_/Demons,https://www.youtube.com/watch?v=Yw1tCJ1y34o,Depressing,
Tom Rosenthal,Lights are On,0,https://www.last.fm/music/Tom+Rosenthal/_/Lights+are+On,https://www.youtube.com/watch?v=1R7utXKO9uA,Depressing,
Lykke Li,Possibility,0,https://www.last.fm/music/Lykke+Li/_/Possibility,https://www.youtube.com/watch?v=RvMeOllo_Vo,Depressing,
Katy Perry,Swish Swish,0,https://www.last.fm/music/Katy+Perry/_/Swish+Swish,https://www.youtube.com/watch?v=iGk5fR-t5AU,Depressing,
Weezer,Butterfly,173,https://www.last.fm/music/Weezer/_/Butterfly,https://www.youtube.com/watch?v=yHNVm9FzgCI,Depressing,
Elliott Smith,Twilight,271,https://www.last.fm/music/Elliott+Smith/_/Twilight,https://www.youtube.com/watch?v=JF6hxl0_FGo,Depressing,
Penelope Scott,Rät,0,https://www.last.fm/music/Penelope+Scott/_/R%C3%A4t,https://www.youtube.com/watch?v=LpxT9TLGoLI,Depressing,
blink-182,I'm Lost Without You,0,https://www.last.fm/music/blink-182/_/I%27m+Lost+Without+You,https://www.youtube.com/watch?v=QBZVl2Ubbk4,Depressing,
