artist,music_name,duration,lastfm_url,youtube_url,mood_EN,mood_KOR
"Tyler, the Creator",DOGTOOTH,0,"https://www.last.fm/music/Tyler,+the+Creator/_/DOGTOOTH",https://www.youtube.com/watch?v=2TVXi_9Bvlg,Triumphant,
"Tyler, the Creator",JUGGERNAUT (feat. Lil Uzi Vert & Pharrell Williams),0,"https://www.last.fm/music/Tyler,+the+Creator/_/JUGGERNAUT+(feat.+Lil+Uzi+Vert+&+Pharrell+Williams)",https://www.youtube.com/watch?v=vFyQAcNywWA,Triumphant,
Beyoncé,ALIEN SUPERSTAR,0,https://www.last.fm/music/Beyonc%C3%A9/_/ALIEN+SUPERSTAR,https://www.youtube.com/watch?v=e_aT9pAGQo8,Triumphant,
Big Sean,Bounce Back,0,https://www.last.fm/music/Big+Sean/_/Bounce+Back,https://www.youtube.com/watch?v=phr1pOFK1V8,Triumphant,
BLACKPINK,Typa Girl,0,https://www.last.fm/music/BLACKPINK/_/Typa+Girl,https://www.youtube.com/watch?v=oMsizmQ9l5c,Triumphant,
Rina Sawayama,This Hell,0,https://www.last.fm/music/Rina+Sawayama/_/This+Hell,https://www.youtube.com/watch?v=vapT7WBkBdY,Triumphant,
Arca,KLK,0,https://www.last.fm/music/Arca/_/KLK,https://www.youtube.com/watch?v=RDzyyTHLQfo,Triumphant,
LIL UZI VERT,I Gotta,0,https://www.last.fm/music/LIL+UZI+VERT/_/I+Gotta,https://www.youtube.com/watch?v=NA5kbUQD8JI,Triumphant,
Fall Out Boy,(Coffee's for Closers),0,https://www.last.fm/music/Fall+Out+Boy/_/(Coffee%27s+for+Closers),https://www.youtube.com/watch?v=j8mlzzHfkNI,Triumphant,
Rina Sawayama,Catch Me In the Air,0,https://www.last.fm/music/Rina+Sawayama/_/Catch+Me+In+the+Air,https://www.youtube.com/watch?v=XHpW9eSytp0,Triumphant,
Edward Sharpe & The Magnetic Zeros,Kisses Over Babylon,315,https://www.last.fm/music/Edward+Sharpe+&+The+Magnetic+Zeros/_/Kisses+Over+Babylon,https://www.youtube.com/watch?v=7gwXpLpfb3Y,Triumphant,
Nija,MY POWER,0,https://www.last.fm/music/Nija/_/MY+POWER,https://www.youtube.com/watch?v=qVKdID1QrN8,Triumphant,
Holy Fuck,Lovely Allen,284,https://www.last.fm/music/Holy+Fuck/_/Lovely+Allen,https://www.youtube.com/watch?v=bGBtogiBAyk,Triumphant,
Woodkid,The Great Escape,195,https://www.last.fm/music/Woodkid/_/The+Great+Escape,https://www.youtube.com/watch?v=CpNp4g8yTv0,Triumphant,
Arca,RiquiquÍ,0,https://www.last.fm/music/Arca/_/Riquiqu%C3%8D,https://www.youtube.com/watch?v=sHvUU8OWTC4,Triumphant,
Faith No More,Just a Man,336,https://www.last.fm/music/Faith+No+More/_/Just+a+Man,https://www.youtube.com/watch?v=7g4L47kEcS0,Triumphant,
Pabllo Vittar,Follow Me,0,https://www.last.fm/music/Pabllo+Vittar/_/Follow+Me,https://www.youtube.com/watch?v=HCDU3vp6g7U,Triumphant,
yoasobi,祝福,0,https://www.last.fm/music/yoasobi/_/%E7%A5%9D%E7%A6%8F,https://www.youtube.com/watch?v=3eytpBOkOFA,Triumphant,
At the Drive-In,Hulahoop Wounds,204,https://www.last.fm/music/At+the+Drive-In/_/Hulahoop+Wounds,https://www.youtube.com/watch?v=NqAliqs8yHc,Triumphant,
Sky Ferreira,Don’t Forget,0,https://www.last.fm/music/Sky+Ferreira/_/Don%E2%80%99t+Forget,https://www.youtube.com/watch?v=DjEV8O4fgeg,Triumphant,
Andrew Bird,The Privateers,204,https://www.last.fm/music/Andrew+Bird/_/The+Privateers,https://www.youtube.com/watch?v=spad-NyE2HU,Triumphant,
Liz Phair,Never Said,217,https://www.last.fm/music/Liz+Phair/_/Never+Said,https://www.youtube.com/watch?v=m1tMfKl5b8M,Triumphant,
Woodkid,Baltimore's Fireflies,248,https://www.last.fm/music/Woodkid/_/Baltimore%27s+Fireflies,https://www.youtube.com/watch?v=Lh5TsDBBDig,Triumphant,
Drive Like Jehu,Do You Compute,432,https://www.last.fm/music/Drive+Like+Jehu/_/Do+You+Compute,https://www.youtube.com/watch?v=bxSwb2h-RYc,Triumphant,
Brian Eno,Here Come the Warm Jets,246,https://www.last.fm/music/Brian+Eno/_/Here+Come+the+Warm+Jets,https://www.youtube.com/watch?v=Gt3rKxRvmO4,Triumphant,
The Go! Team,We Just Won't Be Defeated,165,https://www.last.fm/music/The+Go%21+Team/_/We+Just+Won%27t+Be+Defeated,https://www.youtube.com/watch?v=0fmmbRKYK1c,Triumphant,
Sparta,Collapse,256,https://www.last.fm/music/Sparta/_/Collapse,https://www.youtube.com/watch?v=-IU2uX6eif0,Triumphant,
Brian Tyler,Iron Man 3,143,https://www.last.fm/music/Brian+Tyler/_/Iron+Man+3,https://www.youtube.com/watch?v=Ido-a1W8sN8,Triumphant,
Fugazi,Back to Base,105,https://www.last.fm/music/Fugazi/_/Back+to+Base,https://www.youtube.com/watch?v=MWTAJbCAiyo,Triumphant,
