artist,music_name,duration,lastfm_url,youtube_url,mood_EN,mood_KOR
Korn,What We Do,247,https://www.last.fm/music/Korn/_/What+We+Do,https://www.youtube.com/watch?v=fQcvVWdiFEU,Aggresive,공격적인
El-P,Habeas Corpses (Draconian Love),0,https://www.last.fm/music/El-P/_/Habeas+Corpses+(Draconian+Love),https://www.youtube.com/watch?v=aAD2ZvZlqXQ,Aggresive,공격적인
Limp Bizkit,Leech,131,https://www.last.fm/music/Limp+Bizkit/_/Leech,https://www.youtube.com/watch?v=9ScwWx7YX5c,Aggresive,공격적인
The Prodigy,Spitfire (05 version),206,https://www.last.fm/music/The+Prodigy/_/Spitfire+(05+version),https://www.youtube.com/watch?v=x7lsiPCDWaA,Aggresive,공격적인
Strike Anywhere,Chorus Of One,143,https://www.last.fm/music/Strike+Anywhere/_/Chorus+Of+One,https://www.youtube.com/watch?v=-rKnjU82TSo,Aggresive,공격적인
The Cooper Temple Clause,Film-Maker,177,https://www.last.fm/music/The+Cooper+Temple+Clause/_/Film-Maker,https://www.youtube.com/watch?v=Wbn9ie-ugAU,Aggresive,공격적인
Sepultura,I Am The Enemy,0,https://www.last.fm/music/Sepultura/_/I+Am+The+Enemy,https://www.youtube.com/watch?v=pCEe44CgyAM,Aggresive,공격적인
Ice Cube,Greed,269,https://www.last.fm/music/Ice+Cube/_/Greed,https://www.youtube.com/watch?v=d2h0Kp5wV6s,Aggresive,공격적인
Odd Future,50 (feat. MellowHype),198,https://www.last.fm/music/Odd+Future/_/50+(feat.+MellowHype),https://www.youtube.com/watch?v=vaYkW-Qphx4,Aggresive,공격적인
Blue Stahli,Down In Flames,248,https://www.last.fm/music/Blue+Stahli/_/Down+In+Flames,https://www.youtube.com/watch?v=jATOZhxX1CY,Aggresive,공격적인
Virgin,Dżaga,0,https://www.last.fm/music/Virgin/_/D%C5%BCaga,https://www.youtube.com/watch?v=_7TtBGE9MiE,Aggresive,공격적인
Jedi Mind Tricks,Death March (feat. Esoteric & Virtuoso),0,https://www.last.fm/music/Jedi+Mind+Tricks/_/Death+March+(feat.+Esoteric+&+Virtuoso),,Aggresive,공격적인
Quadeca,SCHOENBERG,0,https://www.last.fm/music/Quadeca/_/SCHOENBERG,https://www.youtube.com/watch?v=zqnoH43g6Us,Aggresive,공격적인
Underneath the Gun,Muckraker,171,https://www.last.fm/music/Underneath+the+Gun/_/Muckraker,https://www.youtube.com/watch?v=7j-6Bbu23Aw,Aggresive,공격적인
Noize MC,Тёмную сторону силы (feat. 7000$),0,https://www.last.fm/music/Noize+MC/_/%D0%A2%D1%91%D0%BC%D0%BD%D1%83%D1%8E+%D1%81%D1%82%D0%BE%D1%80%D0%BE%D0%BD%D1%83+%D1%81%D0%B8%D0%BB%D1%8B+(feat.+7000$),https://www.youtube.com/watch?v=AJsUAjtYURE,Aggresive,공격적인
Rootwater,Uniquitos Violence,189,https://www.last.fm/music/Rootwater/_/Uniquitos+Violence,https://www.youtube.com/watch?v=cJle1ae-IhQ,Aggresive,공격적인
Xera,Dúrmite,330,https://www.last.fm/music/Xera/_/D%C3%BArmite,https://www.youtube.com/watch?v=EDBQ9bwzV1A,Aggresive,공격적인
Xera,Elexía,427,https://www.last.fm/music/Xera/_/Elex%C3%ADa,https://www.youtube.com/watch?v=jy7QoQURzHA,Aggresive,공격적인
The Crystal Method,Weapons of Mad Distortion (Album Version),0,https://www.last.fm/music/The+Crystal+Method/_/Weapons+of+Mad+Distortion+(Album+Version),,Aggresive,공격적인
