artist,music_name,duration,lastfm_url,youtube_url,mood_EN,mood_KOR
Childish Gambino,Redbone,0,https://www.last.fm/music/Childish+Gambino/_/Redbone,https://www.youtube.com/watch?v=Kp7eSUU9oy8,Calm,잔잔한
Bon Iver,Holocene,337,https://www.last.fm/music/Bon+Iver/_/Holocene,https://www.youtube.com/watch?v=TWcyIpul8OE,Calm,잔잔한
Arctic Monkeys,Only Ones Who Know,182,https://www.last.fm/music/Arctic+Monkeys/_/Only+Ones+Who+Know,https://www.youtube.com/watch?v=3htnUhv4lOM,Calm,잔잔한
Billie Eilish,bury a friend,0,https://www.last.fm/music/Billie+Eilish/_/bury+a+friend,https://www.youtube.com/watch?v=HUHC9tYz8ik,Calm,잔잔한
Taylor Swift,Snow on the Beach (feat. Lana Del Rey),0,https://www.last.fm/music/Taylor+Swift/_/Snow+on+the+Beach+(feat.+Lana+Del+Rey),https://www.youtube.com/watch?v=ycE7bUq3-2k,Calm,잔잔한
Ariana Grande,we can't be friends (wait for your love),0,https://www.last.fm/music/Ariana+Grande/_/we+can%27t+be+friends+(wait+for+your+love),https://www.youtube.com/watch?v=KNtJGQkC-WI,Calm,잔잔한
Childish Gambino,Sober,252,https://www.last.fm/music/Childish+Gambino/_/Sober,https://www.youtube.com/watch?v=jx96Twg-Aew,Calm,잔잔한
Steve Lacy,Infrunami,0,https://www.last.fm/music/Steve+Lacy/_/Infrunami,https://www.youtube.com/watch?v=Ol0-9Ob-QNk,Calm,잔잔한
Bakar,Hell n back,0,https://www.last.fm/music/Bakar/_/Hell+n+back,https://www.youtube.com/watch?v=_Gax6Oib7CM,Calm,잔잔한
Arcade Fire,Neon Bible,136,https://www.last.fm/music/Arcade+Fire/_/Neon+Bible,https://www.youtube.com/watch?v=eHe4cDG2ErM,Calm,잔잔한
Led Zeppelin,Stairway to Heaven - Remaster,0,https://www.last.fm/music/Led+Zeppelin/_/Stairway+to+Heaven+-+Remaster,https://www.youtube.com/watch?v=iXQUu5Dti4g,Calm,잔잔한
Post Malone,White Iverson,0,https://www.last.fm/music/Post+Malone/_/White+Iverson,https://www.youtube.com/watch?v=SLsTskih7_I,Calm,잔잔한
Death Cab for Cutie,Brothers on a Hotel Bed,0,https://www.last.fm/music/Death+Cab+for+Cutie/_/Brothers+on+a+Hotel+Bed,https://www.youtube.com/watch?v=yWS6ZGGrQYk,Calm,잔잔한
Sufjan Stevens,Should Have Known Better,0,https://www.last.fm/music/Sufjan+Stevens/_/Should+Have+Known+Better,https://www.youtube.com/watch?v=lJJT00wqlOo,Calm,잔잔한
Radiohead,Codex,287,https://www.last.fm/music/Radiohead/_/Codex,https://www.youtube.com/watch?v=T7t38uDUg5E,Calm,잔잔한
Taylor Swift,Nothing New (feat. Phoebe Bridgers) (Taylor’s Version) (From The Vault),0,https://www.last.fm/music/Taylor+Swift/_/Nothing+New+(feat.+Phoebe+Bridgers)+(Taylor%E2%80%99s+Version)+(From+The+Vault),https://www.youtube.com/watch?v=m3fWCRvz5JA,Calm,잔잔한
