artist,music_name,duration,lastfm_url,youtube_url,mood_EN,mood_KOR
Crossfade,Cold,194,https://www.last.fm/music/Crossfade/_/Cold,https://www.youtube.com/watch?v=3QTmARn6G68,Cold,차가운
Static-X,Cold,222,https://www.last.fm/music/Static-X/_/Cold,https://www.youtube.com/watch?v=GNohq2JJMQY,Cold,차가운
memo boy,Insomniac,0,https://www.last.fm/music/memo+boy/_/Insomniac,https://www.youtube.com/watch?v=S8zkul_ia88,Cold,차가운
Drake,Wu-Tang Forever,217,https://www.last.fm/music/Drake/_/Wu-Tang+Forever,https://www.youtube.com/watch?v=UpDBIPOuNRk,Cold,차가운
Lil Xan,Betrayed,0,https://www.last.fm/music/Lil+Xan/_/Betrayed,https://www.youtube.com/watch?v=EbfK7dei7ec,Cold,차가운
Cold,Stupid Girl,189,https://www.last.fm/music/Cold/_/Stupid+Girl,https://www.youtube.com/watch?v=fGT1QRyVYvY,Cold,차가운
Kate Bush,Under Ice,141,https://www.last.fm/music/Kate+Bush/_/Under+Ice,https://www.youtube.com/watch?v=rSVGdE7sJaM,Cold,차가운
The Cure,Cold,266,https://www.last.fm/music/The+Cure/_/Cold,https://www.youtube.com/watch?v=hdAAQqb1WgU,Cold,차가운
Joy Division,New Dawn Fades - 2007 Remaster,0,https://www.last.fm/music/Joy+Division/_/New+Dawn+Fades+-+2007+Remaster,https://www.youtube.com/watch?v=7j5LmyNNsrE,Cold,차가운
Cold,No One,197,https://www.last.fm/music/Cold/_/No+One,https://www.youtube.com/watch?v=gU8VXkEalOs,Cold,차가운
Evans Blue,Cold (But I'm Still Here),234,https://www.last.fm/music/Evans+Blue/_/Cold+(But+I%27m+Still+Here),https://www.youtube.com/watch?v=Oatd5Hrh3Pg,Cold,차가운
Radiohead,Pearly,213,https://www.last.fm/music/Radiohead/_/Pearly,https://www.youtube.com/watch?v=qGqwkFtChxQ,Cold,차가운
Cold,Remedy,177,https://www.last.fm/music/Cold/_/Remedy,https://www.youtube.com/watch?v=GYpdsqEoq-Y,Cold,차가운
Neon Indian,6669 (I Don't Know If You Know),200,https://www.last.fm/music/Neon+Indian/_/6669+(I+Don%27t+Know+If+You+Know),https://www.youtube.com/watch?v=PuE8DZVwHkM,Cold,차가운
Cold,Wasted Years,247,https://www.last.fm/music/Cold/_/Wasted+Years,https://www.youtube.com/watch?v=GULMMZwTwQ4,Cold,차가운
Girls,Vomit,383,https://www.last.fm/music/Girls/_/Vomit,https://www.youtube.com/watch?v=LBYBNyMNySU,Cold,차가운
Brand New,Daisy,186,https://www.last.fm/music/Brand+New/_/Daisy,https://www.youtube.com/watch?v=Cwx8M_7hcRE,Cold,차가운
Azealia Banks,Ice Princess,224,https://www.last.fm/music/Azealia+Banks/_/Ice+Princess,https://www.youtube.com/watch?v=xGox2wVCLuw,Cold,차가운
Neon Indian,Local Joke,206,https://www.last.fm/music/Neon+Indian/_/Local+Joke,https://www.youtube.com/watch?v=8s-6UK5XwvE,Cold,차가운
Pusha T,Just So You Remember,0,https://www.last.fm/music/Pusha+T/_/Just+So+You+Remember,https://www.youtube.com/watch?v=ZIaRsy9_JeU,Cold,차가운
Brand New,You Stole,360,https://www.last.fm/music/Brand+New/_/You+Stole,https://www.youtube.com/watch?v=f1n6R3EEgm4,Cold,차가운
The Cure,Lullaby - 2010 Remaster,0,https://www.last.fm/music/The+Cure/_/Lullaby+-+2010+Remaster,https://www.youtube.com/watch?v=sS6t56U9tBg,Cold,차가운
Cold,Suffocate,223,https://www.last.fm/music/Cold/_/Suffocate,https://www.youtube.com/watch?v=qGk46eooQ_o,Cold,차가운
Cold,Just Got Wicked,0,https://www.last.fm/music/Cold/_/Just+Got+Wicked,https://www.youtube.com/watch?v=we5_bia7ON8,Cold,차가운
Radiohead,Follow Me Around,0,https://www.last.fm/music/Radiohead/_/Follow+Me+Around,https://www.youtube.com/watch?v=nrxWiU_v9Qs,Cold,차가운
Chromatics,I Want Your Love,401,https://www.last.fm/music/Chromatics/_/I+Want+Your+Love,https://www.youtube.com/watch?v=xSMqmD3VQI0,Cold,차가운
Chromatics,Night Drive,223,https://www.last.fm/music/Chromatics/_/Night+Drive,https://www.youtube.com/watch?v=MZauPDAqfX8,Cold,차가운
Chris Brown,So Cold,218,https://www.last.fm/music/Chris+Brown/_/So+Cold,https://www.youtube.com/watch?v=GFKnPBRpBuI,Cold,차가운
Puzzle,Loose Cannon,0,https://www.last.fm/music/Puzzle/_/Loose+Cannon,https://www.youtube.com/watch?v=NjgwyC2043I,Cold,차가운
Cold,Rain Song,0,https://www.last.fm/music/Cold/_/Rain+Song,https://www.youtube.com/watch?v=nZQ8YtJjN2g,Cold,차가운
She & Him,"Baby, It's Cold Outside",137,"https://www.last.fm/music/She+&+Him/_/Baby,+It%27s+Cold+Outside",https://www.youtube.com/watch?v=ZVz6TCT5Bjs,Cold,차가운
Cold,Black Sunday,272,https://www.last.fm/music/Cold/_/Black+Sunday,https://www.youtube.com/watch?v=8ev9vYlwE0A,Cold,차가운
The Walkmen,On The Water,189,https://www.last.fm/music/The+Walkmen/_/On+The+Water,https://www.youtube.com/watch?v=csjzKiO7NyE,Cold,차가운
Cold,Sad Happy,218,https://www.last.fm/music/Cold/_/Sad+Happy,https://www.youtube.com/watch?v=4xKKN42JeQE,Cold,차가운
Soap&Skin,Fall Foliage,163,https://www.last.fm/music/Soap&Skin/_/Fall+Foliage,https://www.youtube.com/watch?v=LUZ-TVjHEkA,Cold,차가운
