artist,music_name,duration,lastfm_url,youtube_url,mood_EN,mood_KOR
Sufjan Stevens,Age of Adz,479,https://www.last.fm/music/Sufjan+Stevens/_/Age+of+Adz,https://www.youtube.com/watch?v=hmbGd6XT-oc,Earnest,진지한
Wilco,We're Just Friends,168,https://www.last.fm/music/Wilco/_/We%27re+Just+Friends,https://www.youtube.com/watch?v=e6jN5hT3a_k,Earnest,진지한
Wilco,Pieholden Suite,196,https://www.last.fm/music/Wilco/_/Pieholden+Suite,https://www.youtube.com/watch?v=a3yAEUDb_W8,Earnest,진지한
Beirut,Mimizan,162,https://www.last.fm/music/Beirut/_/Mimizan,https://www.youtube.com/watch?v=CAJ1rOJq60A,Earnest,진지한
The Mountain Goats,Woke Up New,177,https://www.last.fm/music/The+Mountain+Goats/_/Woke+Up+New,https://www.youtube.com/watch?v=1bSdRizGYb0,Earnest,진지한
Xiu Xiu,Clowne Towne,230,https://www.last.fm/music/Xiu+Xiu/_/Clowne+Towne,https://www.youtube.com/watch?v=rRInZ-7Joto,Earnest,진지한
Deer Tick,Dirty Dishes,198,https://www.last.fm/music/Deer+Tick/_/Dirty+Dishes,https://www.youtube.com/watch?v=EM89oK_vhB0,Earnest,진지한
2Pac,Wonda Why They Call U Bitch,0,https://www.last.fm/music/2Pac/_/Wonda+Why+They+Call+U+Bitch,https://www.youtube.com/watch?v=i_ic0lVDJyo,Earnest,진지한
Wilco,(Was I) In Your Dreams,163,https://www.last.fm/music/Wilco/_/(Was+I)+In+Your+Dreams,https://www.youtube.com/watch?v=2qKyPREyLrs,Earnest,진지한
Dave Matthews Band,Sleep To Dream Her,296,https://www.last.fm/music/Dave+Matthews+Band/_/Sleep+To+Dream+Her,https://www.youtube.com/watch?v=jNtBkCS63hI,Earnest,진지한
Dave Matthews Band,Hunger For The Great Light,322,https://www.last.fm/music/Dave+Matthews+Band/_/Hunger+For+The+Great+Light,https://www.youtube.com/watch?v=8afWgKoidBQ,Earnest,진지한
Aesop Rock,One Brick,0,https://www.last.fm/music/Aesop+Rock/_/One+Brick,https://www.youtube.com/watch?v=4D1uYY48Suo,Earnest,진지한
