artist,music_name,duration,lastfm_url,youtube_url,mood_EN,mood_KOR
Vampire Weekend,A-Punk,136,https://www.last.fm/music/Vampire+Weekend/_/A-Punk,https://www.youtube.com/watch?v=_XC2mqcMMGQ,Energetic,정력적인
Queen,Don't Stop Me Now - Remastered 2011,0,https://www.last.fm/music/Queen/_/Don%27t+Stop+Me+Now+-+Remastered+2011,https://www.youtube.com/watch?v=HgzGwKwLmgM,Energetic,정력적인
Neon Trees,Animal,212,https://www.last.fm/music/Neon+Trees/_/Animal,https://www.youtube.com/watch?v=gM7Hlg75Mlo,Energetic,정력적인
Olivia Rodrigo,Bad Idea Right?,0,https://www.last.fm/music/Olivia+Rodrigo/_/Bad+Idea+Right%3F,https://www.youtube.com/watch?v=Dj9qJsJTsjQ,Energetic,정력적인
Usher,Yeah! (feat. Lil Jon & Ludacris),0,https://www.last.fm/music/Usher/_/Yeah%21+(feat.+Lil+Jon+&+Ludacris),https://www.youtube.com/watch?v=GxBSyx85Kp8,Energetic,정력적인
OK Go,Here It Goes Again,179,https://www.last.fm/music/OK+Go/_/Here+It+Goes+Again,https://www.youtube.com/watch?v=dTAAsCNK7RA,Energetic,정력적인
Tate McRae,greedy,0,https://www.last.fm/music/Tate+McRae/_/greedy,https://www.youtube.com/watch?v=To4SWGZkEPk,Energetic,정력적인
Beyoncé,Run the World (Girls),228,https://www.last.fm/music/Beyonc%C3%A9/_/Run+the+World+(Girls),https://www.youtube.com/watch?v=VBmMU_iwe6U,Energetic,정력적인
Bruno Mars,Runaway Baby,148,https://www.last.fm/music/Bruno+Mars/_/Runaway+Baby,https://www.youtube.com/watch?v=HIgvP7B3Hg8,Energetic,정력적인
Mother Mother,Hayloft,183,https://www.last.fm/music/Mother+Mother/_/Hayloft,https://www.youtube.com/watch?v=wiXvDsHfpdk,Energetic,정력적인
Nicki Minaj,sUPeR fREAky gIrl,0,https://www.last.fm/music/Nicki+Minaj/_/sUPeR+fREAky+gIrl,https://www.youtube.com/watch?v=j5uAR9w7LBg,Energetic,정력적인
Troye Sivan,Rush,0,https://www.last.fm/music/Troye+Sivan/_/Rush,https://www.youtube.com/watch?v=b53QJYP-lqY,Energetic,정력적인
"Tyler, the Creator",JUGGERNAUT (feat. Lil Uzi Vert & Pharrell Williams),0,"https://www.last.fm/music/Tyler,+the+Creator/_/JUGGERNAUT+(feat.+Lil+Uzi+Vert+&+Pharrell+Williams)",https://www.youtube.com/watch?v=vFyQAcNywWA,Energetic,정력적인
Kanye West,Lost In The World,0,https://www.last.fm/music/Kanye+West/_/Lost+In+The+World,https://www.youtube.com/watch?v=ofaRvNOV4SI,Energetic,정력적인
2Pac,California Love - Original Version,0,https://www.last.fm/music/2Pac/_/California+Love+-+Original+Version,https://www.youtube.com/watch?v=J7_bMdYfSws,Energetic,정력적인
Marina,How to Be a Heartbreaker,0,https://www.last.fm/music/Marina/_/How+to+Be+a+Heartbreaker,https://www.youtube.com/watch?v=vKNcuTWzTVw,Energetic,정력적인
Taking Back Sunday,MakeDamnSure,212,https://www.last.fm/music/Taking+Back+Sunday/_/MakeDamnSure,https://www.youtube.com/watch?v=4ldjbjwim4k,Energetic,정력적인
Beyoncé,AMERICA HAS A PROBLEM,0,https://www.last.fm/music/Beyonc%C3%A9/_/AMERICA+HAS+A+PROBLEM,https://www.youtube.com/watch?v=GUWVpSKA6OM,Energetic,정력적인
Beyoncé,Countdown,213,https://www.last.fm/music/Beyonc%C3%A9/_/Countdown,https://www.youtube.com/watch?v=2XY3AvVgDns,Energetic,정력적인
Megan Thee Stallion,Sweetest Pie,0,https://www.last.fm/music/Megan+Thee+Stallion/_/Sweetest+Pie,https://www.youtube.com/watch?v=K7JrX7PHGBE,Energetic,정력적인
Caroline Polachek,So Hot You're Hurting My Feelings,0,https://www.last.fm/music/Caroline+Polachek/_/So+Hot+You%27re+Hurting+My+Feelings,https://www.youtube.com/watch?v=sn3cHUtNZKo,Energetic,정력적인
Melanie Martinez,Mad Hatter,0,https://www.last.fm/music/Melanie+Martinez/_/Mad+Hatter,https://www.youtube.com/watch?v=04UjShXZbD0,Energetic,정력적인
Fall Out Boy,"A Little Less Sixteen Candles, a Little More ""Touch Me""",169,"https://www.last.fm/music/Fall+Out+Boy/_/A+Little+Less+Sixteen+Candles,+a+Little+More+%22Touch+Me%22",https://www.youtube.com/watch?v=Ew6x6sHiFaw,Energetic,정력적인
Spoon,The Underdog,222,https://www.last.fm/music/Spoon/_/The+Underdog,https://www.youtube.com/watch?v=VaUOE8xv-zA,Energetic,정력적인
NewJeans,ETA,0,https://www.last.fm/music/NewJeans/_/ETA,https://www.youtube.com/watch?v=jOTfBlKSQYY,Energetic,정력적인
Bloc Party,Flux,215,https://www.last.fm/music/Bloc+Party/_/Flux,https://www.youtube.com/watch?v=ttcboE1GrNg,Energetic,정력적인
ICE SPICE,Princess Diana (with Nicki Minaj),0,https://www.last.fm/music/ICE+SPICE/_/Princess+Diana+(with+Nicki+Minaj),https://www.youtube.com/watch?v=gMq-I0dejjE,Energetic,정력적인
Rosalía,Saoko,0,https://www.last.fm/music/Rosal%C3%ADa/_/Saoko,https://www.youtube.com/watch?v=M-ahTVVFM9s,Energetic,정력적인
Lady Gaga,Stupid Love,0,https://www.last.fm/music/Lady+Gaga/_/Stupid+Love,https://www.youtube.com/watch?v=5L6xyaeiV58,Energetic,정력적인
Matchbox Twenty,How Far We've Come,208,https://www.last.fm/music/Matchbox+Twenty/_/How+Far+We%27ve+Come,https://www.youtube.com/watch?v=5d7EbtLb8ok,Energetic,정력적인
Grouplove,Colours,0,https://www.last.fm/music/Grouplove/_/Colours,https://www.youtube.com/watch?v=MsLyHEA7f3M,Energetic,정력적인
Pharrell Williams,Cash In Cash Out,0,https://www.last.fm/music/Pharrell+Williams/_/Cash+In+Cash+Out,https://www.youtube.com/watch?v=cKEwnhc8ItY,Energetic,정력적인
Laura Les,haunted,0,https://www.last.fm/music/Laura+Les/_/haunted,https://www.youtube.com/watch?v=879ysA4h9r4,Energetic,정력적인
100 gecs,hand crushed by a mallet,0,https://www.last.fm/music/100+gecs/_/hand+crushed+by+a+mallet,https://www.youtube.com/watch?v=EvFfp_f8koo,Energetic,정력적인
Waka Flocka Flame,No Hands (feat. Roscoe Dash & Wale),262,https://www.last.fm/music/Waka+Flocka+Flame/_/No+Hands+(feat.+Roscoe+Dash+&+Wale),https://www.youtube.com/watch?v=skhxizRYxps,Energetic,정력적인
Gorillaz,Cracker Island (feat. Thundercat),0,https://www.last.fm/music/Gorillaz/_/Cracker+Island+(feat.+Thundercat),https://www.youtube.com/watch?v=S03T47hapAc,Energetic,정력적인
Agust D,Daechwita,0,https://www.last.fm/music/Agust+D/_/Daechwita,https://www.youtube.com/watch?v=qGjAWJ2zWWI,Energetic,정력적인
Kanye West,Two Words,0,https://www.last.fm/music/Kanye+West/_/Two+Words,https://www.youtube.com/watch?v=tkFOBx6j0l8,Energetic,정력적인
BTS,Dope,0,https://www.last.fm/music/BTS/_/Dope,https://www.youtube.com/watch?v=BVwAVbKYYeM,Energetic,정력적인
