artist,music_name,duration,lastfm_url,youtube_url,mood_EN,mood_KOR
Olivia Rodrigo,Bad Idea Right?,0,https://www.last.fm/music/Olivia+Rodrigo/_/Bad+Idea+Right%3F,https://www.youtube.com/watch?v=Dj9qJsJTsjQ,Exciting,신나는
Sheppard,Geronimo,218,https://www.last.fm/music/Sheppard/_/Geronimo,https://www.youtube.com/watch?v=ozsmSlvGHv4,Exciting,신나는
Tyga,Diddy Bop,111,https://www.last.fm/music/Tyga/_/Diddy+Bop,https://www.youtube.com/watch?v=ar0AMlwDWsw,Exciting,신나는
Frank Black,Los Angeles,247,https://www.last.fm/music/Frank+Black/_/Los+Angeles,https://www.youtube.com/watch?v=fuLllNyfiHs,Exciting,신나는
yoasobi,祝福,0,https://www.last.fm/music/yoasobi/_/%E7%A5%9D%E7%A6%8F,https://www.youtube.com/watch?v=3eytpBOkOFA,Exciting,신나는
Architecture in Helsinki,Feather in a Baseball Cap,82,https://www.last.fm/music/Architecture+in+Helsinki/_/Feather+in+a+Baseball+Cap,https://www.youtube.com/watch?v=4602M6yj2-8,Exciting,신나는
The Pillows,"Thank you, my twilight",277,"https://www.last.fm/music/The+Pillows/_/Thank+you,+my+twilight",https://www.youtube.com/watch?v=bw5pQHNV5u4,Exciting,신나는
Ramin Djawadi,Game Of Thrones,78,https://www.last.fm/music/Ramin+Djawadi/_/Game+Of+Thrones,https://www.youtube.com/watch?v=niRtGwCafR4,Exciting,신나는
Netsky,Puppy,260,https://www.last.fm/music/Netsky/_/Puppy,https://www.youtube.com/watch?v=FU4cnelEdi4,Exciting,신나는
DJ Fresh,Lassitude,0,https://www.last.fm/music/DJ+Fresh/_/Lassitude,https://www.youtube.com/watch?v=42rUTdOYCEg,Exciting,신나는
Yo La Tengo,Watch Out For Me Ronnie,181,https://www.last.fm/music/Yo+La+Tengo/_/Watch+Out+For+Me+Ronnie,https://www.youtube.com/watch?v=DdNJdXjIZ_4,Exciting,신나는
Adam Green,Frozen in Time,132,https://www.last.fm/music/Adam+Green/_/Frozen+in+Time,https://www.youtube.com/watch?v=6oNoc1JwzaA,Exciting,신나는
Larrikin Love,Six Queens,0,https://www.last.fm/music/Larrikin+Love/_/Six+Queens,https://www.youtube.com/watch?v=UuX76QDoh38,Exciting,신나는
Ima Robot,A Is for Action,141,https://www.last.fm/music/Ima+Robot/_/A+Is+for+Action,https://www.youtube.com/watch?v=dsJ3Zmgixt4,Exciting,신나는
Lemon Demon,Action Movie Hero Boy,222,https://www.last.fm/music/Lemon+Demon/_/Action+Movie+Hero+Boy,https://www.youtube.com/watch?v=J5R78nfJ2Bw,Exciting,신나는
Mark Ronson,Ooh Wee,210,https://www.last.fm/music/Mark+Ronson/_/Ooh+Wee,https://www.youtube.com/watch?v=c3yVmA_2k_0,Exciting,신나는
DJ Fresh,Hypercaine,204,https://www.last.fm/music/DJ+Fresh/_/Hypercaine,,Exciting,신나는
DJ Fresh,Hot Right Now - Radio Edit,0,https://www.last.fm/music/DJ+Fresh/_/Hot+Right+Now+-+Radio+Edit,https://www.youtube.com/watch?v=nlPGrBgdESg,Exciting,신나는
The Qemists,Lost Weekend,0,https://www.last.fm/music/The+Qemists/_/Lost+Weekend,https://www.youtube.com/watch?v=DIcMNfd3H4s,Exciting,신나는
Sparta,Light Burns Clear,264,https://www.last.fm/music/Sparta/_/Light+Burns+Clear,https://www.youtube.com/watch?v=fNDM6QMgiC8,Exciting,신나는
