artist,music_name,duration,lastfm_url,youtube_url,mood_EN,mood_KOR
Shakira,She Wolf,0,https://www.last.fm/music/Shakira/_/She+Wolf,https://www.youtube.com/watch?v=booKP974B0k,Fierce,사나운
Willow Smith,Whip My Hair,193,https://www.last.fm/music/Willow+Smith/_/Whip+My+Hair,https://www.youtube.com/watch?v=ZFVHuEiSkdo,Fierce,사나운
Beyoncé,Diva,201,https://www.last.fm/music/Beyonc%C3%A9/_/Diva,https://www.youtube.com/watch?v=rNM5HW13_O8,Fierce,사나운
TWICE,The Feels,0,https://www.last.fm/music/TWICE/_/The+Feels,https://www.youtube.com/watch?v=f5_wn8mexmM,Fierce,사나운
Rina Sawayama,Comme des Garçons (Like the Boys),0,https://www.last.fm/music/Rina+Sawayama/_/Comme+des+Gar%C3%A7ons+(Like+the+Boys),https://www.youtube.com/watch?v=uv5i5yg-zNc,Fierce,사나운
Shakira,Waka Waka (This Time for Africa),204,https://www.last.fm/music/Shakira/_/Waka+Waka+(This+Time+for+Africa),https://www.youtube.com/watch?v=pRpeEdMmmQ0,Fierce,사나운
Tove Lo,Cool Girl,0,https://www.last.fm/music/Tove+Lo/_/Cool+Girl,https://www.youtube.com/watch?v=XsFneCExrCQ,Fierce,사나운
Shakira,La Tortura,212,https://www.last.fm/music/Shakira/_/La+Tortura,https://www.youtube.com/watch?v=Dsp_8Lm1eSk,Fierce,사나운
Beyoncé,Video Phone,215,https://www.last.fm/music/Beyonc%C3%A9/_/Video+Phone,https://www.youtube.com/watch?v=CGkvXp0vdng,Fierce,사나운
Shakira,Loba,187,https://www.last.fm/music/Shakira/_/Loba,https://www.youtube.com/watch?v=C7ssrLSheg4,Fierce,사나운
Adam Lambert,Ghost Town,0,https://www.last.fm/music/Adam+Lambert/_/Ghost+Town,https://www.youtube.com/watch?v=Ix8ocFEMa1o,Fierce,사나운
Sex Bob-Omb,We Are Sex Bob-Omb,121,https://www.last.fm/music/Sex+Bob-Omb/_/We+Are+Sex+Bob-Omb,https://www.youtube.com/watch?v=tceoGDRxtcI,Fierce,사나운
Beyoncé,***Flawless (feat. Chimamanda Ngozi Adichie),0,https://www.last.fm/music/Beyonc%C3%A9/_/%2A%2A%2AFlawless+(feat.+Chimamanda+Ngozi+Adichie),https://www.youtube.com/watch?v=IyuUWOnS9BY,Fierce,사나운
Shakira,"Suerte (Whenever, Wherever)",196,"https://www.last.fm/music/Shakira/_/Suerte+(Whenever,+Wherever)",https://www.youtube.com/watch?v=a8Rwz6zBJSE,Fierce,사나운
HAIM,My Song 5,233,https://www.last.fm/music/HAIM/_/My+Song+5,https://www.youtube.com/watch?v=6guff9_Ahxg,Fierce,사나운
Shakira,Gypsy,329,https://www.last.fm/music/Shakira/_/Gypsy,https://www.youtube.com/watch?v=_3-GiVIE8gc,Fierce,사나운
Shakira,Addicted to You,147,https://www.last.fm/music/Shakira/_/Addicted+to+You,https://www.youtube.com/watch?v=MntbN1DdEP0,Fierce,사나운
Rihanna,Hard,250,https://www.last.fm/music/Rihanna/_/Hard,https://www.youtube.com/watch?v=Xcwd_Nz6Zog,Fierce,사나운
Shakira,Did It Again,193,https://www.last.fm/music/Shakira/_/Did+It+Again,https://www.youtube.com/watch?v=igcsNG4aruA,Fierce,사나운
Shakira,"Ciega, Sordomuda",251,"https://www.last.fm/music/Shakira/_/Ciega,+Sordomuda",https://www.youtube.com/watch?v=B3gbisdtJnA,Fierce,사나운
M.I.A.,Bird Flu,0,https://www.last.fm/music/M.I.A./_/Bird+Flu,https://www.youtube.com/watch?v=6Kq16GAuNcg,Fierce,사나운
Shakira,Si te vas,234,https://www.last.fm/music/Shakira/_/Si+te+vas,https://www.youtube.com/watch?v=MlKFvEqXLxY,Fierce,사나운
Adam Lambert,For Your Entertainment,215,https://www.last.fm/music/Adam+Lambert/_/For+Your+Entertainment,https://www.youtube.com/watch?v=IsPFDzAGb4A,Fierce,사나운
Rihanna,Rockstar 101,0,https://www.last.fm/music/Rihanna/_/Rockstar+101,https://www.youtube.com/watch?v=eMOIUUS8GWo,Fierce,사나운
Shakira,Loca (feat. El Cata),183,https://www.last.fm/music/Shakira/_/Loca+(feat.+El+Cata),https://www.youtube.com/watch?v=XAhTt60W7qo,Fierce,사나운
Lady Gaga,The Queen,316,https://www.last.fm/music/Lady+Gaga/_/The+Queen,https://www.youtube.com/watch?v=Cf72ljWJqAY,Fierce,사나운
Peaches,Boys Wanna Be Her,234,https://www.last.fm/music/Peaches/_/Boys+Wanna+Be+Her,https://www.youtube.com/watch?v=QzdefT9nNOM,Fierce,사나운
Nicole Scherzinger,Whatever U Like,0,https://www.last.fm/music/Nicole+Scherzinger/_/Whatever+U+Like,https://www.youtube.com/watch?v=JX-1q_Lpzp8,Fierce,사나운
Jax Jones,You Don't Know Me,0,https://www.last.fm/music/Jax+Jones/_/You+Don%27t+Know+Me,https://www.youtube.com/watch?v=PKB4cioGs98,Fierce,사나운
Shakira,Ojos así,387,https://www.last.fm/music/Shakira/_/Ojos+as%C3%AD,https://www.youtube.com/watch?v=5BzkbSq7pww,Fierce,사나운
Beyoncé,Why Don't You Love Me,219,https://www.last.fm/music/Beyonc%C3%A9/_/Why+Don%27t+You+Love+Me,https://www.youtube.com/watch?v=QczgvUDskk0,Fierce,사나운
Brown Eyed Girls,Abracadabra,182,https://www.last.fm/music/Brown+Eyed+Girls/_/Abracadabra,https://www.youtube.com/watch?v=ofwFr8o8p0Y,Fierce,사나운
Nicki Minaj,Whip It,195,https://www.last.fm/music/Nicki+Minaj/_/Whip+It,https://www.youtube.com/watch?v=2fddz7vN9wA,Fierce,사나운
Sia,Free the Animal,264,https://www.last.fm/music/Sia/_/Free+the+Animal,https://www.youtube.com/watch?v=UT5pp8r6fNU,Fierce,사나운
Weezer,Slob,188,https://www.last.fm/music/Weezer/_/Slob,https://www.youtube.com/watch?v=6Q_kG-ckM5U,Fierce,사나운
Shakira,Te Dejo Madrid,187,https://www.last.fm/music/Shakira/_/Te+Dejo+Madrid,https://www.youtube.com/watch?v=jgCh19FJ1hg,Fierce,사나운
Shakira,Rabiosa (feat. Pitbull),169,https://www.last.fm/music/Shakira/_/Rabiosa+(feat.+Pitbull),https://www.youtube.com/watch?v=a5irTX82olg,Fierce,사나운
Azealia Banks,Van Vogue,357,https://www.last.fm/music/Azealia+Banks/_/Van+Vogue,https://www.youtube.com/watch?v=S2K1WkdaH2E,Fierce,사나운
Nicki Minaj,Come on a Cone,185,https://www.last.fm/music/Nicki+Minaj/_/Come+on+a+Cone,https://www.youtube.com/watch?v=pl35X82lF3Q,Fierce,사나운
RuPaul,Cover Girl,178,https://www.last.fm/music/RuPaul/_/Cover+Girl,https://www.youtube.com/watch?v=N3RB_56WziA,Fierce,사나운
Katy Perry,Roulette,0,https://www.last.fm/music/Katy+Perry/_/Roulette,https://www.youtube.com/watch?v=RsaK6p8HDnU,Fierce,사나운
Christina Aguilera,Glam,219,https://www.last.fm/music/Christina+Aguilera/_/Glam,https://www.youtube.com/watch?v=3ZXLNhWK1H0,Fierce,사나운
Sky Ferreira,Omanko,277,https://www.last.fm/music/Sky+Ferreira/_/Omanko,https://www.youtube.com/watch?v=wfKznko1d7E,Fierce,사나운
Jessie J,Rainbow,185,https://www.last.fm/music/Jessie+J/_/Rainbow,https://www.youtube.com/watch?v=qoo4yufbpFM,Fierce,사나운
Azealia Banks,Fierce,197,https://www.last.fm/music/Azealia+Banks/_/Fierce,https://www.youtube.com/watch?v=JseTCnEiRLI,Fierce,사나운
Kelis,Intro,211,https://www.last.fm/music/Kelis/_/Intro,https://www.youtube.com/watch?v=p8-YjAaxpL4,Fierce,사나운
The Cab,Bounce,214,https://www.last.fm/music/The+Cab/_/Bounce,https://www.youtube.com/watch?v=Qj6shk_Gyk0,Fierce,사나운
Shakira,Sale el Sol,200,https://www.last.fm/music/Shakira/_/Sale+el+Sol,https://www.youtube.com/watch?v=mqqLoUcLX5I,Fierce,사나운
Nicki Minaj,HOV Lane,193,https://www.last.fm/music/Nicki+Minaj/_/HOV+Lane,https://www.youtube.com/watch?v=vQltH37OE84,Fierce,사나운
Shakira,No creo,250,https://www.last.fm/music/Shakira/_/No+creo,https://www.youtube.com/watch?v=cNIJCqmUlJI,Fierce,사나운
Cardi B,Money Bag,0,https://www.last.fm/music/Cardi+B/_/Money+Bag,https://www.youtube.com/watch?v=uLUinh2q2Kg,Fierce,사나운
Shakira,Poem to a Horse,433,https://www.last.fm/music/Shakira/_/Poem+to+a+Horse,https://www.youtube.com/watch?v=7Kv_qd2rXcs,Fierce,사나운
Shakira,Rules,220,https://www.last.fm/music/Shakira/_/Rules,https://www.youtube.com/watch?v=SSOE6TZTQ9U,Fierce,사나운
Shakira,Fool,231,https://www.last.fm/music/Shakira/_/Fool,https://www.youtube.com/watch?v=b5Y6sRUOR6c,Fierce,사나운
Shakira,Why Wait,223,https://www.last.fm/music/Shakira/_/Why+Wait,https://www.youtube.com/watch?v=2tIC5Cpvgeg,Fierce,사나운
Shakira,Ready for the Good Times,253,https://www.last.fm/music/Shakira/_/Ready+for+the+Good+Times,https://www.youtube.com/watch?v=T0PhcLDe2HI,Fierce,사나운
Dropkick Murphys,(F)lannigan's Ball,219,https://www.last.fm/music/Dropkick+Murphys/_/(F)lannigan%27s+Ball,https://www.youtube.com/watch?v=eTc5TeZHsdg,Fierce,사나운
Shakira,Loca (feat. Dizzee Rascal),0,https://www.last.fm/music/Shakira/_/Loca+(feat.+Dizzee+Rascal),https://www.youtube.com/watch?v=zKiBY4nwkJg,Fierce,사나운
Shakira,Long Time,177,https://www.last.fm/music/Shakira/_/Long+Time,https://www.youtube.com/watch?v=pTaMbC6KDtk,Fierce,사나운
Shakira,Lo Hecho Está Hecho,193,https://www.last.fm/music/Shakira/_/Lo+Hecho+Est%C3%A1+Hecho,https://www.youtube.com/watch?v=5DByF5h-CbY,Fierce,사나운
Shakira,Men in This Town,215,https://www.last.fm/music/Shakira/_/Men+in+This+Town,https://www.youtube.com/watch?v=_00ZZmd2mtw,Fierce,사나운
Bikini Kill,DemiRep,167,https://www.last.fm/music/Bikini+Kill/_/DemiRep,https://www.youtube.com/watch?v=sNJaug-MIJY,Fierce,사나운
Nicki Minaj,Coco Chanel (feat. Foxy Brown),0,https://www.last.fm/music/Nicki+Minaj/_/Coco+Chanel+(feat.+Foxy+Brown),https://www.youtube.com/watch?v=nCct5a1E9p0,Fierce,사나운
Saul Williams,List of Demands (Reparations),198,https://www.last.fm/music/Saul+Williams/_/List+of+Demands+(Reparations),https://www.youtube.com/watch?v=zDMtaIcrfQ0,Fierce,사나운
