artist,music_name,duration,lastfm_url,youtube_url,mood_EN,mood_KOR
OutKast,Hey Ya!,233,https://www.last.fm/music/OutKast/_/Hey+Ya%21,https://www.youtube.com/watch?v=PWgvGjAhvIw,Fun,재미있는
Vampire Weekend,A-Punk,136,https://www.last.fm/music/Vampire+Weekend/_/A-Punk,https://www.youtube.com/watch?v=_XC2mqcMMGQ,Fun,재미있는
Katy Perry,Last Friday Night (T.G.I.F.),230,https://www.last.fm/music/Katy+Perry/_/Last+Friday+Night+(T.G.I.F.),https://www.youtube.com/watch?v=KlyXNRrsk4A,Fun,재미있는
fun.,We Are Young (feat. Janelle Monáe),250,https://www.last.fm/music/fun./_/We+Are+Young+(feat.+Janelle+Mon%C3%A1e),https://www.youtube.com/watch?v=Sv6dMFF_yts,Fun,재미있는
Smash Mouth,All Star,202,https://www.last.fm/music/Smash+Mouth/_/All+Star,https://www.youtube.com/watch?v=L_jWHffIx5E,Fun,재미있는
Mika,Grace Kelly,264,https://www.last.fm/music/Mika/_/Grace+Kelly,https://www.youtube.com/watch?v=AnKZISfnxVE,Fun,재미있는
fun.,Some Nights,277,https://www.last.fm/music/fun./_/Some+Nights,https://www.youtube.com/watch?v=qQkBeOisNM0,Fun,재미있는
Katy Perry,California Gurls (feat. Snoop Dogg),232,https://www.last.fm/music/Katy+Perry/_/California+Gurls+(feat.+Snoop+Dogg),https://www.youtube.com/watch?v=F57P9C4SAW4,Fun,재미있는
Justice,D.A.N.C.E.,244,https://www.last.fm/music/Justice/_/D.A.N.C.E.,https://www.youtube.com/watch?v=sy1dYFGkPUE,Fun,재미있는
Aqua,Barbie Girl,195,https://www.last.fm/music/Aqua/_/Barbie+Girl,https://www.youtube.com/watch?v=ZyhrYis509A,Fun,재미있는
The Ting Tings,That's Not My Name,208,https://www.last.fm/music/The+Ting+Tings/_/That%27s+Not+My+Name,https://www.youtube.com/watch?v=v1c2OfAzDTI,Fun,재미있는
Paul Simon,You Can Call Me Al,0,https://www.last.fm/music/Paul+Simon/_/You+Can+Call+Me+Al,https://www.youtube.com/watch?v=uq-gYOrU8bA,Fun,재미있는
Britney Spears,If U Seek Amy,472,https://www.last.fm/music/Britney+Spears/_/If+U+Seek+Amy,https://www.youtube.com/watch?v=0aEnnH6t8Ts,Fun,재미있는
Violent Femmes,Blister In The Sun,146,https://www.last.fm/music/Violent+Femmes/_/Blister+In+The+Sun,https://www.youtube.com/watch?v=G89chAA4l8s,Fun,재미있는
The Proclaimers,I'm Gonna Be (500 Miles),219,https://www.last.fm/music/The+Proclaimers/_/I%27m+Gonna+Be+(500+Miles),https://www.youtube.com/watch?v=tbNlMtqrYS0,Fun,재미있는
Sabrina Carpenter,Nonsense,0,https://www.last.fm/music/Sabrina+Carpenter/_/Nonsense,https://www.youtube.com/watch?v=YcSP1ZUf1eQ,Fun,재미있는
Harry Styles,Late Night Talking,0,https://www.last.fm/music/Harry+Styles/_/Late+Night+Talking,https://www.youtube.com/watch?v=4VaqA-5aQTM,Fun,재미있는
MC Hammer,U Can't Touch This,254,https://www.last.fm/music/MC+Hammer/_/U+Can%27t+Touch+This,https://www.youtube.com/watch?v=otCpCn0l4Wo,Fun,재미있는
Vampire Weekend,Cape Cod Kwassa Kwassa,207,https://www.last.fm/music/Vampire+Weekend/_/Cape+Cod+Kwassa+Kwassa,https://www.youtube.com/watch?v=EShxp3qME70,Fun,재미있는
Vampire Weekend,Campus,175,https://www.last.fm/music/Vampire+Weekend/_/Campus,https://www.youtube.com/watch?v=bUjFm9EnNzU,Fun,재미있는
Le Tigre,Deceptacon,184,https://www.last.fm/music/Le+Tigre/_/Deceptacon,https://www.youtube.com/watch?v=wjNln9mXuTI,Fun,재미있는
OutKast,Roses,250,https://www.last.fm/music/OutKast/_/Roses,https://www.youtube.com/watch?v=gWju37TZfo0,Fun,재미있는
Metro Station,Shake It,179,https://www.last.fm/music/Metro+Station/_/Shake+It,https://www.youtube.com/watch?v=_wjFahULCK8,Fun,재미있는
OK Go,Here It Goes Again,179,https://www.last.fm/music/OK+Go/_/Here+It+Goes+Again,https://www.youtube.com/watch?v=dTAAsCNK7RA,Fun,재미있는
Toploader,Dancing in the Moonlight,232,https://www.last.fm/music/Toploader/_/Dancing+in+the+Moonlight,https://www.youtube.com/watch?v=KB2a3ejD1-Y,Fun,재미있는
The Ting Tings,Shut Up and Let Me Go,0,https://www.last.fm/music/The+Ting+Tings/_/Shut+Up+and+Let+Me+Go,https://www.youtube.com/watch?v=k_9rjEeRYuA,Fun,재미있는
Fountains of Wayne,Stacy's Mom,199,https://www.last.fm/music/Fountains+of+Wayne/_/Stacy%27s+Mom,https://www.youtube.com/watch?v=dZLfasMPOU4,Fun,재미있는
Beyoncé,CUFF IT,0,https://www.last.fm/music/Beyonc%C3%A9/_/CUFF+IT,https://www.youtube.com/watch?v=yrtWLyp5gLI,Fun,재미있는
Blue Swede,Hooked on a Feeling,173,https://www.last.fm/music/Blue+Swede/_/Hooked+on+a+Feeling,https://www.youtube.com/watch?v=7q0UTFq-o-o,Fun,재미있는
Taylor Swift,Our Song,206,https://www.last.fm/music/Taylor+Swift/_/Our+Song,https://www.youtube.com/watch?v=Jb2stN7kH28,Fun,재미있는
