artist,music_name,duration,lastfm_url,youtube_url,mood_EN,mood_KOR
Doja Cat,Streets,0,https://www.last.fm/music/Doja+Cat/_/Streets,https://www.youtube.com/watch?v=jJdlgKzVsnI,Intense,강렬한
Olivia Rodrigo,Bad Idea Right?,0,https://www.last.fm/music/Olivia+Rodrigo/_/Bad+Idea+Right%3F,https://www.youtube.com/watch?v=Dj9qJsJTsjQ,Intense,강렬한
Arcade Fire,Intervention,0,https://www.last.fm/music/Arcade+Fire/_/Intervention,https://www.youtube.com/watch?v=ZO7ZWfvCjBE,Intense,강렬한
Jeff Buckley,So Real,318,https://www.last.fm/music/Jeff+Buckley/_/So+Real,https://www.youtube.com/watch?v=EcaxrqhUJ4c,Intense,강렬한
Deftones,Minerva,257,https://www.last.fm/music/Deftones/_/Minerva,https://www.youtube.com/watch?v=mLa0-sQg1YM,Intense,강렬한
My Chemical Romance,Sleep,331,https://www.last.fm/music/My+Chemical+Romance/_/Sleep,https://www.youtube.com/watch?v=RSAoJJzVXYY,Intense,강렬한
Twenty One Pilots,Car Radio,289,https://www.last.fm/music/Twenty+One+Pilots/_/Car+Radio,https://www.youtube.com/watch?v=92XVwY54h5k,Intense,강렬한
Interpol,Leif Erikson,241,https://www.last.fm/music/Interpol/_/Leif+Erikson,https://www.youtube.com/watch?v=SRFa9N4fGtc,Intense,강렬한
Deftones,Pink Maggit,455,https://www.last.fm/music/Deftones/_/Pink+Maggit,https://www.youtube.com/watch?v=unlAwsVfHPs,Intense,강렬한
The Weeknd,Coming Down,295,https://www.last.fm/music/The+Weeknd/_/Coming+Down,https://www.youtube.com/watch?v=WVg1mbxTkFo,Intense,강렬한
Death Grips,The Fever (Aye Aye),187,https://www.last.fm/music/Death+Grips/_/The+Fever+(Aye+Aye),,Intense,강렬한
Regina Spektor,Après Moi,308,https://www.last.fm/music/Regina+Spektor/_/Apr%C3%A8s+Moi,https://www.youtube.com/watch?v=QbeHq1CLqJ8,Intense,강렬한
Katy Perry,Swish Swish,0,https://www.last.fm/music/Katy+Perry/_/Swish+Swish,https://www.youtube.com/watch?v=iGk5fR-t5AU,Intense,강렬한
Deftones,Kimdracula,194,https://www.last.fm/music/Deftones/_/Kimdracula,https://www.youtube.com/watch?v=WLO2fppkO14,Intense,강렬한
Death Grips,Hustle Bones,192,https://www.last.fm/music/Death+Grips/_/Hustle+Bones,,Intense,강렬한
Royal Blood,Out of the Black,240,https://www.last.fm/music/Royal+Blood/_/Out+of+the+Black,https://www.youtube.com/watch?v=bSdtvfBQd6c,Intense,강렬한
Eminem,No Love,0,https://www.last.fm/music/Eminem/_/No+Love,https://www.youtube.com/watch?v=KV2ssT8lzj8,Intense,강렬한
Sabrina Carpenter,Vicious,0,https://www.last.fm/music/Sabrina+Carpenter/_/Vicious,https://www.youtube.com/watch?v=cZg3t5Nu1Lo,Intense,강렬한
Daft Punk,The Game Has Changed,205,https://www.last.fm/music/Daft+Punk/_/The+Game+Has+Changed,https://www.youtube.com/watch?v=AISkUx8iaBo,Intense,강렬한
Beyoncé,ALL UP IN YOUR MIND,0,https://www.last.fm/music/Beyonc%C3%A9/_/ALL+UP+IN+YOUR+MIND,https://www.youtube.com/watch?v=Z7Zzl9J0YvQ,Intense,강렬한
