artist,music_name,duration,lastfm_url,youtube_url,mood_EN,mood_KOR
Lana Del Rey,Love Song,0,https://www.last.fm/music/Lana+Del+Rey/_/Love+Song,https://www.youtube.com/watch?v=5xx9gTEQaiQ,Intimate,친밀한
Elliott Smith,Single File,166,https://www.last.fm/music/Elliott+Smith/_/Single+File,https://www.youtube.com/watch?v=rr5bGgrJUac,Intimate,친밀한
Sibylle Baier,Tonight,146,https://www.last.fm/music/Sibylle+Baier/_/Tonight,https://www.youtube.com/watch?v=sY_F0mPq7ec,Intimate,친밀한
Yo La Tengo,Damage,0,https://www.last.fm/music/Yo+La+Tengo/_/Damage,https://www.youtube.com/watch?v=ELtqe1HAlk0,Intimate,친밀한
Honne,Warm On A Cold Night,216,https://www.last.fm/music/Honne/_/Warm+On+A+Cold+Night,https://www.youtube.com/watch?v=CX5f0NcqlMs,Intimate,친밀한
Sea Wolf,Middle Distance Runner,207,https://www.last.fm/music/Sea+Wolf/_/Middle+Distance+Runner,https://www.youtube.com/watch?v=3YHB4sycC-U,Intimate,친밀한
Simon & Garfunkel,My Little Town,0,https://www.last.fm/music/Simon+&+Garfunkel/_/My+Little+Town,https://www.youtube.com/watch?v=__Ro3eGuznI,Intimate,친밀한
Sun Kil Moon,I Can't Live Without My Mother's Love,239,https://www.last.fm/music/Sun+Kil+Moon/_/I+Can%27t+Live+Without+My+Mother%27s+Love,https://www.youtube.com/watch?v=3VgCgXLfs5M,Intimate,친밀한
Department of Eagles,In Ear Park,242,https://www.last.fm/music/Department+of+Eagles/_/In+Ear+Park,https://www.youtube.com/watch?v=d5vw9lPCoL4,Intimate,친밀한
Elliott Smith,New Disaster,250,https://www.last.fm/music/Elliott+Smith/_/New+Disaster,https://www.youtube.com/watch?v=GF0ekwkhG4A,Intimate,친밀한
Lou Reed,The Gun,221,https://www.last.fm/music/Lou+Reed/_/The+Gun,https://www.youtube.com/watch?v=MfgfKpnTCrM,Intimate,친밀한
Beirut,Mimizan,162,https://www.last.fm/music/Beirut/_/Mimizan,https://www.youtube.com/watch?v=CAJ1rOJq60A,Intimate,친밀한
Wilco,In A Future Age,195,https://www.last.fm/music/Wilco/_/In+A+Future+Age,https://www.youtube.com/watch?v=jDczjRdGytE,Intimate,친밀한
The Mountain Goats,Tallahassee,311,https://www.last.fm/music/The+Mountain+Goats/_/Tallahassee,https://www.youtube.com/watch?v=VZ1W6U0FmrQ,Intimate,친밀한
Saves the Day,Cars & Calories,165,https://www.last.fm/music/Saves+the+Day/_/Cars+&+Calories,https://www.youtube.com/watch?v=2-5h2w3BESM,Intimate,친밀한
Agnes Obel,Close Watch,240,https://www.last.fm/music/Agnes+Obel/_/Close+Watch,https://www.youtube.com/watch?v=SGsCa9MD_nI,Intimate,친밀한
beabadoobee,Animal Noises,0,https://www.last.fm/music/beabadoobee/_/Animal+Noises,https://www.youtube.com/watch?v=StGAF6PWtYg,Intimate,친밀한
Manu Chao,La Vie a 2,180,https://www.last.fm/music/Manu+Chao/_/La+Vie+a+2,https://www.youtube.com/watch?v=qfv-7Jtfoxo,Intimate,친밀한
Damien Rice,Colour Me In,318,https://www.last.fm/music/Damien+Rice/_/Colour+Me+In,https://www.youtube.com/watch?v=BYMwB7auG90,Intimate,친밀한
Nick Cave & The Bad Seeds,The Carny,364,https://www.last.fm/music/Nick+Cave+&+The+Bad+Seeds/_/The+Carny,https://www.youtube.com/watch?v=Cur4M00sMZQ,Intimate,친밀한
Cat Power,What Would the Community Think,270,https://www.last.fm/music/Cat+Power/_/What+Would+the+Community+Think,https://www.youtube.com/watch?v=oVLadtkaac0,Intimate,친밀한
Soulsavers,Revival,251,https://www.last.fm/music/Soulsavers/_/Revival,https://www.youtube.com/watch?v=eAuzMgsfpdY,Intimate,친밀한
Teenage Fanclub,December,183,https://www.last.fm/music/Teenage+Fanclub/_/December,https://www.youtube.com/watch?v=JgyRa_7yd3I,Intimate,친밀한
Kate Bush,Misty,812,https://www.last.fm/music/Kate+Bush/_/Misty,https://www.youtube.com/watch?v=EBG23jPrgIY,Intimate,친밀한
Katy Perry,Into Me You See,0,https://www.last.fm/music/Katy+Perry/_/Into+Me+You+See,https://www.youtube.com/watch?v=6Dc8Eu5Rq2Q,Intimate,친밀한
Lucy Dacus,Historians,0,https://www.last.fm/music/Lucy+Dacus/_/Historians,https://www.youtube.com/watch?v=QvKbrj3nGH0,Intimate,친밀한
Belle and Sebastian,Night Walk,127,https://www.last.fm/music/Belle+and+Sebastian/_/Night+Walk,https://www.youtube.com/watch?v=7Rk47i_ohz0,Intimate,친밀한
The Modern Lovers,Girlfriend,249,https://www.last.fm/music/The+Modern+Lovers/_/Girlfriend,https://www.youtube.com/watch?v=TL7wYn-7DVI,Intimate,친밀한
Róisín Murphy,The Closing of the Doors,209,https://www.last.fm/music/R%C3%B3is%C3%ADn+Murphy/_/The+Closing+of+the+Doors,https://www.youtube.com/watch?v=P6Gwf5cbOFM,Intimate,친밀한
Dinosaur Jr.,Not the Same,0,https://www.last.fm/music/Dinosaur+Jr./_/Not+the+Same,https://www.youtube.com/watch?v=JCoujtp4kGA,Intimate,친밀한
John Legend,Take Me Away,186,https://www.last.fm/music/John+Legend/_/Take+Me+Away,https://www.youtube.com/watch?v=jdEeiqvyATE,Intimate,친밀한
Neko Case,Nothing to Remember,178,https://www.last.fm/music/Neko+Case/_/Nothing+to+Remember,https://www.youtube.com/watch?v=qiVWcojX0v4,Intimate,친밀한
The Paper Kites,Bloom,0,https://www.last.fm/music/The+Paper+Kites/_/Bloom,https://www.youtube.com/watch?v=8inJtTG_DuU,Intimate,친밀한
The Knife,New Year's Eve,245,https://www.last.fm/music/The+Knife/_/New+Year%27s+Eve,https://www.youtube.com/watch?v=apRj9pGMEAE,Intimate,친밀한
Low,Embrace,337,https://www.last.fm/music/Low/_/Embrace,https://www.youtube.com/watch?v=DrXtQ8a4w6E,Intimate,친밀한
The Kinks,A Long Way from Home,147,https://www.last.fm/music/The+Kinks/_/A+Long+Way+from+Home,https://www.youtube.com/watch?v=Wy0KJrvwiq8,Intimate,친밀한
Sun Kil Moon,Ocean Breathes Salty,276,https://www.last.fm/music/Sun+Kil+Moon/_/Ocean+Breathes+Salty,https://www.youtube.com/watch?v=H8i2tOfzyfk,Intimate,친밀한
Rilo Kiley,Salute My Shorts!,0,https://www.last.fm/music/Rilo+Kiley/_/Salute+My+Shorts%21,https://www.youtube.com/watch?v=Ns9Z1ssSma0,Intimate,친밀한
Bonnie 'Prince' Billy,Then the Letting Go,0,https://www.last.fm/music/Bonnie+%27Prince%27+Billy/_/Then+the+Letting+Go,https://www.youtube.com/watch?v=gzLCD4XrK5w,Intimate,친밀한
Jawbreaker,Unlisted Track,144,https://www.last.fm/music/Jawbreaker/_/Unlisted+Track,https://www.youtube.com/watch?v=hi8tskAgPDA,Intimate,친밀한
Sun Kil Moon,Trucker's Atlas,169,https://www.last.fm/music/Sun+Kil+Moon/_/Trucker%27s+Atlas,https://www.youtube.com/watch?v=7XzbH2Ok9tY,Intimate,친밀한
