artist,music_name,duration,lastfm_url,youtube_url,mood_EN,mood_KOR
American Football,The Summer Ends,286,https://www.last.fm/music/American+Football/_/The+Summer+Ends,https://www.youtube.com/watch?v=KSgOVfvauhY,Light,가벼운
Lana Del Rey,Kintsugi,0,https://www.last.fm/music/Lana+Del+Rey/_/Kintsugi,https://www.youtube.com/watch?v=Yb2zNCG0s3I,Light,가벼운
Bastille,Icarus,224,https://www.last.fm/music/Bastille/_/Icarus,https://www.youtube.com/watch?v=FehA9OwZflw,Light,가벼운
Bahamas,Lost In The Light,237,https://www.last.fm/music/Bahamas/_/Lost+In+The+Light,https://www.youtube.com/watch?v=jPJNt1eTVNY,Light,가벼운
J Dilla,Waves,31,https://www.last.fm/music/J+Dilla/_/Waves,https://www.youtube.com/watch?v=vykkfDITkQs,Light,가벼운
Generationals,"When They Fight, They Fight",200,"https://www.last.fm/music/Generationals/_/When+They+Fight,+They+Fight",https://www.youtube.com/watch?v=w45SZvEKMME,Light,가벼운
The Vaccines,Teenage Icon,184,https://www.last.fm/music/The+Vaccines/_/Teenage+Icon,https://www.youtube.com/watch?v=bFUKrsDDChE,Light,가벼운
Agnes Obel,Dorian,298,https://www.last.fm/music/Agnes+Obel/_/Dorian,https://www.youtube.com/watch?v=wZN1HKn3Qus,Light,가벼운
Jason Mraz,I'll Do Anything,319,https://www.last.fm/music/Jason+Mraz/_/I%27ll+Do+Anything,https://www.youtube.com/watch?v=mQs215rJMbQ,Light,가벼운
Young the Giant,Strings,250,https://www.last.fm/music/Young+the+Giant/_/Strings,https://www.youtube.com/watch?v=iKXdU5fFY-0,Light,가벼운
Drake,Summer Games,0,https://www.last.fm/music/Drake/_/Summer+Games,https://www.youtube.com/watch?v=rTNmdqzZllE,Light,가벼운
fun.,I Wanna Be the One,216,https://www.last.fm/music/fun./_/I+Wanna+Be+the+One,https://www.youtube.com/watch?v=APNJSP-lqmM,Light,가벼운
Charli XCX,Lucky,0,https://www.last.fm/music/Charli+XCX/_/Lucky,https://www.youtube.com/watch?v=MzMPxIchA80,Light,가벼운
toe,Two Moons,250,https://www.last.fm/music/toe/_/Two+Moons,https://www.youtube.com/watch?v=lACSvDOLhLU,Light,가벼운
Belle and Sebastian,I Didn't See It Coming,302,https://www.last.fm/music/Belle+and+Sebastian/_/I+Didn%27t+See+It+Coming,https://www.youtube.com/watch?v=4NNCwGzH-p8,Light,가벼운
Phoenix,Party Time,135,https://www.last.fm/music/Phoenix/_/Party+Time,https://www.youtube.com/watch?v=pQo98L4tHA4,Light,가벼운
Mulatu Astatke,Tezeta (Nostalgia),376,https://www.last.fm/music/Mulatu+Astatke/_/Tezeta+(Nostalgia),https://www.youtube.com/watch?v=Wy-v-FgiUD8,Light,가벼운
Architecture in Helsinki,What's In Store?,269,https://www.last.fm/music/Architecture+in+Helsinki/_/What%27s+In+Store%3F,https://www.youtube.com/watch?v=xNDJ2QTf7Fw,Light,가벼운
Air,Universal Traveller,258,https://www.last.fm/music/Air/_/Universal+Traveller,,Light,가벼운
Good Charlotte,March On,210,https://www.last.fm/music/Good+Charlotte/_/March+On,https://www.youtube.com/watch?v=kiCuxOL7Ag4,Light,가벼운
Sufjan Stevens,No Man's Land,285,https://www.last.fm/music/Sufjan+Stevens/_/No+Man%27s+Land,https://www.youtube.com/watch?v=6RshG-6tU3M,Light,가벼운
Circa Survive,Carry Us Away,200,https://www.last.fm/music/Circa+Survive/_/Carry+Us+Away,https://www.youtube.com/watch?v=tr_WaRH8p8o,Light,가벼운
Owl City,Air Traffic,181,https://www.last.fm/music/Owl+City/_/Air+Traffic,https://www.youtube.com/watch?v=9WjAFiXHApQ,Light,가벼운
Holy Fuck,Red Lights,228,https://www.last.fm/music/Holy+Fuck/_/Red+Lights,https://www.youtube.com/watch?v=DhaRkWfaq10,Light,가벼운
Drake,Light Up,274,https://www.last.fm/music/Drake/_/Light+Up,https://www.youtube.com/watch?v=Ax6B-vvdvJA,Light,가벼운
Animal Collective,Hey Light,341,https://www.last.fm/music/Animal+Collective/_/Hey+Light,https://www.youtube.com/watch?v=LAY-v5omWzs,Light,가벼운
Tennis,It All Feels the Same,203,https://www.last.fm/music/Tennis/_/It+All+Feels+the+Same,https://www.youtube.com/watch?v=gxgxto7teXE,Light,가벼운
Little Comets,Dancing Song,149,https://www.last.fm/music/Little+Comets/_/Dancing+Song,https://www.youtube.com/watch?v=fTiGCYy73TU,Light,가벼운
Sleeping at Last,Light,262,https://www.last.fm/music/Sleeping+at+Last/_/Light,https://www.youtube.com/watch?v=lJbscoDctuU,Light,가벼운
Au Revoir Simone,Don't See The Sorrow,272,https://www.last.fm/music/Au+Revoir+Simone/_/Don%27t+See+The+Sorrow,https://www.youtube.com/watch?v=Dvt56LiSCd0,Light,가벼운
Converge,First Light,61,https://www.last.fm/music/Converge/_/First+Light,https://www.youtube.com/watch?v=7Q_C428mWWs,Light,가벼운
John Frusciante,Heaven,241,https://www.last.fm/music/John+Frusciante/_/Heaven,https://www.youtube.com/watch?v=JIC_MotsNSw,Light,가벼운
Matt Nathanson,Sad Songs,0,https://www.last.fm/music/Matt+Nathanson/_/Sad+Songs,https://www.youtube.com/watch?v=iGe4dmu63ec,Light,가벼운
Scott Matthews,Eyes Wider Than Before,213,https://www.last.fm/music/Scott+Matthews/_/Eyes+Wider+Than+Before,https://www.youtube.com/watch?v=PZU8pXZ-rkQ,Light,가벼운
Train,I Wish You Would,265,https://www.last.fm/music/Train/_/I+Wish+You+Would,https://www.youtube.com/watch?v=j7iSzSTP6bU,Light,가벼운
Guster,Two Points for Honesty,313,https://www.last.fm/music/Guster/_/Two+Points+for+Honesty,https://www.youtube.com/watch?v=vZs72wu5d_4,Light,가벼운
Demi Lovato,The Art Of Starting Over,0,https://www.last.fm/music/Demi+Lovato/_/The+Art+Of+Starting+Over,https://www.youtube.com/watch?v=ZZhwUqzeZpY,Light,가벼운
Big Thief,Randy,0,https://www.last.fm/music/Big+Thief/_/Randy,https://www.youtube.com/watch?v=uusn6wORMxE,Light,가벼운
Andrew Bird,/=/,0,https://www.last.fm/music/Andrew+Bird/_/%2F=%2F,https://www.youtube.com/watch?v=QAVymOqraeU,Light,가벼운
Tenacious D,Rock Is Dead,0,https://www.last.fm/music/Tenacious+D/_/Rock+Is+Dead,https://www.youtube.com/watch?v=tSh15cNYWdQ,Light,가벼운
Angus & Julia Stone,Stranger,249,https://www.last.fm/music/Angus+&+Julia+Stone/_/Stranger,https://www.youtube.com/watch?v=WCcVU_GkqW8,Light,가벼운
Cute Is What We Aim For,Finger Twist & Split,201,https://www.last.fm/music/Cute+Is+What+We+Aim+For/_/Finger+Twist+&+Split,https://www.youtube.com/watch?v=v9zhnx-Q2hA,Light,가벼운
Marika Hackman,Drown,231,https://www.last.fm/music/Marika+Hackman/_/Drown,https://www.youtube.com/watch?v=5X0KVi9tiSk,Light,가벼운
David Bowie,Heathen (The Rays),258,https://www.last.fm/music/David+Bowie/_/Heathen+(The+Rays),https://www.youtube.com/watch?v=NSEhQfGlM8w,Light,가벼운
The Boy Least Likely To,Paper Cuts,215,https://www.last.fm/music/The+Boy+Least+Likely+To/_/Paper+Cuts,https://www.youtube.com/watch?v=Vid_LT5RWQU,Light,가벼운
Broadcast,Ominous Cloud,226,https://www.last.fm/music/Broadcast/_/Ominous+Cloud,https://www.youtube.com/watch?v=aL3O10mNNbs,Light,가벼운
Simple Plan,Untitled (How Could This Happen to Me?),237,https://www.last.fm/music/Simple+Plan/_/Untitled+(How+Could+This+Happen+to+Me%3F),https://www.youtube.com/watch?v=ZQ7oqmikZDQ,Light,가벼운
Deerhunter,Focus Group,168,https://www.last.fm/music/Deerhunter/_/Focus+Group,https://www.youtube.com/watch?v=tDtr3zLKCuU,Light,가벼운
The Magnetic Fields,Zebra,135,https://www.last.fm/music/The+Magnetic+Fields/_/Zebra,https://www.youtube.com/watch?v=60p7Lx7R3VE,Light,가벼운
Solange,Dancing in the Dark,237,https://www.last.fm/music/Solange/_/Dancing+in+the+Dark,https://www.youtube.com/watch?v=d2PDZ53z-Ls,Light,가벼운
Daniel Johnston,Hey Joe,166,https://www.last.fm/music/Daniel+Johnston/_/Hey+Joe,https://www.youtube.com/watch?v=iUFd3WMXUt8,Light,가벼운
Seabear,Seashell,277,https://www.last.fm/music/Seabear/_/Seashell,https://www.youtube.com/watch?v=iIlxiVhpGX4,Light,가벼운
Final Fantasy,Took You Two Years To Win My Heart,238,https://www.last.fm/music/Final+Fantasy/_/Took+You+Two+Years+To+Win+My+Heart,https://www.youtube.com/watch?v=KHc5L_kEU-Y,Light,가벼운
Yo La Tengo,Yellow Sarong,0,https://www.last.fm/music/Yo+La+Tengo/_/Yellow+Sarong,https://www.youtube.com/watch?v=e9rmFLiDdRk,Light,가벼운
Moloko,Time Is Now,0,https://www.last.fm/music/Moloko/_/Time+Is+Now,https://www.youtube.com/watch?v=-GY9DWIfpwc,Light,가벼운
Pinback,Chaos Engine,218,https://www.last.fm/music/Pinback/_/Chaos+Engine,https://www.youtube.com/watch?v=DEL4Ik1m6VU,Light,가벼운
Hope Sandoval & The Warm Inventions,Charlotte,272,https://www.last.fm/music/Hope+Sandoval+&+The+Warm+Inventions/_/Charlotte,https://www.youtube.com/watch?v=zre9ufUCXh8,Light,가벼운
Demi Lovato,Lonely People,0,https://www.last.fm/music/Demi+Lovato/_/Lonely+People,https://www.youtube.com/watch?v=QLWbfGIunio,Light,가벼운
DJ Okawari,Flower Dance,167,https://www.last.fm/music/DJ+Okawari/_/Flower+Dance,https://www.youtube.com/watch?v=3ZIFNKYQj7g,Light,가벼운
Grandaddy,Laughing Stock,360,https://www.last.fm/music/Grandaddy/_/Laughing+Stock,https://www.youtube.com/watch?v=KGecGw9xxk8,Light,가벼운
We the Kings,She Takes Me High,246,https://www.last.fm/music/We+the+Kings/_/She+Takes+Me+High,https://www.youtube.com/watch?v=iicxUWQ7c-E,Light,가벼운
Straylight Run,Your Name Here (sunrise Highway),305,https://www.last.fm/music/Straylight+Run/_/Your+Name+Here+(sunrise+Highway),https://www.youtube.com/watch?v=Lt6PHdjwvo4,Light,가벼운
Jens Lekman,Jens Lekman's Farewell Song to Rocky Dennis,235,https://www.last.fm/music/Jens+Lekman/_/Jens+Lekman%27s+Farewell+Song+to+Rocky+Dennis,https://www.youtube.com/watch?v=5DpuoPtd7JU,Light,가벼운
John Frusciante,Moments Have You,214,https://www.last.fm/music/John+Frusciante/_/Moments+Have+You,https://www.youtube.com/watch?v=5hsaCic906c,Light,가벼운
Mr. Scruff,Jazz Potato,367,https://www.last.fm/music/Mr.+Scruff/_/Jazz+Potato,https://www.youtube.com/watch?v=PBZDdxT9O54,Light,가벼운
Trapt,Stories,235,https://www.last.fm/music/Trapt/_/Stories,https://www.youtube.com/watch?v=rHBMvdyMZAA,Light,가벼운
Adam Green,Bunnyranch,95,https://www.last.fm/music/Adam+Green/_/Bunnyranch,https://www.youtube.com/watch?v=Lv8VZfKXqnM,Light,가벼운
Fleet Foxes,False Knight On The Road,225,https://www.last.fm/music/Fleet+Foxes/_/False+Knight+On+The+Road,https://www.youtube.com/watch?v=csUMev1Bww4,Light,가벼운
