artist,music_name,duration,lastfm_url,youtube_url,mood_EN,mood_KOR
The Weeknd,Die For You,0,https://www.last.fm/music/The+Weeknd/_/Die+For+You,https://www.youtube.com/watch?v=uPD0QOGTmMI,Lonely,외로운
Joji,Glimpse of Us,0,https://www.last.fm/music/Joji/_/Glimpse+of+Us,https://www.youtube.com/watch?v=FvOpPeKSf_4,Lonely,외로운
"Tyler, the Creator",Boredom (feat. Rex Orange County & Anna Of The North),0,"https://www.last.fm/music/Tyler,+the+Creator/_/Boredom+(feat.+Rex+Orange+County+&+Anna+Of+The+North)",https://www.youtube.com/watch?v=_BbvDA8AfyI,Lonely,외로운
Akon,Lonely,235,https://www.last.fm/music/Akon/_/Lonely,https://www.youtube.com/watch?v=6EEW-9NDM5k,Lonely,외로운
SZA,Special,0,https://www.last.fm/music/SZA/_/Special,https://www.youtube.com/watch?v=bS7dvgYr6PM,Lonely,외로운
Labrinth,Jealous,287,https://www.last.fm/music/Labrinth/_/Jealous,https://www.youtube.com/watch?v=50VWOBi0VFs,Lonely,외로운
Weezer,I Just Threw Out the Love of My Dreams,156,https://www.last.fm/music/Weezer/_/I+Just+Threw+Out+the+Love+of+My+Dreams,https://www.youtube.com/watch?v=r2dosVRzLSM,Lonely,외로운
Feist,Lonely Lonely,250,https://www.last.fm/music/Feist/_/Lonely+Lonely,https://www.youtube.com/watch?v=kFyFLDCMmAg,Lonely,외로운
Ethel Cain,A House in Nebraska,0,https://www.last.fm/music/Ethel+Cain/_/A+House+in+Nebraska,https://www.youtube.com/watch?v=cT7T5Sz9Lww,Lonely,외로운
John Mayer,Perfectly Lonely,269,https://www.last.fm/music/John+Mayer/_/Perfectly+Lonely,https://www.youtube.com/watch?v=KoLc_6BmyTc,Lonely,외로운
Labrinth,I’m Tired (with Zendaya) - Bonus Track,0,https://www.last.fm/music/Labrinth/_/I%E2%80%99m+Tired+(with+Zendaya)+-+Bonus+Track,https://www.youtube.com/watch?v=RdOX1gqzprc,Lonely,외로운
Michael Kiwanuka,Cold Little Heart,0,https://www.last.fm/music/Michael+Kiwanuka/_/Cold+Little+Heart,https://www.youtube.com/watch?v=nOubjLM9Cbc,Lonely,외로운
Lil Nas X,Life After Salem,0,https://www.last.fm/music/Lil+Nas+X/_/Life+After+Salem,https://www.youtube.com/watch?v=KeR2w7KRwAE,Lonely,외로운
Ween,Tried And True,242,https://www.last.fm/music/Ween/_/Tried+And+True,https://www.youtube.com/watch?v=5CWiaFrPUpU,Lonely,외로운
Ethel Cain,family tree,0,https://www.last.fm/music/Ethel+Cain/_/family+tree,https://www.youtube.com/watch?v=L9I6YUWaAhw,Lonely,외로운
John Mayer,"Friends, Lovers or Nothing",359,"https://www.last.fm/music/John+Mayer/_/Friends,+Lovers+or+Nothing",https://www.youtube.com/watch?v=LaG0keIFX6o,Lonely,외로운
The Zombies,A Rose for Emily,141,https://www.last.fm/music/The+Zombies/_/A+Rose+for+Emily,https://www.youtube.com/watch?v=gs-bVMs1LKU,Lonely,외로운
"The Good, the Bad & the Queen",The Bunting Song,227,"https://www.last.fm/music/The+Good,+the+Bad+&+the+Queen/_/The+Bunting+Song",https://www.youtube.com/watch?v=xMZ0-somLC8,Lonely,외로운
Janet Jackson,I Get Lonely,257,https://www.last.fm/music/Janet+Jackson/_/I+Get+Lonely,https://www.youtube.com/watch?v=euWjl-dBG9w,Lonely,외로운
Bright Eyes,Nothing Gets Crossed Out,343,https://www.last.fm/music/Bright+Eyes/_/Nothing+Gets+Crossed+Out,https://www.youtube.com/watch?v=l_KR4G7e0fE,Lonely,외로운
Wilco,Via Chicago,351,https://www.last.fm/music/Wilco/_/Via+Chicago,https://www.youtube.com/watch?v=rAXpboaOmf4,Lonely,외로운
Margot & the Nuclear So and So's,Broadripple Is Burning,289,https://www.last.fm/music/Margot+&+the+Nuclear+So+and+So%27s/_/Broadripple+Is+Burning,https://www.youtube.com/watch?v=ZvisgoLaMfE,Lonely,외로운
Weezer,All My Favorite Songs,0,https://www.last.fm/music/Weezer/_/All+My+Favorite+Songs,https://www.youtube.com/watch?v=AGPdXYG1msg,Lonely,외로운
Speaker Knockerz,Lonely,186,https://www.last.fm/music/Speaker+Knockerz/_/Lonely,https://www.youtube.com/watch?v=kPrmjTSiqBs,Lonely,외로운
Lauv,Modern Loneliness,0,https://www.last.fm/music/Lauv/_/Modern+Loneliness,https://www.youtube.com/watch?v=bDidwMxir4o,Lonely,외로운
Motion City Soundtrack,Broken Heart,181,https://www.last.fm/music/Motion+City+Soundtrack/_/Broken+Heart,https://www.youtube.com/watch?v=wlfObdWHu40,Lonely,외로운
Eminem,Talkin’ 2 Myself,0,https://www.last.fm/music/Eminem/_/Talkin%E2%80%99+2+Myself,https://www.youtube.com/watch?v=LG369AbsWfI,Lonely,외로운
Bright Eyes,Laura Laurent,391,https://www.last.fm/music/Bright+Eyes/_/Laura+Laurent,https://www.youtube.com/watch?v=FgouX6UMcRA,Lonely,외로운
Frightened Rabbit,Swim Until You Can't See Land,259,https://www.last.fm/music/Frightened+Rabbit/_/Swim+Until+You+Can%27t+See+Land,https://www.youtube.com/watch?v=SzjERZU3wbY,Lonely,외로운
Tom Waits,Lonely,194,https://www.last.fm/music/Tom+Waits/_/Lonely,https://www.youtube.com/watch?v=JSppKNXzgYY,Lonely,외로운
Jimmy Eat World,Dizzy,266,https://www.last.fm/music/Jimmy+Eat+World/_/Dizzy,https://www.youtube.com/watch?v=YJdU8Rl_4_o,Lonely,외로운
Britney Spears,Lonely,200,https://www.last.fm/music/Britney+Spears/_/Lonely,https://www.youtube.com/watch?v=lII_sdBMFQg,Lonely,외로운
Melanie Martinez,Glued,0,https://www.last.fm/music/Melanie+Martinez/_/Glued,https://www.youtube.com/watch?v=90COzuYAKDo,Lonely,외로운
Carissa's Wierd,They'll Only Miss You When You Leave,287,https://www.last.fm/music/Carissa%27s+Wierd/_/They%27ll+Only+Miss+You+When+You+Leave,https://www.youtube.com/watch?v=JFDasUfP6kQ,Lonely,외로운
given,冬のはなし,0,https://www.last.fm/music/given/_/%E5%86%AC%E3%81%AE%E3%81%AF%E3%81%AA%E3%81%97,https://www.youtube.com/watch?v=thsSPWRDQWc,Lonely,외로운
Patrick Wolf,The Bluebell,71,https://www.last.fm/music/Patrick+Wolf/_/The+Bluebell,https://www.youtube.com/watch?v=U8FEnUfy4zE,Lonely,외로운
Plain White T's,A Lonely September,266,https://www.last.fm/music/Plain+White+T%27s/_/A+Lonely+September,https://www.youtube.com/watch?v=6BObr9g2-OE,Lonely,외로운
James Blake,Love Me In Whatever Way,0,https://www.last.fm/music/James+Blake/_/Love+Me+In+Whatever+Way,https://www.youtube.com/watch?v=-tKBpAsMWb0,Lonely,외로운
Ozuna,El Farsante,0,https://www.last.fm/music/Ozuna/_/El+Farsante,https://www.youtube.com/watch?v=6DRkf3kZMXw,Lonely,외로운
2NE1,Lonely,207,https://www.last.fm/music/2NE1/_/Lonely,https://www.youtube.com/watch?v=5n4V3lGEyG4,Lonely,외로운
The Replacements,Here Comes A Regular,286,https://www.last.fm/music/The+Replacements/_/Here+Comes+A+Regular,https://www.youtube.com/watch?v=DFAz6Q3djkM,Lonely,외로운
The Brian Jonestown Massacre,(David Bowie I Love You) Since I Was Six,203,https://www.last.fm/music/The+Brian+Jonestown+Massacre/_/(David+Bowie+I+Love+You)+Since+I+Was+Six,https://www.youtube.com/watch?v=XWsYmVWI4I0,Lonely,외로운
B.o.B,Lonely People,176,https://www.last.fm/music/B.o.B/_/Lonely+People,https://www.youtube.com/watch?v=i-c0OIcN8Kw,Lonely,외로운
The Police,Every Breath You Take - 2003 Stereo Remastered Version,0,https://www.last.fm/music/The+Police/_/Every+Breath+You+Take+-+2003+Stereo+Remastered+Version,https://www.youtube.com/watch?v=VfEvH4aML-k,Lonely,외로운
At the Drive-In,Hourglass,205,https://www.last.fm/music/At+the+Drive-In/_/Hourglass,https://www.youtube.com/watch?v=s8hOrhv_VAA,Lonely,외로운
William Fitzsimmons,If You Would Come Back Home,231,https://www.last.fm/music/William+Fitzsimmons/_/If+You+Would+Come+Back+Home,https://www.youtube.com/watch?v=Rbr80q4Rq1o,Lonely,외로운
Ween,What Deaner Was Talkin' About,119,https://www.last.fm/music/Ween/_/What+Deaner+Was+Talkin%27+About,https://www.youtube.com/watch?v=Tq8fQGx6dU8,Lonely,외로운
Modest Mouse,Edit the Sad Parts,574,https://www.last.fm/music/Modest+Mouse/_/Edit+the+Sad+Parts,https://www.youtube.com/watch?v=siCmrcp2IPQ,Lonely,외로운
The Avett Brothers,The Weight of Lies,269,https://www.last.fm/music/The+Avett+Brothers/_/The+Weight+of+Lies,https://www.youtube.com/watch?v=RxHw5e1H10A,Lonely,외로운
Ryan Adams,Sylvia Plath,448,https://www.last.fm/music/Ryan+Adams/_/Sylvia+Plath,https://www.youtube.com/watch?v=2EK5RluCvCE,Lonely,외로운
Sunny Day Real Estate,Every Shining Time You Arrive,0,https://www.last.fm/music/Sunny+Day+Real+Estate/_/Every+Shining+Time+You+Arrive,https://www.youtube.com/watch?v=fM8i_mBhMqc,Lonely,외로운
Songs: Ohia,Almost Was Good Enough,268,https://www.last.fm/music/Songs:+Ohia/_/Almost+Was+Good+Enough,https://www.youtube.com/watch?v=_XJkpkx20bk,Lonely,외로운
Karen O and the Kids,Food Is Still Hot,164,https://www.last.fm/music/Karen+O+and+the+Kids/_/Food+Is+Still+Hot,https://www.youtube.com/watch?v=i9YrUqqSmaY,Lonely,외로운
Ryan Adams,Harder Now That It's Over,272,https://www.last.fm/music/Ryan+Adams/_/Harder+Now+That+It%27s+Over,https://www.youtube.com/watch?v=0nXE-EkFPzE,Lonely,외로운
