artist,music_name,duration,lastfm_url,youtube_url,mood_EN,mood_KOR
Mitski,My Love Mine All Mine,0,https://www.last.fm/music/Mitski/_/My+Love+Mine+All+Mine,https://www.youtube.com/watch?v=vx4kLgnFexo,Lovely,사랑스러운
Billie Eilish,lovely (with Khalid),0,https://www.last.fm/music/Billie+Eilish/_/lovely+(with+Khalid),https://www.youtube.com/watch?v=V1Pl8CzNzCw,Lovely,사랑스러운
Ed Sheeran,Photograph,258,https://www.last.fm/music/Ed+Sheeran/_/Photograph,https://www.youtube.com/watch?v=nSDgHBxUbVQ,Lovely,사랑스러운
Bon Iver,Beach Baby,160,https://www.last.fm/music/Bon+Iver/_/Beach+Baby,https://www.youtube.com/watch?v=-gznDYiDC94,Lovely,사랑스러운
Elliott Smith,Say Yes,0,https://www.last.fm/music/Elliott+Smith/_/Say+Yes,https://www.youtube.com/watch?v=u2B8uwyjIQQ,Lovely,사랑스러운
Melanie Martinez,Play Date,0,https://www.last.fm/music/Melanie+Martinez/_/Play+Date,https://www.youtube.com/watch?v=kknKs7cAcO8,Lovely,사랑스러운
Hozier,Like Real People Do,197,https://www.last.fm/music/Hozier/_/Like+Real+People+Do,https://www.youtube.com/watch?v=uPxvvmlkNHw,Lovely,사랑스러운
Tame Impala,The Moment,0,https://www.last.fm/music/Tame+Impala/_/The+Moment,https://www.youtube.com/watch?v=3Qpf9pAkUeI,Lovely,사랑스러운
Arctic Monkeys,Baby I'm Yours,161,https://www.last.fm/music/Arctic+Monkeys/_/Baby+I%27m+Yours,https://www.youtube.com/watch?v=WjgE-rCfNi8,Lovely,사랑스러운
Beach House,Master of None,199,https://www.last.fm/music/Beach+House/_/Master+of+None,https://www.youtube.com/watch?v=s2YiUTh9dj4,Lovely,사랑스러운
Melanie Martinez,Training Wheels,0,https://www.last.fm/music/Melanie+Martinez/_/Training+Wheels,https://www.youtube.com/watch?v=17lKhyL4qUI,Lovely,사랑스러운
Selena Gomez,Same Old Love,0,https://www.last.fm/music/Selena+Gomez/_/Same+Old+Love,https://www.youtube.com/watch?v=9h30Bx4Klxg,Lovely,사랑스러운
Alvvays,"Archie, Marry Me",196,"https://www.last.fm/music/Alvvays/_/Archie,+Marry+Me",https://www.youtube.com/watch?v=ZAn3JdtSrnY,Lovely,사랑스러운
Vampire Weekend,Horchata,206,https://www.last.fm/music/Vampire+Weekend/_/Horchata,https://www.youtube.com/watch?v=0IDNcD-a5jU,Lovely,사랑스러운
Lykke Li,I Follow Rivers - The Magician Remix,0,https://www.last.fm/music/Lykke+Li/_/I+Follow+Rivers+-+The+Magician+Remix,https://www.youtube.com/watch?v=3FXMsoTTcog,Lovely,사랑스러운
Selena Gomez,Hands to Myself,0,https://www.last.fm/music/Selena+Gomez/_/Hands+to+Myself,https://www.youtube.com/watch?v=FMlcn-_jpWY,Lovely,사랑스러운
Beach House,Lazuli,304,https://www.last.fm/music/Beach+House/_/Lazuli,https://www.youtube.com/watch?v=BfzFVbkutFE,Lovely,사랑스러운
Fugazi,I'm So Tired,119,https://www.last.fm/music/Fugazi/_/I%27m+So+Tired,https://www.youtube.com/watch?v=_Nv11dYMsXQ,Lovely,사랑스러운
The Shins,Simple Song,0,https://www.last.fm/music/The+Shins/_/Simple+Song,https://www.youtube.com/watch?v=RoLTPcD1S4Q,Lovely,사랑스러운
The National,I Need My Girl,245,https://www.last.fm/music/The+National/_/I+Need+My+Girl,https://www.youtube.com/watch?v=A-Tod1_tZdU,Lovely,사랑스러운
Fleet Foxes,Quiet Houses,212,https://www.last.fm/music/Fleet+Foxes/_/Quiet+Houses,https://www.youtube.com/watch?v=OLQUoOwJDvo,Lovely,사랑스러운
Twenty One Pilots,Chlorine,0,https://www.last.fm/music/Twenty+One+Pilots/_/Chlorine,https://www.youtube.com/watch?v=eJnQBXmZ7Ek,Lovely,사랑스러운
Yael Naim,New Soul,212,https://www.last.fm/music/Yael+Naim/_/New+Soul,https://www.youtube.com/watch?v=hhE7QMXRE1g,Lovely,사랑스러운
Ed Sheeran,Happier,0,https://www.last.fm/music/Ed+Sheeran/_/Happier,https://www.youtube.com/watch?v=8TpcBDJZsJA,Lovely,사랑스러운
Edward Sharpe & The Magnetic Zeros,40 Day Dream,233,https://www.last.fm/music/Edward+Sharpe+&+The+Magnetic+Zeros/_/40+Day+Dream,https://www.youtube.com/watch?v=yD4C07SWzrs,Lovely,사랑스러운
Mother Mother,Arms Tonite,218,https://www.last.fm/music/Mother+Mother/_/Arms+Tonite,https://www.youtube.com/watch?v=lv1K0H_4mfw,Lovely,사랑스러운
FINNEAS,Let's Fall In Love For The Night,0,https://www.last.fm/music/FINNEAS/_/Let%27s+Fall+In+Love+For+The+Night,https://www.youtube.com/watch?v=VaKzNtwPQxE,Lovely,사랑스러운
One Direction,They Don't Know About Us,201,https://www.last.fm/music/One+Direction/_/They+Don%27t+Know+About+Us,https://www.youtube.com/watch?v=ERoiZXhUGtA,Lovely,사랑스러운
The Beatles,Julia,235,https://www.last.fm/music/The+Beatles/_/Julia,https://www.youtube.com/watch?v=TZip_br_v3w,Lovely,사랑스러운
Kate Nash,Nicest Thing,245,https://www.last.fm/music/Kate+Nash/_/Nicest+Thing,https://www.youtube.com/watch?v=VmT9jNashAg,Lovely,사랑스러운
J Dilla,U-Love,60,https://www.last.fm/music/J+Dilla/_/U-Love,https://www.youtube.com/watch?v=zwTyR6_kLjY,Lovely,사랑스러운
Snow Patrol,Crack the Shutters,256,https://www.last.fm/music/Snow+Patrol/_/Crack+the+Shutters,https://www.youtube.com/watch?v=GhK81hZj4L4,Lovely,사랑스러운
Ariana Grande,Moonlight,0,https://www.last.fm/music/Ariana+Grande/_/Moonlight,https://www.youtube.com/watch?v=denGNWMNsSY,Lovely,사랑스러운
Animal Collective,Bluish,314,https://www.last.fm/music/Animal+Collective/_/Bluish,https://www.youtube.com/watch?v=YTCg1Ovu64E,Lovely,사랑스러운
Calvin Harris,Blame (feat. John Newman),212,https://www.last.fm/music/Calvin+Harris/_/Blame+(feat.+John+Newman),https://www.youtube.com/watch?v=6ACl8s_tBzE,Lovely,사랑스러운
