artist,music_name,duration,lastfm_url,youtube_url,mood_EN,mood_KOR
Radiohead,No Surprises,0,https://www.last.fm/music/Radiohead/_/No+Surprises,https://www.youtube.com/watch?v=u5CVsCnxyXg,Melancholy,구슬픈
Coldplay,The Scientist,309,https://www.last.fm/music/Coldplay/_/The+Scientist,https://www.youtube.com/watch?v=RB-RcX5DS5A,Melancholy,구슬픈
Arctic Monkeys,505,253,https://www.last.fm/music/Arctic+Monkeys/_/505,https://www.youtube.com/watch?v=qU9mHegkTc4,Melancholy,구슬픈
Radiohead,Fake Plastic Trees,285,https://www.last.fm/music/Radiohead/_/Fake+Plastic+Trees,https://www.youtube.com/watch?v=n5h0qHwNrHk,Melancholy,구슬픈
Radiohead,Exit Music (for a Film),278,https://www.last.fm/music/Radiohead/_/Exit+Music+(for+a+Film),https://www.youtube.com/watch?v=Bf01riuiJWA,Melancholy,구슬픈
Coldplay,Sparks,269,https://www.last.fm/music/Coldplay/_/Sparks,https://www.youtube.com/watch?v=1aokooixKIo,Melancholy,구슬픈
Radiohead,All I Need,261,https://www.last.fm/music/Radiohead/_/All+I+Need,https://www.youtube.com/watch?v=FM7ALFsOH4g,Melancholy,구슬픈
Bon Iver,Skinny Love,239,https://www.last.fm/music/Bon+Iver/_/Skinny+Love,https://www.youtube.com/watch?v=Dz5s5C6sAt0,Melancholy,구슬픈
Johnny Cash,Hurt,218,https://www.last.fm/music/Johnny+Cash/_/Hurt,https://www.youtube.com/watch?v=8AHCfZTRGiI,Melancholy,구슬픈
Radiohead,Nude,0,https://www.last.fm/music/Radiohead/_/Nude,https://www.youtube.com/watch?v=BbWBRnDK_AE,Melancholy,구슬픈
Radiohead,Let Down,299,https://www.last.fm/music/Radiohead/_/Let+Down,https://www.youtube.com/watch?v=duBCwvC1kP4,Melancholy,구슬픈
Coldplay,Trouble,0,https://www.last.fm/music/Coldplay/_/Trouble,https://www.youtube.com/watch?v=kcASPx3-HuI,Melancholy,구슬픈
Mazzy Star,Fade Into You,291,https://www.last.fm/music/Mazzy+Star/_/Fade+Into+You,https://www.youtube.com/watch?v=avv2IIdDnnk,Melancholy,구슬픈
Radiohead,Reckoner,324,https://www.last.fm/music/Radiohead/_/Reckoner,https://www.youtube.com/watch?v=pYHEpDnvVPk,Melancholy,구슬픈
Radiohead,How to Disappear Completely,356,https://www.last.fm/music/Radiohead/_/How+to+Disappear+Completely,https://www.youtube.com/watch?v=nZq_jeYsbTs,Melancholy,구슬픈
Radiohead,House of Cards,352,https://www.last.fm/music/Radiohead/_/House+of+Cards,https://www.youtube.com/watch?v=8nTFjVm9sTQ,Melancholy,구슬픈
Deftones,Change (In the House of Flies),296,https://www.last.fm/music/Deftones/_/Change+(In+the+House+of+Flies),https://www.youtube.com/watch?v=WPpDyIJdasg,Melancholy,구슬픈
Jeff Buckley,Hallelujah,256,https://www.last.fm/music/Jeff+Buckley/_/Hallelujah,https://www.youtube.com/watch?v=y8AWFf7EAc4,Melancholy,구슬픈
Radiohead,Street Spirit (Fade Out),252,https://www.last.fm/music/Radiohead/_/Street+Spirit+(Fade+Out),https://www.youtube.com/watch?v=LCJblaUkkfc,Melancholy,구슬픈
Radiohead,Faust Arp,0,https://www.last.fm/music/Radiohead/_/Faust+Arp,https://www.youtube.com/watch?v=PRc0iMRoIoc,Melancholy,구슬픈
Radiohead,Videotape,0,https://www.last.fm/music/Radiohead/_/Videotape,https://www.youtube.com/watch?v=WF83_PR2EsA,Melancholy,구슬픈
Bon Iver,Flume,0,https://www.last.fm/music/Bon+Iver/_/Flume,https://www.youtube.com/watch?v=LuQrLsTUcN0,Melancholy,구슬픈
Band of Horses,The Funeral,285,https://www.last.fm/music/Band+of+Horses/_/The+Funeral,https://www.youtube.com/watch?v=cMFWFhTFohk,Melancholy,구슬픈
Arcade Fire,Wake Up,335,https://www.last.fm/music/Arcade+Fire/_/Wake+Up,https://www.youtube.com/watch?v=9zdNdjF-htY,Melancholy,구슬픈
Chris Isaak,Wicked Game,284,https://www.last.fm/music/Chris+Isaak/_/Wicked+Game,https://www.youtube.com/watch?v=oadhHk2xs6c,Melancholy,구슬픈
Radiohead,Pyramid Song,0,https://www.last.fm/music/Radiohead/_/Pyramid+Song,https://www.youtube.com/watch?v=3M_Gg1xAHE4,Melancholy,구슬픈
Deftones,Be Quiet and Drive (Far Away),241,https://www.last.fm/music/Deftones/_/Be+Quiet+and+Drive+(Far+Away),https://www.youtube.com/watch?v=KvknOXGPzCQ,Melancholy,구슬픈
Radiohead,The Tourist,323,https://www.last.fm/music/Radiohead/_/The+Tourist,https://www.youtube.com/watch?v=HkgzObf8uVU,Melancholy,구슬픈
Elliott Smith,Between the Bars,0,https://www.last.fm/music/Elliott+Smith/_/Between+the+Bars,https://www.youtube.com/watch?v=Ccd59iNjTzc,Melancholy,구슬픈
Sam Smith,I'm Not the Only One,239,https://www.last.fm/music/Sam+Smith/_/I%27m+Not+the+Only+One,https://www.youtube.com/watch?v=nCkpzqqog4k,Melancholy,구슬픈
R.E.M.,Everybody Hurts,317,https://www.last.fm/music/R.E.M./_/Everybody+Hurts,https://www.youtube.com/watch?v=5rOiW_xY-kc,Melancholy,구슬픈
Lou Reed,Perfect Day,225,https://www.last.fm/music/Lou+Reed/_/Perfect+Day,https://www.youtube.com/watch?v=9wxI4KK9ZYo,Melancholy,구슬픈
Radiohead,Knives Out,254,https://www.last.fm/music/Radiohead/_/Knives+Out,https://www.youtube.com/watch?v=2Lpw3yMCWro,Melancholy,구슬픈
Sia,Breathe Me,189,https://www.last.fm/music/Sia/_/Breathe+Me,https://www.youtube.com/watch?v=PwB56IYDfWs,Melancholy,구슬픈
The Smashing Pumpkins,"Tonight, Tonight",254,"https://www.last.fm/music/The+Smashing+Pumpkins/_/Tonight,+Tonight",https://www.youtube.com/watch?v=NOG3eus4ZSo,Melancholy,구슬픈
Imogen Heap,Hide And Seek,266,https://www.last.fm/music/Imogen+Heap/_/Hide+And+Seek,https://www.youtube.com/watch?v=UYIAfiVGluk,Melancholy,구슬픈
OneRepublic,Apologize,354,https://www.last.fm/music/OneRepublic/_/Apologize,https://www.youtube.com/watch?v=8OiXinljqhw,Melancholy,구슬픈
The Smiths,There Is a Light That Never Goes Out,242,https://www.last.fm/music/The+Smiths/_/There+Is+a+Light+That+Never+Goes+Out,https://www.youtube.com/watch?v=siO6dkqidc4,Melancholy,구슬픈
Radiohead,Motion Picture Soundtrack,419,https://www.last.fm/music/Radiohead/_/Motion+Picture+Soundtrack,https://www.youtube.com/watch?v=EcSvMFm2ABE,Melancholy,구슬픈
Snow Patrol,Run,346,https://www.last.fm/music/Snow+Patrol/_/Run,https://www.youtube.com/watch?v=AOBs8dU4Pb8,Melancholy,구슬픈
Billie Eilish,idontwannabeyouanymore,0,https://www.last.fm/music/Billie+Eilish/_/idontwannabeyouanymore,https://www.youtube.com/watch?v=-tn2S3kJlyU,Melancholy,구슬픈
Deftones,Sextape,241,https://www.last.fm/music/Deftones/_/Sextape,https://www.youtube.com/watch?v=f0pdwd0miqs,Melancholy,구슬픈
Radiohead,In Limbo,211,https://www.last.fm/music/Radiohead/_/In+Limbo,https://www.youtube.com/watch?v=Q29iibXXiOs,Melancholy,구슬픈
Coldplay,Warning Sign,0,https://www.last.fm/music/Coldplay/_/Warning+Sign,https://www.youtube.com/watch?v=xtQirM784oM,Melancholy,구슬픈
Jeff Buckley,"Lover, You Should've Come Over",403,"https://www.last.fm/music/Jeff+Buckley/_/Lover,+You+Should%27ve+Come+Over",https://www.youtube.com/watch?v=5ZL4EuhZRN8,Melancholy,구슬픈
Salvia Palth,I Was All Over Her,161,https://www.last.fm/music/Salvia+Palth/_/I+Was+All+Over+Her,https://www.youtube.com/watch?v=9rN2Cj2VG28,Melancholy,구슬픈
The Smiths,"Please, Please, Please, Let Me Get What I Want - 2011 Remaster",0,"https://www.last.fm/music/The+Smiths/_/Please,+Please,+Please,+Let+Me+Get+What+I+Want+-+2011+Remaster",https://www.youtube.com/watch?v=w3qPMe_cCJk,Melancholy,구슬픈
The Smashing Pumpkins,Disarm,197,https://www.last.fm/music/The+Smashing+Pumpkins/_/Disarm,https://www.youtube.com/watch?v=d1acEVmnVhI,Melancholy,구슬픈
Radiohead,(Nice Dream),233,https://www.last.fm/music/Radiohead/_/(Nice+Dream),https://www.youtube.com/watch?v=jIjTFt6XmFM,Melancholy,구슬픈
Bon Iver,Re: Stacks,401,https://www.last.fm/music/Bon+Iver/_/Re:+Stacks,https://www.youtube.com/watch?v=GhDnyPsQsB0,Melancholy,구슬픈
Moby,Why Does My Heart Feel So Bad?,265,https://www.last.fm/music/Moby/_/Why+Does+My+Heart+Feel+So+Bad%3F,https://www.youtube.com/watch?v=qT6XCvDUUsU,Melancholy,구슬픈
Coldplay,We Never Change,249,https://www.last.fm/music/Coldplay/_/We+Never+Change,https://www.youtube.com/watch?v=OCthmb-m52E,Melancholy,구슬픈
The xx,Shelter,270,https://www.last.fm/music/The+xx/_/Shelter,https://www.youtube.com/watch?v=6uEZjKtv_i8,Melancholy,구슬픈
Coldplay,42,237,https://www.last.fm/music/Coldplay/_/42,https://www.youtube.com/watch?v=ez6eauLcOuc,Melancholy,구슬픈
Bon Iver,Lump Sum,201,https://www.last.fm/music/Bon+Iver/_/Lump+Sum,https://www.youtube.com/watch?v=Jwf8YrW1w78,Melancholy,구슬픈
Adele,Hometown Glory,0,https://www.last.fm/music/Adele/_/Hometown+Glory,https://www.youtube.com/watch?v=BW9Fzwuf43c,Melancholy,구슬픈
The Cure,Pictures of You,476,https://www.last.fm/music/The+Cure/_/Pictures+of+You,https://www.youtube.com/watch?v=UmFFTkjs-O0,Melancholy,구슬픈
Damien Rice,Cannonball,247,https://www.last.fm/music/Damien+Rice/_/Cannonball,https://www.youtube.com/watch?v=3yqM--IMkX4,Melancholy,구슬픈
Bon Iver,Blood Bank,284,https://www.last.fm/music/Bon+Iver/_/Blood+Bank,https://www.youtube.com/watch?v=KrUDT4HJCFU,Melancholy,구슬픈
Elliott Smith,Angeles,170,https://www.last.fm/music/Elliott+Smith/_/Angeles,https://www.youtube.com/watch?v=mrziVjlHieA,Melancholy,구슬픈
Radiohead,You and Whose Army?,189,https://www.last.fm/music/Radiohead/_/You+and+Whose+Army%3F,https://www.youtube.com/watch?v=QQnc-hM80UQ,Melancholy,구슬픈
Jeff Buckley,Grace,321,https://www.last.fm/music/Jeff+Buckley/_/Grace,https://www.youtube.com/watch?v=A3adFWKE9JE,Melancholy,구슬픈
Coldplay,Amsterdam,299,https://www.last.fm/music/Coldplay/_/Amsterdam,https://www.youtube.com/watch?v=kr4DNZz_8zI,Melancholy,구슬픈
Gary Jules,Mad World,0,https://www.last.fm/music/Gary+Jules/_/Mad+World,https://www.youtube.com/watch?v=etSbOs3aUqI,Melancholy,구슬픈
