artist,music_name,duration,lastfm_url,youtube_url,mood_EN,mood_KOR
Coldplay,Sparks,269,https://www.last.fm/music/Coldplay/_/Sparks,https://www.youtube.com/watch?v=1aokooixKIo,Romantic,낭만적인
Plain White T's,Hey There Delilah,233,https://www.last.fm/music/Plain+White+T%27s/_/Hey+There+Delilah,https://www.youtube.com/watch?v=h_m-BjrxmgI,Romantic,낭만적인
Sixpence None the Richer,Kiss Me,206,https://www.last.fm/music/Sixpence+None+the+Richer/_/Kiss+Me,https://www.youtube.com/watch?v=K2tbQ_g2VbQ,Romantic,낭만적인
George Michael,Careless Whisper,304,https://www.last.fm/music/George+Michael/_/Careless+Whisper,https://www.youtube.com/watch?v=izGwDsrQ1eQ,Romantic,낭만적인
Steve Lacy,Bad Habit,0,https://www.last.fm/music/Steve+Lacy/_/Bad+Habit,https://www.youtube.com/watch?v=bU2EvRBUmxc,Romantic,낭만적인
Taylor Swift,Love Story,233,https://www.last.fm/music/Taylor+Swift/_/Love+Story,https://www.youtube.com/watch?v=8xg3vE8Ie_E,Romantic,낭만적인
Elton John,Your Song,240,https://www.last.fm/music/Elton+John/_/Your+Song,https://www.youtube.com/watch?v=GlPlfCy1urI,Romantic,낭만적인
James Blunt,You're Beautiful,214,https://www.last.fm/music/James+Blunt/_/You%27re+Beautiful,https://www.youtube.com/watch?v=oofSnsGkops,Romantic,낭만적인
Elvis Presley,Can't Help Falling in Love,178,https://www.last.fm/music/Elvis+Presley/_/Can%27t+Help+Falling+in+Love,https://www.youtube.com/watch?v=vGJTaP6anOU,Romantic,낭만적인
Chris Isaak,Wicked Game,284,https://www.last.fm/music/Chris+Isaak/_/Wicked+Game,https://www.youtube.com/watch?v=oadhHk2xs6c,Romantic,낭만적인
Taylor Swift,Lover,0,https://www.last.fm/music/Taylor+Swift/_/Lover,https://www.youtube.com/watch?v=-BjZmE2gtdo,Romantic,낭만적인
Bruno Mars,Talking to the Moon,217,https://www.last.fm/music/Bruno+Mars/_/Talking+to+the+Moon,https://www.youtube.com/watch?v=fXw0jcYbqdo,Romantic,낭만적인
Steve Lacy,C U Girl,0,https://www.last.fm/music/Steve+Lacy/_/C+U+Girl,https://www.youtube.com/watch?v=t0fn0Q0DB0E,Romantic,낭만적인
The Goo Goo Dolls,Iris,289,https://www.last.fm/music/The+Goo+Goo+Dolls/_/Iris,https://www.youtube.com/watch?v=NdYWuo9OFAw,Romantic,낭만적인
Aerosmith,I Don't Want to Miss a Thing,299,https://www.last.fm/music/Aerosmith/_/I+Don%27t+Want+to+Miss+a+Thing,https://www.youtube.com/watch?v=17JvDhBWWCE,Romantic,낭만적인
The Calling,Wherever You Will Go,208,https://www.last.fm/music/The+Calling/_/Wherever+You+Will+Go,https://www.youtube.com/watch?v=iAP9AF6DCu4,Romantic,낭만적인
Taylor Swift,Wildest Dreams (Taylor's Version),0,https://www.last.fm/music/Taylor+Swift/_/Wildest+Dreams+(Taylor%27s+Version),https://www.youtube.com/watch?v=vtW_4j7SsZk,Romantic,낭만적인
Kali Uchis,Moonlight,0,https://www.last.fm/music/Kali+Uchis/_/Moonlight,https://www.youtube.com/watch?v=zBukbgTN0cE,Romantic,낭만적인
Harry Styles,Late Night Talking,0,https://www.last.fm/music/Harry+Styles/_/Late+Night+Talking,https://www.youtube.com/watch?v=4VaqA-5aQTM,Romantic,낭만적인
Whitney Houston,I Will Always Love You,274,https://www.last.fm/music/Whitney+Houston/_/I+Will+Always+Love+You,https://www.youtube.com/watch?v=3JWTaaS7LdU,Romantic,낭만적인
Etta James,At Last,171,https://www.last.fm/music/Etta+James/_/At+Last,https://www.youtube.com/watch?v=1qJU8G7gR_g,Romantic,낭만적인
Seal,Kiss from a Rose,309,https://www.last.fm/music/Seal/_/Kiss+from+a+Rose,https://www.youtube.com/watch?v=lkzXi4cmdJk,Romantic,낭만적인
Eric Clapton,Wonderful Tonight,0,https://www.last.fm/music/Eric+Clapton/_/Wonderful+Tonight,https://www.youtube.com/watch?v=fxAiUq8yn34,Romantic,낭만적인
Iron & Wine,"Flightless Bird, American Mouth",243,"https://www.last.fm/music/Iron+&+Wine/_/Flightless+Bird,+American+Mouth",https://www.youtube.com/watch?v=RGVmhrfQqzg,Romantic,낭만적인
John Mayer,Your Body Is a Wonderland,249,https://www.last.fm/music/John+Mayer/_/Your+Body+Is+a+Wonderland,https://www.youtube.com/watch?v=N5EnGwXV_Pg,Romantic,낭만적인
John Mayer,Slow Dancing in a Burning Room,241,https://www.last.fm/music/John+Mayer/_/Slow+Dancing+in+a+Burning+Room,https://www.youtube.com/watch?v=5MkfBNl_3pw,Romantic,낭만적인
Taylor Swift,Snow on the Beach (feat. Lana Del Rey),0,https://www.last.fm/music/Taylor+Swift/_/Snow+on+the+Beach+(feat.+Lana+Del+Rey),https://www.youtube.com/watch?v=ycE7bUq3-2k,Romantic,낭만적인
Bee Gees,How Deep Is Your Love,242,https://www.last.fm/music/Bee+Gees/_/How+Deep+Is+Your+Love,https://www.youtube.com/watch?v=XpqqjU7u5Yc,Romantic,낭만적인
The Fray,Look After You,295,https://www.last.fm/music/The+Fray/_/Look+After+You,https://www.youtube.com/watch?v=6xXmjzWysCU,Romantic,낭만적인
James Blunt,Goodbye My Lover,256,https://www.last.fm/music/James+Blunt/_/Goodbye+My+Lover,https://www.youtube.com/watch?v=wVyggTKDcOE,Romantic,낭만적인
Hozier,Like Real People Do,197,https://www.last.fm/music/Hozier/_/Like+Real+People+Do,https://www.youtube.com/watch?v=uPxvvmlkNHw,Romantic,낭만적인
Mr.kitty,After Dark,257,https://www.last.fm/music/Mr.kitty/_/After+Dark,https://www.youtube.com/watch?v=Cl5Vkd4N03Q,Romantic,낭만적인
Extreme,More Than Words,334,https://www.last.fm/music/Extreme/_/More+Than+Words,https://www.youtube.com/watch?v=UrIiLvg58SY,Romantic,낭만적인
Sting,Fields of Gold,226,https://www.last.fm/music/Sting/_/Fields+of+Gold,https://www.youtube.com/watch?v=KLVq0IAzh1A,Romantic,낭만적인
