artist,music_name,duration,lastfm_url,youtube_url,mood_EN,mood_KOR
Madvillain,Operation Lifesaver aka Mint Test,90,https://www.last.fm/music/Madvillain/_/Operation+Lifesaver+aka+Mint+Test,https://www.youtube.com/watch?v=oAeatR9MuvM,Serious,심각한
FKA twigs,Careless (feat. Daniel Caesar),0,https://www.last.fm/music/FKA+twigs/_/Careless+(feat.+Daniel+Caesar),https://www.youtube.com/watch?v=QTe0E2pKyOE,Serious,심각한
OutKast,"Hold On, Be Strong",71,"https://www.last.fm/music/OutKast/_/Hold+On,+Be+Strong",https://www.youtube.com/watch?v=qxrTf5qAW5Y,Serious,심각한
Flying Lotus,Melt!,105,https://www.last.fm/music/Flying+Lotus/_/Melt%21,https://www.youtube.com/watch?v=I0i7bTW64fU,Serious,심각한
Linkin Park,Fighting Myself,0,https://www.last.fm/music/Linkin+Park/_/Fighting+Myself,https://www.youtube.com/watch?v=iKBCVZqqooY,Serious,심각한
Unwound,Corpse Pose,208,https://www.last.fm/music/Unwound/_/Corpse+Pose,https://www.youtube.com/watch?v=DvKaqmiNjhA,Serious,심각한
Nicki Minaj,Come on a Cone,185,https://www.last.fm/music/Nicki+Minaj/_/Come+on+a+Cone,https://www.youtube.com/watch?v=pl35X82lF3Q,Serious,심각한
Noah and the Whale,Instrumental II,96,https://www.last.fm/music/Noah+and+the+Whale/_/Instrumental+II,https://www.youtube.com/watch?v=61k8TP15-_E,Serious,심각한
M.I.A.,Story to Be Told,212,https://www.last.fm/music/M.I.A./_/Story+to+Be+Told,https://www.youtube.com/watch?v=yNcI3svESZI,Serious,심각한
Hudson Mohawke,Fuse,192,https://www.last.fm/music/Hudson+Mohawke/_/Fuse,https://www.youtube.com/watch?v=NujFi3fCuEw,Serious,심각한
Metronomy,On The Motorway,154,https://www.last.fm/music/Metronomy/_/On+The+Motorway,https://www.youtube.com/watch?v=ApBfT6cXHSE,Serious,심각한
Metronomy,Holiday,255,https://www.last.fm/music/Metronomy/_/Holiday,https://www.youtube.com/watch?v=NVu0xwJ5LK4,Serious,심각한
Yacht,Dystopia (The Earth is on Fire),241,https://www.last.fm/music/Yacht/_/Dystopia+(The+Earth+is+on+Fire),https://www.youtube.com/watch?v=_OLgG1eAg0E,Serious,심각한
Theory of a Deadman,End Of The Summer,210,https://www.last.fm/music/Theory+of+a+Deadman/_/End+Of+The+Summer,https://www.youtube.com/watch?v=etzjcM3igR0,Serious,심각한
My Morning Jacket,Just One Thing,152,https://www.last.fm/music/My+Morning+Jacket/_/Just+One+Thing,https://www.youtube.com/watch?v=LCYqp7FvBRo,Serious,심각한
The xx,Reconsider (Jamie xx edit),331,https://www.last.fm/music/The+xx/_/Reconsider+(Jamie+xx+edit),https://www.youtube.com/watch?v=nnI62ttLk1g,Serious,심각한
Metronomy,Side 2,213,https://www.last.fm/music/Metronomy/_/Side+2,https://www.youtube.com/watch?v=dbjhjbnDY2U,Serious,심각한
