artist,music_name,duration,lastfm_url,youtube_url,mood_EN,mood_KOR
Kings of Leon,Sex on Fire,222,https://www.last.fm/music/Kings+of+Leon/_/Sex+on+Fire,https://www.youtube.com/watch?v=RF0HhrwIwp0,Sexy,섹시한
Arctic Monkeys,Do I Wanna Know?,272,https://www.last.fm/music/Arctic+Monkeys/_/Do+I+Wanna+Know%3F,https://www.youtube.com/watch?v=bpOSxM0rNPM,Sexy,섹시한
Britney Spears,Toxic,207,https://www.last.fm/music/Britney+Spears/_/Toxic,https://www.youtube.com/watch?v=LOZuxwVk7TU,Sexy,섹시한
Muse,Supermassive Black Hole,251,https://www.last.fm/music/Muse/_/Supermassive+Black+Hole,https://www.youtube.com/watch?v=Xsp3_a-PMTw,Sexy,섹시한
Katy Perry,I Kissed a Girl,181,https://www.last.fm/music/Katy+Perry/_/I+Kissed+a+Girl,https://www.youtube.com/watch?v=tAp9BKosZXs,Sexy,섹시한
Arctic Monkeys,Why'd You Only Call Me When You're High?,161,https://www.last.fm/music/Arctic+Monkeys/_/Why%27d+You+Only+Call+Me+When+You%27re+High%3F,https://www.youtube.com/watch?v=6366dxFf-Os,Sexy,섹시한
Arctic Monkeys,I Wanna Be Yours,184,https://www.last.fm/music/Arctic+Monkeys/_/I+Wanna+Be+Yours,https://www.youtube.com/watch?v=fJLQCf4mFP0,Sexy,섹시한
Lana Del Rey,Born to Die,285,https://www.last.fm/music/Lana+Del+Rey/_/Born+to+Die,https://www.youtube.com/watch?v=Bag1gUxuU0g,Sexy,섹시한
Nelly Furtado,Promiscuous,242,https://www.last.fm/music/Nelly+Furtado/_/Promiscuous,https://www.youtube.com/watch?v=0J3vgcE5i2o,Sexy,섹시한
SZA,Kill Bill,0,https://www.last.fm/music/SZA/_/Kill+Bill,https://www.youtube.com/watch?v=sk6rMb8OsQY,Sexy,섹시한
Lady Gaga,LoveGame,218,https://www.last.fm/music/Lady+Gaga/_/LoveGame,https://www.youtube.com/watch?v=1mB0tP1I-14,Sexy,섹시한
Rihanna,S&M,196,https://www.last.fm/music/Rihanna/_/S&M,https://www.youtube.com/watch?v=KdS6HFQ_LUc,Sexy,섹시한
Nelly Furtado,Maneater,197,https://www.last.fm/music/Nelly+Furtado/_/Maneater,https://www.youtube.com/watch?v=PLolag3YSYU,Sexy,섹시한
Childish Gambino,Redbone,0,https://www.last.fm/music/Childish+Gambino/_/Redbone,https://www.youtube.com/watch?v=Kp7eSUU9oy8,Sexy,섹시한
Britney Spears,Womanizer,223,https://www.last.fm/music/Britney+Spears/_/Womanizer,https://www.youtube.com/watch?v=rMqayQ-U74s,Sexy,섹시한
Rihanna,Rude Boy,224,https://www.last.fm/music/Rihanna/_/Rude+Boy,https://www.youtube.com/watch?v=e82VE8UtW8A,Sexy,섹시한
