artist,music_name,duration,lastfm_url,youtube_url,mood_EN,mood_KOR
Steve Lacy,Bad Habit,0,https://www.last.fm/music/Steve+Lacy/_/Bad+Habit,https://www.youtube.com/watch?v=bU2EvRBUmxc,Warm,따뜻한
The Beatles,Here Comes The Sun - Remastered 2009,0,https://www.last.fm/music/The+Beatles/_/Here+Comes+The+Sun+-+Remastered+2009,https://www.youtube.com/watch?v=KQetemT1sWc,Warm,따뜻한
Harry Styles,Late Night Talking,0,https://www.last.fm/music/Harry+Styles/_/Late+Night+Talking,https://www.youtube.com/watch?v=4VaqA-5aQTM,Warm,따뜻한
"Tyler, the Creator",Glitter,0,"https://www.last.fm/music/Tyler,+the+Creator/_/Glitter",https://www.youtube.com/watch?v=iNP8_xtq8YU,Warm,따뜻한
"Tyler, the Creator",DOGTOOTH,0,"https://www.last.fm/music/Tyler,+the+Creator/_/DOGTOOTH",https://www.youtube.com/watch?v=2TVXi_9Bvlg,Warm,따뜻한
NewJeans,hype boy,0,https://www.last.fm/music/NewJeans/_/hype+boy,https://www.youtube.com/watch?v=11cta61wi0g,Warm,따뜻한
Caroline Polachek,So Hot You're Hurting My Feelings,0,https://www.last.fm/music/Caroline+Polachek/_/So+Hot+You%27re+Hurting+My+Feelings,https://www.youtube.com/watch?v=sn3cHUtNZKo,Warm,따뜻한
Rosalía,DESPECHÁ,0,https://www.last.fm/music/Rosal%C3%ADa/_/DESPECH%C3%81,https://www.youtube.com/watch?v=5g2hT4GmAGU,Warm,따뜻한
Jack Stauber,Buttercup,0,https://www.last.fm/music/Jack+Stauber/_/Buttercup,https://www.youtube.com/watch?v=e2qG5uwDCW4,Warm,따뜻한
Daughter,Medicine,267,https://www.last.fm/music/Daughter/_/Medicine,https://www.youtube.com/watch?v=_lhkfaqFmpM,Warm,따뜻한
Lana Del Rey,The Grants,0,https://www.last.fm/music/Lana+Del+Rey/_/The+Grants,https://www.youtube.com/watch?v=ZegtK54DC4c,Warm,따뜻한
NewJeans,Cool With You,0,https://www.last.fm/music/NewJeans/_/Cool+With+You,https://www.youtube.com/watch?v=kKsivrgoyDw,Warm,따뜻한
Taylor Swift,Clean (Taylor's Version),0,https://www.last.fm/music/Taylor+Swift/_/Clean+(Taylor%27s+Version),https://www.youtube.com/watch?v=AppsjTInqiw,Warm,따뜻한
