artist,music_name,duration,lastfm_url,youtube_url,mood_EN,mood_KOR
of Montreal,Tim I Wish You Were Born a Girl,106,https://www.last.fm/music/of+Montreal/_/Tim+I+Wish+You+Were+Born+a+Girl,https://www.youtube.com/watch?v=ElUg4jF3z_A,Amusing,
They Might Be Giants,"Kiss Me, Son of God",114,"https://www.last.fm/music/They+Might+Be+Giants/_/Kiss+Me,+Son+of+God",https://www.youtube.com/watch?v=RqOSPm2UdRs,Amusing,
"""Weird Al"" Yankovic",Yoda,233,https://www.last.fm/music/%22Weird+Al%22+Yankovic/_/Yoda,https://www.youtube.com/watch?v=-IUMCyAR6U0,Amusing,
The Books,Venice,102,https://www.last.fm/music/The+Books/_/Venice,https://www.youtube.com/watch?v=o7CBeAiNFWA,Amusing,
Say Anything,Retarded in Love,186,https://www.last.fm/music/Say+Anything/_/Retarded+in+Love,https://www.youtube.com/watch?v=QKdndrGEnEY,Amusing,
Ween,Don't Shit Where You Eat,199,https://www.last.fm/music/Ween/_/Don%27t+Shit+Where+You+Eat,https://www.youtube.com/watch?v=NCwk9lWwiI4,Amusing,
Say Anything,No Soul,216,https://www.last.fm/music/Say+Anything/_/No+Soul,https://www.youtube.com/watch?v=hJXCMKvvogE,Amusing,
Ween,"Mister, Would You Please Help My Pony?",205,"https://www.last.fm/music/Ween/_/Mister,+Would+You+Please+Help+My+Pony%3F",https://www.youtube.com/watch?v=rc9mECebRxc,Amusing,
Toy-Box,Tarzan & Jane,179,https://www.last.fm/music/Toy-Box/_/Tarzan+&+Jane,https://www.youtube.com/watch?v=IlDjEd8gAkI,Amusing,
Smog,Our Anniversary,377,https://www.last.fm/music/Smog/_/Our+Anniversary,https://www.youtube.com/watch?v=7WlWjyF-XZs,Amusing,
Ben Folds,Bitch Went Nuts,186,https://www.last.fm/music/Ben+Folds/_/Bitch+Went+Nuts,https://www.youtube.com/watch?v=ATMSs2iw7gg,Amusing,
10cc,The Worst Band In The World,170,https://www.last.fm/music/10cc/_/The+Worst+Band+In+The+World,https://www.youtube.com/watch?v=-sraKulMHZw,Amusing,
Cursive,Big Bang,236,https://www.last.fm/music/Cursive/_/Big+Bang,https://www.youtube.com/watch?v=VzKfW450Jd8,Amusing,
Frank Zappa,Sofa No. 1,0,https://www.last.fm/music/Frank+Zappa/_/Sofa+No.+1,https://www.youtube.com/watch?v=gFx0X3jTHeQ,Amusing,
