artist,music_name,duration,lastfm_url,youtube_url,mood_EN,mood_KOR
Taylor Swift,Karma,0,https://www.last.fm/music/Taylor+Swift/_/Karma,https://www.youtube.com/watch?v=rg18Kf4en2o,Annoying,
Imagine Dragons,Thunder,0,https://www.last.fm/music/Imagine+Dragons/_/Thunder,https://www.youtube.com/watch?v=fKopy74weus,Annoying,
Zara Larsson,Lush Life,0,https://www.last.fm/music/Zara+Larsson/_/Lush+Life,https://www.youtube.com/watch?v=tD4HCZe-tew,Annoying,
Nicki Minaj,Anaconda,204,https://www.last.fm/music/Nicki+Minaj/_/Anaconda,https://www.youtube.com/watch?v=LDZX4ooRsWs,Annoying,
Panic! at the Disco,High Hopes,0,https://www.last.fm/music/Panic%21+at+the+Disco/_/High+Hopes,https://www.youtube.com/watch?v=IPXIgEAGe4U,Annoying,
Maroon 5,Moves Like Jagger - Studio Recording From The Voice Performance,0,https://www.last.fm/music/Maroon+5/_/Moves+Like+Jagger+-+Studio+Recording+From+The+Voice+Performance,https://www.youtube.com/watch?v=iEPTlhBmwRg,Annoying,
Dua Lipa,Blow Your Mind (Mwah),0,https://www.last.fm/music/Dua+Lipa/_/Blow+Your+Mind+(Mwah),https://www.youtube.com/watch?v=1nydxbGhgv8,Annoying,
Dua Lipa,Be The One,0,https://www.last.fm/music/Dua+Lipa/_/Be+The+One,https://www.youtube.com/watch?v=-rey3m8SWQI,Annoying,
Sheppard,Geronimo,218,https://www.last.fm/music/Sheppard/_/Geronimo,https://www.youtube.com/watch?v=ozsmSlvGHv4,Annoying,
Katy Perry,chAiNEd tO the RhyTHM,0,https://www.last.fm/music/Katy+Perry/_/chAiNEd+tO+the+RhyTHM,https://www.youtube.com/watch?v=Um7pMggPnug,Annoying,
Halsey,Bad At Love,0,https://www.last.fm/music/Halsey/_/Bad+At+Love,https://www.youtube.com/watch?v=xdYFuCp3m9k,Annoying,
Solange,Cranes In the Sky,0,https://www.last.fm/music/Solange/_/Cranes+In+the+Sky,https://www.youtube.com/watch?v=S0qrinhNnOM,Annoying,
Meghan Trainor,Made You Look,0,https://www.last.fm/music/Meghan+Trainor/_/Made+You+Look,https://www.youtube.com/watch?v=xHTRpQi1GSc,Annoying,
MF DOOM,Potholderz feat. Count Bass D,0,https://www.last.fm/music/MF+DOOM/_/Potholderz+feat.+Count+Bass+D,https://www.youtube.com/watch?v=oYLHXItjzG4,Annoying,
Dua Lipa,Hotter Than Hell,0,https://www.last.fm/music/Dua+Lipa/_/Hotter+Than+Hell,https://www.youtube.com/watch?v=fEOyePhElr4,Annoying,
Katy Perry,Swish Swish,0,https://www.last.fm/music/Katy+Perry/_/Swish+Swish,https://www.youtube.com/watch?v=iGk5fR-t5AU,Annoying,
DJ Snake,Turn Down For What,213,https://www.last.fm/music/DJ+Snake/_/Turn+Down+For+What,https://www.youtube.com/watch?v=HMUDVMiITOU,Annoying,
Ghost,Square Hammer,0,https://www.last.fm/music/Ghost/_/Square+Hammer,https://www.youtube.com/watch?v=VqoyKzgkqR4,Annoying,
Penelope Scott,Rät,0,https://www.last.fm/music/Penelope+Scott/_/R%C3%A4t,https://www.youtube.com/watch?v=LpxT9TLGoLI,Annoying,
