artist,music_name,duration,lastfm_url,youtube_url,mood_EN,mood_KOR
Coldplay,Yellow,267,https://www.last.fm/music/Coldplay/_/Yellow,https://www.youtube.com/watch?v=yKNxeF4KMsY,Beautiful,
Radiohead,No Surprises,0,https://www.last.fm/music/Radiohead/_/No+Surprises,https://www.youtube.com/watch?v=u5CVsCnxyXg,Beautiful,
Coldplay,The Scientist,309,https://www.last.fm/music/Coldplay/_/The+Scientist,https://www.youtube.com/watch?v=RB-RcX5DS5A,Beautiful,
Coldplay,Fix You,294,https://www.last.fm/music/Coldplay/_/Fix+You,https://www.youtube.com/watch?v=k4V3Mo61fJM,Beautiful,
Gotye,Somebody That I Used To Know,294,https://www.last.fm/music/Gotye/_/Somebody+That+I+Used+To+Know,https://www.youtube.com/watch?v=8UVNT4wvIGY,Beautiful,
Arctic Monkeys,505,253,https://www.last.fm/music/Arctic+Monkeys/_/505,https://www.youtube.com/watch?v=qU9mHegkTc4,Beautiful,
Snow Patrol,Chasing Cars,0,https://www.last.fm/music/Snow+Patrol/_/Chasing+Cars,https://www.youtube.com/watch?v=GemKqzILV4w,Beautiful,
Radiohead,High and Dry,256,https://www.last.fm/music/Radiohead/_/High+and+Dry,https://www.youtube.com/watch?v=7qFfFVSerQo,Beautiful,
Lana Del Rey,Video Games,243,https://www.last.fm/music/Lana+Del+Rey/_/Video+Games,https://www.youtube.com/watch?v=cE6wxDqdOV0,Beautiful,
Adele,Someone Like You,283,https://www.last.fm/music/Adele/_/Someone+Like+You,https://www.youtube.com/watch?v=hLQl3WQQoQ0,Beautiful,
Muse,Starlight,239,https://www.last.fm/music/Muse/_/Starlight,https://www.youtube.com/watch?v=Pgum6OT_VH8,Beautiful,
Radiohead,Fake Plastic Trees,285,https://www.last.fm/music/Radiohead/_/Fake+Plastic+Trees,https://www.youtube.com/watch?v=n5h0qHwNrHk,Beautiful,
Frank Ocean,Pink + White,0,https://www.last.fm/music/Frank+Ocean/_/Pink+%252B+White,https://www.youtube.com/watch?v=uzS3WG6__G4,Beautiful,
The Fray,How to Save a Life,290,https://www.last.fm/music/The+Fray/_/How+to+Save+a+Life,https://www.youtube.com/watch?v=cjVQ36NhbMk,Beautiful,
Radiohead,Exit Music (for a Film),278,https://www.last.fm/music/Radiohead/_/Exit+Music+(for+a+Film),https://www.youtube.com/watch?v=Bf01riuiJWA,Beautiful,
Coldplay,Sparks,269,https://www.last.fm/music/Coldplay/_/Sparks,https://www.youtube.com/watch?v=1aokooixKIo,Beautiful,
Adele,Set Fire to the Rain,239,https://www.last.fm/music/Adele/_/Set+Fire+to+the+Rain,https://www.youtube.com/watch?v=a2giXO6eyuI,Beautiful,
Radiohead,Jigsaw Falling Into Place,245,https://www.last.fm/music/Radiohead/_/Jigsaw+Falling+Into+Place,https://www.youtube.com/watch?v=GoLJJRIWCLU,Beautiful,
Beyoncé,Halo,262,https://www.last.fm/music/Beyonc%C3%A9/_/Halo,https://www.youtube.com/watch?v=bnVUHWCynig,Beautiful,
The Verve,Bitter Sweet Symphony,275,https://www.last.fm/music/The+Verve/_/Bitter+Sweet+Symphony,https://www.youtube.com/watch?v=1lyu1KKwC74,Beautiful,
Radiohead,All I Need,261,https://www.last.fm/music/Radiohead/_/All+I+Need,https://www.youtube.com/watch?v=FM7ALFsOH4g,Beautiful,
Plain White T's,Hey There Delilah,233,https://www.last.fm/music/Plain+White+T%27s/_/Hey+There+Delilah,https://www.youtube.com/watch?v=h_m-BjrxmgI,Beautiful,
Coldplay,Paradise,332,https://www.last.fm/music/Coldplay/_/Paradise,https://www.youtube.com/watch?v=1G4isv_Fylg,Beautiful,
Bon Iver,Skinny Love,239,https://www.last.fm/music/Bon+Iver/_/Skinny+Love,https://www.youtube.com/watch?v=Dz5s5C6sAt0,Beautiful,
SZA,Kill Bill,0,https://www.last.fm/music/SZA/_/Kill+Bill,https://www.youtube.com/watch?v=sk6rMb8OsQY,Beautiful,
Lana Del Rey,Young and Beautiful,235,https://www.last.fm/music/Lana+Del+Rey/_/Young+and+Beautiful,https://www.youtube.com/watch?v=o_1aF54DO60,Beautiful,
Gorillaz,On Melancholy Hill,227,https://www.last.fm/music/Gorillaz/_/On+Melancholy+Hill,https://www.youtube.com/watch?v=04mfKJWDSzI,Beautiful,
Death Cab for Cutie,I Will Follow You Into The Dark,0,https://www.last.fm/music/Death+Cab+for+Cutie/_/I+Will+Follow+You+Into+The+Dark,https://www.youtube.com/watch?v=9FhRQt1vm3A,Beautiful,
Coldplay,Don't Panic,141,https://www.last.fm/music/Coldplay/_/Don%27t+Panic,https://www.youtube.com/watch?v=yWeuUwpEQfs,Beautiful,
Johnny Cash,Hurt,218,https://www.last.fm/music/Johnny+Cash/_/Hurt,https://www.youtube.com/watch?v=8AHCfZTRGiI,Beautiful,
Radiohead,Nude,0,https://www.last.fm/music/Radiohead/_/Nude,https://www.youtube.com/watch?v=BbWBRnDK_AE,Beautiful,
Radiohead,Let Down,299,https://www.last.fm/music/Radiohead/_/Let+Down,https://www.youtube.com/watch?v=duBCwvC1kP4,Beautiful,
Goo Goo Dolls,Iris,289,https://www.last.fm/music/Goo+Goo+Dolls/_/Iris,https://www.youtube.com/watch?v=NdYWuo9OFAw,Beautiful,
"Tyler, the Creator",Earfquake,0,"https://www.last.fm/music/Tyler,+the+Creator/_/Earfquake",https://www.youtube.com/watch?v=HmAsUQEFYGI,Beautiful,
Coldplay,Trouble,0,https://www.last.fm/music/Coldplay/_/Trouble,https://www.youtube.com/watch?v=kcASPx3-HuI,Beautiful,
Mazzy Star,Fade Into You,291,https://www.last.fm/music/Mazzy+Star/_/Fade+Into+You,https://www.youtube.com/watch?v=avv2IIdDnnk,Beautiful,
Green Day,Good Riddance (Time of Your Life),206,https://www.last.fm/music/Green+Day/_/Good+Riddance+(Time+of+Your+Life),https://www.youtube.com/watch?v=CnQ8N1KacJc,Beautiful,
Adele,Chasing Pavements,210,https://www.last.fm/music/Adele/_/Chasing+Pavements,https://www.youtube.com/watch?v=08DjMT-qR9g,Beautiful,
Radiohead,Reckoner,324,https://www.last.fm/music/Radiohead/_/Reckoner,https://www.youtube.com/watch?v=pYHEpDnvVPk,Beautiful,
Radiohead,How to Disappear Completely,356,https://www.last.fm/music/Radiohead/_/How+to+Disappear+Completely,https://www.youtube.com/watch?v=nZq_jeYsbTs,Beautiful,
Radiohead,Subterranean Homesick Alien,267,https://www.last.fm/music/Radiohead/_/Subterranean+Homesick+Alien,https://www.youtube.com/watch?v=_fTWmUlTEqE,Beautiful,
Radiohead,House of Cards,352,https://www.last.fm/music/Radiohead/_/House+of+Cards,https://www.youtube.com/watch?v=8nTFjVm9sTQ,Beautiful,
Pink Floyd,Comfortably Numb,382,https://www.last.fm/music/Pink+Floyd/_/Comfortably+Numb,https://www.youtube.com/watch?v=x-xTttimcNk,Beautiful,
The Temper Trap,Sweet Disposition,233,https://www.last.fm/music/The+Temper+Trap/_/Sweet+Disposition,https://www.youtube.com/watch?v=vN7HQrgakZU,Beautiful,
Deftones,Change (In the House of Flies),296,https://www.last.fm/music/Deftones/_/Change+(In+the+House+of+Flies),https://www.youtube.com/watch?v=WPpDyIJdasg,Beautiful,
Evanescence,My Immortal,0,https://www.last.fm/music/Evanescence/_/My+Immortal,https://www.youtube.com/watch?v=5anLPw0Efmo,Beautiful,
Radiohead,Lucky,0,https://www.last.fm/music/Radiohead/_/Lucky,https://www.youtube.com/watch?v=yuZYQvvLXVY,Beautiful,
Yeah Yeah Yeahs,Maps,0,https://www.last.fm/music/Yeah+Yeah+Yeahs/_/Maps,https://www.youtube.com/watch?v=oIIxlgcuQRU,Beautiful,
Jeff Buckley,Hallelujah,256,https://www.last.fm/music/Jeff+Buckley/_/Hallelujah,https://www.youtube.com/watch?v=y8AWFf7EAc4,Beautiful,
Pink Floyd,The Great Gig in the Sky,287,https://www.last.fm/music/Pink+Floyd/_/The+Great+Gig+in+the+Sky,https://www.youtube.com/watch?v=mPGv8L3a_sY,Beautiful,
Joji,Slow dancing in the dark,0,https://www.last.fm/music/Joji/_/Slow+dancing+in+the+dark,https://www.youtube.com/watch?v=K3Qzzggn--s,Beautiful,
José González,Heartbeats,0,https://www.last.fm/music/Jos%C3%A9+Gonz%C3%A1lez/_/Heartbeats,https://www.youtube.com/watch?v=ik_BQYbbZ5U,Beautiful,
Radiohead,Street Spirit (Fade Out),252,https://www.last.fm/music/Radiohead/_/Street+Spirit+(Fade+Out),https://www.youtube.com/watch?v=LCJblaUkkfc,Beautiful,
Paramore,The Only Exception,267,https://www.last.fm/music/Paramore/_/The+Only+Exception,https://www.youtube.com/watch?v=-J7J_IWUhls,Beautiful,
Kanye West,Runaway,0,https://www.last.fm/music/Kanye+West/_/Runaway,https://www.youtube.com/watch?v=VhEoCOWUtcU,Beautiful,
Lord Huron,The Night We Met,0,https://www.last.fm/music/Lord+Huron/_/The+Night+We+Met,https://www.youtube.com/watch?v=KtlgYxa6BMU,Beautiful,
Fleet Foxes,White Winter Hymnal,147,https://www.last.fm/music/Fleet+Foxes/_/White+Winter+Hymnal,https://www.youtube.com/watch?v=DrQRS40OKNE,Beautiful,
Lana Del Rey,Brooklyn Baby,349,https://www.last.fm/music/Lana+Del+Rey/_/Brooklyn+Baby,https://www.youtube.com/watch?v=T5xcnjAG8pE,Beautiful,
Frank Ocean,nights,0,https://www.last.fm/music/Frank+Ocean/_/nights,https://www.youtube.com/watch?v=r4l9bFqgMaQ,Beautiful,
Girl In Red,We Fell In Love In October,0,https://www.last.fm/music/Girl+In+Red/_/We+Fell+In+Love+In+October,https://www.youtube.com/watch?v=iggmiF7DNoM,Beautiful,
Grimes,Genesis,253,https://www.last.fm/music/Grimes/_/Genesis,https://www.youtube.com/watch?v=1FH-q0I1fJY,Beautiful,
Radiohead,Faust Arp,0,https://www.last.fm/music/Radiohead/_/Faust+Arp,https://www.youtube.com/watch?v=PRc0iMRoIoc,Beautiful,
Billie Eilish,when the party's over,0,https://www.last.fm/music/Billie+Eilish/_/when+the+party%27s+over,https://www.youtube.com/watch?v=pbMwTqkKSps,Beautiful,
James Blunt,You're Beautiful,214,https://www.last.fm/music/James+Blunt/_/You%27re+Beautiful,https://www.youtube.com/watch?v=oofSnsGkops,Beautiful,
Radiohead,Climbing Up the Walls,285,https://www.last.fm/music/Radiohead/_/Climbing+Up+the+Walls,https://www.youtube.com/watch?v=XX4EpkR-Sp4,Beautiful,
Radiohead,Videotape,0,https://www.last.fm/music/Radiohead/_/Videotape,https://www.youtube.com/watch?v=WF83_PR2EsA,Beautiful,
