artist,music_name,duration,lastfm_url,youtube_url,mood_EN,mood_KOR
Coldplay,Sparks,269,https://www.last.fm/music/Coldplay/_/Sparks,https://www.youtube.com/watch?v=1aokooixKIo,Relaxing,
Coldplay,Don't Panic,141,https://www.last.fm/music/Coldplay/_/Don%27t+Panic,https://www.youtube.com/watch?v=yWeuUwpEQfs,Relaxing,
Jack Johnson,Better Together,253,https://www.last.fm/music/Jack+Johnson/_/Better+Together,https://www.youtube.com/watch?v=seZMOTGCDag,Relaxing,
Jack Johnson,Banana Pancakes,186,https://www.last.fm/music/Jack+Johnson/_/Banana+Pancakes,https://www.youtube.com/watch?v=OkyrIRyrRdY,Relaxing,
Men I Trust,Show Me How,0,https://www.last.fm/music/Men+I+Trust/_/Show+Me+How,https://www.youtube.com/watch?v=OZRYzH0Q0pU,Relaxing,
Mac DeMarco,Freaking Out the Neighborhood,173,https://www.last.fm/music/Mac+DeMarco/_/Freaking+Out+the+Neighborhood,https://www.youtube.com/watch?v=MeRIAew8eXc,Relaxing,
Daft Punk,Veridis Quo,0,https://www.last.fm/music/Daft+Punk/_/Veridis+Quo,https://www.youtube.com/watch?v=HhZaHf8RP6g,Relaxing,
Deftones,Sextape,241,https://www.last.fm/music/Deftones/_/Sextape,https://www.youtube.com/watch?v=f0pdwd0miqs,Relaxing,
Coldplay,Parachutes,310,https://www.last.fm/music/Coldplay/_/Parachutes,https://www.youtube.com/watch?v=v77WFwYtUE0,Relaxing,
Taylor Swift,Snow on the Beach (feat. Lana Del Rey),0,https://www.last.fm/music/Taylor+Swift/_/Snow+on+the+Beach+(feat.+Lana+Del+Rey),https://www.youtube.com/watch?v=ycE7bUq3-2k,Relaxing,
Coldplay,Spies,318,https://www.last.fm/music/Coldplay/_/Spies,https://www.youtube.com/watch?v=25s17jID6gs,Relaxing,
Justin Bieber,Mistletoe,182,https://www.last.fm/music/Justin+Bieber/_/Mistletoe,https://www.youtube.com/watch?v=LUjn3RpkcKY,Relaxing,
311,Amber,208,https://www.last.fm/music/311/_/Amber,https://www.youtube.com/watch?v=Biw012tPKMc,Relaxing,
The Beatles,Blackbird,138,https://www.last.fm/music/The+Beatles/_/Blackbird,https://www.youtube.com/watch?v=Man4Xw8Xypo,Relaxing,
Jack Johnson,Breakdown,215,https://www.last.fm/music/Jack+Johnson/_/Breakdown,https://www.youtube.com/watch?v=Y4O7ufx9D_s,Relaxing,
Death Cab for Cutie,Brothers on a Hotel Bed,0,https://www.last.fm/music/Death+Cab+for+Cutie/_/Brothers+on+a+Hotel+Bed,https://www.youtube.com/watch?v=yWS6ZGGrQYk,Relaxing,
Bon Iver,Rosyln,0,https://www.last.fm/music/Bon+Iver/_/Rosyln,https://www.youtube.com/watch?v=LHHsYG8x2j0,Relaxing,
Sufjan Stevens,Should Have Known Better,0,https://www.last.fm/music/Sufjan+Stevens/_/Should+Have+Known+Better,https://www.youtube.com/watch?v=lJJT00wqlOo,Relaxing,
The Beach Boys,Kokomo,215,https://www.last.fm/music/The+Beach+Boys/_/Kokomo,https://www.youtube.com/watch?v=fJWmbLS2_ec,Relaxing,
Cigarettes After Sex,Heavenly,0,https://www.last.fm/music/Cigarettes+After+Sex/_/Heavenly,https://www.youtube.com/watch?v=Q4N27eiH6O0,Relaxing,
Taylor Swift,Nothing New (feat. Phoebe Bridgers) (Taylor’s Version) (From The Vault),0,https://www.last.fm/music/Taylor+Swift/_/Nothing+New+(feat.+Phoebe+Bridgers)+(Taylor%E2%80%99s+Version)+(From+The+Vault),https://www.youtube.com/watch?v=m3fWCRvz5JA,Relaxing,
Foo Fighters,Walking After You,247,https://www.last.fm/music/Foo+Fighters/_/Walking+After+You,https://www.youtube.com/watch?v=TNwkN9vrUYY,Relaxing,
Taylor Swift,This Love (Taylor’s Version),0,https://www.last.fm/music/Taylor+Swift/_/This+Love+(Taylor%E2%80%99s+Version),https://www.youtube.com/watch?v=mvxQYPR4lmU,Relaxing,
Enya,Only Time,220,https://www.last.fm/music/Enya/_/Only+Time,https://www.youtube.com/watch?v=7wfYIMyS_dI,Relaxing,
Aphex Twin,Flim,177,https://www.last.fm/music/Aphex+Twin/_/Flim,https://www.youtube.com/watch?v=-yNHlKAzyVA,Relaxing,
Nick Drake,From the Morning,152,https://www.last.fm/music/Nick+Drake/_/From+the+Morning,https://www.youtube.com/watch?v=xPe5ZQx0OpQ,Relaxing,
Kings of Convenience,Homesick,190,https://www.last.fm/music/Kings+of+Convenience/_/Homesick,https://www.youtube.com/watch?v=7o2aHHilImM,Relaxing,
Sufjan Stevens,"Concerning the UFO Sighting Near Highland, Illinois",194,"https://www.last.fm/music/Sufjan+Stevens/_/Concerning+the+UFO+Sighting+Near+Highland,+Illinois",https://www.youtube.com/watch?v=zR2TqWDqO_w,Relaxing,
