artist,music_name,duration,lastfm_url,youtube_url,mood_EN,mood_KOR
Lil Xan,Betrayed,0,https://www.last.fm/music/Lil+Xan/_/Betrayed,https://www.youtube.com/watch?v=EbfK7dei7ec,Defiant,
Manic Street Preachers,Little Baby Nothing,280,https://www.last.fm/music/Manic+Street+Preachers/_/Little+Baby+Nothing,https://www.youtube.com/watch?v=BcdbHkhbDOo,Defiant,
The Mountain Goats,Heretic Pride,224,https://www.last.fm/music/The+Mountain+Goats/_/Heretic+Pride,https://www.youtube.com/watch?v=VZ6O7Jk4MXs,Defiant,
The Go! Team,We Just Won't Be Defeated,165,https://www.last.fm/music/The+Go%21+Team/_/We+Just+Won%27t+Be+Defeated,https://www.youtube.com/watch?v=0fmmbRKYK1c,Defiant,
Face to Face,I Won't Lie Down,189,https://www.last.fm/music/Face+to+Face/_/I+Won%27t+Lie+Down,https://www.youtube.com/watch?v=kGGrLXQCOCs,Defiant,
The Mountain Goats,Lovecraft in Brooklyn,231,https://www.last.fm/music/The+Mountain+Goats/_/Lovecraft+in+Brooklyn,https://www.youtube.com/watch?v=3IB6ihdAWFo,Defiant,
Ben Folds,Hiroshima (B B B Benny Hit His Head),0,https://www.last.fm/music/Ben+Folds/_/Hiroshima+(B+B+B+Benny+Hit+His+Head),https://www.youtube.com/watch?v=K_dm4oT61fQ,Defiant,
The Mountain Goats,Michael Myers Resplendent,0,https://www.last.fm/music/The+Mountain+Goats/_/Michael+Myers+Resplendent,https://www.youtube.com/watch?v=DtoJNa0Gmus,Defiant,
Jack's Mannequin,Caves,499,https://www.last.fm/music/Jack%27s+Mannequin/_/Caves,https://www.youtube.com/watch?v=EBeem8q9TD0,Defiant,
Beastie Boys,She's On It,213,https://www.last.fm/music/Beastie+Boys/_/She%27s+On+It,https://www.youtube.com/watch?v=MCGCxuESM-c,Defiant,
M.I.A.,Big Branch,165,https://www.last.fm/music/M.I.A./_/Big+Branch,https://www.youtube.com/watch?v=oqcqz_fMzME,Defiant,
Prince,Anotherloverholenyohead,200,https://www.last.fm/music/Prince/_/Anotherloverholenyohead,https://www.youtube.com/watch?v=Zc99JK9gHDk,Defiant,
Kate Voegele,Might Have Been,0,https://www.last.fm/music/Kate+Voegele/_/Might+Have+Been,https://www.youtube.com/watch?v=7BDCBn7oKTM,Defiant,
Plain White T's,Big Bad World,187,https://www.last.fm/music/Plain+White+T%27s/_/Big+Bad+World,https://www.youtube.com/watch?v=L07O9E_z3c8,Defiant,
Vast,Temptation,189,https://www.last.fm/music/Vast/_/Temptation,https://www.youtube.com/watch?v=Sgo_BcXEDh8,Defiant,
Semisonic,Bed,245,https://www.last.fm/music/Semisonic/_/Bed,https://www.youtube.com/watch?v=SPsKCclt5WQ,Defiant,
Bob Marley,Wake Up And Live,246,https://www.last.fm/music/Bob+Marley/_/Wake+Up+And+Live,https://www.youtube.com/watch?v=-nR2vsnH4Is,Defiant,
Catherine Feeny,Hurricane Glass,232,https://www.last.fm/music/Catherine+Feeny/_/Hurricane+Glass,https://www.youtube.com/watch?v=JVWwKK-KmTw,Defiant,
Jay-Z,The Prelude (Produced By B-Money),0,https://www.last.fm/music/Jay-Z/_/The+Prelude+(Produced+By+B-Money),,Defiant,
Manic Street Preachers,Baby Elian,0,https://www.last.fm/music/Manic+Street+Preachers/_/Baby+Elian,https://www.youtube.com/watch?v=Skw-WDbsTdY,Defiant,
Sonic Youth,The Sprawl (Live),0,https://www.last.fm/music/Sonic+Youth/_/The+Sprawl+(Live),https://www.youtube.com/watch?v=z93MJzqpl98,Defiant,
Nicola Roberts,Take a Bite,196,https://www.last.fm/music/Nicola+Roberts/_/Take+a+Bite,https://www.youtube.com/watch?v=M98Ot0xenIw,Defiant,
Jimi Hendrix,All Along the Watch Tower,0,https://www.last.fm/music/Jimi+Hendrix/_/All+Along+the+Watch+Tower,https://www.youtube.com/watch?v=TLV4_xaYynY,Defiant,
The Housemartins,Sitting On A Fence,180,https://www.last.fm/music/The+Housemartins/_/Sitting+On+A+Fence,https://www.youtube.com/watch?v=fudOagMeVKk,Defiant,
Tilly and the Wall,Blood Flower,0,https://www.last.fm/music/Tilly+and+the+Wall/_/Blood+Flower,https://www.youtube.com/watch?v=c6S4Jl72LTI,Defiant,
Reuben,Stuck in My Throat,224,https://www.last.fm/music/Reuben/_/Stuck+in+My+Throat,https://www.youtube.com/watch?v=YE8a1C6Oyss,Defiant,
Crass,Where Next Columbus?,192,https://www.last.fm/music/Crass/_/Where+Next+Columbus%3F,https://www.youtube.com/watch?v=u7D9aoq6wfc,Defiant,
Summoning,Saruman,460,https://www.last.fm/music/Summoning/_/Saruman,https://www.youtube.com/watch?v=28y4eLziPtk,Defiant,
Ani DiFranco,Slide,219,https://www.last.fm/music/Ani+DiFranco/_/Slide,https://www.youtube.com/watch?v=Eqwww-lLz74,Defiant,
That Petrol Emotion,Big Decision,162,https://www.last.fm/music/That+Petrol+Emotion/_/Big+Decision,https://www.youtube.com/watch?v=zptt2e5JIwM,Defiant,
Céline Dion,Les Derniers Seront Les Premiers,212,https://www.last.fm/music/C%C3%A9line+Dion/_/Les+Derniers+Seront+Les+Premiers,https://www.youtube.com/watch?v=DeUj5fyjtos,Defiant,
Evie Sands,I Can't Let Go,139,https://www.last.fm/music/Evie+Sands/_/I+Can%27t+Let+Go,https://www.youtube.com/watch?v=_pq_tr1TZNY,Defiant,
Grant Lee Buffalo,Drag,205,https://www.last.fm/music/Grant+Lee+Buffalo/_/Drag,,Defiant,
Orties,Plus putes que toutes les putes,145,https://www.last.fm/music/Orties/_/Plus+putes+que+toutes+les+putes,https://www.youtube.com/watch?v=GEP5LbhS4MA,Defiant,
Son Volt,Jet Pilot,192,https://www.last.fm/music/Son+Volt/_/Jet+Pilot,https://www.youtube.com/watch?v=eGNN9xBlsjs,Defiant,
Hans Zimmer,War,314,https://www.last.fm/music/Hans+Zimmer/_/War,,Defiant,
Josh Groban,Canto Alla Vita,318,https://www.last.fm/music/Josh+Groban/_/Canto+Alla+Vita,https://www.youtube.com/watch?v=dLIuoFswnqk,Defiant,
John Rzeznik,I'm Still Here,0,https://www.last.fm/music/John+Rzeznik/_/I%27m+Still+Here,https://www.youtube.com/watch?v=0Z-l9IUBOqM,Defiant,
Crass,Where next columbus,191,https://www.last.fm/music/Crass/_/Where+next+columbus,https://www.youtube.com/watch?v=u7D9aoq6wfc,Defiant,
Tori Amos,Butterfly,190,https://www.last.fm/music/Tori+Amos/_/Butterfly,https://www.youtube.com/watch?v=4TuPV23zeu0,Defiant,
Mary Gauthier,I Ain't Leaving,317,https://www.last.fm/music/Mary+Gauthier/_/I+Ain%27t+Leaving,https://www.youtube.com/watch?v=-hx04hbaNSc,Defiant,
Mindy Smith,Fighting for It All,199,https://www.last.fm/music/Mindy+Smith/_/Fighting+for+It+All,https://www.youtube.com/watch?v=MJNuVt7MZAw,Defiant,
I Fight Dragons,Welcome To The Breakdown,182,https://www.last.fm/music/I+Fight+Dragons/_/Welcome+To+The+Breakdown,https://www.youtube.com/watch?v=y9T2YF7VWyw,Defiant,
Tori Amos,Ruby Through the Looking-Glass,405,https://www.last.fm/music/Tori+Amos/_/Ruby+Through+the+Looking-Glass,https://www.youtube.com/watch?v=DQUbs7cL1HM,Defiant,
Good Riddance,Don't Have Time,0,https://www.last.fm/music/Good+Riddance/_/Don%27t+Have+Time,https://www.youtube.com/watch?v=OWevraLobL0,Defiant,
Slayer & Ice-T,Disorder,0,https://www.last.fm/music/Slayer+&+Ice-T/_/Disorder,https://www.youtube.com/watch?v=P3exyBH_khA,Defiant,
Tori Amos,Tombigbee,345,https://www.last.fm/music/Tori+Amos/_/Tombigbee,https://www.youtube.com/watch?v=bbhrzVDiMb4,Defiant,
Cécile Corbel,The Wild Waltz,184,https://www.last.fm/music/C%C3%A9cile+Corbel/_/The+Wild+Waltz,https://www.youtube.com/watch?v=ZMEY303BF9A,Defiant,
Quarashi,Weirdo,218,https://www.last.fm/music/Quarashi/_/Weirdo,https://www.youtube.com/watch?v=gxlUtkDkieE,Defiant,
Edwin Starr,Stop The War Now,211,https://www.last.fm/music/Edwin+Starr/_/Stop+The+War+Now,https://www.youtube.com/watch?v=Zlpfe83keGo,Defiant,
志方あきこ,うみねこのなく頃に,277,https://www.last.fm/music/%E5%BF%97%E6%96%B9%E3%81%82%E3%81%8D%E3%81%93/_/%E3%81%86%E3%81%BF%E3%81%AD%E3%81%93%E3%81%AE%E3%81%AA%E3%81%8F%E9%A0%83%E3%81%AB,https://www.youtube.com/watch?v=A1PkR56lgZk,Defiant,
Erma Franklin,(Take a Little) Piece of My Heart,155,https://www.last.fm/music/Erma+Franklin/_/(Take+a+Little)+Piece+of+My+Heart,,Defiant,
Allison Weiss,Let's Leave,188,https://www.last.fm/music/Allison+Weiss/_/Let%27s+Leave,,Defiant,
Slaid Cleaves,This Morning I Am Born Again,236,https://www.last.fm/music/Slaid+Cleaves/_/This+Morning+I+Am+Born+Again,https://www.youtube.com/watch?v=D70G6yXqJzA,Defiant,
Tara MacLean,Evidence,294,https://www.last.fm/music/Tara+MacLean/_/Evidence,https://www.youtube.com/watch?v=C4iSkyEhuss,Defiant,
Luc Arbogast,Vox Clamantis,200,https://www.last.fm/music/Luc+Arbogast/_/Vox+Clamantis,https://www.youtube.com/watch?v=G-baoojvu1o,Defiant,
