artist,music_name,duration,lastfm_url,youtube_url,mood_EN,mood_KOR
Madvillain,The Illest Villains,116,https://www.last.fm/music/Madvillain/_/The+Illest+Villains,https://www.youtube.com/watch?v=zQ0yXh_ADlQ,Joyful,
The Black Keys,Run Right Back,197,https://www.last.fm/music/The+Black+Keys/_/Run+Right+Back,https://www.youtube.com/watch?v=bpXvmzE5qTA,Joyful,
Holy Fuck,Lovely Allen,284,https://www.last.fm/music/Holy+Fuck/_/Lovely+Allen,https://www.youtube.com/watch?v=bGBtogiBAyk,Joyful,
Bon Iver,Beth / Rest,0,https://www.last.fm/music/Bon+Iver/_/Beth+%2F+Rest,https://www.youtube.com/watch?v=7ssHe4i8yhk,Joyful,
The Byrds,You Ain't Goin' Nowhere,153,https://www.last.fm/music/The+Byrds/_/You+Ain%27t+Goin%27+Nowhere,https://www.youtube.com/watch?v=Q21BF38W3Gs,Joyful,
Radiohead,Worrywort,277,https://www.last.fm/music/Radiohead/_/Worrywort,https://www.youtube.com/watch?v=5qXOxpKBhAs,Joyful,
We the Kings,Whoa,157,https://www.last.fm/music/We+the+Kings/_/Whoa,https://www.youtube.com/watch?v=Satn53lxsa4,Joyful,
Cansei de Ser Sexy,Move,0,https://www.last.fm/music/Cansei+de+Ser+Sexy/_/Move,https://www.youtube.com/watch?v=E7eq4RFf0Sc,Joyful,
Air France,Collapsing at Your Doorstep,274,https://www.last.fm/music/Air+France/_/Collapsing+at+Your+Doorstep,https://www.youtube.com/watch?v=IMATnqyVMZM,Joyful,
Kero Kero Bonito,Picture This,0,https://www.last.fm/music/Kero+Kero+Bonito/_/Picture+This,https://www.youtube.com/watch?v=VaVWvcuy3Cg,Joyful,
Pete and the Pirates,Mr Understanding,0,https://www.last.fm/music/Pete+and+the+Pirates/_/Mr+Understanding,https://www.youtube.com/watch?v=UPtRYf6yDt8,Joyful,
Madlib,Stepping Into Tomorrow,457,https://www.last.fm/music/Madlib/_/Stepping+Into+Tomorrow,https://www.youtube.com/watch?v=B4Vzb9EbKm0,Joyful,
Nina Simone,Sinnerman - felix da housecat's heavenly house mix,0,https://www.last.fm/music/Nina+Simone/_/Sinnerman+-+felix+da+housecat%27s+heavenly+house+mix,https://www.youtube.com/watch?v=_raonMRuT54,Joyful,
The Walkmen,New Year's Eve,140,https://www.last.fm/music/The+Walkmen/_/New+Year%27s+Eve,https://www.youtube.com/watch?v=SFYD20WHou4,Joyful,
Orange Juice,I Can't Help Myself,307,https://www.last.fm/music/Orange+Juice/_/I+Can%27t+Help+Myself,https://www.youtube.com/watch?v=SxjEZm321kA,Joyful,
The New Pornographers,Centre for Holy Wars,187,https://www.last.fm/music/The+New+Pornographers/_/Centre+for+Holy+Wars,https://www.youtube.com/watch?v=jmzTLU1dw70,Joyful,
Cansei de Ser Sexy,Beautiful Song,0,https://www.last.fm/music/Cansei+de+Ser+Sexy/_/Beautiful+Song,https://www.youtube.com/watch?v=vuuwkl5f530,Joyful,
The Black Angels,Telephone,0,https://www.last.fm/music/The+Black+Angels/_/Telephone,https://www.youtube.com/watch?v=sk8ef1OPNs4,Joyful,
Hüsker Dü,Books About UFOs,156,https://www.last.fm/music/H%C3%BCsker+D%C3%BC/_/Books+About+UFOs,https://www.youtube.com/watch?v=lWRX6uKjKUw,Joyful,
Cansei de Ser Sexy,How I Became Paranoid,0,https://www.last.fm/music/Cansei+de+Ser+Sexy/_/How+I+Became+Paranoid,https://www.youtube.com/watch?v=2LLIXKv2SMo,Joyful,
The Polyphonic Spree,It's the Sun,385,https://www.last.fm/music/The+Polyphonic+Spree/_/It%27s+the+Sun,https://www.youtube.com/watch?v=P9gk1PGZxaE,Joyful,
Sufjan Stevens,"The Perpetual Self, or ""What Would Saul Alinsky Do?""",146,"https://www.last.fm/music/Sufjan+Stevens/_/The+Perpetual+Self,+or+%22What+Would+Saul+Alinsky+Do%3F%22",https://www.youtube.com/watch?v=5pNudn7fwes,Joyful,
Paul Kalkbrenner,Revolte,159,https://www.last.fm/music/Paul+Kalkbrenner/_/Revolte,https://www.youtube.com/watch?v=No3IK6iV2Ok,Joyful,
Leonard Cohen,Jazz Police,231,https://www.last.fm/music/Leonard+Cohen/_/Jazz+Police,https://www.youtube.com/watch?v=I9UbCT3iGc0,Joyful,
Morrissey,Billy Budd,129,https://www.last.fm/music/Morrissey/_/Billy+Budd,https://www.youtube.com/watch?v=QCNVjU9pksM,Joyful,
Parov Stelar,Wake Up Sister,174,https://www.last.fm/music/Parov+Stelar/_/Wake+Up+Sister,https://www.youtube.com/watch?v=KF0cyf7zYi8,Joyful,
Dan Deacon,Okie Dokie,157,https://www.last.fm/music/Dan+Deacon/_/Okie+Dokie,https://www.youtube.com/watch?v=4NGSB6KFagw,Joyful,
The Feelies,Raised Eyebrows,180,https://www.last.fm/music/The+Feelies/_/Raised+Eyebrows,https://www.youtube.com/watch?v=tfpq7aYDjHY,Joyful,
The Feelies,Original Love,175,https://www.last.fm/music/The+Feelies/_/Original+Love,https://www.youtube.com/watch?v=y6kCrn3I5JU,Joyful,
The Black Angels,Sunday Afternoon,0,https://www.last.fm/music/The+Black+Angels/_/Sunday+Afternoon,https://www.youtube.com/watch?v=Mzu58nQUTkM,Joyful,
Dananananaykroyd,Black Wax,243,https://www.last.fm/music/Dananananaykroyd/_/Black+Wax,https://www.youtube.com/watch?v=9cfeHClSx2w,Joyful,
Someone Still Loves You Boris Yeltsin,Sink/Let it Sway,186,https://www.last.fm/music/Someone+Still+Loves+You+Boris+Yeltsin/_/Sink%2FLet+it+Sway,https://www.youtube.com/watch?v=Ns-h8_CSRfI,Joyful,
Parov Stelar,Booty Swing - Original,0,https://www.last.fm/music/Parov+Stelar/_/Booty+Swing+-+Original,https://www.youtube.com/watch?v=Eco4z98nIQY,Joyful,
Fatboy Slim,Put It Back Together,276,https://www.last.fm/music/Fatboy+Slim/_/Put+It+Back+Together,https://www.youtube.com/watch?v=f7MRvorRN7M,Joyful,
Au Revoir Simone,Hurricanes,226,https://www.last.fm/music/Au+Revoir+Simone/_/Hurricanes,https://www.youtube.com/watch?v=9MJ6OngFTT8,Joyful,
Parov Stelar,Monster (original version),314,https://www.last.fm/music/Parov+Stelar/_/Monster+(original+version),https://www.youtube.com/watch?v=fTk91MlIEnc,Joyful,
Gonjasufi,SuzieQ,104,https://www.last.fm/music/Gonjasufi/_/SuzieQ,https://www.youtube.com/watch?v=AHvXXEQYdkY,Joyful,
The Rocket Summer,Run To You,228,https://www.last.fm/music/The+Rocket+Summer/_/Run+To+You,https://www.youtube.com/watch?v=mrP9SrMJ00c,Joyful,
Charles Mingus,II B.S. - Edit,0,https://www.last.fm/music/Charles+Mingus/_/II+B.S.+-+Edit,https://www.youtube.com/watch?v=R5N3kQfNaPE,Joyful,
Gorillaz,Sweepstakes Ft. Mos Def & Hypnotic Brass Ensemble,0,https://www.last.fm/music/Gorillaz/_/Sweepstakes+Ft.+Mos+Def+&+Hypnotic+Brass+Ensemble,,Joyful,
British Sea Power,The Great Skua,275,https://www.last.fm/music/British+Sea+Power/_/The+Great+Skua,https://www.youtube.com/watch?v=lhfoxcFZyXE,Joyful,
mclusky,She Will Only Bring You Happiness,206,https://www.last.fm/music/mclusky/_/She+Will+Only+Bring+You+Happiness,https://www.youtube.com/watch?v=3o66g12emwE,Joyful,
The Faint,Victim Convenience,187,https://www.last.fm/music/The+Faint/_/Victim+Convenience,https://www.youtube.com/watch?v=Bs0M1sUr1PA,Joyful,
X-Ray Spex,Warrior In Woolworths,189,https://www.last.fm/music/X-Ray+Spex/_/Warrior+In+Woolworths,https://www.youtube.com/watch?v=XGzc3ryJdxk,Joyful,
The Psychedelic Furs,Pulse,158,https://www.last.fm/music/The+Psychedelic+Furs/_/Pulse,https://www.youtube.com/watch?v=qbbz0svHpNw,Joyful,
Alan Menken,Kingdom Dance,140,https://www.last.fm/music/Alan+Menken/_/Kingdom+Dance,https://www.youtube.com/watch?v=Z7-rJtMSuMQ,Joyful,
The Go! Team,T.O.R.N.A.D.O.,129,https://www.last.fm/music/The+Go%21+Team/_/T.O.R.N.A.D.O.,https://www.youtube.com/watch?v=0jlg3oBLkf4,Joyful,
The Black Keys,Howlin' For You - Live,0,https://www.last.fm/music/The+Black+Keys/_/Howlin%27+For+You+-+Live,https://www.youtube.com/watch?v=a8T0MWTCSfY,Joyful,
The Auteurs,Lenny Valentino,141,https://www.last.fm/music/The+Auteurs/_/Lenny+Valentino,https://www.youtube.com/watch?v=0S-xxO11piA,Joyful,
The Rocket Summer,Hold It Up,175,https://www.last.fm/music/The+Rocket+Summer/_/Hold+It+Up,https://www.youtube.com/watch?v=xVyw_9wjRNM,Joyful,
We Have Band,Hear It In The Cans,232,https://www.last.fm/music/We+Have+Band/_/Hear+It+In+The+Cans,https://www.youtube.com/watch?v=OWnvzk3pLTo,Joyful,
The Monks,Complication,143,https://www.last.fm/music/The+Monks/_/Complication,https://www.youtube.com/watch?v=Y7Ql9QwaLmU,Joyful,
Jay-Z,Oh My God,0,https://www.last.fm/music/Jay-Z/_/Oh+My+God,https://www.youtube.com/watch?v=kZxbbXgqs28,Joyful,
Donnie Trumpet & The Social Experiment,Wanna Be Cool,0,https://www.last.fm/music/Donnie+Trumpet+&+The+Social+Experiment/_/Wanna+Be+Cool,https://www.youtube.com/watch?v=vey_z1aBTKQ,Joyful,
Tiny Tim,"Livin' in the Sunlight, Lovin' in the Moonlight",157,"https://www.last.fm/music/Tiny+Tim/_/Livin%27+in+the+Sunlight,+Lovin%27+in+the+Moonlight",https://www.youtube.com/watch?v=26HsSzFX_ok,Joyful,
Parov Stelar,The Mojo Radio Gang (radio version),163,https://www.last.fm/music/Parov+Stelar/_/The+Mojo+Radio+Gang+(radio+version),https://www.youtube.com/watch?v=OydP-Vb1NQE,Joyful,
Pete and the Pirates,Knots,0,https://www.last.fm/music/Pete+and+the+Pirates/_/Knots,https://www.youtube.com/watch?v=qf6SVPdCzUY,Joyful,
The Go! Team,Apollo Throwdown,200,https://www.last.fm/music/The+Go%21+Team/_/Apollo+Throwdown,https://www.youtube.com/watch?v=tvoQ-5YI0n0,Joyful,
Gonjasufi,Dednd,218,https://www.last.fm/music/Gonjasufi/_/Dednd,https://www.youtube.com/watch?v=C8btSB7QN38,Joyful,
The Streets,Roof of Your Car,192,https://www.last.fm/music/The+Streets/_/Roof+of+Your+Car,https://www.youtube.com/watch?v=D_bhaALSOsc,Joyful,
The Black Ghosts,Face,210,https://www.last.fm/music/The+Black+Ghosts/_/Face,https://www.youtube.com/watch?v=9L6OCeSteJ8,Joyful,
Gonjasufi,She Gone,0,https://www.last.fm/music/Gonjasufi/_/She+Gone,https://www.youtube.com/watch?v=jCeCIXqj64Y,Joyful,
Mirah,This Dance,146,https://www.last.fm/music/Mirah/_/This+Dance,https://www.youtube.com/watch?v=eKe146U_Tsg,Joyful,
Mates of State,The Re-Arranger,268,https://www.last.fm/music/Mates+of+State/_/The+Re-Arranger,https://www.youtube.com/watch?v=mBwTj4Ctm8g,Joyful,
The Go! Team,Secretary Song,212,https://www.last.fm/music/The+Go%21+Team/_/Secretary+Song,https://www.youtube.com/watch?v=q41DBQ_psRk,Joyful,
Red Light Company,Meccano,195,https://www.last.fm/music/Red+Light+Company/_/Meccano,https://www.youtube.com/watch?v=dyhUJhpO6dQ,Joyful,
Bing Crosby,Don't Fence Me In,185,https://www.last.fm/music/Bing+Crosby/_/Don%27t+Fence+Me+In,https://www.youtube.com/watch?v=iYFk_EsZ_D8,Joyful,
Mint Royale,Show Me,244,https://www.last.fm/music/Mint+Royale/_/Show+Me,https://www.youtube.com/watch?v=UKQmZBB-Sns,Joyful,
Orange Juice,A Million Pleading Faces,195,https://www.last.fm/music/Orange+Juice/_/A+Million+Pleading+Faces,https://www.youtube.com/watch?v=R-atcD4KuPw,Joyful,
Frank Black,Speedy Marie,213,https://www.last.fm/music/Frank+Black/_/Speedy+Marie,https://www.youtube.com/watch?v=Q3T9ayhdgf8,Joyful,
Metronomy,Black Eye/Burnt Thumb,282,https://www.last.fm/music/Metronomy/_/Black+Eye%2FBurnt+Thumb,https://www.youtube.com/watch?v=8D7vbuo7zCo,Joyful,
Fishbone,Bonin' in the Boneyard,285,https://www.last.fm/music/Fishbone/_/Bonin%27+in+the+Boneyard,https://www.youtube.com/watch?v=78ZVbw74OhU,Joyful,
Mr. Oizo,Gay Dentists,218,https://www.last.fm/music/Mr.+Oizo/_/Gay+Dentists,https://www.youtube.com/watch?v=0c53xe2UyPM,Joyful,
The Young Veins,Young Veins (Die Tonight),0,https://www.last.fm/music/The+Young+Veins/_/Young+Veins+(Die+Tonight),https://www.youtube.com/watch?v=U1WKglJMJSQ,Joyful,
Metronomy,Peter's Pan,322,https://www.last.fm/music/Metronomy/_/Peter%27s+Pan,https://www.youtube.com/watch?v=Xolvr4Nzhsg,Joyful,
Strike Anywhere,Gunpowder,120,https://www.last.fm/music/Strike+Anywhere/_/Gunpowder,https://www.youtube.com/watch?v=b2iWlRGF97M,Joyful,
XTC,Season Cycle,199,https://www.last.fm/music/XTC/_/Season+Cycle,https://www.youtube.com/watch?v=ziZwJ9RxF8M,Joyful,
Oh No Oh My,The Backseat,276,https://www.last.fm/music/Oh+No+Oh+My/_/The+Backseat,https://www.youtube.com/watch?v=SUQ5mHG6KvM,Joyful,
X-Ray Spex,Age,159,https://www.last.fm/music/X-Ray+Spex/_/Age,https://www.youtube.com/watch?v=TmCXNoaG0zg,Joyful,
