artist,music_name,duration,lastfm_url,youtube_url,mood_EN,mood_KOR
Radiohead,Creep,239,https://www.last.fm/music/Radiohead/_/Creep,https://www.youtube.com/watch?v=XFkzRNyygfk,Sad,
Radiohead,No Surprises,0,https://www.last.fm/music/Radiohead/_/No+Surprises,https://www.youtube.com/watch?v=u5CVsCnxyXg,Sad,
Coldplay,The Scientist,309,https://www.last.fm/music/Coldplay/_/The+Scientist,https://www.youtube.com/watch?v=RB-RcX5DS5A,Sad,
Coldplay,Fix You,294,https://www.last.fm/music/Coldplay/_/Fix+You,https://www.youtube.com/watch?v=k4V3Mo61fJM,Sad,
Adele,Someone Like You,283,https://www.last.fm/music/Adele/_/Someone+Like+You,https://www.youtube.com/watch?v=hLQl3WQQoQ0,Sad,
Radiohead,Fake Plastic Trees,285,https://www.last.fm/music/Radiohead/_/Fake+Plastic+Trees,https://www.youtube.com/watch?v=n5h0qHwNrHk,Sad,
The Fray,How to Save a Life,290,https://www.last.fm/music/The+Fray/_/How+to+Save+a+Life,https://www.youtube.com/watch?v=cjVQ36NhbMk,Sad,
blink-182,I MISS YOU,227,https://www.last.fm/music/blink-182/_/I+MISS+YOU,https://www.youtube.com/watch?v=s1tAYmMjLdY,Sad,
Radiohead,Exit Music (for a Film),278,https://www.last.fm/music/Radiohead/_/Exit+Music+(for+a+Film),https://www.youtube.com/watch?v=Bf01riuiJWA,Sad,
Coldplay,Sparks,269,https://www.last.fm/music/Coldplay/_/Sparks,https://www.youtube.com/watch?v=1aokooixKIo,Sad,
Lana Del Rey,Born to Die,285,https://www.last.fm/music/Lana+Del+Rey/_/Born+to+Die,https://www.youtube.com/watch?v=Bag1gUxuU0g,Sad,
Green Day,Wake Me Up When September Ends,285,https://www.last.fm/music/Green+Day/_/Wake+Me+Up+When+September+Ends,https://www.youtube.com/watch?v=NU9JoFKlaZ0,Sad,
System of a Down,Lonely Day,0,https://www.last.fm/music/System+of+a+Down/_/Lonely+Day,https://www.youtube.com/watch?v=DnGdoEa1tPg,Sad,
Bon Iver,Skinny Love,239,https://www.last.fm/music/Bon+Iver/_/Skinny+Love,https://www.youtube.com/watch?v=Dz5s5C6sAt0,Sad,
No Doubt,Don't Speak,304,https://www.last.fm/music/No+Doubt/_/Don%27t+Speak,https://www.youtube.com/watch?v=TR3Vdo5etCQ,Sad,
Death Cab for Cutie,I Will Follow You Into The Dark,0,https://www.last.fm/music/Death+Cab+for+Cutie/_/I+Will+Follow+You+Into+The+Dark,https://www.youtube.com/watch?v=9FhRQt1vm3A,Sad,
Johnny Cash,Hurt,218,https://www.last.fm/music/Johnny+Cash/_/Hurt,https://www.youtube.com/watch?v=8AHCfZTRGiI,Sad,
Coldplay,Trouble,0,https://www.last.fm/music/Coldplay/_/Trouble,https://www.youtube.com/watch?v=kcASPx3-HuI,Sad,
Radiohead,How to Disappear Completely,356,https://www.last.fm/music/Radiohead/_/How+to+Disappear+Completely,https://www.youtube.com/watch?v=nZq_jeYsbTs,Sad,
Eminem,Stan,404,https://www.last.fm/music/Eminem/_/Stan,https://www.youtube.com/watch?v=gOMhN-hfMtY,Sad,
Frank Ocean,Ivy,0,https://www.last.fm/music/Frank+Ocean/_/Ivy,https://www.youtube.com/watch?v=AE005nZeF-A,Sad,
Eminem,Mockingbird,251,https://www.last.fm/music/Eminem/_/Mockingbird,https://www.youtube.com/watch?v=S9bCLPwzSC0,Sad,
Evanescence,My Immortal,0,https://www.last.fm/music/Evanescence/_/My+Immortal,https://www.youtube.com/watch?v=5anLPw0Efmo,Sad,
Jeff Buckley,Hallelujah,256,https://www.last.fm/music/Jeff+Buckley/_/Hallelujah,https://www.youtube.com/watch?v=y8AWFf7EAc4,Sad,
Joji,Slow dancing in the dark,0,https://www.last.fm/music/Joji/_/Slow+dancing+in+the+dark,https://www.youtube.com/watch?v=K3Qzzggn--s,Sad,
Passenger,Let Her Go,0,https://www.last.fm/music/Passenger/_/Let+Her+Go,https://www.youtube.com/watch?v=RBumgq5yVrA,Sad,
Radiohead,Street Spirit (Fade Out),252,https://www.last.fm/music/Radiohead/_/Street+Spirit+(Fade+Out),https://www.youtube.com/watch?v=LCJblaUkkfc,Sad,
Paramore,The Only Exception,267,https://www.last.fm/music/Paramore/_/The+Only+Exception,https://www.youtube.com/watch?v=-J7J_IWUhls,Sad,
Kanye West,Runaway,0,https://www.last.fm/music/Kanye+West/_/Runaway,https://www.youtube.com/watch?v=VhEoCOWUtcU,Sad,
Steve Lacy,Bad Habit,0,https://www.last.fm/music/Steve+Lacy/_/Bad+Habit,https://www.youtube.com/watch?v=bU2EvRBUmxc,Sad,
Olivia Rodrigo,drivers license,0,https://www.last.fm/music/Olivia+Rodrigo/_/drivers+license,https://www.youtube.com/watch?v=ZmDBbnmKpqQ,Sad,
Billie Eilish,when the party's over,0,https://www.last.fm/music/Billie+Eilish/_/when+the+party%27s+over,https://www.youtube.com/watch?v=pbMwTqkKSps,Sad,
James Blunt,You're Beautiful,214,https://www.last.fm/music/James+Blunt/_/You%27re+Beautiful,https://www.youtube.com/watch?v=oofSnsGkops,Sad,
Radiohead,Videotape,0,https://www.last.fm/music/Radiohead/_/Videotape,https://www.youtube.com/watch?v=WF83_PR2EsA,Sad,
The Beatles,Eleanor Rigby,128,https://www.last.fm/music/The+Beatles/_/Eleanor+Rigby,https://www.youtube.com/watch?v=HuS5NuXRb5Y,Sad,
The walters,I Love You So,160,https://www.last.fm/music/The+walters/_/I+Love+You+So,https://www.youtube.com/watch?v=HZX7MB_m13M,Sad,
blink-182,Adam's Song,249,https://www.last.fm/music/blink-182/_/Adam%27s+Song,https://www.youtube.com/watch?v=2MRdtXWcgIw,Sad,
The Weeknd,Call Out My Name,0,https://www.last.fm/music/The+Weeknd/_/Call+Out+My+Name,https://www.youtube.com/watch?v=M4ZoCHID9GI,Sad,
Bon Iver,Flume,0,https://www.last.fm/music/Bon+Iver/_/Flume,https://www.youtube.com/watch?v=LuQrLsTUcN0,Sad,
bôa,Duvet,203,https://www.last.fm/music/b%C3%B4a/_/Duvet,https://www.youtube.com/watch?v=Uoox9fpmDP0,Sad,
Portishead,Roads,305,https://www.last.fm/music/Portishead/_/Roads,https://www.youtube.com/watch?v=7nxWP9BhI7w,Sad,
Billie Eilish,Happier Than Ever,0,https://www.last.fm/music/Billie+Eilish/_/Happier+Than+Ever,https://www.youtube.com/watch?v=5GJWxDKyk3A,Sad,
Band of Horses,The Funeral,285,https://www.last.fm/music/Band+of+Horses/_/The+Funeral,https://www.youtube.com/watch?v=cMFWFhTFohk,Sad,
Billie Eilish,lovely (with Khalid),0,https://www.last.fm/music/Billie+Eilish/_/lovely+(with+Khalid),https://www.youtube.com/watch?v=V1Pl8CzNzCw,Sad,
LIL UZI VERT,XO TOUR Llif3,0,https://www.last.fm/music/LIL+UZI+VERT/_/XO+TOUR+Llif3,https://www.youtube.com/watch?v=WrsFXgQk5UI,Sad,
Chris Isaak,Wicked Game,284,https://www.last.fm/music/Chris+Isaak/_/Wicked+Game,https://www.youtube.com/watch?v=oadhHk2xs6c,Sad,
Frank Ocean,White Ferrari,0,https://www.last.fm/music/Frank+Ocean/_/White+Ferrari,https://www.youtube.com/watch?v=Dlz_XHeUUis,Sad,
Radiohead,Pyramid Song,0,https://www.last.fm/music/Radiohead/_/Pyramid+Song,https://www.youtube.com/watch?v=3M_Gg1xAHE4,Sad,
Tracy Chapman,Fast Car,298,https://www.last.fm/music/Tracy+Chapman/_/Fast+Car,https://www.youtube.com/watch?v=AIOAlaACuv4,Sad,
Conan Gray,Heather,0,https://www.last.fm/music/Conan+Gray/_/Heather,https://www.youtube.com/watch?v=24u3NoPvgMw,Sad,
Olivia Rodrigo,vampire,0,https://www.last.fm/music/Olivia+Rodrigo/_/vampire,https://www.youtube.com/watch?v=RlPNh_PBZb4,Sad,
Elliott Smith,Between the Bars,0,https://www.last.fm/music/Elliott+Smith/_/Between+the+Bars,https://www.youtube.com/watch?v=Ccd59iNjTzc,Sad,
Bruno Mars,Talking to the Moon,217,https://www.last.fm/music/Bruno+Mars/_/Talking+to+the+Moon,https://www.youtube.com/watch?v=fXw0jcYbqdo,Sad,
Radiohead,Fitter Happier,117,https://www.last.fm/music/Radiohead/_/Fitter+Happier,https://www.youtube.com/watch?v=O4SzvsMFaek,Sad,
Joji,Glimpse of Us,0,https://www.last.fm/music/Joji/_/Glimpse+of+Us,https://www.youtube.com/watch?v=FvOpPeKSf_4,Sad,
Olivia Rodrigo,traitor,0,https://www.last.fm/music/Olivia+Rodrigo/_/traitor,https://www.youtube.com/watch?v=4QLvEIXlF6Q,Sad,
The Strokes,The Adults Are Talking,0,https://www.last.fm/music/The+Strokes/_/The+Adults+Are+Talking,https://www.youtube.com/watch?v=o4qsjmLxhow,Sad,
Billie Eilish,Everything I Wanted,0,https://www.last.fm/music/Billie+Eilish/_/Everything+I+Wanted,https://www.youtube.com/watch?v=EgBJmlPo8Xw,Sad,
Taylor Swift,aUgUSt,0,https://www.last.fm/music/Taylor+Swift/_/aUgUSt,https://www.youtube.com/watch?v=nn_0zPAfyo8,Sad,
Ariana Grande,One Last Time,197,https://www.last.fm/music/Ariana+Grande/_/One+Last+Time,https://www.youtube.com/watch?v=BPgEgaPk62M,Sad,
Sam Smith,Stay with Me,172,https://www.last.fm/music/Sam+Smith/_/Stay+with+Me,https://www.youtube.com/watch?v=pB-5XG-DbAA,Sad,
The Beatles,Yesterday,146,https://www.last.fm/music/The+Beatles/_/Yesterday,https://www.youtube.com/watch?v=NrgmdOz227I,Sad,
Sam Smith,I'm Not the Only One,239,https://www.last.fm/music/Sam+Smith/_/I%27m+Not+the+Only+One,https://www.youtube.com/watch?v=nCkpzqqog4k,Sad,
Gorillaz,El Mañana,230,https://www.last.fm/music/Gorillaz/_/El+Ma%C3%B1ana,https://www.youtube.com/watch?v=hji4gBuOvIQ,Sad,
Ed Sheeran,The A Team,258,https://www.last.fm/music/Ed+Sheeran/_/The+A+Team,https://www.youtube.com/watch?v=UAWcs5H-qgQ,Sad,
R.E.M.,Everybody Hurts,317,https://www.last.fm/music/R.E.M./_/Everybody+Hurts,https://www.youtube.com/watch?v=5rOiW_xY-kc,Sad,
My Chemical Romance,The Ghost of You,0,https://www.last.fm/music/My+Chemical+Romance/_/The+Ghost+of+You,https://www.youtube.com/watch?v=uCUpvTMis-Y,Sad,
Eric Clapton,Tears in Heaven,271,https://www.last.fm/music/Eric+Clapton/_/Tears+in+Heaven,https://www.youtube.com/watch?v=JxPj3GAYYZ0,Sad,
Frank Ocean,self control,0,https://www.last.fm/music/Frank+Ocean/_/self+control,https://www.youtube.com/watch?v=BME88lS6aVY,Sad,
Lou Reed,Perfect Day,225,https://www.last.fm/music/Lou+Reed/_/Perfect+Day,https://www.youtube.com/watch?v=9wxI4KK9ZYo,Sad,
The Goo Goo Dolls,Iris,289,https://www.last.fm/music/The+Goo+Goo+Dolls/_/Iris,https://www.youtube.com/watch?v=NdYWuo9OFAw,Sad,
Kelly Clarkson,Because of You,221,https://www.last.fm/music/Kelly+Clarkson/_/Because+of+You,https://www.youtube.com/watch?v=Ra-Om7UMSJc,Sad,
Sia,Breathe Me,189,https://www.last.fm/music/Sia/_/Breathe+Me,https://www.youtube.com/watch?v=PwB56IYDfWs,Sad,
Imogen Heap,Hide And Seek,266,https://www.last.fm/music/Imogen+Heap/_/Hide+And+Seek,https://www.youtube.com/watch?v=UYIAfiVGluk,Sad,
xxxtentacion,Jocelyn Flores,0,https://www.last.fm/music/xxxtentacion/_/Jocelyn+Flores,https://www.youtube.com/watch?v=FAucVNRx_mU,Sad,
Radiohead,Motion Picture Soundtrack,419,https://www.last.fm/music/Radiohead/_/Motion+Picture+Soundtrack,https://www.youtube.com/watch?v=EcSvMFm2ABE,Sad,
Lana Del Rey,Ultraviolence,249,https://www.last.fm/music/Lana+Del+Rey/_/Ultraviolence,https://www.youtube.com/watch?v=ZFWC4SiZBao,Sad,
Billie Eilish,"What Was I Made For? [From The Motion Picture ""Barbie""]",0,https://www.last.fm/music/Billie+Eilish/_/What+Was+I+Made+For%3F+%5BFrom+The+Motion+Picture+%22Barbie%22%5D,https://www.youtube.com/watch?v=cW8VLC9nnTo,Sad,
d4vd,Romantic Homicide,0,https://www.last.fm/music/d4vd/_/Romantic+Homicide,https://www.youtube.com/watch?v=eKL3TceSxvk,Sad,
