artist,music_name,duration,lastfm_url,youtube_url,mood_EN,mood_KOR
James Newton Howard,The Hanging Tree,218,https://www.last.fm/music/James+Newton+Howard/_/The+Hanging+Tree,https://www.youtube.com/watch?v=F3hTW9e20d8,Heroic,
Ramin Djawadi,Pacific Rim (feat. Tom Morello),0,https://www.last.fm/music/Ramin+Djawadi/_/Pacific+Rim+(feat.+Tom+Morello),https://www.youtube.com/watch?v=1vU7XqToZso,Heroic,
Wolf Parade,Disco Sheets,179,https://www.last.fm/music/Wolf+Parade/_/Disco+Sheets,https://www.youtube.com/watch?v=bLAO7kXTz6M,Heroic,
Brian Tyler,Call of Duty: MW3,130,https://www.last.fm/music/Brian+Tyler/_/Call+of+Duty:+MW3,https://www.youtube.com/watch?v=AQtlf3LpFjU,Heroic,
Patti Smith,Piss Factory,303,https://www.last.fm/music/Patti+Smith/_/Piss+Factory,https://www.youtube.com/watch?v=rxJRLwbotFI,Heroic,
Lisa Gerrard,Elysium,169,https://www.last.fm/music/Lisa+Gerrard/_/Elysium,https://www.youtube.com/watch?v=REpS9H7dn1E,Heroic,
The National,The Rains Of Castomere,0,https://www.last.fm/music/The+National/_/The+Rains+Of+Castomere,https://www.youtube.com/watch?v=9vDL7AgLdYQ,Heroic,
Hans Zimmer,Extraction Point,0,https://www.last.fm/music/Hans+Zimmer/_/Extraction+Point,https://www.youtube.com/watch?v=AqE1-D3iCfk,Heroic,
桜庭統,Mission to the Deep Space ~ Sail Against the Wind,0,https://www.last.fm/music/%E6%A1%9C%E5%BA%AD%E7%B5%B1/_/Mission+to+the+Deep+Space+~+Sail+Against+the+Wind,https://www.youtube.com/watch?v=90f1yfKoYnI,Heroic,
Charles Manson,People Say I'm No Good,204,https://www.last.fm/music/Charles+Manson/_/People+Say+I%27m+No+Good,https://www.youtube.com/watch?v=6k1sxkC7JYE,Heroic,
Milet,Anytime Anywhere,0,https://www.last.fm/music/Milet/_/Anytime+Anywhere,https://www.youtube.com/watch?v=r105CzDvoo0,Heroic,
