artist,music_name,duration,lastfm_url,youtube_url,mood_EN,mood_KOR
The Weeknd,Die For You,0,https://www.last.fm/music/The+Weeknd/_/Die+For+You,https://www.youtube.com/watch?v=uPD0QOGTmMI,Atmospheric,분위기 있는
Radiohead,How to Disappear Completely,356,https://www.last.fm/music/Radiohead/_/How+to+Disappear+Completely,https://www.youtube.com/watch?v=nZq_jeYsbTs,Atmospheric,분위기 있는
Deftones,Change (In the House of Flies),296,https://www.last.fm/music/Deftones/_/Change+(In+the+House+of+Flies),https://www.youtube.com/watch?v=WPpDyIJdasg,Atmospheric,분위기 있는
Tame Impala,"New Person, Same Old Mistakes",0,"https://www.last.fm/music/Tame+Impala/_/New+Person,+Same+Old+Mistakes",https://www.youtube.com/watch?v=_9bw_VtMUGA,Atmospheric,분위기 있는
Radiohead,Pyramid Song,0,https://www.last.fm/music/Radiohead/_/Pyramid+Song,https://www.youtube.com/watch?v=3M_Gg1xAHE4,Atmospheric,분위기 있는
Joji,Glimpse of Us,0,https://www.last.fm/music/Joji/_/Glimpse+of+Us,https://www.youtube.com/watch?v=FvOpPeKSf_4,Atmospheric,분위기 있는
Taylor Swift,aUgUSt,0,https://www.last.fm/music/Taylor+Swift/_/aUgUSt,https://www.youtube.com/watch?v=nn_0zPAfyo8,Atmospheric,분위기 있는
Slowdive,When the Sun Hits,287,https://www.last.fm/music/Slowdive/_/When+the+Sun+Hits,https://www.youtube.com/watch?v=O5iK_mqtJ04,Atmospheric,분위기 있는
Taylor Swift,Wildest Dreams (Taylor's Version),0,https://www.last.fm/music/Taylor+Swift/_/Wildest+Dreams+(Taylor%27s+Version),https://www.youtube.com/watch?v=vtW_4j7SsZk,Atmospheric,분위기 있는
Radiohead,Motion Picture Soundtrack,419,https://www.last.fm/music/Radiohead/_/Motion+Picture+Soundtrack,https://www.youtube.com/watch?v=EcSvMFm2ABE,Atmospheric,분위기 있는
Kali Uchis,Moonlight,0,https://www.last.fm/music/Kali+Uchis/_/Moonlight,https://www.youtube.com/watch?v=zBukbgTN0cE,Atmospheric,분위기 있는
Future,Mask Off,0,https://www.last.fm/music/Future/_/Mask+Off,https://www.youtube.com/watch?v=xvZqHgFz51I,Atmospheric,분위기 있는
Deftones,Digital Bath,0,https://www.last.fm/music/Deftones/_/Digital+Bath,https://www.youtube.com/watch?v=9tmPBuSpmfA,Atmospheric,분위기 있는
The 1975,Somebody Else,0,https://www.last.fm/music/The+1975/_/Somebody+Else,https://www.youtube.com/watch?v=Bimd2nZirT4,Atmospheric,분위기 있는
The xx,Infinity,313,https://www.last.fm/music/The+xx/_/Infinity,https://www.youtube.com/watch?v=8EIJB_zHw94,Atmospheric,분위기 있는
Ariana Grande,we can't be friends (wait for your love),0,https://www.last.fm/music/Ariana+Grande/_/we+can%27t+be+friends+(wait+for+your+love),https://www.youtube.com/watch?v=KNtJGQkC-WI,Atmospheric,분위기 있는
Arcade Fire,My Body Is a Cage,341,https://www.last.fm/music/Arcade+Fire/_/My+Body+Is+a+Cage,https://www.youtube.com/watch?v=nhhZdune_5Q,Atmospheric,분위기 있는
Sigur Rós,Svefn-g-englar,0,https://www.last.fm/music/Sigur+R%C3%B3s/_/Svefn-g-englar,https://www.youtube.com/watch?v=8L64BcCRDAE,Atmospheric,분위기 있는
Fleet Foxes,Blue Ridge Mountains,280,https://www.last.fm/music/Fleet+Foxes/_/Blue+Ridge+Mountains,https://www.youtube.com/watch?v=xIU4A_TiGeo,Atmospheric,분위기 있는
Cocteau Twins,Heaven or Las Vegas,361,https://www.last.fm/music/Cocteau+Twins/_/Heaven+or+Las+Vegas,https://www.youtube.com/watch?v=6KnYw4EwYGc,Atmospheric,분위기 있는
Arcade Fire,Intervention,0,https://www.last.fm/music/Arcade+Fire/_/Intervention,https://www.youtube.com/watch?v=ZO7ZWfvCjBE,Atmospheric,분위기 있는
Coldplay,Death and All His Friends,262,https://www.last.fm/music/Coldplay/_/Death+and+All+His+Friends,https://www.youtube.com/watch?v=QvoM6TK8O6w,Atmospheric,분위기 있는
Kanye West,Hold My Liquor,326,https://www.last.fm/music/Kanye+West/_/Hold+My+Liquor,https://www.youtube.com/watch?v=bvBfiRWLj_0,Atmospheric,분위기 있는
Black Sabbath,Planet Caravan,265,https://www.last.fm/music/Black+Sabbath/_/Planet+Caravan,https://www.youtube.com/watch?v=DW3pZjmS3rg,Atmospheric,분위기 있는
SZA,Ghost in the Machine (feat. Phoebe Bridgers),0,https://www.last.fm/music/SZA/_/Ghost+in+the+Machine+(feat.+Phoebe+Bridgers),https://www.youtube.com/watch?v=M7Q4GlieQA8,Atmospheric,분위기 있는
Rex Orange County,Pluto Projector,0,https://www.last.fm/music/Rex+Orange+County/_/Pluto+Projector,https://www.youtube.com/watch?v=FAdwfMvx7rQ,Atmospheric,분위기 있는
Sigur Rós,Starálfur,340,https://www.last.fm/music/Sigur+R%C3%B3s/_/Star%C3%A1lfur,https://www.youtube.com/watch?v=7fEUUnXDnbk,Atmospheric,분위기 있는
Billie Eilish,CHIHIRO,0,https://www.last.fm/music/Billie+Eilish/_/CHIHIRO,https://www.last.fm/charts,Atmospheric,분위기 있는
The 1975,Robbers,280,https://www.last.fm/music/The+1975/_/Robbers,https://www.youtube.com/watch?v=wjHgiSx0RNQ,Atmospheric,분위기 있는
Post Malone,White Iverson,0,https://www.last.fm/music/Post+Malone/_/White+Iverson,https://www.youtube.com/watch?v=SLsTskih7_I,Atmospheric,분위기 있는
Björk,Pagan Poetry,0,https://www.last.fm/music/Bj%C3%B6rk/_/Pagan+Poetry,https://www.youtube.com/watch?v=Wp6tAcjq0N0,Atmospheric,분위기 있는
Lorde,The Louvre,0,https://www.last.fm/music/Lorde/_/The+Louvre,https://www.youtube.com/watch?v=ZQkdwymDanE,Atmospheric,분위기 있는
Björk,Bachelorette,336,https://www.last.fm/music/Bj%C3%B6rk/_/Bachelorette,https://www.youtube.com/watch?v=JNJv-Ebi67I,Atmospheric,분위기 있는
Bat for Lashes,Daniel,248,https://www.last.fm/music/Bat+for+Lashes/_/Daniel,https://www.youtube.com/watch?v=9yEjT_pIkhU,Atmospheric,분위기 있는
Interpol,NYC,259,https://www.last.fm/music/Interpol/_/NYC,https://www.youtube.com/watch?v=5GRNCNZ_TL4,Atmospheric,분위기 있는
Joy Division,Atmosphere,0,https://www.last.fm/music/Joy+Division/_/Atmosphere,https://www.youtube.com/watch?v=1EdUjlawLJM,Atmospheric,분위기 있는
Burial,Archangel,237,https://www.last.fm/music/Burial/_/Archangel,https://www.youtube.com/watch?v=8k_f2QK77ew,Atmospheric,분위기 있는
Coldplay,Yes,426,https://www.last.fm/music/Coldplay/_/Yes,https://www.youtube.com/watch?v=V4qdbGcFBxw,Atmospheric,분위기 있는
Muse,Ruled by Secrecy,292,https://www.last.fm/music/Muse/_/Ruled+by+Secrecy,https://www.youtube.com/watch?v=dKiayHSR4DI,Atmospheric,분위기 있는
Radiohead,Stop Whispering,0,https://www.last.fm/music/Radiohead/_/Stop+Whispering,https://www.youtube.com/watch?v=DPpug5FUQsc,Atmospheric,분위기 있는
Sigur Rós,Sæglópur,491,https://www.last.fm/music/Sigur+R%C3%B3s/_/S%C3%A6gl%C3%B3pur,https://www.youtube.com/watch?v=TFHCWZh0_Co,Atmospheric,분위기 있는
