artist,music_name,duration,lastfm_url,youtube_url,mood_EN,mood_KOR
SZA,Kill Bill,0,https://www.last.fm/music/SZA/_/Kill+Bill,https://www.youtube.com/watch?v=sk6rMb8OsQY,Bittersweet,슬프고도 아름다운
Mitski,My Love Mine All Mine,0,https://www.last.fm/music/Mitski/_/My+Love+Mine+All+Mine,https://www.youtube.com/watch?v=vx4kLgnFexo,Bittersweet,슬프고도 아름다운
Steve Lacy,Bad Habit,0,https://www.last.fm/music/Steve+Lacy/_/Bad+Habit,https://www.youtube.com/watch?v=bU2EvRBUmxc,Bittersweet,슬프고도 아름다운
Men I Trust,Show Me How,0,https://www.last.fm/music/Men+I+Trust/_/Show+Me+How,https://www.youtube.com/watch?v=OZRYzH0Q0pU,Bittersweet,슬프고도 아름다운
Queen,Don't Stop Me Now - Remastered 2011,0,https://www.last.fm/music/Queen/_/Don%27t+Stop+Me+Now+-+Remastered+2011,https://www.youtube.com/watch?v=HgzGwKwLmgM,Bittersweet,슬프고도 아름다운
Olivia Rodrigo,vampire,0,https://www.last.fm/music/Olivia+Rodrigo/_/vampire,https://www.youtube.com/watch?v=RlPNh_PBZb4,Bittersweet,슬프고도 아름다운
Vansire,From the Subway Train,0,https://www.last.fm/music/Vansire/_/From+the+Subway+Train,https://www.youtube.com/watch?v=-kEalcW_cFI,Bittersweet,슬프고도 아름다운
Eagles,Hotel California - 2013 Remaster,0,https://www.last.fm/music/Eagles/_/Hotel+California+-+2013+Remaster,https://www.youtube.com/watch?v=BciS5krYL80,Bittersweet,슬프고도 아름다운
Lana Del Rey,Say Yes To Heaven,0,https://www.last.fm/music/Lana+Del+Rey/_/Say+Yes+To+Heaven,https://www.youtube.com/watch?v=MiAoetOXKcY,Bittersweet,슬프고도 아름다운
The 1975,Somebody Else,0,https://www.last.fm/music/The+1975/_/Somebody+Else,https://www.youtube.com/watch?v=Bimd2nZirT4,Bittersweet,슬프고도 아름다운
SZA,Shirt,0,https://www.last.fm/music/SZA/_/Shirt,https://www.youtube.com/watch?v=XJ6tsDkGAPM,Bittersweet,슬프고도 아름다운
Sufjan Stevens,Fourth of July,0,https://www.last.fm/music/Sufjan+Stevens/_/Fourth+of+July,https://www.youtube.com/watch?v=JTeKpWp8Psw,Bittersweet,슬프고도 아름다운
