artist,music_name,duration,lastfm_url,youtube_url,mood_EN,mood_KOR
Mother Mother,Arms Tonite,218,https://www.last.fm/music/Mother+Mother/_/Arms+Tonite,https://www.youtube.com/watch?v=lv1K0H_4mfw,Bright,밝은
TWICE,Alcohol-Free,0,https://www.last.fm/music/TWICE/_/Alcohol-Free,https://www.youtube.com/watch?v=XA2YEHn-A8Q,Bright,밝은
Peach Tree Rascals,Mariposa,0,https://www.last.fm/music/Peach+Tree+Rascals/_/Mariposa,https://www.youtube.com/watch?v=U3RjdVmny6A,Bright,밝은
Architecture in Helsinki,Escapee,178,https://www.last.fm/music/Architecture+in+Helsinki/_/Escapee,https://www.youtube.com/watch?v=Uj5IWMB_Md8,Bright,밝은
Sun Kil Moon,Ben's My Friend,317,https://www.last.fm/music/Sun+Kil+Moon/_/Ben%27s+My+Friend,https://www.youtube.com/watch?v=sJP-oGBPPh0,Bright,밝은
TOMORROW X TOGETHER,No Rules,0,https://www.last.fm/music/TOMORROW+X+TOGETHER/_/No+Rules,https://www.youtube.com/watch?v=Bfk68riMjX4,Bright,밝은
Bastille,Get Home,191,https://www.last.fm/music/Bastille/_/Get+Home,https://www.youtube.com/watch?v=0DQIGe_9EfA,Bright,밝은
ENHYPEN,Not For Sale,0,https://www.last.fm/music/ENHYPEN/_/Not+For+Sale,https://www.youtube.com/watch?v=WUl8ZjhLm6k,Bright,밝은
Ariel Pink's Haunted Graffiti,Bright Lit Blue Skies,144,https://www.last.fm/music/Ariel+Pink%27s+Haunted+Graffiti/_/Bright+Lit+Blue+Skies,https://www.youtube.com/watch?v=VcS0oJwlz_Q,Bright,밝은
Relient K,Must Have Done Something Right,199,https://www.last.fm/music/Relient+K/_/Must+Have+Done+Something+Right,https://www.youtube.com/watch?v=iLtiJMAte10,Bright,밝은
Bright Eyes,Devil in the Details,246,https://www.last.fm/music/Bright+Eyes/_/Devil+in+the+Details,https://www.youtube.com/watch?v=b08Z5uVL38s,Bright,밝은
Bright Eyes,I Believe in Symmetry,324,https://www.last.fm/music/Bright+Eyes/_/I+Believe+in+Symmetry,https://www.youtube.com/watch?v=xhhyXdhhnY4,Bright,밝은
Motion City Soundtrack,Resolution,228,https://www.last.fm/music/Motion+City+Soundtrack/_/Resolution,https://www.youtube.com/watch?v=wJt_Beb2D8Y,Bright,밝은
Real Estate,Atlantic City,110,https://www.last.fm/music/Real+Estate/_/Atlantic+City,https://www.youtube.com/watch?v=kLuq5cEE6T8,Bright,밝은
Pavement,Brinx Job,91,https://www.last.fm/music/Pavement/_/Brinx+Job,https://www.youtube.com/watch?v=JD8BLuyEvJc,Bright,밝은
Camera Obscura,Swans,248,https://www.last.fm/music/Camera+Obscura/_/Swans,https://www.youtube.com/watch?v=I6J3uLLi9sw,Bright,밝은
Vampire Weekend,One,0,https://www.last.fm/music/Vampire+Weekend/_/One,,Bright,밝은
"Albert Hammond, Jr.",Call An Ambulance,191,"https://www.last.fm/music/Albert+Hammond,+Jr./_/Call+An+Ambulance",https://www.youtube.com/watch?v=viwmVO7cuo4,Bright,밝은
FROMIS_9,Love Me Back,0,https://www.last.fm/music/FROMIS_9/_/Love+Me+Back,https://www.youtube.com/watch?v=l9RvsMrk_l4,Bright,밝은
Dinosaur Jr.,I Want You To Know,270,https://www.last.fm/music/Dinosaur+Jr./_/I+Want+You+To+Know,https://www.youtube.com/watch?v=7e6gW5FF7B0,Bright,밝은
Bastille,World Gone Mad,0,https://www.last.fm/music/Bastille/_/World+Gone+Mad,https://www.youtube.com/watch?v=QOksZ8VogRw,Bright,밝은
Jim Croce,I Got A Name - Stereo Version,0,https://www.last.fm/music/Jim+Croce/_/I+Got+A+Name+-+Stereo+Version,https://www.youtube.com/watch?v=N2aBZqV-qH0,Bright,밝은
Perfume Genius,Valley,0,https://www.last.fm/music/Perfume+Genius/_/Valley,https://www.youtube.com/watch?v=pw_kWmoUH6w,Bright,밝은
Craft Spells,The Fog Rose High,189,https://www.last.fm/music/Craft+Spells/_/The+Fog+Rose+High,https://www.youtube.com/watch?v=PyCv_X0oe38,Bright,밝은
Ben Kweller,"Commerce, TX",0,"https://www.last.fm/music/Ben+Kweller/_/Commerce,+TX",https://www.youtube.com/watch?v=2aC4Ew-vd_w,Bright,밝은
Patrick Wolf,The City,251,https://www.last.fm/music/Patrick+Wolf/_/The+City,https://www.youtube.com/watch?v=3hBJIbSScBM,Bright,밝은
Britney Spears,Man On The Moon,0,https://www.last.fm/music/Britney+Spears/_/Man+On+The+Moon,https://www.youtube.com/watch?v=CWhwBOYUzvA,Bright,밝은
Elbow,New York Morning,319,https://www.last.fm/music/Elbow/_/New+York+Morning,https://www.youtube.com/watch?v=cqnIbueM5fE,Bright,밝은
Justice,D.A.N.C.E. (MSTRKRFT Remix),147,https://www.last.fm/music/Justice/_/D.A.N.C.E.+(MSTRKRFT+Remix),https://www.youtube.com/watch?v=dCmY827jSFI,Bright,밝은
The Sleepy Jackson,Good Dancers,252,https://www.last.fm/music/The+Sleepy+Jackson/_/Good+Dancers,https://www.youtube.com/watch?v=sE0Ld9cP1Gk,Bright,밝은
Fool's Gold,Surprise Hotel,407,https://www.last.fm/music/Fool%27s+Gold/_/Surprise+Hotel,https://www.youtube.com/watch?v=W0wPNow3ymc,Bright,밝은
