artist,music_name,duration,lastfm_url,youtube_url,mood_EN,mood_KOR
Röyksopp,Happy Up Here,163,https://www.last.fm/music/R%C3%B6yksopp/_/Happy+Up+Here,https://www.youtube.com/watch?v=51Bpx63wkbA,Cheerful,쾌활한
The 1975,Heart Out,202,https://www.last.fm/music/The+1975/_/Heart+Out,https://www.youtube.com/watch?v=t9xA1Lvd37E,Cheerful,쾌활한
Bastille,Icarus,224,https://www.last.fm/music/Bastille/_/Icarus,https://www.youtube.com/watch?v=FehA9OwZflw,Cheerful,쾌활한
The Breeders,Divine Hammer,161,https://www.last.fm/music/The+Breeders/_/Divine+Hammer,https://www.youtube.com/watch?v=tUiP5eyx3NM,Cheerful,쾌활한
Fountains of Wayne,Hey Julie,156,https://www.last.fm/music/Fountains+of+Wayne/_/Hey+Julie,https://www.youtube.com/watch?v=NpxYtIrJ-6I,Cheerful,쾌활한
Miranda!,Don,184,https://www.last.fm/music/Miranda%21/_/Don,https://www.youtube.com/watch?v=8Dvy2E9lHT8,Cheerful,쾌활한
Georg Friedrich Händel,Arrival of the Queen of Sheba,197,https://www.last.fm/music/Georg+Friedrich+H%C3%A4ndel/_/Arrival+of+the+Queen+of+Sheba,https://www.youtube.com/watch?v=U9FaoRJAgII,Cheerful,쾌활한
Smash Mouth,Why Can't We Be Friends,286,https://www.last.fm/music/Smash+Mouth/_/Why+Can%27t+We+Be+Friends,https://www.youtube.com/watch?v=z5OXON8vIaA,Cheerful,쾌활한
Phoenix,Party Time,135,https://www.last.fm/music/Phoenix/_/Party+Time,https://www.youtube.com/watch?v=pQo98L4tHA4,Cheerful,쾌활한
She & Him,Ridin' in My Car,182,https://www.last.fm/music/She+&+Him/_/Ridin%27+in+My+Car,https://www.youtube.com/watch?v=PWcnG8tR2KU,Cheerful,쾌활한
Sufjan Stevens,The Henney Buggy Band,196,https://www.last.fm/music/Sufjan+Stevens/_/The+Henney+Buggy+Band,https://www.youtube.com/watch?v=5m7wbHK6UoU,Cheerful,쾌활한
Oh No Oh My,Walk in the Park,0,https://www.last.fm/music/Oh+No+Oh+My/_/Walk+in+the+Park,https://www.youtube.com/watch?v=P7myrg90guc,Cheerful,쾌활한
Caravan Palace,Suzy,247,https://www.last.fm/music/Caravan+Palace/_/Suzy,https://www.youtube.com/watch?v=1RaKSRU60bw,Cheerful,쾌활한
Richard Ashcroft,Music Is Power,241,https://www.last.fm/music/Richard+Ashcroft/_/Music+Is+Power,https://www.youtube.com/watch?v=VBNPlgQHFI0,Cheerful,쾌활한
Karen O and the Kids,Igloo,109,https://www.last.fm/music/Karen+O+and+the+Kids/_/Igloo,https://www.youtube.com/watch?v=ySUthGfpWUk,Cheerful,쾌활한
New Radicals,Mother We Just Can't Get Enough,348,https://www.last.fm/music/New+Radicals/_/Mother+We+Just+Can%27t+Get+Enough,https://www.youtube.com/watch?v=A2MSg3L0Zyg,Cheerful,쾌활한
Vampire Weekend,One,0,https://www.last.fm/music/Vampire+Weekend/_/One,,Cheerful,쾌활한
Walk the Moon,Lisa Baby,232,https://www.last.fm/music/Walk+the+Moon/_/Lisa+Baby,https://www.youtube.com/watch?v=T9QyczvFYJo,Cheerful,쾌활한
Tegan and Sara,Drove Me Wild,229,https://www.last.fm/music/Tegan+and+Sara/_/Drove+Me+Wild,https://www.youtube.com/watch?v=-n6HuMJ7gCU,Cheerful,쾌활한
Calvin Harris,Yeah Yeah Yeah La La La,0,https://www.last.fm/music/Calvin+Harris/_/Yeah+Yeah+Yeah+La+La+La,https://www.youtube.com/watch?v=oywAS3j3_Jo,Cheerful,쾌활한
Radiohead,Million Dollar Question,196,https://www.last.fm/music/Radiohead/_/Million+Dollar+Question,https://www.youtube.com/watch?v=Ufiq21B3WqI,Cheerful,쾌활한
Spongebob Squarepants,Campfire Song Song,58,https://www.last.fm/music/Spongebob+Squarepants/_/Campfire+Song+Song,https://www.youtube.com/watch?v=76hX513XsTY,Cheerful,쾌활한
Jens Lekman,Kanske är jag kär i dig,283,https://www.last.fm/music/Jens+Lekman/_/Kanske+%C3%A4r+jag+k%C3%A4r+i+dig,https://www.youtube.com/watch?v=R9hoNGZvVT8,Cheerful,쾌활한
Gilberto Gil,Palco,264,https://www.last.fm/music/Gilberto+Gil/_/Palco,https://www.youtube.com/watch?v=7KvVoR2ace8,Cheerful,쾌활한
Busted,Air Hostess,238,https://www.last.fm/music/Busted/_/Air+Hostess,https://www.youtube.com/watch?v=HXwUGMXcuHk,Cheerful,쾌활한
Secret Machines,Nowhere Again,250,https://www.last.fm/music/Secret+Machines/_/Nowhere+Again,https://www.youtube.com/watch?v=fOzsHiv0prI,Cheerful,쾌활한
Algernon Cadwallader,Casual Discussion In A Dome Between Two Temples,146,https://www.last.fm/music/Algernon+Cadwallader/_/Casual+Discussion+In+A+Dome+Between+Two+Temples,https://www.youtube.com/watch?v=UU2YF_OkQvY,Cheerful,쾌활한
Jukebox the Ghost,Hold It In,208,https://www.last.fm/music/Jukebox+the+Ghost/_/Hold+It+In,https://www.youtube.com/watch?v=iObwkStyJw4,Cheerful,쾌활한
Little Dragon,Test,268,https://www.last.fm/music/Little+Dragon/_/Test,https://www.youtube.com/watch?v=hvDkIR-OyYI,Cheerful,쾌활한
The Smiths,"Frankly, Mr Shankly",0,"https://www.last.fm/music/The+Smiths/_/Frankly,+Mr+Shankly",https://www.youtube.com/watch?v=gemNU9mTsig,Cheerful,쾌활한
Cake,Jesus Wrote a Blank Check,190,https://www.last.fm/music/Cake/_/Jesus+Wrote+a+Blank+Check,https://www.youtube.com/watch?v=q1B5s5Fc00Q,Cheerful,쾌활한
Gilberto Gil,Esperando Na Janela,0,https://www.last.fm/music/Gilberto+Gil/_/Esperando+Na+Janela,https://www.youtube.com/watch?v=5S-ZrxBkqKU,Cheerful,쾌활한
Minutemen,My Heart and the Real World,68,https://www.last.fm/music/Minutemen/_/My+Heart+and+the+Real+World,https://www.youtube.com/watch?v=JHoTLZ8xVgQ,Cheerful,쾌활한
Regina Spektor,Dance Anthem of the 80s,222,https://www.last.fm/music/Regina+Spektor/_/Dance+Anthem+of+the+80s,https://www.youtube.com/watch?v=8CpmdBG5XC8,Cheerful,쾌활한
I'm from Barcelona,Ola Kala,159,https://www.last.fm/music/I%27m+from+Barcelona/_/Ola+Kala,https://www.youtube.com/watch?v=j84DEnOQaNE,Cheerful,쾌활한
Department of Eagles,Teenagers,186,https://www.last.fm/music/Department+of+Eagles/_/Teenagers,https://www.youtube.com/watch?v=53nn9CAqm4E,Cheerful,쾌활한
Little Dragon,Swimming,218,https://www.last.fm/music/Little+Dragon/_/Swimming,https://www.youtube.com/watch?v=xQAT_nOuYVo,Cheerful,쾌활한
Hudson Taylor,Battles,214,https://www.last.fm/music/Hudson+Taylor/_/Battles,https://www.youtube.com/watch?v=WDuRX8CCaLs,Cheerful,쾌활한
Jorge Ben,"Oba, Lá Vem Ela",254,"https://www.last.fm/music/Jorge+Ben/_/Oba,+L%C3%A1+Vem+Ela",https://www.youtube.com/watch?v=BVHA2lHaeqk,Cheerful,쾌활한
The Districts,4th And Roebling,289,https://www.last.fm/music/The+Districts/_/4th+And+Roebling,https://www.youtube.com/watch?v=gLZ-i2hu6GA,Cheerful,쾌활한
The B-52's,Topaz,262,https://www.last.fm/music/The+B-52%27s/_/Topaz,https://www.youtube.com/watch?v=B_Xy1eyOh5o,Cheerful,쾌활한
The Velvet Underground,Andy's Chest,171,https://www.last.fm/music/The+Velvet+Underground/_/Andy%27s+Chest,https://www.youtube.com/watch?v=sr-0Q83UY14,Cheerful,쾌활한
Casiotone for the Painfully Alone,Scattered Pearls,160,https://www.last.fm/music/Casiotone+for+the+Painfully+Alone/_/Scattered+Pearls,https://www.youtube.com/watch?v=la227pWNtSc,Cheerful,쾌활한
Cash Cash,Electric Hearts,212,https://www.last.fm/music/Cash+Cash/_/Electric+Hearts,https://www.youtube.com/watch?v=3ttCXKuDW2k,Cheerful,쾌활한
Jim Noir,My Patch,185,https://www.last.fm/music/Jim+Noir/_/My+Patch,https://www.youtube.com/watch?v=ObGDFb7-kiI,Cheerful,쾌활한
Rufus Wainwright,Another Believer,279,https://www.last.fm/music/Rufus+Wainwright/_/Another+Believer,https://www.youtube.com/watch?v=WwcEH24Ommw,Cheerful,쾌활한
The Polyphonic Spree,Light and Day,183,https://www.last.fm/music/The+Polyphonic+Spree/_/Light+and+Day,https://www.youtube.com/watch?v=kX4cgukN0DI,Cheerful,쾌활한
Morrissey,Sing Your Life,207,https://www.last.fm/music/Morrissey/_/Sing+Your+Life,https://www.youtube.com/watch?v=asJ9FNUfQD4,Cheerful,쾌활한
MisterWives,Vagabond,186,https://www.last.fm/music/MisterWives/_/Vagabond,https://www.youtube.com/watch?v=0RqYMXnRSKI,Cheerful,쾌활한
We the Kings,Heaven Can Wait,210,https://www.last.fm/music/We+the+Kings/_/Heaven+Can+Wait,https://www.youtube.com/watch?v=HMMWWaiPXq4,Cheerful,쾌활한
Blockhead,Attack The Doctor,346,https://www.last.fm/music/Blockhead/_/Attack+The+Doctor,https://www.youtube.com/watch?v=nXUnIEeq3iY,Cheerful,쾌활한
Kamasi Washington,Cherokee,0,https://www.last.fm/music/Kamasi+Washington/_/Cherokee,https://www.youtube.com/watch?v=3DM9fGXHhlk,Cheerful,쾌활한
The Dandy Warhols,All The Money Or The Simple Life Honey,210,https://www.last.fm/music/The+Dandy+Warhols/_/All+The+Money+Or+The+Simple+Life+Honey,https://www.youtube.com/watch?v=PblOFN8XcOw,Cheerful,쾌활한
Grum,Heartbeats,243,https://www.last.fm/music/Grum/_/Heartbeats,https://www.youtube.com/watch?v=2tUcE10yZ9I,Cheerful,쾌활한
Alanis Morissette,UR,211,https://www.last.fm/music/Alanis+Morissette/_/UR,https://www.youtube.com/watch?v=72w0o9Z2jDU,Cheerful,쾌활한
Frank Zappa,Wowie Zowie,198,https://www.last.fm/music/Frank+Zappa/_/Wowie+Zowie,https://www.youtube.com/watch?v=LVtRypTupws,Cheerful,쾌활한
Stereolab,Margerine Melodie,426,https://www.last.fm/music/Stereolab/_/Margerine+Melodie,https://www.youtube.com/watch?v=bSW4VBdKkZM,Cheerful,쾌활한
Mew,Wheels Over Me,180,https://www.last.fm/music/Mew/_/Wheels+Over+Me,https://www.youtube.com/watch?v=dEuruNpVlH4,Cheerful,쾌활한
Hilary Duff,Sweet Sixteen,187,https://www.last.fm/music/Hilary+Duff/_/Sweet+Sixteen,https://www.youtube.com/watch?v=Rx9xm7Up9Y0,Cheerful,쾌활한
Jonathan Edwards,Sunshine (Go Away Today),138,https://www.last.fm/music/Jonathan+Edwards/_/Sunshine+(Go+Away+Today),https://www.youtube.com/watch?v=tT6VMQI8PrE,Cheerful,쾌활한
The Pogues,London Girl,184,https://www.last.fm/music/The+Pogues/_/London+Girl,https://www.youtube.com/watch?v=LHG6QRcD22Q,Cheerful,쾌활한
Sondre Lerche,On the Tower,230,https://www.last.fm/music/Sondre+Lerche/_/On+the+Tower,https://www.youtube.com/watch?v=csh8W9auwmQ,Cheerful,쾌활한
Basement Jaxx,SFM,120,https://www.last.fm/music/Basement+Jaxx/_/SFM,https://www.youtube.com/watch?v=6xYClWw8S9s,Cheerful,쾌활한
Nancy Wilson,(You Don't Know) How Glad I Am,158,https://www.last.fm/music/Nancy+Wilson/_/(You+Don%27t+Know)+How+Glad+I+Am,https://www.youtube.com/watch?v=oD770D11Y1E,Cheerful,쾌활한
Algernon Cadwallader,Horror,261,https://www.last.fm/music/Algernon+Cadwallader/_/Horror,https://www.youtube.com/watch?v=eb8eYxBk3M4,Cheerful,쾌활한
