artist,music_name,duration,lastfm_url,youtube_url,mood_EN,mood_KOR
Foals,Tron,290,https://www.last.fm/music/Foals/_/Tron,https://www.youtube.com/watch?v=Um2V3YEOgfY,Complex,복잡한
Arca,KLK,0,https://www.last.fm/music/Arca/_/KLK,https://www.youtube.com/watch?v=RDzyyTHLQfo,Complex,복잡한
BLACK MIDI,Sugar/Tzu,0,https://www.last.fm/music/BLACK+MIDI/_/Sugar%2FTzu,https://www.youtube.com/watch?v=8D3TrpQ_nFo,Complex,복잡한
TV on the Radio,Ambulance,294,https://www.last.fm/music/TV+on+the+Radio/_/Ambulance,https://www.youtube.com/watch?v=vRgLVHjVgSY,Complex,복잡한
The Magnetic Fields,Papa Was a Rodeo,387,https://www.last.fm/music/The+Magnetic+Fields/_/Papa+Was+a+Rodeo,https://www.youtube.com/watch?v=fllQTBPDalk,Complex,복잡한
XV,Boy From Kansas,234,https://www.last.fm/music/XV/_/Boy+From+Kansas,https://www.youtube.com/watch?v=3MyA_fJkyKY,Complex,복잡한
XV,You Got Me,237,https://www.last.fm/music/XV/_/You+Got+Me,https://www.youtube.com/watch?v=AgLnxuSzxgc,Complex,복잡한
Squarepusher,Squarepusher Theme,380,https://www.last.fm/music/Squarepusher/_/Squarepusher+Theme,https://www.youtube.com/watch?v=wiycAAoaK2k,Complex,복잡한
Stereolab,Tomorrow Is Already Here,296,https://www.last.fm/music/Stereolab/_/Tomorrow+Is+Already+Here,https://www.youtube.com/watch?v=MxXxT-o4SPY,Complex,복잡한
Minus the Bear,"You Kill Bugs Good, Man",70,"https://www.last.fm/music/Minus+the+Bear/_/You+Kill+Bugs+Good,+Man",https://www.youtube.com/watch?v=NWlbO4Ox0vU,Complex,복잡한
Hella,Been a Long Time Cousin,230,https://www.last.fm/music/Hella/_/Been+a+Long+Time+Cousin,https://www.youtube.com/watch?v=_bWHJD3MD1w,Complex,복잡한
Kate Bush,Joanni,0,https://www.last.fm/music/Kate+Bush/_/Joanni,https://www.youtube.com/watch?v=6hyvkNJg2gA,Complex,복잡한
Kate Bush,Mrs. Bartolozzi,0,https://www.last.fm/music/Kate+Bush/_/Mrs.+Bartolozzi,https://www.youtube.com/watch?v=-tAD1LDrCpM,Complex,복잡한
Thrice,Open Water,226,https://www.last.fm/music/Thrice/_/Open+Water,https://www.youtube.com/watch?v=bIpP9jDHi7A,Complex,복잡한
Everything Everything,Final Form,328,https://www.last.fm/music/Everything+Everything/_/Final+Form,https://www.youtube.com/watch?v=UVihbbrvQQY,Complex,복잡한
