artist,music_name,duration,lastfm_url,youtube_url,mood_EN,mood_KOR
Olivia Rodrigo,all-american bitch,0,https://www.last.fm/music/Olivia+Rodrigo/_/all-american+bitch,https://www.youtube.com/watch?v=n2BnbpjpRdo,Confident,자신만만한
BLACKPINK,How you like that,0,https://www.last.fm/music/BLACKPINK/_/How+you+like+that,https://www.youtube.com/watch?v=ioNng23DkIM,Confident,자신만만한
Dove Cameron,Boyfriend,0,https://www.last.fm/music/Dove+Cameron/_/Boyfriend,https://www.youtube.com/watch?v=SOn3_0Oav0k,Confident,자신만만한
Beyoncé,ALIEN SUPERSTAR,0,https://www.last.fm/music/Beyonc%C3%A9/_/ALIEN+SUPERSTAR,https://www.youtube.com/watch?v=e_aT9pAGQo8,Confident,자신만만한
LE SSERAFIM,ANTIFRAGILE,0,https://www.last.fm/music/LE+SSERAFIM/_/ANTIFRAGILE,https://www.youtube.com/watch?v=pyf8cbqyfPs,Confident,자신만만한
Sia,Unstoppable,0,https://www.last.fm/music/Sia/_/Unstoppable,https://www.youtube.com/watch?v=cxjvTXo9WWM,Confident,자신만만한
Nicki Minaj,Feeling Myself,0,https://www.last.fm/music/Nicki+Minaj/_/Feeling+Myself,https://www.youtube.com/watch?v=0Kg9xRooTVk,Confident,자신만만한
Demi Lovato,Confident,0,https://www.last.fm/music/Demi+Lovato/_/Confident,https://www.youtube.com/watch?v=cwLRQn61oUY,Confident,자신만만한
Justin Bieber,Confident,0,https://www.last.fm/music/Justin+Bieber/_/Confident,https://www.youtube.com/watch?v=47YClVMlthI,Confident,자신만만한
Itzy,WANNABE,0,https://www.last.fm/music/Itzy/_/WANNABE,https://www.youtube.com/watch?v=fE2h3lGlOsk,Confident,자신만만한
Meghan Trainor,No,0,https://www.last.fm/music/Meghan+Trainor/_/No,https://www.youtube.com/watch?v=cMTAUr3Nm6I,Confident,자신만만한
LE SSERAFIM,"Eve, Psyche & The Bluebeard’s wife",0,"https://www.last.fm/music/LE+SSERAFIM/_/Eve,+Psyche+&+The+Bluebeard%E2%80%99s+wife",https://www.youtube.com/watch?v=dZs_cLHfnNA,Confident,자신만만한
BTS,Run BTS,0,https://www.last.fm/music/BTS/_/Run+BTS,https://www.youtube.com/watch?v=a4YwJCZRh5M,Confident,자신만만한
BLACKPINK,Typa Girl,0,https://www.last.fm/music/BLACKPINK/_/Typa+Girl,https://www.youtube.com/watch?v=oMsizmQ9l5c,Confident,자신만만한
Itzy,LOCO,0,https://www.last.fm/music/Itzy/_/LOCO,https://www.youtube.com/watch?v=MjCZfZfucEc,Confident,자신만만한
Itzy,Not Shy,0,https://www.last.fm/music/Itzy/_/Not+Shy,https://www.youtube.com/watch?v=wTowEKjDGkU,Confident,자신만만한
Beyoncé,THIQUE,0,https://www.last.fm/music/Beyonc%C3%A9/_/THIQUE,https://www.youtube.com/watch?v=kmh-ejuvnAg,Confident,자신만만한
Zara Larsson,Ain't My Fault,0,https://www.last.fm/music/Zara+Larsson/_/Ain%27t+My+Fault,https://www.youtube.com/watch?v=eC-F_VZ2T1c,Confident,자신만만한
N.W.A.,Straight Outta Compton,252,https://www.last.fm/music/N.W.A./_/Straight+Outta+Compton,https://www.youtube.com/watch?v=TMZi25Pq3T8,Confident,자신만만한
BTS,21st Century Girl,0,https://www.last.fm/music/BTS/_/21st+Century+Girl,https://www.youtube.com/watch?v=z0J26eCipr8,Confident,자신만만한
Fifth Harmony,BO$$,171,https://www.last.fm/music/Fifth+Harmony/_/BO$$,https://www.youtube.com/watch?v=Y4JfPlry-iQ,Confident,자신만만한
(G)I-DLE,MY BAG,0,https://www.last.fm/music/(G)I-DLE/_/MY+BAG,https://www.youtube.com/watch?v=Si5pQHRRH5w,Confident,자신만만한
Seventeen,HOT,0,https://www.last.fm/music/Seventeen/_/HOT,https://www.youtube.com/watch?v=gRnuFC4Ualw,Confident,자신만만한
Jess Glynne,Don't Be So Hard on Yourself,0,https://www.last.fm/music/Jess+Glynne/_/Don%27t+Be+So+Hard+on+Yourself,https://www.youtube.com/watch?v=THeLVhU53ow,Confident,자신만만한
Kanye West,Good Morning (Intro),0,https://www.last.fm/music/Kanye+West/_/Good+Morning+(Intro),https://www.youtube.com/watch?v=6CHs4x2uqcQ,Confident,자신만만한
Doechii,Persuasive (with SZA),0,https://www.last.fm/music/Doechii/_/Persuasive+(with+SZA),https://www.youtube.com/watch?v=ES9CqKPkdeU,Confident,자신만만한
STRAY KIDS,Charmer,0,https://www.last.fm/music/STRAY+KIDS/_/Charmer,https://www.youtube.com/watch?v=BCZE-44jp_I,Confident,자신만만한
JiSoo,All Eyes on Me,0,https://www.last.fm/music/JiSoo/_/All+Eyes+on+Me,https://www.youtube.com/watch?v=NuxAOC6RU9c,Confident,자신만만한
STRAY KIDS,Easy,0,https://www.last.fm/music/STRAY+KIDS/_/Easy,https://www.youtube.com/watch?v=XZSv3aMGg5Q,Confident,자신만만한
Noah and the Whale,Life Is Life,216,https://www.last.fm/music/Noah+and+the+Whale/_/Life+Is+Life,https://www.youtube.com/watch?v=0wmjv33WVlI,Confident,자신만만한
Selena Gomez,Me & My Girls,0,https://www.last.fm/music/Selena+Gomez/_/Me+&+My+Girls,https://www.youtube.com/watch?v=luxLg8attB8,Confident,자신만만한
Anri,Windy Summer,0,https://www.last.fm/music/Anri/_/Windy+Summer,https://www.youtube.com/watch?v=uQ9nsr9YoCQ,Confident,자신만만한
The Fray,Love Don't Die,183,https://www.last.fm/music/The+Fray/_/Love+Don%27t+Die,https://www.youtube.com/watch?v=WptxUWvrINQ,Confident,자신만만한
STRAY KIDS,any,0,https://www.last.fm/music/STRAY+KIDS/_/any,https://www.youtube.com/watch?v=uaJ81czm3xA,Confident,자신만만한
Arca,Watch,0,https://www.last.fm/music/Arca/_/Watch,https://www.youtube.com/watch?v=C6egx7gmIJE,Confident,자신만만한
Arca,Luna Llena,0,https://www.last.fm/music/Arca/_/Luna+Llena,https://www.youtube.com/watch?v=SEqs7ZGZ9KA,Confident,자신만만한
Atlas Sound,Te Amo,254,https://www.last.fm/music/Atlas+Sound/_/Te+Amo,https://www.youtube.com/watch?v=-8YrrkDvZ-8,Confident,자신만만한
FLO,Feature Me,0,https://www.last.fm/music/FLO/_/Feature+Me,https://www.youtube.com/watch?v=edobes6JSZA,Confident,자신만만한
Jay-Z,Intro,35,https://www.last.fm/music/Jay-Z/_/Intro,https://www.youtube.com/watch?v=eiVXmGUp8Cg,Confident,자신만만한
Cobrah,BRAND NEW BITCH,0,https://www.last.fm/music/Cobrah/_/BRAND+NEW+BITCH,https://www.youtube.com/watch?v=ijfvBM6jeRo,Confident,자신만만한
STRAY KIDS,ITEM,0,https://www.last.fm/music/STRAY+KIDS/_/ITEM,https://www.youtube.com/watch?v=Zme_-F_h63M,Confident,자신만만한
STRAY KIDS,Ssick,0,https://www.last.fm/music/STRAY+KIDS/_/Ssick,https://www.youtube.com/watch?v=2QUrFQOBMUo,Confident,자신만만한
ATEEZ,The Leaders,0,https://www.last.fm/music/ATEEZ/_/The+Leaders,https://www.youtube.com/watch?v=mO8W_Ta9I2Y,Confident,자신만만한
Itzy,Kill Shot,0,https://www.last.fm/music/Itzy/_/Kill+Shot,https://www.youtube.com/watch?v=4EwZRB7hBsI,Confident,자신만만한
Dave Matthews Band,What You Are,273,https://www.last.fm/music/Dave+Matthews+Band/_/What+You+Are,https://www.youtube.com/watch?v=2JscC-VnrBk,Confident,자신만만한
ATEEZ,TO THE BEAT,0,https://www.last.fm/music/ATEEZ/_/TO+THE+BEAT,https://www.youtube.com/watch?v=0zXpWJVb7m8,Confident,자신만만한
Tinashe,The Chase,0,https://www.last.fm/music/Tinashe/_/The+Chase,https://www.youtube.com/watch?v=bdb7CkbhpAk,Confident,자신만만한
Dave Matthews Band,You Never Know,440,https://www.last.fm/music/Dave+Matthews+Band/_/You+Never+Know,https://www.youtube.com/watch?v=CGmYGWd1XNU,Confident,자신만만한
Matt & Kim,No More Long Years,182,https://www.last.fm/music/Matt+&+Kim/_/No+More+Long+Years,https://www.youtube.com/watch?v=6nFI7X0XAlc,Confident,자신만만한
Dave Matthews Band,Sleep To Dream Her,296,https://www.last.fm/music/Dave+Matthews+Band/_/Sleep+To+Dream+Her,https://www.youtube.com/watch?v=jNtBkCS63hI,Confident,자신만만한
Gorgon City,Here For You,0,https://www.last.fm/music/Gorgon+City/_/Here+For+You,https://www.youtube.com/watch?v=AC0rqLvYTIg,Confident,자신만만한
Portugal. The Man,60 Years,255,https://www.last.fm/music/Portugal.+The+Man/_/60+Years,https://www.youtube.com/watch?v=1JDHxOfl90o,Confident,자신만만한
