artist,music_name,duration,lastfm_url,youtube_url,mood_EN,mood_KOR
Lil Nas X,INDUSTRY BABY (feat. Jack Harlow),0,https://www.last.fm/music/Lil+Nas+X/_/INDUSTRY+BABY+(feat.+Jack+Harlow),https://www.youtube.com/watch?v=HCq1OcAEAm0,Dramatic,극적인
Imagine Dragons,Enemy (with JID) - from the series Arcane League of Legends,0,https://www.last.fm/music/Imagine+Dragons/_/Enemy+(with+JID)+-+from+the+series+Arcane+League+of+Legends,https://www.youtube.com/watch?v=D9G1VOjN_84,Dramatic,극적인
Arcade Fire,My Body Is a Cage,341,https://www.last.fm/music/Arcade+Fire/_/My+Body+Is+a+Cage,https://www.youtube.com/watch?v=nhhZdune_5Q,Dramatic,극적인
Muse,Hoodoo,223,https://www.last.fm/music/Muse/_/Hoodoo,https://www.youtube.com/watch?v=8jWw0Rr47-M,Dramatic,극적인
Björk,Bachelorette,336,https://www.last.fm/music/Bj%C3%B6rk/_/Bachelorette,https://www.youtube.com/watch?v=JNJv-Ebi67I,Dramatic,극적인
Imagine Dragons,Natural,0,https://www.last.fm/music/Imagine+Dragons/_/Natural,https://www.youtube.com/watch?v=0I647GU3Jsc,Dramatic,극적인
Lana Del Rey,Body Electric,233,https://www.last.fm/music/Lana+Del+Rey/_/Body+Electric,https://www.youtube.com/watch?v=tlRIo9grLCg,Dramatic,극적인
David Bowie,Life on Mars? - 2015 Remaster,0,https://www.last.fm/music/David+Bowie/_/Life+on+Mars%3F+-+2015+Remaster,https://www.youtube.com/watch?v=AZKcl4-tcuo,Dramatic,극적인
Mumford & Sons,Thistle & Weeds,289,https://www.last.fm/music/Mumford+&+Sons/_/Thistle+&+Weeds,https://www.youtube.com/watch?v=81DAIb6l9jI,Dramatic,극적인
Deftones,Beware,360,https://www.last.fm/music/Deftones/_/Beware,https://www.youtube.com/watch?v=FzjaN0gPvaE,Dramatic,극적인
Paloma Faith,Only Love Can Hurt Like This,232,https://www.last.fm/music/Paloma+Faith/_/Only+Love+Can+Hurt+Like+This,https://www.youtube.com/watch?v=PaKr9gWqwl4,Dramatic,극적인
Panic! at the Disco,Emperor's New Clothes,0,https://www.last.fm/music/Panic%21+at+the+Disco/_/Emperor%27s+New+Clothes,https://www.youtube.com/watch?v=7qFF2v8VsaA,Dramatic,극적인
Train,Drops of Jupiter (Tell Me),259,https://www.last.fm/music/Train/_/Drops+of+Jupiter+(Tell+Me),https://www.youtube.com/watch?v=pXYc_9tToio,Dramatic,극적인
Marina,Teen Idle,0,https://www.last.fm/music/Marina/_/Teen+Idle,https://www.youtube.com/watch?v=ifa2g8HPZOY,Dramatic,극적인
Carolina Gaitán - La Gaita,We Don't Talk About Bruno,0,https://www.last.fm/music/Carolina+Gait%C3%A1n+-+La+Gaita/_/We+Don%27t+Talk+About+Bruno,https://www.youtube.com/watch?v=bvWRMAU6V-c,Dramatic,극적인
Grandson,Blood // Water,0,https://www.last.fm/music/Grandson/_/Blood+%2F%2F+Water,https://www.youtube.com/watch?v=tjIwXKPGf80,Dramatic,극적인
Regina Spektor,Après Moi,308,https://www.last.fm/music/Regina+Spektor/_/Apr%C3%A8s+Moi,https://www.youtube.com/watch?v=QbeHq1CLqJ8,Dramatic,극적인
Katy Perry,Swish Swish,0,https://www.last.fm/music/Katy+Perry/_/Swish+Swish,https://www.youtube.com/watch?v=iGk5fR-t5AU,Dramatic,극적인
Halsey,Control,0,https://www.last.fm/music/Halsey/_/Control,https://www.youtube.com/watch?v=so8V5dAli-Q,Dramatic,극적인
aespa,Drama,0,https://www.last.fm/music/aespa/_/Drama,https://www.youtube.com/watch?v=D8VEhcPeSlc,Dramatic,극적인
Halsey,Castle,0,https://www.last.fm/music/Halsey/_/Castle,https://www.youtube.com/watch?v=1rfSHisyHdc,Dramatic,극적인
The Tallest Man on Earth,Love Is All,255,https://www.last.fm/music/The+Tallest+Man+on+Earth/_/Love+Is+All,https://www.youtube.com/watch?v=Vc4_luvbnMk,Dramatic,극적인
League of Legends,Legends Never Die,0,https://www.last.fm/music/League+of+Legends/_/Legends+Never+Die,https://www.youtube.com/watch?v=4Q46xYqUwZQ,Dramatic,극적인
Lil Xan,Betrayed,0,https://www.last.fm/music/Lil+Xan/_/Betrayed,https://www.youtube.com/watch?v=EbfK7dei7ec,Dramatic,극적인
Eminem,Kim,377,https://www.last.fm/music/Eminem/_/Kim,https://www.youtube.com/watch?v=-SeVN2u5Axc,Dramatic,극적인
The Living Tombstone,Discord,193,https://www.last.fm/music/The+Living+Tombstone/_/Discord,https://www.youtube.com/watch?v=xPfMb50dsOk,Dramatic,극적인
Blackway,What's Up Danger (with Black Caviar),0,https://www.last.fm/music/Blackway/_/What%27s+Up+Danger+(with+Black+Caviar),https://www.youtube.com/watch?v=Y88LVU7MAe4,Dramatic,극적인
My Chemical Romance,The Foundations of Decay,0,https://www.last.fm/music/My+Chemical+Romance/_/The+Foundations+of+Decay,https://www.youtube.com/watch?v=V2kWUJkRvVs,Dramatic,극적인
Lorde,Everybody Wants To Rule The World - From “The Hunger Games: Catching Fire” Soundtrack,0,https://www.last.fm/music/Lorde/_/Everybody+Wants+To+Rule+The+World+-+From+%E2%80%9CThe+Hunger+Games:+Catching+Fire%E2%80%9D+Soundtrack,https://www.youtube.com/watch?v=Q0NIM4uSNXw,Dramatic,극적인
Fall Out Boy,The Last Of The Real Ones,0,https://www.last.fm/music/Fall+Out+Boy/_/The+Last+Of+The+Real+Ones,https://www.youtube.com/watch?v=7YAAyUFL1GQ,Dramatic,극적인
Jessica Darrow,Surface Pressure,0,https://www.last.fm/music/Jessica+Darrow/_/Surface+Pressure,https://www.youtube.com/watch?v=tQwVKr8rCYw,Dramatic,극적인
League of Legends,RISE,0,https://www.last.fm/music/League+of+Legends/_/RISE,https://www.youtube.com/watch?v=fB8TyLTD7EE,Dramatic,극적인
Bring Me the Horizon,Obey (with YUNGBLUD),0,https://www.last.fm/music/Bring+Me+the+Horizon/_/Obey+(with+YUNGBLUD),https://www.youtube.com/watch?v=AolstL1_MhE,Dramatic,극적인
Edward Sharpe & The Magnetic Zeros,Desert Song,370,https://www.last.fm/music/Edward+Sharpe+&+The+Magnetic+Zeros/_/Desert+Song,https://www.youtube.com/watch?v=buQpcpQqdKo,Dramatic,극적인
Hans Zimmer,Mountains,219,https://www.last.fm/music/Hans+Zimmer/_/Mountains,https://www.youtube.com/watch?v=o_Ay_iDRAbc,Dramatic,극적인
Purity Ring,Begin Again,0,https://www.last.fm/music/Purity+Ring/_/Begin+Again,https://www.youtube.com/watch?v=IIPMzeNWAtk,Dramatic,극적인
Waterparks,Turbulent,0,https://www.last.fm/music/Waterparks/_/Turbulent,https://www.youtube.com/watch?v=6Ya80-PeAuA,Dramatic,극적인
Clint Mansell,Lux Aeterna,0,https://www.last.fm/music/Clint+Mansell/_/Lux+Aeterna,https://www.youtube.com/watch?v=oc3Cq89P97Y,Dramatic,극적인
Indila,Tourner Dans Le Vide,246,https://www.last.fm/music/Indila/_/Tourner+Dans+Le+Vide,https://www.youtube.com/watch?v=vtNJMAyeP0s,Dramatic,극적인
White Lies,Nothing to Give,0,https://www.last.fm/music/White+Lies/_/Nothing+to+Give,https://www.youtube.com/watch?v=-af32JLselA,Dramatic,극적인
Panic! at the Disco,Crazy = Genius,0,https://www.last.fm/music/Panic%21+at+the+Disco/_/Crazy+=+Genius,https://www.youtube.com/watch?v=nLPTNumhyAY,Dramatic,극적인
Sim,The Rumbling,0,https://www.last.fm/music/Sim/_/The+Rumbling,https://www.youtube.com/watch?v=OBqw818mQ1E,Dramatic,극적인
Ramin Djawadi,Light Of The Seven,0,https://www.last.fm/music/Ramin+Djawadi/_/Light+Of+The+Seven,https://www.youtube.com/watch?v=6LASz6HAL7E,Dramatic,극적인
Echo & the Bunnymen,Nocturnal Me,297,https://www.last.fm/music/Echo+&+the+Bunnymen/_/Nocturnal+Me,https://www.youtube.com/watch?v=Pu5PWfFmI4I,Dramatic,극적인
Andrew Bird,Banking on a Myth,268,https://www.last.fm/music/Andrew+Bird/_/Banking+on+a+Myth,https://www.youtube.com/watch?v=xx9Ig09xuws,Dramatic,극적인
