artist,music_name,duration,lastfm_url,youtube_url,mood_EN,mood_KOR
Deftones,Be Quiet and Drive (Far Away),241,https://www.last.fm/music/Deftones/_/Be+Quiet+and+Drive+(Far+Away),https://www.youtube.com/watch?v=KvknOXGPzCQ,Driving,질주하는
The Lumineers,Ophelia,0,https://www.last.fm/music/The+Lumineers/_/Ophelia,https://www.youtube.com/watch?v=pTOC_q0NLTk,Driving,질주하는
Lana Del Rey,Let The Light In (feat. Father John Misty),0,https://www.last.fm/music/Lana+Del+Rey/_/Let+The+Light+In+(feat.+Father+John+Misty),https://www.youtube.com/watch?v=3U58T-9ocq0,Driving,질주하는
Rascal Flatts,Life Is a Highway,276,https://www.last.fm/music/Rascal+Flatts/_/Life+Is+a+Highway,https://www.youtube.com/watch?v=5tXh_MfrMe0,Driving,질주하는
Kaleo,Way Down We Go,0,https://www.last.fm/music/Kaleo/_/Way+Down+We+Go,https://www.youtube.com/watch?v=0-7IHOXkiV8,Driving,질주하는
pinkpantheress,just for me,0,https://www.last.fm/music/pinkpantheress/_/just+for+me,https://www.youtube.com/watch?v=Xo_lPnBlfto,Driving,질주하는
Twenty One Pilots,Car Radio,289,https://www.last.fm/music/Twenty+One+Pilots/_/Car+Radio,https://www.youtube.com/watch?v=92XVwY54h5k,Driving,질주하는
Lana Del Rey,California,0,https://www.last.fm/music/Lana+Del+Rey/_/California,https://www.youtube.com/watch?v=vK1YiArMDfg,Driving,질주하는
G-Eazy,"Me, Myself & I",0,"https://www.last.fm/music/G-Eazy/_/Me,+Myself+&+I",https://www.youtube.com/watch?v=bSfpSOBD30U,Driving,질주하는
The Chainsmokers,Roses,0,https://www.last.fm/music/The+Chainsmokers/_/Roses,https://www.youtube.com/watch?v=G5Mv2iV0wkU,Driving,질주하는
Playboi Carti,On That Time,0,https://www.last.fm/music/Playboi+Carti/_/On+That+Time,https://www.youtube.com/watch?v=2TjbF0FmEMI,Driving,질주하는
Kid Cudi,Erase Me - Main,0,https://www.last.fm/music/Kid+Cudi/_/Erase+Me+-+Main,https://www.youtube.com/watch?v=ICaTsTkBPV8,Driving,질주하는
Pharrell Williams,Cash In Cash Out,0,https://www.last.fm/music/Pharrell+Williams/_/Cash+In+Cash+Out,https://www.youtube.com/watch?v=cKEwnhc8ItY,Driving,질주하는
Imagine Dragons,Tiptoe,193,https://www.last.fm/music/Imagine+Dragons/_/Tiptoe,https://www.youtube.com/watch?v=C0IeIXVMDBI,Driving,질주하는
Elle King,Ex's & Oh's,0,https://www.last.fm/music/Elle+King/_/Ex%27s+&+Oh%27s,https://www.youtube.com/watch?v=0uLI6BnVh6w,Driving,질주하는
The Strokes,Why Are Sundays So Depressing,0,https://www.last.fm/music/The+Strokes/_/Why+Are+Sundays+So+Depressing,https://www.youtube.com/watch?v=2KSpDNlsVF4,Driving,질주하는
Twenty One Pilots,The Judge,0,https://www.last.fm/music/Twenty+One+Pilots/_/The+Judge,https://www.youtube.com/watch?v=PbP-aIe51Ek,Driving,질주하는
