artist,music_name,duration,lastfm_url,youtube_url,mood_EN,mood_KOR
Radiohead,Paranoid Android,385,https://www.last.fm/music/Radiohead/_/Paranoid+Android,https://www.youtube.com/watch?v=fHiGbolFFGw,Epic,웅장한
Queen,Bohemian Rhapsody,359,https://www.last.fm/music/Queen/_/Bohemian+Rhapsody,https://www.youtube.com/watch?v=fJ9rUzIMcZQ,Epic,웅장한
Kanye West,All of the Lights,299,https://www.last.fm/music/Kanye+West/_/All+of+the+Lights,https://www.youtube.com/watch?v=HAfFfqiYLp0,Epic,웅장한
Kanye West,Power,292,https://www.last.fm/music/Kanye+West/_/Power,https://www.youtube.com/watch?v=L53gjP-TtGE,Epic,웅장한
Guns N' Roses,November Rain,587,https://www.last.fm/music/Guns+N%27+Roses/_/November+Rain,https://www.youtube.com/watch?v=8SbUC-UaAxE,Epic,웅장한
Muse,Knights of Cydonia,289,https://www.last.fm/music/Muse/_/Knights+of+Cydonia,https://www.youtube.com/watch?v=Q3Yc3HhSl1Q,Epic,웅장한
The Weeknd,Stargirl Interlude,0,https://www.last.fm/music/The+Weeknd/_/Stargirl+Interlude,https://www.youtube.com/watch?v=TkxVOa6u59M,Epic,웅장한
Kanye West,Runaway,0,https://www.last.fm/music/Kanye+West/_/Runaway,https://www.youtube.com/watch?v=VhEoCOWUtcU,Epic,웅장한
Edward Sharpe & The Magnetic Zeros,Home,302,https://www.last.fm/music/Edward+Sharpe+&+The+Magnetic+Zeros/_/Home,https://www.youtube.com/watch?v=DHEOF_rcND8,Epic,웅장한
Tame Impala,Let It Happen,0,https://www.last.fm/music/Tame+Impala/_/Let+It+Happen,https://www.youtube.com/watch?v=pFptt7Cargc,Epic,웅장한
Lady Gaga,Born This Way,222,https://www.last.fm/music/Lady+Gaga/_/Born+This+Way,https://www.youtube.com/watch?v=wV1FrqwZyKw,Epic,웅장한
Tame Impala,"New Person, Same Old Mistakes",0,"https://www.last.fm/music/Tame+Impala/_/New+Person,+Same+Old+Mistakes",https://www.youtube.com/watch?v=_9bw_VtMUGA,Epic,웅장한
Lady Gaga,Judas,250,https://www.last.fm/music/Lady+Gaga/_/Judas,https://www.youtube.com/watch?v=wagn8Wrmzuc,Epic,웅장한
Tame Impala,Eventually,0,https://www.last.fm/music/Tame+Impala/_/Eventually,https://www.youtube.com/watch?v=GHe8kKO8uds,Epic,웅장한
Justin Timberlake,Mirrors,277,https://www.last.fm/music/Justin+Timberlake/_/Mirrors,https://www.youtube.com/watch?v=uuZE_IRwLNI,Epic,웅장한
Billie Eilish,Happier Than Ever,0,https://www.last.fm/music/Billie+Eilish/_/Happier+Than+Ever,https://www.youtube.com/watch?v=5GJWxDKyk3A,Epic,웅장한
Band of Horses,The Funeral,285,https://www.last.fm/music/Band+of+Horses/_/The+Funeral,https://www.youtube.com/watch?v=cMFWFhTFohk,Epic,웅장한
Arcade Fire,Wake Up,335,https://www.last.fm/music/Arcade+Fire/_/Wake+Up,https://www.youtube.com/watch?v=9zdNdjF-htY,Epic,웅장한
Radiohead,Pyramid Song,0,https://www.last.fm/music/Radiohead/_/Pyramid+Song,https://www.youtube.com/watch?v=3M_Gg1xAHE4,Epic,웅장한
Arcade Fire,Rebellion (Lies),311,https://www.last.fm/music/Arcade+Fire/_/Rebellion+(Lies),https://www.youtube.com/watch?v=MQvZ4N1RfS8,Epic,웅장한
Florence + the Machine,Shake It Out,280,https://www.last.fm/music/Florence+%252B+the+Machine/_/Shake+It+Out,https://www.youtube.com/watch?v=WbN0nX61rIs,Epic,웅장한
Olivia Rodrigo,vampire,0,https://www.last.fm/music/Olivia+Rodrigo/_/vampire,https://www.youtube.com/watch?v=RlPNh_PBZb4,Epic,웅장한
Frank Ocean,Pyramids,592,https://www.last.fm/music/Frank+Ocean/_/Pyramids,https://www.youtube.com/watch?v=dMV31MWIjLE,Epic,웅장한
Billie Eilish,Everything I Wanted,0,https://www.last.fm/music/Billie+Eilish/_/Everything+I+Wanted,https://www.youtube.com/watch?v=EgBJmlPo8Xw,Epic,웅장한
Florence + the Machine,Cosmic Love,292,https://www.last.fm/music/Florence+%252B+the+Machine/_/Cosmic+Love,https://www.youtube.com/watch?v=2EIeUlvHAiM,Epic,웅장한
Taylor Swift,Wildest Dreams,220,https://www.last.fm/music/Taylor+Swift/_/Wildest+Dreams,https://www.youtube.com/watch?v=IdneKLhsWOQ,Epic,웅장한
Lana Del Rey,Ride,293,https://www.last.fm/music/Lana+Del+Rey/_/Ride,https://www.youtube.com/watch?v=Py_-3di1yx0,Epic,웅장한
Imagine Dragons,Believer,0,https://www.last.fm/music/Imagine+Dragons/_/Believer,https://www.youtube.com/watch?v=7wtfhZwyrcc,Epic,웅장한
The Smashing Pumpkins,"Tonight, Tonight",254,"https://www.last.fm/music/The+Smashing+Pumpkins/_/Tonight,+Tonight",https://www.youtube.com/watch?v=NOG3eus4ZSo,Epic,웅장한
Sigur Rós,Hoppípolla,269,https://www.last.fm/music/Sigur+R%C3%B3s/_/Hopp%C3%ADpolla,https://www.youtube.com/watch?v=mZTb8WxEW78,Epic,웅장한
Lana Del Rey,Ultraviolence,249,https://www.last.fm/music/Lana+Del+Rey/_/Ultraviolence,https://www.youtube.com/watch?v=ZFWC4SiZBao,Epic,웅장한
Muse,Map of the Problematique,322,https://www.last.fm/music/Muse/_/Map+of+the+Problematique,https://www.youtube.com/watch?v=Nw5AMCEiZms,Epic,웅장한
Arcade Fire,No Cars Go,364,https://www.last.fm/music/Arcade+Fire/_/No+Cars+Go,https://www.youtube.com/watch?v=YRRMfJ1_y-E,Epic,웅장한
Mitski,Francis Forever,149,https://www.last.fm/music/Mitski/_/Francis+Forever,https://www.youtube.com/watch?v=UMJm_97QXHA,Epic,웅장한
Kanye West,Ghost Town,0,https://www.last.fm/music/Kanye+West/_/Ghost+Town,https://www.youtube.com/watch?v=qAsHVwl-MU4,Epic,웅장한
The Doors,The End,193,https://www.last.fm/music/The+Doors/_/The+End,https://www.youtube.com/watch?v=BXqPNlng6uI,Epic,웅장한
Coldplay,Hymn for the Weekend,0,https://www.last.fm/music/Coldplay/_/Hymn+for+the+Weekend,https://www.youtube.com/watch?v=YykjpeuMNEk,Epic,웅장한
