artist,music_name,duration,lastfm_url,youtube_url,mood_EN,mood_KOR
Madvillain,Fancy Clown,0,https://www.last.fm/music/Madvillain/_/Fancy+Clown,https://www.youtube.com/watch?v=NYpXwlGT7XE,Gentle,점잖은
Aphex Twin,aisatsana [102],321,https://www.last.fm/music/Aphex+Twin/_/aisatsana+%5B102%5D,https://www.youtube.com/watch?v=3_MRe3JwFc8,Gentle,점잖은
Sam Smith,Have Yourself a Merry Little Christmas,170,https://www.last.fm/music/Sam+Smith/_/Have+Yourself+a+Merry+Little+Christmas,https://www.youtube.com/watch?v=rnEqv8WcVq8,Gentle,점잖은
Katy Perry,Swish Swish,0,https://www.last.fm/music/Katy+Perry/_/Swish+Swish,https://www.youtube.com/watch?v=iGk5fR-t5AU,Gentle,점잖은
Vashti Bunyan,I'd Like to Walk Around in Your Mind,135,https://www.last.fm/music/Vashti+Bunyan/_/I%27d+Like+to+Walk+Around+in+Your+Mind,https://www.youtube.com/watch?v=mqWo3wtNvE0,Gentle,점잖은
The Antlers,Two,355,https://www.last.fm/music/The+Antlers/_/Two,https://www.youtube.com/watch?v=ZsXKa97J6pM,Gentle,점잖은
The Smashing Pumpkins,Stumbleine,176,https://www.last.fm/music/The+Smashing+Pumpkins/_/Stumbleine,https://www.youtube.com/watch?v=pbrvHcFOulc,Gentle,점잖은
Grizzly Bear,I Live With You,297,https://www.last.fm/music/Grizzly+Bear/_/I+Live+With+You,https://www.youtube.com/watch?v=VXHitvC3H9Q,Gentle,점잖은
Local Natives,Cubism Dream,240,https://www.last.fm/music/Local+Natives/_/Cubism+Dream,https://www.youtube.com/watch?v=VkC8neFduRA,Gentle,점잖은
Cat Power,Cherokee,286,https://www.last.fm/music/Cat+Power/_/Cherokee,https://www.youtube.com/watch?v=PDbPrOuXq2s,Gentle,점잖은
José González,Fold,174,https://www.last.fm/music/Jos%C3%A9+Gonz%C3%A1lez/_/Fold,https://www.youtube.com/watch?v=8lyqBHiuYIg,Gentle,점잖은
Nicolas Jaar,Too Many Kids Finding Rain in the Dust,204,https://www.last.fm/music/Nicolas+Jaar/_/Too+Many+Kids+Finding+Rain+in+the+Dust,https://www.youtube.com/watch?v=jciHHOlI2Ro,Gentle,점잖은
Lô Borges,Um Girassol Da Cor Do Seu Cabelo,275,https://www.last.fm/music/L%C3%B4+Borges/_/Um+Girassol+Da+Cor+Do+Seu+Cabelo,https://www.youtube.com/watch?v=qoe4IruSpKI,Gentle,점잖은
Vashti Bunyan,Glow Worms,128,https://www.last.fm/music/Vashti+Bunyan/_/Glow+Worms,https://www.youtube.com/watch?v=FmeLl8wn0ts,Gentle,점잖은
Noah and the Whale,Life Is Life,216,https://www.last.fm/music/Noah+and+the+Whale/_/Life+Is+Life,https://www.youtube.com/watch?v=0wmjv33WVlI,Gentle,점잖은
Beach House,House on the Hill,194,https://www.last.fm/music/Beach+House/_/House+on+the+Hill,https://www.youtube.com/watch?v=4WAaBWVsd-I,Gentle,점잖은
Seabear,I Sing I Swim,220,https://www.last.fm/music/Seabear/_/I+Sing+I+Swim,https://www.youtube.com/watch?v=6pWTVwoecog,Gentle,점잖은
Washed Out,A Dedication,259,https://www.last.fm/music/Washed+Out/_/A+Dedication,https://www.youtube.com/watch?v=noS61QN9nag,Gentle,점잖은
The Breeders,Off You,298,https://www.last.fm/music/The+Breeders/_/Off+You,https://www.youtube.com/watch?v=othHQKog9yw,Gentle,점잖은
Lô Borges,O trem Azul,0,https://www.last.fm/music/L%C3%B4+Borges/_/O+trem+Azul,https://www.youtube.com/watch?v=Jppq3wf1xyY,Gentle,점잖은
Phoenix,Party Time,135,https://www.last.fm/music/Phoenix/_/Party+Time,https://www.youtube.com/watch?v=pQo98L4tHA4,Gentle,점잖은
Air,Moon Fever,214,https://www.last.fm/music/Air/_/Moon+Fever,https://www.youtube.com/watch?v=1bgPMIw3T_U,Gentle,점잖은
The Antlers,Corsicana,217,https://www.last.fm/music/The+Antlers/_/Corsicana,https://www.youtube.com/watch?v=1fqMJCJw5Hs,Gentle,점잖은
Chromatics,Back From the Grave,0,https://www.last.fm/music/Chromatics/_/Back+From+the+Grave,https://www.youtube.com/watch?v=SwLwLQnInfE,Gentle,점잖은
Ariel Pink's Haunted Graffiti,Baby,287,https://www.last.fm/music/Ariel+Pink%27s+Haunted+Graffiti/_/Baby,https://www.youtube.com/watch?v=Q3utvDLTynY,Gentle,점잖은
IU,Good Day,236,https://www.last.fm/music/IU/_/Good+Day,https://www.youtube.com/watch?v=jeqdYqsrsA0,Gentle,점잖은
Ariel Pink's Haunted Graffiti,Only in My Dreams,191,https://www.last.fm/music/Ariel+Pink%27s+Haunted+Graffiti/_/Only+in+My+Dreams,https://www.youtube.com/watch?v=Ta46M5rksBk,Gentle,점잖은
CocoRosie,Sunshine,178,https://www.last.fm/music/CocoRosie/_/Sunshine,https://www.youtube.com/watch?v=UDitWUVmRsM,Gentle,점잖은
Vashti Bunyan,Timothy Grub,195,https://www.last.fm/music/Vashti+Bunyan/_/Timothy+Grub,https://www.youtube.com/watch?v=d1HYUZ7K5MQ,Gentle,점잖은
How to Dress Well,Cold Nites,218,https://www.last.fm/music/How+to+Dress+Well/_/Cold+Nites,https://www.youtube.com/watch?v=bEEBnL7OvIg,Gentle,점잖은
Radiohead,Molasses,145,https://www.last.fm/music/Radiohead/_/Molasses,https://www.youtube.com/watch?v=Q6pTpaYwtAw,Gentle,점잖은
The Wombats,Anti-D,265,https://www.last.fm/music/The+Wombats/_/Anti-D,https://www.youtube.com/watch?v=ti1W7Zu8j9k,Gentle,점잖은
Devendra Banhart,Rejoicing in the Hands,101,https://www.last.fm/music/Devendra+Banhart/_/Rejoicing+in+the+Hands,https://www.youtube.com/watch?v=WPwWuCg0NPg,Gentle,점잖은
The Mountain Goats,Tallahassee,311,https://www.last.fm/music/The+Mountain+Goats/_/Tallahassee,https://www.youtube.com/watch?v=VZ1W6U0FmrQ,Gentle,점잖은
My Morning Jacket,Steam Engine,667,https://www.last.fm/music/My+Morning+Jacket/_/Steam+Engine,https://www.youtube.com/watch?v=HA7Y6NrZ24c,Gentle,점잖은
Jamie Woon,Gravity,257,https://www.last.fm/music/Jamie+Woon/_/Gravity,https://www.youtube.com/watch?v=3pln6pZ6jho,Gentle,점잖은
Wes Montgomery,While We're Young,138,https://www.last.fm/music/Wes+Montgomery/_/While+We%27re+Young,https://www.youtube.com/watch?v=Rm2kKNokmxc,Gentle,점잖은
Tarja,Oasis,310,https://www.last.fm/music/Tarja/_/Oasis,https://www.youtube.com/watch?v=Lfhr1CXelGw,Gentle,점잖은
Little Dragon,Never Never,217,https://www.last.fm/music/Little+Dragon/_/Never+Never,https://www.youtube.com/watch?v=A-XXJW08CXw,Gentle,점잖은
Eels,Wooden Nickels,175,https://www.last.fm/music/Eels/_/Wooden+Nickels,https://www.youtube.com/watch?v=MWraJt2yeug,Gentle,점잖은
Damien Rice,Colour Me In,318,https://www.last.fm/music/Damien+Rice/_/Colour+Me+In,https://www.youtube.com/watch?v=BYMwB7auG90,Gentle,점잖은
Snow Patrol,An Olive Grove Facing The Sea,319,https://www.last.fm/music/Snow+Patrol/_/An+Olive+Grove+Facing+The+Sea,https://www.youtube.com/watch?v=pQPB4OUOUVA,Gentle,점잖은
Scott McKenzie,San Francisco (Be Sure To Wear Flowers In Your Hair) - Single Version,0,https://www.last.fm/music/Scott+McKenzie/_/San+Francisco+(Be+Sure+To+Wear+Flowers+In+Your+Hair)+-+Single+Version,https://www.youtube.com/watch?v=DPav4Z72j_M,Gentle,점잖은
Yo La Tengo,Season of the Shark,269,https://www.last.fm/music/Yo+La+Tengo/_/Season+of+the+Shark,https://www.youtube.com/watch?v=cUvpG8bb6Mw,Gentle,점잖은
Amos Lee,All My Friends,258,https://www.last.fm/music/Amos+Lee/_/All+My+Friends,https://www.youtube.com/watch?v=jYFkcIZmsBc,Gentle,점잖은
Ariel Pink's Haunted Graffiti,Can't Hear My Eyes,199,https://www.last.fm/music/Ariel+Pink%27s+Haunted+Graffiti/_/Can%27t+Hear+My+Eyes,https://www.youtube.com/watch?v=gcC4fQdBfEg,Gentle,점잖은
Sibylle Baier,Give Me a Smile,114,https://www.last.fm/music/Sibylle+Baier/_/Give+Me+a+Smile,https://www.youtube.com/watch?v=nqeZTiAZyuo,Gentle,점잖은
Demi Lovato,The Art Of Starting Over,0,https://www.last.fm/music/Demi+Lovato/_/The+Art+Of+Starting+Over,https://www.youtube.com/watch?v=ZZhwUqzeZpY,Gentle,점잖은
Angus & Julia Stone,Stranger,249,https://www.last.fm/music/Angus+&+Julia+Stone/_/Stranger,https://www.youtube.com/watch?v=WCcVU_GkqW8,Gentle,점잖은
Palace Music,New Partner,234,https://www.last.fm/music/Palace+Music/_/New+Partner,https://www.youtube.com/watch?v=nhqAfSzFDgs,Gentle,점잖은
Little Dragon,Come Home,253,https://www.last.fm/music/Little+Dragon/_/Come+Home,https://www.youtube.com/watch?v=Iap9WbTDezc,Gentle,점잖은
Émilie Simon,Le Vieil Amant,0,https://www.last.fm/music/%C3%89milie+Simon/_/Le+Vieil+Amant,https://www.youtube.com/watch?v=56dy-P3i2SM,Gentle,점잖은
Zola Jesus,Hikikomori,222,https://www.last.fm/music/Zola+Jesus/_/Hikikomori,https://www.youtube.com/watch?v=AjoY20hc4BA,Gentle,점잖은
Devendra Banhart,Water May Walk,194,https://www.last.fm/music/Devendra+Banhart/_/Water+May+Walk,,Gentle,점잖은
Charlotte Gainsbourg,Morning Song,0,https://www.last.fm/music/Charlotte+Gainsbourg/_/Morning+Song,https://www.youtube.com/watch?v=obPVJhenf3s,Gentle,점잖은
The Magic Numbers,Wheels On Fire,0,https://www.last.fm/music/The+Magic+Numbers/_/Wheels+On+Fire,https://www.youtube.com/watch?v=8fxJpk_8FgQ,Gentle,점잖은
Sufjan Stevens,"Concerning the UFO Sighting Near Highland, IL",0,"https://www.last.fm/music/Sufjan+Stevens/_/Concerning+the+UFO+Sighting+Near+Highland,+IL",https://www.youtube.com/watch?v=4b0fdETmRng,Gentle,점잖은
Taylor Swift,State Of Grace - Acoustic Version,0,https://www.last.fm/music/Taylor+Swift/_/State+Of+Grace+-+Acoustic+Version,https://www.youtube.com/watch?v=FwzwOMIN1vM,Gentle,점잖은
Kanye West,Spaceship (feat. GLC & Consequence),0,https://www.last.fm/music/Kanye+West/_/Spaceship+(feat.+GLC+&+Consequence),https://www.youtube.com/watch?v=mn77gzjBl1U,Gentle,점잖은
The Clientele,(I Can't Seem To) Make You Mine,218,https://www.last.fm/music/The+Clientele/_/(I+Can%27t+Seem+To)+Make+You+Mine,https://www.youtube.com/watch?v=HGekjZd5LPk,Gentle,점잖은
Emilie Autumn,Shalott,244,https://www.last.fm/music/Emilie+Autumn/_/Shalott,,Gentle,점잖은
Ariel Pink's Haunted Graffiti,Mature Themes,166,https://www.last.fm/music/Ariel+Pink%27s+Haunted+Graffiti/_/Mature+Themes,https://www.youtube.com/watch?v=BriMF5zqtQQ,Gentle,점잖은
Sparklehorse,Morning Hollow,446,https://www.last.fm/music/Sparklehorse/_/Morning+Hollow,https://www.youtube.com/watch?v=7rWhW-aSDcU,Gentle,점잖은
Karen Dalton,Reason to Believe,144,https://www.last.fm/music/Karen+Dalton/_/Reason+to+Believe,https://www.youtube.com/watch?v=k5H4-Eafu8A,Gentle,점잖은
Mazzy Star,Does Someone Have Your Baby Now?,248,https://www.last.fm/music/Mazzy+Star/_/Does+Someone+Have+Your+Baby+Now%3F,https://www.youtube.com/watch?v=7DUDWJ6-81M,Gentle,점잖은
Great Lake Swimmers,There Is a Light,0,https://www.last.fm/music/Great+Lake+Swimmers/_/There+Is+a+Light,https://www.youtube.com/watch?v=3m-lkar0Qf0,Gentle,점잖은
Belle and Sebastian,Freak,139,https://www.last.fm/music/Belle+and+Sebastian/_/Freak,https://www.youtube.com/watch?v=1eqqBCjh7gA,Gentle,점잖은
Anathema,Are You There,0,https://www.last.fm/music/Anathema/_/Are+You+There,https://www.youtube.com/watch?v=zpK6u7GN9xM,Gentle,점잖은
The Books,Twelve Fold Chain,284,https://www.last.fm/music/The+Books/_/Twelve+Fold+Chain,https://www.youtube.com/watch?v=6rd118WJR0M,Gentle,점잖은
How to Dress Well,You Won't Need Me Where I'm Goin',173,https://www.last.fm/music/How+to+Dress+Well/_/You+Won%27t+Need+Me+Where+I%27m+Goin%27,https://www.youtube.com/watch?v=abJKGGDxt1U,Gentle,점잖은
Amiina,Kolapot,280,https://www.last.fm/music/Amiina/_/Kolapot,https://www.youtube.com/watch?v=ikCbRKGyzu4,Gentle,점잖은
Camera Obscura,Houseboat,204,https://www.last.fm/music/Camera+Obscura/_/Houseboat,https://www.youtube.com/watch?v=OJqJ-sEP9xw,Gentle,점잖은
Seabear,Owl Waltz,286,https://www.last.fm/music/Seabear/_/Owl+Waltz,https://www.youtube.com/watch?v=Ax8n0shhiMI,Gentle,점잖은
Okkervil River,Listening to Otis Redding at Home During Christmas,396,https://www.last.fm/music/Okkervil+River/_/Listening+to+Otis+Redding+at+Home+During+Christmas,https://www.youtube.com/watch?v=qYnZrSdyxQc,Gentle,점잖은
The Willowz,I Wonder,210,https://www.last.fm/music/The+Willowz/_/I+Wonder,https://www.youtube.com/watch?v=nt4YIzj8rww,Gentle,점잖은
My Morning Jacket,Movin Away,313,https://www.last.fm/music/My+Morning+Jacket/_/Movin+Away,https://www.youtube.com/watch?v=04jn04NEcmo,Gentle,점잖은
Smog,Palimpsest,172,https://www.last.fm/music/Smog/_/Palimpsest,https://www.youtube.com/watch?v=Pu0F2sFyDgE,Gentle,점잖은
Archive,I Will Fade,188,https://www.last.fm/music/Archive/_/I+Will+Fade,https://www.youtube.com/watch?v=XG0uDGbWZGs,Gentle,점잖은
Emily Browning,Asleep,263,https://www.last.fm/music/Emily+Browning/_/Asleep,https://www.youtube.com/watch?v=uwDVHT8I7YA,Gentle,점잖은
The Beach Boys,All I Wanna Do,214,https://www.last.fm/music/The+Beach+Boys/_/All+I+Wanna+Do,,Gentle,점잖은
Seabear,Sailors Blue,243,https://www.last.fm/music/Seabear/_/Sailors+Blue,https://www.youtube.com/watch?v=F2MSsxMvtGw,Gentle,점잖은
Yo La Tengo,Take Care,160,https://www.last.fm/music/Yo+La+Tengo/_/Take+Care,https://www.youtube.com/watch?v=0fV_BZ3jI2Q,Gentle,점잖은
Morrissey,"Seasick, Yet Still Docked",307,"https://www.last.fm/music/Morrissey/_/Seasick,+Yet+Still+Docked",https://www.youtube.com/watch?v=7mMJukBAC3M,Gentle,점잖은
Love,Orange Skies,190,https://www.last.fm/music/Love/_/Orange+Skies,https://www.youtube.com/watch?v=qPFQeFaIpOw,Gentle,점잖은
Sigur Rós,Svo Hljott,0,https://www.last.fm/music/Sigur+R%C3%B3s/_/Svo+Hljott,https://www.youtube.com/watch?v=Rm7i2AZ2iNo,Gentle,점잖은
Luiz Bonfá,Manhã de Carnaval,0,https://www.last.fm/music/Luiz+Bonf%C3%A1/_/Manh%C3%A3+de+Carnaval,https://www.youtube.com/watch?v=FNK-OaWhwGU,Gentle,점잖은
