artist,music_name,duration,lastfm_url,youtube_url,mood_EN,mood_KOR
Foster the People,Pumped Up Kicks,236,https://www.last.fm/music/Foster+the+People/_/Pumped+Up+Kicks,https://www.youtube.com/watch?v=SDTZ7iX4vTQ,Happy,행복한
Florence + the Machine,Dog Days Are Over,270,https://www.last.fm/music/Florence+%252B+the+Machine/_/Dog+Days+Are+Over,https://www.youtube.com/watch?v=iWOyfLBYtuU,Happy,행복한
OutKast,Hey Ya!,233,https://www.last.fm/music/OutKast/_/Hey+Ya%21,https://www.youtube.com/watch?v=PWgvGjAhvIw,Happy,행복한
Jason Mraz,I'm Yours,242,https://www.last.fm/music/Jason+Mraz/_/I%27m+Yours,https://www.youtube.com/watch?v=EkHTsc9PU2A,Happy,행복한
The Cure,Friday I'm in Love,214,https://www.last.fm/music/The+Cure/_/Friday+I%27m+in+Love,https://www.youtube.com/watch?v=mGgMZpGYiy8,Happy,행복한
Weezer,Island in the Sun,280,https://www.last.fm/music/Weezer/_/Island+in+the+Sun,https://www.youtube.com/watch?v=0C3zgYW_FAM,Happy,행복한
Vampire Weekend,A-Punk,136,https://www.last.fm/music/Vampire+Weekend/_/A-Punk,https://www.youtube.com/watch?v=_XC2mqcMMGQ,Happy,행복한
Modest Mouse,Float On,211,https://www.last.fm/music/Modest+Mouse/_/Float+On,https://www.youtube.com/watch?v=CTAud5O7Qqk,Happy,행복한
The Jackson 5,I Want You Back,180,https://www.last.fm/music/The+Jackson+5/_/I+Want+You+Back,https://www.youtube.com/watch?v=UvynvnxZJ3Q,Happy,행복한
Peter Bjorn and John,Young Folks,279,https://www.last.fm/music/Peter+Bjorn+and+John/_/Young+Folks,https://www.youtube.com/watch?v=iArXv64tCJA,Happy,행복한
Owl City,Fireflies,195,https://www.last.fm/music/Owl+City/_/Fireflies,https://www.youtube.com/watch?v=psuRGfAaju4,Happy,행복한
Sixpence None the Richer,Kiss Me,206,https://www.last.fm/music/Sixpence+None+the+Richer/_/Kiss+Me,https://www.youtube.com/watch?v=K2tbQ_g2VbQ,Happy,행복한
Train,"Hey, Soul Sister",405,"https://www.last.fm/music/Train/_/Hey,+Soul+Sister",https://www.youtube.com/watch?v=kVpv8-5XWOI,Happy,행복한
Electric Light Orchestra,Mr. Blue Sky,306,https://www.last.fm/music/Electric+Light+Orchestra/_/Mr.+Blue+Sky,https://www.youtube.com/watch?v=aQUlA8Hcv4s,Happy,행복한
Smash Mouth,All Star,202,https://www.last.fm/music/Smash+Mouth/_/All+Star,https://www.youtube.com/watch?v=L_jWHffIx5E,Happy,행복한
Paramore,Still into You,216,https://www.last.fm/music/Paramore/_/Still+into+You,https://www.youtube.com/watch?v=OblL026SvD4,Happy,행복한
Taylor Swift,Shake It Off,219,https://www.last.fm/music/Taylor+Swift/_/Shake+It+Off,https://www.youtube.com/watch?v=nfWlot6h_JM,Happy,행복한
Queen,Don't Stop Me Now,210,https://www.last.fm/music/Queen/_/Don%27t+Stop+Me+Now,https://www.youtube.com/watch?v=HgzGwKwLmgM,Happy,행복한
Grouplove,Tongue Tied,218,https://www.last.fm/music/Grouplove/_/Tongue+Tied,https://www.youtube.com/watch?v=1x1wjGKHjBI,Happy,행복한
