artist,music_name,duration,lastfm_url,youtube_url,mood_EN,mood_KOR
Clairo,Sofia,0,https://www.last.fm/music/Clairo/_/Sofia,https://www.youtube.com/watch?v=rO3gFl32JeE,Lyrical,서정적인
Olivia Rodrigo,Bad Idea Right?,0,https://www.last.fm/music/Olivia+Rodrigo/_/Bad+Idea+Right%3F,https://www.youtube.com/watch?v=Dj9qJsJTsjQ,Lyrical,서정적인
J. Cole,MIDDLE CHILD,0,https://www.last.fm/music/J.+Cole/_/MIDDLE+CHILD,https://www.youtube.com/watch?v=WILNIXZr2oc,Lyrical,서정적인
Sufjan Stevens,Death with Dignity,0,https://www.last.fm/music/Sufjan+Stevens/_/Death+with+Dignity,https://www.youtube.com/watch?v=dsGODTySH0E,Lyrical,서정적인
The 1975,It's Not Living (If It's Not with You),0,https://www.last.fm/music/The+1975/_/It%27s+Not+Living+(If+It%27s+Not+with+You),,Lyrical,서정적인
JPEGMAFIA,1539 N. Calvert,0,https://www.last.fm/music/JPEGMAFIA/_/1539+N.+Calvert,https://www.youtube.com/watch?v=PO3mri47s7M,Lyrical,서정적인
Kanye West,30 Hours,0,https://www.last.fm/music/Kanye+West/_/30+Hours,https://www.youtube.com/watch?v=OH3bNgA1rkE,Lyrical,서정적인
Taylor Swift,You’re Losing Me (From the Vault),0,https://www.last.fm/music/Taylor+Swift/_/You%E2%80%99re+Losing+Me+(From+the+Vault),https://www.youtube.com/watch?v=pQq9eP5OFhw,Lyrical,서정적인
The 1975,The 1975,79,https://www.last.fm/music/The+1975/_/The+1975,https://www.youtube.com/watch?v=gLjmOXUF7Pc,Lyrical,서정적인
"Tyler, the Creator",Tamale,166,"https://www.last.fm/music/Tyler,+the+Creator/_/Tamale",https://www.youtube.com/watch?v=OxlJLz9M8hQ,Lyrical,서정적인
The Last Dinner Party,Nothing Matters,0,https://www.last.fm/music/The+Last+Dinner+Party/_/Nothing+Matters,https://www.youtube.com/watch?v=pETz4IMmeDU,Lyrical,서정적인
Ryan Gosling,I’m Just Ken,0,https://www.last.fm/music/Ryan+Gosling/_/I%E2%80%99m+Just+Ken,https://www.youtube.com/watch?v=wwux9KiBMjE,Lyrical,서정적인
Nas,Life's A Bitch (feat. AZ & Olu Dara),0,https://www.last.fm/music/Nas/_/Life%27s+A+Bitch+(feat.+AZ+&+Olu+Dara),https://www.youtube.com/watch?v=EV9ivCVgT9k,Lyrical,서정적인
WET LEG,Chaise Longue,0,https://www.last.fm/music/WET+LEG/_/Chaise+Longue,https://www.youtube.com/watch?v=Zd9jeJk2UHQ,Lyrical,서정적인
The Naked and Famous,Girls Like You,364,https://www.last.fm/music/The+Naked+and+Famous/_/Girls+Like+You,https://www.youtube.com/watch?v=WUIm01odei0,Lyrical,서정적인
Danny Brown,Really Doe,0,https://www.last.fm/music/Danny+Brown/_/Really+Doe,https://www.youtube.com/watch?v=FR_yo8wAgJ4,Lyrical,서정적인
"Tyler, the Creator",Radicals,438,"https://www.last.fm/music/Tyler,+the+Creator/_/Radicals",https://www.youtube.com/watch?v=D1wbULXdG2k,Lyrical,서정적인
"Tyler, the Creator",Her,211,"https://www.last.fm/music/Tyler,+the+Creator/_/Her",https://www.youtube.com/watch?v=nuuwl-6Ikvk,Lyrical,서정적인
Fall Out Boy,Grand Theft Autumn / Where Is Your Boy,192,https://www.last.fm/music/Fall+Out+Boy/_/Grand+Theft+Autumn+%2F+Where+Is+Your+Boy,https://www.youtube.com/watch?v=GZb_mqH2zJY,Lyrical,서정적인
"Tyler, the Creator",Nightmare,322,"https://www.last.fm/music/Tyler,+the+Creator/_/Nightmare",https://www.youtube.com/watch?v=1bK7TwE4Xlc,Lyrical,서정적인
Deftones,Ohms,0,https://www.last.fm/music/Deftones/_/Ohms,https://www.youtube.com/watch?v=KUDbj0oeAj0,Lyrical,서정적인
V,Slow Dancing,0,https://www.last.fm/music/V/_/Slow+Dancing,https://www.youtube.com/watch?v=eI0iTRS0Ha8,Lyrical,서정적인
MF DOOM,Gazzillion Ear,0,https://www.last.fm/music/MF+DOOM/_/Gazzillion+Ear,https://www.youtube.com/watch?v=bHwpmAuIxAU,Lyrical,서정적인
jimin,Like Crazy (English Version),0,https://www.last.fm/music/jimin/_/Like+Crazy+(English+Version),https://www.youtube.com/watch?v=i2hE4R2Tmig,Lyrical,서정적인
MF DOOM,Ballskin,0,https://www.last.fm/music/MF+DOOM/_/Ballskin,https://www.youtube.com/watch?v=15hKYfBVz78,Lyrical,서정적인
Sky Ferreira,Nobody Asked Me (If I Was Okay),247,https://www.last.fm/music/Sky+Ferreira/_/Nobody+Asked+Me+(If+I+Was+Okay),https://www.youtube.com/watch?v=Kfx3fC9F3Ww,Lyrical,서정적인
Eminem,Rhyme or Reason,301,https://www.last.fm/music/Eminem/_/Rhyme+or+Reason,https://www.youtube.com/watch?v=xGoggPk6Jr4,Lyrical,서정적인
"Tyler, the Creator",Fish,0,"https://www.last.fm/music/Tyler,+the+Creator/_/Fish",https://www.youtube.com/watch?v=7mrq4a9o-ds,Lyrical,서정적인
Westside Gunn,327,0,https://www.last.fm/music/Westside+Gunn/_/327,https://www.youtube.com/watch?v=kmhgibIoJj0,Lyrical,서정적인
"Tyler, the Creator",Golden,343,"https://www.last.fm/music/Tyler,+the+Creator/_/Golden",https://www.youtube.com/watch?v=_mkdCWFWU7k,Lyrical,서정적인
Jid,Off Da Zoinkys,0,https://www.last.fm/music/Jid/_/Off+Da+Zoinkys,https://www.youtube.com/watch?v=AzlcFH27dTU,Lyrical,서정적인
"Tyler, the Creator",AU79,220,"https://www.last.fm/music/Tyler,+the+Creator/_/AU79",https://www.youtube.com/watch?v=v8EZvJEfiU4,Lyrical,서정적인
"Tyler, the Creator",Sandwitches,0,"https://www.last.fm/music/Tyler,+the+Creator/_/Sandwitches",https://www.youtube.com/watch?v=Pdn8Ww36I_4,Lyrical,서정적인
The 1975,You,1570,https://www.last.fm/music/The+1975/_/You,https://www.youtube.com/watch?v=KsGp64w3XsA,Lyrical,서정적인
The Moody Blues,Nights In White Satin - Single Version / Mono,0,https://www.last.fm/music/The+Moody+Blues/_/Nights+In+White+Satin+-+Single+Version+%2F+Mono,https://www.youtube.com/watch?v=iVusUjyby18,Lyrical,서정적인
Ghostface Killah,One,226,https://www.last.fm/music/Ghostface+Killah/_/One,https://www.youtube.com/watch?v=H9HD6Jqr4Zw,Lyrical,서정적인
Pusha T,Just So You Remember,0,https://www.last.fm/music/Pusha+T/_/Just+So+You+Remember,https://www.youtube.com/watch?v=ZIaRsy9_JeU,Lyrical,서정적인
Bleachers,chinatown (feat. Bruce Springsteen),0,https://www.last.fm/music/Bleachers/_/chinatown+(feat.+Bruce+Springsteen),https://www.youtube.com/watch?v=4POQtHyD2Yg,Lyrical,서정적인
Walk the Moon,Work This Body,177,https://www.last.fm/music/Walk+the+Moon/_/Work+This+Body,https://www.youtube.com/watch?v=0UYi5naMsfg,Lyrical,서정적인
"Tyler, the Creator",Analog,0,"https://www.last.fm/music/Tyler,+the+Creator/_/Analog",https://www.youtube.com/watch?v=U_Zyucrhf34,Lyrical,서정적인
Panic! at the Disco,Bohemian Rhapsody,0,https://www.last.fm/music/Panic%21+at+the+Disco/_/Bohemian+Rhapsody,https://www.youtube.com/watch?v=Jl6oJTB4TpA,Lyrical,서정적인
Motion City Soundtrack,Feel Like Rain,214,https://www.last.fm/music/Motion+City+Soundtrack/_/Feel+Like+Rain,https://www.youtube.com/watch?v=ME6SxA7AfSc,Lyrical,서정적인
Foo Fighters,Shame Shame,0,https://www.last.fm/music/Foo+Fighters/_/Shame+Shame,https://www.youtube.com/watch?v=R1G6-RUz3OA,Lyrical,서정적인
Little Big Town,Girl Crush,193,https://www.last.fm/music/Little+Big+Town/_/Girl+Crush,https://www.youtube.com/watch?v=JYZMT8otKdI,Lyrical,서정적인
"Tyler, the Creator",Untitled 63,0,"https://www.last.fm/music/Tyler,+the+Creator/_/Untitled+63",https://www.youtube.com/watch?v=DWEH8ojJfyA,Lyrical,서정적인
Bright Eyes,I Believe in Symmetry,324,https://www.last.fm/music/Bright+Eyes/_/I+Believe+in+Symmetry,https://www.youtube.com/watch?v=xhhyXdhhnY4,Lyrical,서정적인
Lorde,Take Me to the River,0,https://www.last.fm/music/Lorde/_/Take+Me+to+the+River,https://www.youtube.com/watch?v=fJar9TovXzI,Lyrical,서정적인
Vérité,Somebody Else,0,https://www.last.fm/music/V%C3%A9rit%C3%A9/_/Somebody+Else,https://www.youtube.com/watch?v=Y6bFk5MZ7b4,Lyrical,서정적인
NEGATIVE XP,Scott Pilgrim vs. the World Ruined a Whole Generation of Women,0,https://www.last.fm/music/NEGATIVE+XP/_/Scott+Pilgrim+vs.+the+World+Ruined+a+Whole+Generation+of+Women,https://www.youtube.com/watch?v=cAyLrRZf1-I,Lyrical,서정적인
The Last Dinner Party,My Lady of Mercy,0,https://www.last.fm/music/The+Last+Dinner+Party/_/My+Lady+of+Mercy,https://www.youtube.com/watch?v=mV76WmC5I4s,Lyrical,서정적인
The Byrds,You Ain't Goin' Nowhere,153,https://www.last.fm/music/The+Byrds/_/You+Ain%27t+Goin%27+Nowhere,https://www.youtube.com/watch?v=Q21BF38W3Gs,Lyrical,서정적인
Gary Clark Jr.,Come Together,0,https://www.last.fm/music/Gary+Clark+Jr./_/Come+Together,https://www.youtube.com/watch?v=r7imYeuAfkg,Lyrical,서정적인
"Tyler, the Creator",Steak Sauce,0,"https://www.last.fm/music/Tyler,+the+Creator/_/Steak+Sauce",https://www.youtube.com/watch?v=YdG2-pw1woE,Lyrical,서정적인
Cake,Alpha Beta Parking Lot,210,https://www.last.fm/music/Cake/_/Alpha+Beta+Parking+Lot,https://www.youtube.com/watch?v=RvOkXXXC7KA,Lyrical,서정적인
Queens of the Stone Age,Emotion Sickness,0,https://www.last.fm/music/Queens+of+the+Stone+Age/_/Emotion+Sickness,https://www.youtube.com/watch?v=LIejWJ1rsgU,Lyrical,서정적인
