artist,music_name,duration,lastfm_url,youtube_url,mood_EN,mood_KOR
Taylor Swift,Carolina - From The Motion Picture “Where The Crawdads Sing”,0,https://www.last.fm/music/Taylor+Swift/_/Carolina+-+From+The+Motion+Picture+%E2%80%9CWhere+The+Crawdads+Sing%E2%80%9D,https://www.youtube.com/watch?v=3Q94kA7llGw,Mysterious,신비한
Lemon Demon,Touch-Tone Telephone,0,https://www.last.fm/music/Lemon+Demon/_/Touch-Tone+Telephone,https://www.youtube.com/watch?v=rbxL5BVEkRs,Mysterious,신비한
Rihanna,Mad House,94,https://www.last.fm/music/Rihanna/_/Mad+House,https://www.youtube.com/watch?v=4IayBLReV7Q,Mysterious,신비한
Lemon Demon,Eighth Wonder,311,https://www.last.fm/music/Lemon+Demon/_/Eighth+Wonder,https://www.youtube.com/watch?v=vyzQ-ZFSQic,Mysterious,신비한
Grizzly Bear,Colorado,374,https://www.last.fm/music/Grizzly+Bear/_/Colorado,https://www.youtube.com/watch?v=Fjv564OSeAQ,Mysterious,신비한
Edward Sharpe & The Magnetic Zeros,Kisses Over Babylon,315,https://www.last.fm/music/Edward+Sharpe+&+The+Magnetic+Zeros/_/Kisses+Over+Babylon,https://www.youtube.com/watch?v=7gwXpLpfb3Y,Mysterious,신비한
Ethel Cain,August Underground,0,https://www.last.fm/music/Ethel+Cain/_/August+Underground,https://www.youtube.com/watch?v=VfDW-L4gKK4,Mysterious,신비한
Aphex Twin,#7,0,https://www.last.fm/music/Aphex+Twin/_/%237,https://www.youtube.com/watch?v=zSCs2Udsejc,Mysterious,신비한
Melody's Echo Chamber,Crystallized,241,https://www.last.fm/music/Melody%27s+Echo+Chamber/_/Crystallized,https://www.youtube.com/watch?v=sfy0_vhfb-s,Mysterious,신비한
The Hives,A Stroll Through Hive Manor Corridors,157,https://www.last.fm/music/The+Hives/_/A+Stroll+Through+Hive+Manor+Corridors,https://www.youtube.com/watch?v=8BZikaM5Gr0,Mysterious,신비한
Infected Mushroom,In Front of Me,268,https://www.last.fm/music/Infected+Mushroom/_/In+Front+of+Me,https://www.youtube.com/watch?v=np2fzA5eU6w,Mysterious,신비한
Spoon,The Mystery Zone,299,https://www.last.fm/music/Spoon/_/The+Mystery+Zone,https://www.youtube.com/watch?v=tzwP0d5YcP8,Mysterious,신비한
St. Vincent,Your Lips Are Red,281,https://www.last.fm/music/St.+Vincent/_/Your+Lips+Are+Red,https://www.youtube.com/watch?v=whxF0KhBR84,Mysterious,신비한
Julee Cruise,Floating,294,https://www.last.fm/music/Julee+Cruise/_/Floating,https://www.youtube.com/watch?v=oXkegHyURbI,Mysterious,신비한
Norah Jones,Little Broken Hearts,192,https://www.last.fm/music/Norah+Jones/_/Little+Broken+Hearts,https://www.youtube.com/watch?v=z4Ao43HavnY,Mysterious,신비한
Tinashe,Talk to Me Nice,0,https://www.last.fm/music/Tinashe/_/Talk+to+Me+Nice,https://www.youtube.com/watch?v=RVLGp0Ph9lA,Mysterious,신비한
Boards of Canada,Semena Mertvykh,210,https://www.last.fm/music/Boards+of+Canada/_/Semena+Mertvykh,https://www.youtube.com/watch?v=l3NLHF6oV4Q,Mysterious,신비한
The Flaming Lips,Evil,338,https://www.last.fm/music/The+Flaming+Lips/_/Evil,https://www.youtube.com/watch?v=f87siGRmwYc,Mysterious,신비한
Sufjan Stevens,"In This Temple, as in the Hearts of Man for Whom He Saved the Earth",0,"https://www.last.fm/music/Sufjan+Stevens/_/In+This+Temple,+as+in+the+Hearts+of+Man+for+Whom+He+Saved+the+Earth",https://www.youtube.com/watch?v=XbfzeUmkECE,Mysterious,신비한
Nouvelle Vague,Bela Lugosi's Dead,240,https://www.last.fm/music/Nouvelle+Vague/_/Bela+Lugosi%27s+Dead,https://www.youtube.com/watch?v=YS_h4iqhYtM,Mysterious,신비한
Volcano Choir,Mbira in the Morass,231,https://www.last.fm/music/Volcano+Choir/_/Mbira+in+the+Morass,https://www.youtube.com/watch?v=FwAgyLofaEw,Mysterious,신비한
Billy Woods,Spongebob,0,https://www.last.fm/music/Billy+Woods/_/Spongebob,https://www.youtube.com/watch?v=83F4JpVu61k,Mysterious,신비한
