artist,music_name,duration,lastfm_url,youtube_url,mood_EN,mood_KOR
Taylor Swift,aUgUSt,0,https://www.last.fm/music/Taylor+Swift/_/aUgUSt,https://www.youtube.com/watch?v=nn_0zPAfyo8,Nostalgic,향수어린
Tame Impala,Nangs,0,https://www.last.fm/music/Tame+Impala/_/Nangs,https://www.youtube.com/watch?v=c3yEjD_oijw,Nostalgic,향수어린
Taylor Swift,Love Story (Taylor’s Version),0,https://www.last.fm/music/Taylor+Swift/_/Love+Story+(Taylor%E2%80%99s+Version),https://www.youtube.com/watch?v=aXzVF3XeS8M,Nostalgic,향수어린
Harry Styles,Falling,0,https://www.last.fm/music/Harry+Styles/_/Falling,https://www.youtube.com/watch?v=olGSAVOkkTI,Nostalgic,향수어린
Taylor Swift,All Too Well (10 Minute Version) (Taylor's Version) (From The Vault),0,https://www.last.fm/music/Taylor+Swift/_/All+Too+Well+(10+Minute+Version)+(Taylor%27s+Version)+(From+The+Vault),https://www.youtube.com/watch?v=tollGa3S0o8,Nostalgic,향수어린
SZA,Nobody Gets Me,0,https://www.last.fm/music/SZA/_/Nobody+Gets+Me,https://www.youtube.com/watch?v=tOTr9CCutiE,Nostalgic,향수어린
LCD Soundsystem,All My Friends,522,https://www.last.fm/music/LCD+Soundsystem/_/All+My+Friends,https://www.youtube.com/watch?v=vVEZNvqecdE,Nostalgic,향수어린
Ms. Lauryn Hill,Doo Wop (That Thing),0,https://www.last.fm/music/Ms.+Lauryn+Hill/_/Doo+Wop+(That+Thing),https://www.youtube.com/watch?v=T6QKqFPRZSA,Nostalgic,향수어린
Kids See Ghosts,Reborn,0,https://www.last.fm/music/Kids+See+Ghosts/_/Reborn,https://www.youtube.com/watch?v=hQC8COGQ4BM,Nostalgic,향수어린
Taylor Swift,Red (Taylor's Version),0,https://www.last.fm/music/Taylor+Swift/_/Red+(Taylor%27s+Version),https://www.youtube.com/watch?v=R_rUYuFtNO4,Nostalgic,향수어린
Harry Styles,Little Freak,0,https://www.last.fm/music/Harry+Styles/_/Little+Freak,https://www.youtube.com/watch?v=hJpvI3w3tDc,Nostalgic,향수어린
Clairo,Softly,0,https://www.last.fm/music/Clairo/_/Softly,https://www.youtube.com/watch?v=u1l2WIxrJVQ,Nostalgic,향수어린
Taylor Swift,right where you left me - bonus track,0,https://www.last.fm/music/Taylor+Swift/_/right+where+you+left+me+-+bonus+track,https://www.youtube.com/watch?v=Ur_wAcYDnuA,Nostalgic,향수어린
Kali Uchis,I Wish You Roses,0,https://www.last.fm/music/Kali+Uchis/_/I+Wish+You+Roses,https://www.youtube.com/watch?v=-Y7zc0eO26k,Nostalgic,향수어린
Arcade Fire,Suburban War,285,https://www.last.fm/music/Arcade+Fire/_/Suburban+War,https://www.youtube.com/watch?v=KpWqfrX9908,Nostalgic,향수어린
Tame Impala,Gossip,0,https://www.last.fm/music/Tame+Impala/_/Gossip,https://www.youtube.com/watch?v=NF0_IUZIUxs,Nostalgic,향수어린
MF DOOM,That's That,0,https://www.last.fm/music/MF+DOOM/_/That%27s+That,https://www.youtube.com/watch?v=Vwmpc4oxcYQ,Nostalgic,향수어린
Radiohead,Give Up the Ghost,290,https://www.last.fm/music/Radiohead/_/Give+Up+the+Ghost,https://www.youtube.com/watch?v=QGGb7o7EbFs,Nostalgic,향수어린
Sufjan Stevens,Visions of Gideon,0,https://www.last.fm/music/Sufjan+Stevens/_/Visions+of+Gideon,https://www.youtube.com/watch?v=IDgR3FNlsUM,Nostalgic,향수어린
Taylor Swift,The Very First Night (Taylor's Version) (From the Vault),0,https://www.last.fm/music/Taylor+Swift/_/The+Very+First+Night+(Taylor%27s+Version)+(From+the+Vault),https://www.youtube.com/watch?v=rVuyi-dPMIc,Nostalgic,향수어린
Beyoncé,HEATED,0,https://www.last.fm/music/Beyonc%C3%A9/_/HEATED,https://www.youtube.com/watch?v=o3WqRPM6M0A,Nostalgic,향수어린
Regina Spektor,Two Birds,195,https://www.last.fm/music/Regina+Spektor/_/Two+Birds,https://www.youtube.com/watch?v=Bb3_oDWiD_w,Nostalgic,향수어린
Big Thief,Paul,0,https://www.last.fm/music/Big+Thief/_/Paul,https://www.youtube.com/watch?v=0fbA_agbrOg,Nostalgic,향수어린
Taylor Swift,Sad Beautiful Tragic (Taylor's Version),0,https://www.last.fm/music/Taylor+Swift/_/Sad+Beautiful+Tragic+(Taylor%27s+Version),https://www.youtube.com/watch?v=jQfB4Gahi3I,Nostalgic,향수어린
Drake,Over My Dead Body,0,https://www.last.fm/music/Drake/_/Over+My+Dead+Body,https://www.youtube.com/watch?v=PMk8L9FNqnY,Nostalgic,향수어린
Pavement,Gold Soundz,159,https://www.last.fm/music/Pavement/_/Gold+Soundz,https://www.youtube.com/watch?v=lPvhKV3Yg2k,Nostalgic,향수어린
Boygenius,$20,0,https://www.last.fm/music/Boygenius/_/$20,https://www.youtube.com/watch?v=SvItjimKl4M,Nostalgic,향수어린
Lorde,Mood Ring,0,https://www.last.fm/music/Lorde/_/Mood+Ring,https://www.youtube.com/watch?v=P103bWMdvtA,Nostalgic,향수어린
lil skies,Lust,0,https://www.last.fm/music/lil+skies/_/Lust,https://www.youtube.com/watch?v=tcaw6lzYt1Q,Nostalgic,향수어린
Toby Fox,Fallen Down,0,https://www.last.fm/music/Toby+Fox/_/Fallen+Down,https://www.youtube.com/watch?v=qH5hM1ILuFQ,Nostalgic,향수어린
Youth Lagoon,17,236,https://www.last.fm/music/Youth+Lagoon/_/17,https://www.youtube.com/watch?v=b4_x063rhX4,Nostalgic,향수어린
Taylor Swift,Innocent,303,https://www.last.fm/music/Taylor+Swift/_/Innocent,https://www.youtube.com/watch?v=mVQH7_TfjWA,Nostalgic,향수어린
The Smashing Pumpkins,Thirty-Three,251,https://www.last.fm/music/The+Smashing+Pumpkins/_/Thirty-Three,https://www.youtube.com/watch?v=AYSbztCCTlA,Nostalgic,향수어린
Los Retros,SOMEONE TO SPEND TIME WITH,0,https://www.last.fm/music/Los+Retros/_/SOMEONE+TO+SPEND+TIME+WITH,https://www.youtube.com/watch?v=VRQDOFaFqWk,Nostalgic,향수어린
MF DOOM,Gas Drawls,223,https://www.last.fm/music/MF+DOOM/_/Gas+Drawls,https://www.youtube.com/watch?v=0GEBhCVkTDA,Nostalgic,향수어린
Beirut,Rhineland (Heartland),238,https://www.last.fm/music/Beirut/_/Rhineland+(Heartland),https://www.youtube.com/watch?v=1t226t3UhH0,Nostalgic,향수어린
N.W.A.,Fuck Tha Police,343,https://www.last.fm/music/N.W.A./_/Fuck+Tha+Police,https://www.youtube.com/watch?v=qZuxPKUVGiw,Nostalgic,향수어린
Michael Jackson,Man In The Mirror - 2012 Remaster,0,https://www.last.fm/music/Michael+Jackson/_/Man+In+The+Mirror+-+2012+Remaster,https://www.youtube.com/watch?v=PivWY9wn5ps,Nostalgic,향수어린
Beyoncé,AMERIICAN REQUIEM,0,https://www.last.fm/music/Beyonc%C3%A9/_/AMERIICAN+REQUIEM,https://www.youtube.com/watch?v=vp3BSjJdyow,Nostalgic,향수어린
Wolf Alice,Don’t Delete The Kisses,0,https://www.last.fm/music/Wolf+Alice/_/Don%E2%80%99t+Delete+The+Kisses,https://www.youtube.com/watch?v=WqxE-zppu30,Nostalgic,향수어린
Baths,Aminals,199,https://www.last.fm/music/Baths/_/Aminals,https://www.youtube.com/watch?v=dHvWURUzj3Q,Nostalgic,향수어린
The Morning Benders,Excuses,317,https://www.last.fm/music/The+Morning+Benders/_/Excuses,https://www.youtube.com/watch?v=FF_IETJUXKE,Nostalgic,향수어린
Alex G,Gnaw,0,https://www.last.fm/music/Alex+G/_/Gnaw,https://www.youtube.com/watch?v=-y2u5gDE40A,Nostalgic,향수어린
Foxygen,San Francisco,226,https://www.last.fm/music/Foxygen/_/San+Francisco,https://www.youtube.com/watch?v=KtdWGGpvY1s,Nostalgic,향수어린
C418,Haggstrom,204,https://www.last.fm/music/C418/_/Haggstrom,https://www.youtube.com/watch?v=JZNy6eHw3FA,Nostalgic,향수어린
The Beatles,Till There Was You,135,https://www.last.fm/music/The+Beatles/_/Till+There+Was+You,https://www.youtube.com/watch?v=SHAqAO7w8M8,Nostalgic,향수어린
John Maus,Hey Moon,249,https://www.last.fm/music/John+Maus/_/Hey+Moon,https://www.youtube.com/watch?v=K1F6zXmOFdA,Nostalgic,향수어린
Coldplay,Let Somebody Go,0,https://www.last.fm/music/Coldplay/_/Let+Somebody+Go,https://www.youtube.com/watch?v=CWCMGIG1Y54,Nostalgic,향수어린
M83,Splendor,307,https://www.last.fm/music/M83/_/Splendor,https://www.youtube.com/watch?v=bem44n7sFew,Nostalgic,향수어린
Paolo Nutini,Rewind,259,https://www.last.fm/music/Paolo+Nutini/_/Rewind,https://www.youtube.com/watch?v=v1eEC4foVtI,Nostalgic,향수어린
Weyes Blood,Picture Me Better,0,https://www.last.fm/music/Weyes+Blood/_/Picture+Me+Better,https://www.youtube.com/watch?v=wKS76C-da6k,Nostalgic,향수어린
"The Good, the Bad & the Queen",Kingdom of Doom,162,"https://www.last.fm/music/The+Good,+the+Bad+&+the+Queen/_/Kingdom+of+Doom",https://www.youtube.com/watch?v=CGAGOXEFVb0,Nostalgic,향수어린
Michael Jackson,Dirty Diana - 2012 Remaster,0,https://www.last.fm/music/Michael+Jackson/_/Dirty+Diana+-+2012+Remaster,https://www.youtube.com/watch?v=yUi_S6YWjZw,Nostalgic,향수어린
Brand New,Soco Amaretto Lime,284,https://www.last.fm/music/Brand+New/_/Soco+Amaretto+Lime,https://www.youtube.com/watch?v=laWNR1mkiwU,Nostalgic,향수어린
C418,Danny,254,https://www.last.fm/music/C418/_/Danny,https://www.youtube.com/watch?v=X2ajI96FyAk,Nostalgic,향수어린
The National,Hard to Find,253,https://www.last.fm/music/The+National/_/Hard+to+Find,https://www.youtube.com/watch?v=AXviWiigEBE,Nostalgic,향수어린
Deftones,Anniversary of an Uninteresting Event,237,https://www.last.fm/music/Deftones/_/Anniversary+of+an+Uninteresting+Event,https://www.youtube.com/watch?v=LpboYoevfgM,Nostalgic,향수어린
Future Islands,A Dream of You and Me,241,https://www.last.fm/music/Future+Islands/_/A+Dream+of+You+and+Me,https://www.youtube.com/watch?v=d5gUsnJX2oA,Nostalgic,향수어린
Earl Sweatshirt,Faucet,0,https://www.last.fm/music/Earl+Sweatshirt/_/Faucet,https://www.youtube.com/watch?v=pCqbOp9-hd8,Nostalgic,향수어린
J Dilla,One Eleven,71,https://www.last.fm/music/J+Dilla/_/One+Eleven,https://www.youtube.com/watch?v=TEPCiR3lidM,Nostalgic,향수어린
Tycho,Melanine,173,https://www.last.fm/music/Tycho/_/Melanine,https://www.youtube.com/watch?v=E3pNCEvUlJU,Nostalgic,향수어린
Deftones,Knife Party,0,https://www.last.fm/music/Deftones/_/Knife+Party,https://www.youtube.com/watch?v=tMqfNzaOf10,Nostalgic,향수어린
Jamie Woon,Night Air,317,https://www.last.fm/music/Jamie+Woon/_/Night+Air,https://www.youtube.com/watch?v=EL0pTo9Z_XU,Nostalgic,향수어린
She & Him,Black Hole,254,https://www.last.fm/music/She+&+Him/_/Black+Hole,https://www.youtube.com/watch?v=_DfqT6jLhoo,Nostalgic,향수어린
Atmosphere,Yesterday,203,https://www.last.fm/music/Atmosphere/_/Yesterday,https://www.youtube.com/watch?v=5JRZol89roU,Nostalgic,향수어린
Flume,Say It,0,https://www.last.fm/music/Flume/_/Say+It,https://www.youtube.com/watch?v=hZe5K1DN4ec,Nostalgic,향수어린
Beach House,Superstar,0,https://www.last.fm/music/Beach+House/_/Superstar,https://www.youtube.com/watch?v=T84FZgvvr6I,Nostalgic,향수어린
"The Good, the Bad & the Queen",The Bunting Song,227,"https://www.last.fm/music/The+Good,+the+Bad+&+the+Queen/_/The+Bunting+Song",https://www.youtube.com/watch?v=xMZ0-somLC8,Nostalgic,향수어린
Best Coast,I Want to,165,https://www.last.fm/music/Best+Coast/_/I+Want+to,https://www.youtube.com/watch?v=wByxZ_lUrqU,Nostalgic,향수어린
Mac Miller,Best Day Ever,159,https://www.last.fm/music/Mac+Miller/_/Best+Day+Ever,https://www.youtube.com/watch?v=vykXjvO0xMk,Nostalgic,향수어린
Earl Sweatshirt,Off Top,0,https://www.last.fm/music/Earl+Sweatshirt/_/Off+Top,https://www.youtube.com/watch?v=wrxxfrzJY6k,Nostalgic,향수어린
Florence + the Machine,South London Forever,0,https://www.last.fm/music/Florence+%252B+the+Machine/_/South+London+Forever,https://www.youtube.com/watch?v=lua-N4OrPKA,Nostalgic,향수어린
Electric Youth,A Real Hero,269,https://www.last.fm/music/Electric+Youth/_/A+Real+Hero,https://www.youtube.com/watch?v=-DSVDcw6iW8,Nostalgic,향수어린
Miley Cyrus,Younger Now,0,https://www.last.fm/music/Miley+Cyrus/_/Younger+Now,https://www.youtube.com/watch?v=-LX2kpeyp80,Nostalgic,향수어린
The Walkmen,We've Been Had,238,https://www.last.fm/music/The+Walkmen/_/We%27ve+Been+Had,https://www.youtube.com/watch?v=AkWxviryy-Y,Nostalgic,향수어린
Foster the People,Nevermind,317,https://www.last.fm/music/Foster+the+People/_/Nevermind,https://www.youtube.com/watch?v=B-IB6yO_8Uk,Nostalgic,향수어린
Margot & the Nuclear So and So's,Broadripple Is Burning,289,https://www.last.fm/music/Margot+&+the+Nuclear+So+and+So%27s/_/Broadripple+Is+Burning,https://www.youtube.com/watch?v=ZvisgoLaMfE,Nostalgic,향수어린
Donnie Trumpet & The Social Experiment,Sunday Candy,0,https://www.last.fm/music/Donnie+Trumpet+&+The+Social+Experiment/_/Sunday+Candy,https://www.youtube.com/watch?v=i4ooH8frBWg,Nostalgic,향수어린
Caribou,She's the One,241,https://www.last.fm/music/Caribou/_/She%27s+the+One,https://www.youtube.com/watch?v=4BuY-E_Ogk4,Nostalgic,향수어린
Warpaint,Shadows,248,https://www.last.fm/music/Warpaint/_/Shadows,https://www.youtube.com/watch?v=FZtF3OdtAnc,Nostalgic,향수어린
The Decemberists,January Hymn,193,https://www.last.fm/music/The+Decemberists/_/January+Hymn,https://www.youtube.com/watch?v=0Y3aAO36aPE,Nostalgic,향수어린
She & Him,Got Me,165,https://www.last.fm/music/She+&+Him/_/Got+Me,https://www.youtube.com/watch?v=FkzRyHa9a6g,Nostalgic,향수어린
Kendrick Lamar,Keisha's Song (Her Pain) (Feat. Ashtro Bot),0,https://www.last.fm/music/Kendrick+Lamar/_/Keisha%27s+Song+(Her+Pain)+(Feat.+Ashtro+Bot),https://www.youtube.com/watch?v=u4uC2yf-zPQ,Nostalgic,향수어린
Tycho,Epigram,149,https://www.last.fm/music/Tycho/_/Epigram,https://www.youtube.com/watch?v=8Mv5IYDQFSM,Nostalgic,향수어린
Girls,Vomit,383,https://www.last.fm/music/Girls/_/Vomit,https://www.youtube.com/watch?v=LBYBNyMNySU,Nostalgic,향수어린
Tears for Fears,Break It Down Again,273,https://www.last.fm/music/Tears+for+Fears/_/Break+It+Down+Again,https://www.youtube.com/watch?v=x1100QINlo4,Nostalgic,향수어린
Coldplay,Careful Where You Stand,284,https://www.last.fm/music/Coldplay/_/Careful+Where+You+Stand,https://www.youtube.com/watch?v=9xbUB3zYePc,Nostalgic,향수어린
Dan Auerbach,Goin' Home,297,https://www.last.fm/music/Dan+Auerbach/_/Goin%27+Home,https://www.youtube.com/watch?v=Y2TEHR42dtI,Nostalgic,향수어린
The Shins,40 Mark Strasse,278,https://www.last.fm/music/The+Shins/_/40+Mark+Strasse,https://www.youtube.com/watch?v=0oAWyCTrIhA,Nostalgic,향수어린
The Kills,The Last Goodbye,219,https://www.last.fm/music/The+Kills/_/The+Last+Goodbye,https://www.youtube.com/watch?v=xhILJOeQkRc,Nostalgic,향수어린
Clint Mansell,The Last Man,341,https://www.last.fm/music/Clint+Mansell/_/The+Last+Man,https://www.youtube.com/watch?v=0SfbySOn2jA,Nostalgic,향수어린
Tycho,Ascension,264,https://www.last.fm/music/Tycho/_/Ascension,https://www.youtube.com/watch?v=vlLSavy1Dv8,Nostalgic,향수어린
Miami Nights 1984,Ocean Drive,258,https://www.last.fm/music/Miami+Nights+1984/_/Ocean+Drive,https://www.youtube.com/watch?v=ND-4SmGaGyU,Nostalgic,향수어린
We the Kings,All Again for You,186,https://www.last.fm/music/We+the+Kings/_/All+Again+for+You,https://www.youtube.com/watch?v=3_vDlOPC_tE,Nostalgic,향수어린
Descendents,Silly Girl,129,https://www.last.fm/music/Descendents/_/Silly+Girl,https://www.youtube.com/watch?v=n36hDSK-vhA,Nostalgic,향수어린
Neon Indian,"(If I Knew, I'd Tell You)",47,"https://www.last.fm/music/Neon+Indian/_/(If+I+Knew,+I%27d+Tell+You)",https://www.youtube.com/watch?v=GTyOQwvVh_0,Nostalgic,향수어린
Nujabes,Horizon,440,https://www.last.fm/music/Nujabes/_/Horizon,https://www.youtube.com/watch?v=368VS68SIq4,Nostalgic,향수어린
Shakira,Moscas en la casa,234,https://www.last.fm/music/Shakira/_/Moscas+en+la+casa,https://www.youtube.com/watch?v=gSf-RRnuuYs,Nostalgic,향수어린
Birdy,I'll Never Forget You,0,https://www.last.fm/music/Birdy/_/I%27ll+Never+Forget+You,https://www.youtube.com/watch?v=ta4BizhGx8g,Nostalgic,향수어린
Röyksopp,Senior Living,314,https://www.last.fm/music/R%C3%B6yksopp/_/Senior+Living,https://www.youtube.com/watch?v=X7ha30dbWdQ,Nostalgic,향수어린
Chitãozinho & Xororó,Evidências,293,https://www.last.fm/music/Chit%C3%A3ozinho+&+Xoror%C3%B3/_/Evid%C3%AAncias,https://www.youtube.com/watch?v=Y91aHs8QI7M,Nostalgic,향수어린
Wild Nothing,Drifter,213,https://www.last.fm/music/Wild+Nothing/_/Drifter,https://www.youtube.com/watch?v=F_ldlQWFMvM,Nostalgic,향수어린
Passion Pit,Lifted Up (1985),0,https://www.last.fm/music/Passion+Pit/_/Lifted+Up+(1985),https://www.youtube.com/watch?v=wAvr6h7QvJY,Nostalgic,향수어린
Korn,Tearjerker,309,https://www.last.fm/music/Korn/_/Tearjerker,https://www.youtube.com/watch?v=Lp6qJu8XtBk,Nostalgic,향수어린
FKA twigs,Thank You Song,0,https://www.last.fm/music/FKA+twigs/_/Thank+You+Song,https://www.youtube.com/watch?v=hYBEeJzxS5Q,Nostalgic,향수어린
The Radio Dept.,David,213,https://www.last.fm/music/The+Radio+Dept./_/David,https://www.youtube.com/watch?v=_NlPJVeW3_Q,Nostalgic,향수어린
