artist,music_name,duration,lastfm_url,youtube_url,mood_EN,mood_KOR
American Authors,Best Day of My Life,292,https://www.last.fm/music/American+Authors/_/Best+Day+of+My+Life,https://www.youtube.com/watch?v=Y66j_BUCBMY,Positive,긍정적인
Bobby McFerrin,Don't Worry Be Happy,233,https://www.last.fm/music/Bobby+McFerrin/_/Don%27t+Worry+Be+Happy,https://www.youtube.com/watch?v=d-diB65scQU,Positive,긍정적인
Sheppard,Geronimo,218,https://www.last.fm/music/Sheppard/_/Geronimo,https://www.youtube.com/watch?v=ozsmSlvGHv4,Positive,긍정적인
Meghan Trainor,Me Too,0,https://www.last.fm/music/Meghan+Trainor/_/Me+Too,https://www.youtube.com/watch?v=qDRORgoZxZU,Positive,긍정적인
Sia,Alive,0,https://www.last.fm/music/Sia/_/Alive,https://www.youtube.com/watch?v=t2NgsJrrAyM,Positive,긍정적인
Peter Bjorn and John,Second Chance,252,https://www.last.fm/music/Peter+Bjorn+and+John/_/Second+Chance,https://www.youtube.com/watch?v=9mIoDnOrlcQ,Positive,긍정적인
Tally Hall,Ruler Of Everything,222,https://www.last.fm/music/Tally+Hall/_/Ruler+Of+Everything,https://www.youtube.com/watch?v=I8sUC-dsW8A,Positive,긍정적인
Future Islands,A Dream of You and Me,241,https://www.last.fm/music/Future+Islands/_/A+Dream+of+You+and+Me,https://www.youtube.com/watch?v=d5gUsnJX2oA,Positive,긍정적인
J. Cole,Hello,219,https://www.last.fm/music/J.+Cole/_/Hello,https://www.youtube.com/watch?v=s0YHej69OKo,Positive,긍정적인
The Vaccines,Teenage Icon,184,https://www.last.fm/music/The+Vaccines/_/Teenage+Icon,https://www.youtube.com/watch?v=bFUKrsDDChE,Positive,긍정적인
Motion City Soundtrack,Fell in Love Without You,151,https://www.last.fm/music/Motion+City+Soundtrack/_/Fell+in+Love+Without+You,https://www.youtube.com/watch?v=u3UBtRF1xsA,Positive,긍정적인
Timeflies,Once In A While,0,https://www.last.fm/music/Timeflies/_/Once+In+A+While,https://www.youtube.com/watch?v=kSdcVt6eVfA,Positive,긍정적인
Jay Electronica,Exhibit C,0,https://www.last.fm/music/Jay+Electronica/_/Exhibit+C,https://www.youtube.com/watch?v=b0c9A74BmcU,Positive,긍정적인
Noah and the Whale,Life Is Life,216,https://www.last.fm/music/Noah+and+the+Whale/_/Life+Is+Life,https://www.youtube.com/watch?v=0wmjv33WVlI,Positive,긍정적인
Jurassic 5,Freedom,196,https://www.last.fm/music/Jurassic+5/_/Freedom,https://www.youtube.com/watch?v=D3J6VrIjCYM,Positive,긍정적인
Vanessa da Mata,Boa Sorte / Good Luck,235,https://www.last.fm/music/Vanessa+da+Mata/_/Boa+Sorte+%2F+Good+Luck,https://www.youtube.com/watch?v=v4k6JgC7UVA,Positive,긍정적인
Caravan Palace,Dragons,245,https://www.last.fm/music/Caravan+Palace/_/Dragons,https://www.youtube.com/watch?v=inHbha2nyPs,Positive,긍정적인
The Japanese House,YOU SEEMED SO HAPPY,0,https://www.last.fm/music/The+Japanese+House/_/YOU+SEEMED+SO+HAPPY,https://www.youtube.com/watch?v=qRj-OMuCKa0,Positive,긍정적인
Bon Iver,Beth / Rest,0,https://www.last.fm/music/Bon+Iver/_/Beth+%2F+Rest,https://www.youtube.com/watch?v=7ssHe4i8yhk,Positive,긍정적인
Crystal Fighters,You & I,210,https://www.last.fm/music/Crystal+Fighters/_/You+&+I,https://www.youtube.com/watch?v=2WlA4_JLXC4,Positive,긍정적인
The Streets,Stay Positive,361,https://www.last.fm/music/The+Streets/_/Stay+Positive,https://www.youtube.com/watch?v=HKIA30mny9U,Positive,긍정적인
Mr. Little Jeans,The Suburbs,307,https://www.last.fm/music/Mr.+Little+Jeans/_/The+Suburbs,https://www.youtube.com/watch?v=ToNBGOoE3S4,Positive,긍정적인
Gustavo Cerati,Adiós,245,https://www.last.fm/music/Gustavo+Cerati/_/Adi%C3%B3s,https://www.youtube.com/watch?v=GUf81ofAZV0,Positive,긍정적인
Chamillionaire,Good Morning,212,https://www.last.fm/music/Chamillionaire/_/Good+Morning,https://www.youtube.com/watch?v=NTWLNjxOdNc,Positive,긍정적인
Morcheeba,Be Yourself,196,https://www.last.fm/music/Morcheeba/_/Be+Yourself,https://www.youtube.com/watch?v=w87A5ZYEUJM,Positive,긍정적인
Infected Mushroom,Forgive Me,209,https://www.last.fm/music/Infected+Mushroom/_/Forgive+Me,https://www.youtube.com/watch?v=07c_Ah5y3F8,Positive,긍정적인
The Smiths,Ask - 2011 Remastered Version,0,https://www.last.fm/music/The+Smiths/_/Ask+-+2011+Remastered+Version,https://www.youtube.com/watch?v=2xBy65SxjL0,Positive,긍정적인
John Maus,Do Your Best,167,https://www.last.fm/music/John+Maus/_/Do+Your+Best,https://www.youtube.com/watch?v=aMTOAKNJqpA,Positive,긍정적인
Kurt Vile,Never Run Away,204,https://www.last.fm/music/Kurt+Vile/_/Never+Run+Away,https://www.youtube.com/watch?v=0k66loEGspY,Positive,긍정적인
Shakira,Sale el Sol,200,https://www.last.fm/music/Shakira/_/Sale+el+Sol,https://www.youtube.com/watch?v=mqqLoUcLX5I,Positive,긍정적인
Marcy Playground,Ancient Walls Of Flowers,198,https://www.last.fm/music/Marcy+Playground/_/Ancient+Walls+Of+Flowers,https://www.youtube.com/watch?v=14wSQlj0BUM,Positive,긍정적인
New Radicals,Mother We Just Can't Get Enough,348,https://www.last.fm/music/New+Radicals/_/Mother+We+Just+Can%27t+Get+Enough,https://www.youtube.com/watch?v=A2MSg3L0Zyg,Positive,긍정적인
Angus & Julia Stone,Private Lawns,186,https://www.last.fm/music/Angus+&+Julia+Stone/_/Private+Lawns,https://www.youtube.com/watch?v=sBf1cBi7ZiM,Positive,긍정적인
Train,"Save Me, San Francisco",249,"https://www.last.fm/music/Train/_/Save+Me,+San+Francisco",https://www.youtube.com/watch?v=zftcZYdOl3Y,Positive,긍정적인
The Clean,Anything Could Happen,156,https://www.last.fm/music/The+Clean/_/Anything+Could+Happen,https://www.youtube.com/watch?v=7tf1wzg4rdE,Positive,긍정적인
A Fine Frenzy,Blow Away,249,https://www.last.fm/music/A+Fine+Frenzy/_/Blow+Away,https://www.youtube.com/watch?v=6ONxV-ISAvU,Positive,긍정적인
Owl City & Carly Rae Jepsen,Good Time,205,https://www.last.fm/music/Owl+City+&+Carly+Rae+Jepsen/_/Good+Time,https://www.youtube.com/watch?v=H7HmzwI67ec,Positive,긍정적인
Kero Kero Bonito,Picture This,0,https://www.last.fm/music/Kero+Kero+Bonito/_/Picture+This,https://www.youtube.com/watch?v=VaVWvcuy3Cg,Positive,긍정적인
Tally Hall,The Whole World And You,105,https://www.last.fm/music/Tally+Hall/_/The+Whole+World+And+You,https://www.youtube.com/watch?v=A-ZUo62N7Kc,Positive,긍정적인
Halestorm,Here's to Us,191,https://www.last.fm/music/Halestorm/_/Here%27s+to+Us,https://www.youtube.com/watch?v=KC0DNLDXJW8,Positive,긍정적인
Cobra Starship,Keep It Simple,249,https://www.last.fm/music/Cobra+Starship/_/Keep+It+Simple,https://www.youtube.com/watch?v=0L9_qe_HF7I,Positive,긍정적인
The Dodos,Fables,258,https://www.last.fm/music/The+Dodos/_/Fables,https://www.youtube.com/watch?v=LZhjdX8eEIU,Positive,긍정적인
