artist,music_name,duration,lastfm_url,youtube_url,mood_EN,mood_KOR
Chris Isaak,Wicked Game,284,https://www.last.fm/music/Chris+Isaak/_/Wicked+Game,https://www.youtube.com/watch?v=oadhHk2xs6c,Sensual,관능적인
Doja Cat,Streets,0,https://www.last.fm/music/Doja+Cat/_/Streets,https://www.youtube.com/watch?v=jJdlgKzVsnI,Sensual,관능적인
Kali Uchis,Moonlight,0,https://www.last.fm/music/Kali+Uchis/_/Moonlight,https://www.youtube.com/watch?v=zBukbgTN0cE,Sensual,관능적인
Tate McRae,greedy,0,https://www.last.fm/music/Tate+McRae/_/greedy,https://www.youtube.com/watch?v=To4SWGZkEPk,Sensual,관능적인
Hozier,Work Song,230,https://www.last.fm/music/Hozier/_/Work+Song,https://www.youtube.com/watch?v=nH7bjV0Q_44,Sensual,관능적인
Doja Cat,Agora Hills,0,https://www.last.fm/music/Doja+Cat/_/Agora+Hills,https://www.youtube.com/watch?v=OgXAWeVGcbk,Sensual,관능적인
The Weeknd,Earned It (Fifty Shades of Grey),0,https://www.last.fm/music/The+Weeknd/_/Earned+It+(Fifty+Shades+of+Grey),https://www.youtube.com/watch?v=waU75jdUnYw,Sensual,관능적인
Troye Sivan,Rush,0,https://www.last.fm/music/Troye+Sivan/_/Rush,https://www.youtube.com/watch?v=b53QJYP-lqY,Sensual,관능적인
Tyla,Water,0,https://www.last.fm/music/Tyla/_/Water,https://www.youtube.com/watch?v=XoiOOiuH8iI,Sensual,관능적인
Taylor Swift,Style (Taylor's Version),0,https://www.last.fm/music/Taylor+Swift/_/Style+(Taylor%27s+Version),https://www.youtube.com/watch?v=2JgvVfOfoWI,Sensual,관능적인
Travis Scott,MELTDOWN (feat. Drake),0,https://www.last.fm/music/Travis+Scott/_/MELTDOWN+(feat.+Drake),https://www.youtube.com/watch?v=LuKm4L9ryB0,Sensual,관능적인
Troye Sivan,One of Your Girls,0,https://www.last.fm/music/Troye+Sivan/_/One+of+Your+Girls,https://www.youtube.com/watch?v=ZhGl8McrOHo,Sensual,관능적인
FKA twigs,Two Weeks,247,https://www.last.fm/music/FKA+twigs/_/Two+Weeks,https://www.youtube.com/watch?v=3yDP9MKVhZc,Sensual,관능적인
Doja Cat,Candy,0,https://www.last.fm/music/Doja+Cat/_/Candy,https://www.youtube.com/watch?v=ZRHHOttkM1A,Sensual,관능적인
Miguel,Adorn,193,https://www.last.fm/music/Miguel/_/Adorn,https://www.youtube.com/watch?v=8dM5QYdTo08,Sensual,관능적인
Björk,Cocoon,289,https://www.last.fm/music/Bj%C3%B6rk/_/Cocoon,https://www.youtube.com/watch?v=LVHpBCjUu8M,Sensual,관능적인
Rhye,Open,222,https://www.last.fm/music/Rhye/_/Open,https://www.youtube.com/watch?v=sng_CdAAw8M,Sensual,관능적인
Beyoncé,vIrgO's grOOve,0,https://www.last.fm/music/Beyonc%C3%A9/_/vIrgO%27s+grOOve,https://www.youtube.com/watch?v=aD3HgrfjrAw,Sensual,관능적인
Dua Lipa,Fever,0,https://www.last.fm/music/Dua+Lipa/_/Fever,https://www.youtube.com/watch?v=vs61OHs2g-w,Sensual,관능적인
Katy Perry,Swish Swish,0,https://www.last.fm/music/Katy+Perry/_/Swish+Swish,https://www.youtube.com/watch?v=iGk5fR-t5AU,Sensual,관능적인
Björk,Cover Me,0,https://www.last.fm/music/Bj%C3%B6rk/_/Cover+Me,https://www.youtube.com/watch?v=QW0fwUTedNE,Sensual,관능적인
Björk,Unison,407,https://www.last.fm/music/Bj%C3%B6rk/_/Unison,https://www.youtube.com/watch?v=rgEhj4edj4Y,Sensual,관능적인
Rihanna,Skin,303,https://www.last.fm/music/Rihanna/_/Skin,https://www.youtube.com/watch?v=Q1Fa0_Iyf0g,Sensual,관능적인
Bat for Lashes,Sleep Alone,243,https://www.last.fm/music/Bat+for+Lashes/_/Sleep+Alone,https://www.youtube.com/watch?v=2mK8eZnbvRM,Sensual,관능적인
Kali Uchis,Fantasy (feat. Don Toliver),0,https://www.last.fm/music/Kali+Uchis/_/Fantasy+(feat.+Don+Toliver),https://www.youtube.com/watch?v=-A7lRhRfUTA,Sensual,관능적인
Lil Xan,Betrayed,0,https://www.last.fm/music/Lil+Xan/_/Betrayed,https://www.youtube.com/watch?v=EbfK7dei7ec,Sensual,관능적인
Usher,Climax,232,https://www.last.fm/music/Usher/_/Climax,https://www.youtube.com/watch?v=nNTyfVh3nmU,Sensual,관능적인
Karol G,PROVENZA,0,https://www.last.fm/music/Karol+G/_/PROVENZA,https://www.youtube.com/watch?v=ca48oMV59LU,Sensual,관능적인
D'Angelo,Untitled (How Does It Feel),430,https://www.last.fm/music/D%27Angelo/_/Untitled+(How+Does+It+Feel),https://www.youtube.com/watch?v=SxVNOnPyvIU,Sensual,관능적인
Jeff Buckley,Everybody Here Wants You,285,https://www.last.fm/music/Jeff+Buckley/_/Everybody+Here+Wants+You,https://www.youtube.com/watch?v=IDThs_BiIJU,Sensual,관능적인
Bruno Mars,Our First Time,243,https://www.last.fm/music/Bruno+Mars/_/Our+First+Time,https://www.youtube.com/watch?v=d89v7099mZ0,Sensual,관능적인
Kali Uchis,Worth The Wait (feat. Omar Apollo),0,https://www.last.fm/music/Kali+Uchis/_/Worth+The+Wait+(feat.+Omar+Apollo),https://www.youtube.com/watch?v=C27niROBu8A,Sensual,관능적인
Kali Uchis,Endlessly,0,https://www.last.fm/music/Kali+Uchis/_/Endlessly,https://www.youtube.com/watch?v=dCxr1b_vAdg,Sensual,관능적인
FKA twigs,Lights On,264,https://www.last.fm/music/FKA+twigs/_/Lights+On,https://www.youtube.com/watch?v=axsD7jMteCE,Sensual,관능적인
Beyoncé,Rocket,0,https://www.last.fm/music/Beyonc%C3%A9/_/Rocket,https://www.youtube.com/watch?v=sAz2bRy8-L8,Sensual,관능적인
Seulgi,28 Reasons,0,https://www.last.fm/music/Seulgi/_/28+Reasons,https://www.youtube.com/watch?v=G_BYjnopO6U,Sensual,관능적인
Little Dragon,Feather,293,https://www.last.fm/music/Little+Dragon/_/Feather,https://www.youtube.com/watch?v=DnEw7c1Ozh8,Sensual,관능적인
Sonic Youth,Shadow of a Doubt,0,https://www.last.fm/music/Sonic+Youth/_/Shadow+of+a+Doubt,https://www.youtube.com/watch?v=tFNnvQLvs7I,Sensual,관능적인
Garbage,#1 Crush,283,https://www.last.fm/music/Garbage/_/%231+Crush,https://www.youtube.com/watch?v=dJbXjIEP6rM,Sensual,관능적인
Cocteau Twins,Sugar Hiccup,221,https://www.last.fm/music/Cocteau+Twins/_/Sugar+Hiccup,https://www.youtube.com/watch?v=gbzCUmuI-Bg,Sensual,관능적인
George Michael,Father Figure,339,https://www.last.fm/music/George+Michael/_/Father+Figure,https://www.youtube.com/watch?v=m_9hfHvQSNo,Sensual,관능적인
Madonna,Erotica,318,https://www.last.fm/music/Madonna/_/Erotica,https://www.youtube.com/watch?v=WyhdvRWEWRw,Sensual,관능적인
Madonna,Justify My Love,294,https://www.last.fm/music/Madonna/_/Justify+My+Love,https://www.youtube.com/watch?v=Np_Y740aReI,Sensual,관능적인
Jessie Ware,What’s Your Pleasure?,0,https://www.last.fm/music/Jessie+Ware/_/What%E2%80%99s+Your+Pleasure%3F,https://www.youtube.com/watch?v=eWazsCKdlhg,Sensual,관능적인
Sting,When We Dance,360,https://www.last.fm/music/Sting/_/When+We+Dance,https://www.youtube.com/watch?v=aWjfONP51G4,Sensual,관능적인
FKA twigs,Hours,275,https://www.last.fm/music/FKA+twigs/_/Hours,https://www.youtube.com/watch?v=aMhm3AUPljc,Sensual,관능적인
St. Vincent,Surgeon,265,https://www.last.fm/music/St.+Vincent/_/Surgeon,https://www.youtube.com/watch?v=Hw7UeOxTGuM,Sensual,관능적인
The Herbaliser,The Sensual Woman,261,https://www.last.fm/music/The+Herbaliser/_/The+Sensual+Woman,https://www.youtube.com/watch?v=A-vMDv-vLRg,Sensual,관능적인
SZA,Sweet November,243,https://www.last.fm/music/SZA/_/Sweet+November,https://www.youtube.com/watch?v=vpSPGfv9KoA,Sensual,관능적인
Tricky,Suffocated Love,293,https://www.last.fm/music/Tricky/_/Suffocated+Love,https://www.youtube.com/watch?v=zMl3AMFLB1Y,Sensual,관능적인
FKA twigs,Papi Bones (feat. Shygirl),0,https://www.last.fm/music/FKA+twigs/_/Papi+Bones+(feat.+Shygirl),https://www.youtube.com/watch?v=7vJ9F9YAaxc,Sensual,관능적인
FKA twigs,Give Up,257,https://www.last.fm/music/FKA+twigs/_/Give+Up,https://www.youtube.com/watch?v=H1SAUKy0SVw,Sensual,관능적인
6ix9ine,Billy,0,https://www.last.fm/music/6ix9ine/_/Billy,https://www.youtube.com/watch?v=LJjsm6CVsG8,Sensual,관능적인
6ix9ine,GUMMO,0,https://www.last.fm/music/6ix9ine/_/GUMMO,https://www.youtube.com/watch?v=gAs9HZC9c7Y,Sensual,관능적인
Michael Jackson,Butterflies,280,https://www.last.fm/music/Michael+Jackson/_/Butterflies,https://www.youtube.com/watch?v=csvNBRZfFpo,Sensual,관능적인
Kali Uchis,Como Te Quiero Yo,0,https://www.last.fm/music/Kali+Uchis/_/Como+Te+Quiero+Yo,https://www.youtube.com/watch?v=_zpTLc06u5Q,Sensual,관능적인
Erykah Badu,Orange Moon,430,https://www.last.fm/music/Erykah+Badu/_/Orange+Moon,https://www.youtube.com/watch?v=choelVy5DBw,Sensual,관능적인
Miguel,How Many Drinks?,272,https://www.last.fm/music/Miguel/_/How+Many+Drinks%3F,https://www.youtube.com/watch?v=sHwY7ZwqC5I,Sensual,관능적인
SBTRKT,Heatwave,173,https://www.last.fm/music/SBTRKT/_/Heatwave,https://www.youtube.com/watch?v=dxfS0Iv0Ih8,Sensual,관능적인
Jamie Woon,Night Air,317,https://www.last.fm/music/Jamie+Woon/_/Night+Air,https://www.youtube.com/watch?v=EL0pTo9Z_XU,Sensual,관능적인
Britney Spears,Breathe on Me,224,https://www.last.fm/music/Britney+Spears/_/Breathe+on+Me,https://www.youtube.com/watch?v=tTxVmao5log,Sensual,관능적인
Banks,Warm Water,211,https://www.last.fm/music/Banks/_/Warm+Water,https://www.youtube.com/watch?v=hYG3iIcZOkw,Sensual,관능적인
Rosalía,DI MI NOMBRE - Cap.8: Éxtasis,0,https://www.last.fm/music/Rosal%C3%ADa/_/DI+MI+NOMBRE+-+Cap.8:+%C3%89xtasis,https://www.youtube.com/watch?v=mUBMPaj0L3o,Sensual,관능적인
FKA twigs,Numbers,223,https://www.last.fm/music/FKA+twigs/_/Numbers,https://www.youtube.com/watch?v=sVJtgAtTrR8,Sensual,관능적인
Jeff Buckley,Vancouver,0,https://www.last.fm/music/Jeff+Buckley/_/Vancouver,https://www.youtube.com/watch?v=m0_pFAh6cbw,Sensual,관능적인
Delegation,Oh Honey,247,https://www.last.fm/music/Delegation/_/Oh+Honey,https://www.youtube.com/watch?v=BbMzoSVKp1Q,Sensual,관능적인
CHUNG HA,Stay Tonight,0,https://www.last.fm/music/CHUNG+HA/_/Stay+Tonight,https://www.youtube.com/watch?v=YPFIh0dfYfw,Sensual,관능적인
Hot Chip,Look After Me,279,https://www.last.fm/music/Hot+Chip/_/Look+After+Me,https://www.youtube.com/watch?v=hM4924G45wc,Sensual,관능적인
Washed Out,Echoes,248,https://www.last.fm/music/Washed+Out/_/Echoes,https://www.youtube.com/watch?v=DW9HcSVyzL4,Sensual,관능적인
Mazzy Star,So Tonight That I Might See,439,https://www.last.fm/music/Mazzy+Star/_/So+Tonight+That+I+Might+See,https://www.youtube.com/watch?v=pNu3tI-GVg4,Sensual,관능적인
Ethel Cain,Gibson Girl,0,https://www.last.fm/music/Ethel+Cain/_/Gibson+Girl,https://www.youtube.com/watch?v=KK9rgMsew9E,Sensual,관능적인
Goldfrapp,Human,276,https://www.last.fm/music/Goldfrapp/_/Human,https://www.youtube.com/watch?v=HoYwBI1g7tk,Sensual,관능적인
Deerhunter,Fountain Stairs,158,https://www.last.fm/music/Deerhunter/_/Fountain+Stairs,https://www.youtube.com/watch?v=S_5bez7aqJE,Sensual,관능적인
Sophie B. Hawkins,Damn I Wish I Was Your Lover,324,https://www.last.fm/music/Sophie+B.+Hawkins/_/Damn+I+Wish+I+Was+Your+Lover,https://www.youtube.com/watch?v=Lt6r-k9Bk6o,Sensual,관능적인
Seulgi,Anywhere But Home,0,https://www.last.fm/music/Seulgi/_/Anywhere+But+Home,https://www.youtube.com/watch?v=2hVimOZHbOI,Sensual,관능적인
Glen Hansard & Markéta Irglová,If You Want Me,228,https://www.last.fm/music/Glen+Hansard+&+Mark%C3%A9ta+Irglov%C3%A1/_/If+You+Want+Me,https://www.youtube.com/watch?v=elC-bXqLx-Y,Sensual,관능적인
Passion Pit,"It's Not My Fault, I'm Happy",0,"https://www.last.fm/music/Passion+Pit/_/It%27s+Not+My+Fault,+I%27m+Happy",https://www.youtube.com/watch?v=hj9SnBuPPOQ,Sensual,관능적인
Tamia,So Into You,261,https://www.last.fm/music/Tamia/_/So+Into+You,https://www.youtube.com/watch?v=fd0uuy4mDrE,Sensual,관능적인
Kali Uchis,Not Too Late (Interlude),0,https://www.last.fm/music/Kali+Uchis/_/Not+Too+Late+(Interlude),https://www.youtube.com/watch?v=CQZF2ipux6k,Sensual,관능적인
Avant,Read Your Mind,263,https://www.last.fm/music/Avant/_/Read+Your+Mind,https://www.youtube.com/watch?v=0bMbclAT8YY,Sensual,관능적인
Jane Birkin & Serge Gainsbourg,Je t'aime... moi non plus,257,https://www.last.fm/music/Jane+Birkin+&+Serge+Gainsbourg/_/Je+t%27aime...+moi+non+plus,https://www.youtube.com/watch?v=kZ2bXzlh2WM,Sensual,관능적인
Sonic Youth,I Love You Golden Blue,422,https://www.last.fm/music/Sonic+Youth/_/I+Love+You+Golden+Blue,https://www.youtube.com/watch?v=OaQhEcea10k,Sensual,관능적인
The Black Keys,The Flame,275,https://www.last.fm/music/The+Black+Keys/_/The+Flame,https://www.youtube.com/watch?v=rfPkDanH74s,Sensual,관능적인
Doechii,Persuasive (with SZA),0,https://www.last.fm/music/Doechii/_/Persuasive+(with+SZA),https://www.youtube.com/watch?v=ES9CqKPkdeU,Sensual,관능적인
Selah Sue,This World,285,https://www.last.fm/music/Selah+Sue/_/This+World,https://www.youtube.com/watch?v=mJtM7SRo6l8,Sensual,관능적인
Donna Summer,Love to Love You Baby,234,https://www.last.fm/music/Donna+Summer/_/Love+to+Love+You+Baby,https://www.youtube.com/watch?v=oFrXXqq7QvQ,Sensual,관능적인
Flying Lotus,Melt!,105,https://www.last.fm/music/Flying+Lotus/_/Melt%21,https://www.youtube.com/watch?v=I0i7bTW64fU,Sensual,관능적인
SAFETY TRANCE,El Alma Que Te Trajo,0,https://www.last.fm/music/SAFETY+TRANCE/_/El+Alma+Que+Te+Trajo,https://www.youtube.com/watch?v=rCHYHx68VcE,Sensual,관능적인
Class Actress,Journal of Ardency,226,https://www.last.fm/music/Class+Actress/_/Journal+of+Ardency,https://www.youtube.com/watch?v=nEwgCHL_o88,Sensual,관능적인
Troye Sivan,Silly,0,https://www.last.fm/music/Troye+Sivan/_/Silly,https://www.youtube.com/watch?v=oO5SXI-b_dg,Sensual,관능적인
Keri Hilson,Slow Dance,263,https://www.last.fm/music/Keri+Hilson/_/Slow+Dance,https://www.youtube.com/watch?v=t0w1PB9hzzo,Sensual,관능적인
Kylie Minogue,Confide in Me,352,https://www.last.fm/music/Kylie+Minogue/_/Confide+in+Me,https://www.youtube.com/watch?v=WSFDCmmsqEI,Sensual,관능적인
Damien Rice,My Favourite Faded Fantasy,371,https://www.last.fm/music/Damien+Rice/_/My+Favourite+Faded+Fantasy,https://www.youtube.com/watch?v=3gEoLKQWoV0,Sensual,관능적인
TLC,Red Light Special,304,https://www.last.fm/music/TLC/_/Red+Light+Special,https://www.youtube.com/watch?v=dP2t9LBeAwo,Sensual,관능적인
Kate Bush,The Sensual World,239,https://www.last.fm/music/Kate+Bush/_/The+Sensual+World,https://www.youtube.com/watch?v=h1DDndY0FLI,Sensual,관능적인
PJ Harvey,The Garden,0,https://www.last.fm/music/PJ+Harvey/_/The+Garden,https://www.youtube.com/watch?v=kW4QCC76JTQ,Sensual,관능적인
Love And Rockets,So Alive,248,https://www.last.fm/music/Love+And+Rockets/_/So+Alive,https://www.youtube.com/watch?v=-L41MhFPU9s,Sensual,관능적인
