artist,music_name,duration,lastfm_url,youtube_url,mood_EN,mood_KOR
Frank Ocean,Pink + White,0,https://www.last.fm/music/Frank+Ocean/_/Pink+%252B+White,https://www.youtube.com/watch?v=uzS3WG6__G4,Smooth,부드러운
Frank Ocean,Novacane,302,https://www.last.fm/music/Frank+Ocean/_/Novacane,https://www.youtube.com/watch?v=hgOu8eRJZ3Q,Smooth,부드러운
Bruno Mars,Leave The Door Open,0,https://www.last.fm/music/Bruno+Mars/_/Leave+The+Door+Open,https://www.youtube.com/watch?v=adLGHcj_fmA,Smooth,부드러운
Miguel,Sure Thing,371,https://www.last.fm/music/Miguel/_/Sure+Thing,https://www.youtube.com/watch?v=q4GJVOMjCC4,Smooth,부드러운
Daniel Caesar,Get You (feat. Kali Uchis),0,https://www.last.fm/music/Daniel+Caesar/_/Get+You+(feat.+Kali+Uchis),https://www.youtube.com/watch?v=uQFVqltOXRg,Smooth,부드러운
Frank Ocean,Sweet Life,262,https://www.last.fm/music/Frank+Ocean/_/Sweet+Life,https://www.youtube.com/watch?v=y14F2RQW7h4,Smooth,부드러운
Kanye West,Hurricane,0,https://www.last.fm/music/Kanye+West/_/Hurricane,https://www.youtube.com/watch?v=bPjZmQAvk_8,Smooth,부드러운
John Mayer,Slow Dancing in a Burning Room,241,https://www.last.fm/music/John+Mayer/_/Slow+Dancing+in+a+Burning+Room,https://www.youtube.com/watch?v=5MkfBNl_3pw,Smooth,부드러운
Kendrick Lamar,These Walls,0,https://www.last.fm/music/Kendrick+Lamar/_/These+Walls,https://www.youtube.com/watch?v=drV0QatqbRU,Smooth,부드러운
311,Amber,208,https://www.last.fm/music/311/_/Amber,https://www.youtube.com/watch?v=Biw012tPKMc,Smooth,부드러운
The Weeknd,Earned It (Fifty Shades of Grey),0,https://www.last.fm/music/The+Weeknd/_/Earned+It+(Fifty+Shades+of+Grey),https://www.youtube.com/watch?v=waU75jdUnYw,Smooth,부드러운
Frank Ocean,Swim Good,249,https://www.last.fm/music/Frank+Ocean/_/Swim+Good,https://www.youtube.com/watch?v=ic1nhvWBvIo,Smooth,부드러운
Gucci Mane,Wake Up in the Sky,0,https://www.last.fm/music/Gucci+Mane/_/Wake+Up+in+the+Sky,https://www.youtube.com/watch?v=U68MJz9DrI4,Smooth,부드러운
Frank Ocean,Monks,201,https://www.last.fm/music/Frank+Ocean/_/Monks,https://www.youtube.com/watch?v=U1eGAeZ1z1A,Smooth,부드러운
Frank Ocean,Not Just Money,59,https://www.last.fm/music/Frank+Ocean/_/Not+Just+Money,https://www.youtube.com/watch?v=Y1j73WBPlbE,Smooth,부드러운
Keyshia Cole,Love,255,https://www.last.fm/music/Keyshia+Cole/_/Love,https://www.youtube.com/watch?v=9PBZy9j3H3I,Smooth,부드러운
Tame Impala,'Cause I'm A Man,0,https://www.last.fm/music/Tame+Impala/_/%27Cause+I%27m+A+Man,https://www.youtube.com/watch?v=hefh9dFnChY,Smooth,부드러운
Billie Eilish,Lost Cause,0,https://www.last.fm/music/Billie+Eilish/_/Lost+Cause,https://www.youtube.com/watch?v=S2dRcipMCpw,Smooth,부드러운
Sade,Kiss Of Life,251,https://www.last.fm/music/Sade/_/Kiss+Of+Life,https://www.youtube.com/watch?v=MmOau-PMWJk,Smooth,부드러운
Kendrick Lamar,Momma,0,https://www.last.fm/music/Kendrick+Lamar/_/Momma,https://www.youtube.com/watch?v=q1AOP6NtGuc,Smooth,부드러운
Michael Jackson,Love Never Felt So Good,234,https://www.last.fm/music/Michael+Jackson/_/Love+Never+Felt+So+Good,https://www.youtube.com/watch?v=GJDdBbgJafU,Smooth,부드러운
Erykah Badu,Didn't Cha Know,238,https://www.last.fm/music/Erykah+Badu/_/Didn%27t+Cha+Know,https://www.youtube.com/watch?v=Np21rH7Ldto,Smooth,부드러운
The Weeknd,What You Need,206,https://www.last.fm/music/The+Weeknd/_/What+You+Need,https://www.youtube.com/watch?v=PGCVhhUxnp8,Smooth,부드러운
Sade,Like A Tattoo,218,https://www.last.fm/music/Sade/_/Like+A+Tattoo,https://www.youtube.com/watch?v=oP4sBeV7llE,Smooth,부드러운
Frank Ocean,End,134,https://www.last.fm/music/Frank+Ocean/_/End,https://www.youtube.com/watch?v=sIROWXH8xWU,Smooth,부드러운
Ariana Grande,everytime,0,https://www.last.fm/music/Ariana+Grande/_/everytime,https://www.youtube.com/watch?v=MYvjW3zdCws,Smooth,부드러운
Sade,No Ordinary Love,443,https://www.last.fm/music/Sade/_/No+Ordinary+Love,https://www.youtube.com/watch?v=_WcWHZc8s2I,Smooth,부드러운
A Tribe Called Quest,Jazz (We've Got),251,https://www.last.fm/music/A+Tribe+Called+Quest/_/Jazz+(We%27ve+Got),https://www.youtube.com/watch?v=cxN4nKk2cfk,Smooth,부드러운
Kendrick Lamar,You Ain't Gotta Lie (Momma Said),0,https://www.last.fm/music/Kendrick+Lamar/_/You+Ain%27t+Gotta+Lie+(Momma+Said),https://www.youtube.com/watch?v=78bSAKX_4vs,Smooth,부드러운
Sade,By Your Side,294,https://www.last.fm/music/Sade/_/By+Your+Side,https://www.youtube.com/watch?v=C8QJmI_V3j4,Smooth,부드러운
Sade,Smooth Operator,299,https://www.last.fm/music/Sade/_/Smooth+Operator,https://www.youtube.com/watch?v=4TYv2PhG89A,Smooth,부드러운
Miguel,Adorn,193,https://www.last.fm/music/Miguel/_/Adorn,https://www.youtube.com/watch?v=8dM5QYdTo08,Smooth,부드러운
Kanye West,Addiction,0,https://www.last.fm/music/Kanye+West/_/Addiction,https://www.youtube.com/watch?v=YuCwP-NbY0s,Smooth,부드러운
Adele,First Love,190,https://www.last.fm/music/Adele/_/First+Love,https://www.youtube.com/watch?v=9Nu4aq-tJbQ,Smooth,부드러운
Mazzy Star,Halah,195,https://www.last.fm/music/Mazzy+Star/_/Halah,https://www.youtube.com/watch?v=vHGHcvJDpaA,Smooth,부드러운
Kendrick Lamar,Complexion (A Zulu Love),0,https://www.last.fm/music/Kendrick+Lamar/_/Complexion+(A+Zulu+Love),https://www.youtube.com/watch?v=Wt4dUK4uce0,Smooth,부드러운
John Mayer,Dreaming With a Broken Heart,369,https://www.last.fm/music/John+Mayer/_/Dreaming+With+a+Broken+Heart,https://www.youtube.com/watch?v=UguyZtTAclQ,Smooth,부드러운
The Neighbourhood,Flawless,246,https://www.last.fm/music/The+Neighbourhood/_/Flawless,https://www.youtube.com/watch?v=Cs9M0a5qYko,Smooth,부드러운
Sade,Your Love Is King,221,https://www.last.fm/music/Sade/_/Your+Love+Is+King,https://www.youtube.com/watch?v=k1ljpLQ1V6Y,Smooth,부드러운
The Weeknd,The Party & the After Party,459,https://www.last.fm/music/The+Weeknd/_/The+Party+&+the+After+Party,https://www.youtube.com/watch?v=yI-zb_aP0So,Smooth,부드러운
Drake,Shot for Me,224,https://www.last.fm/music/Drake/_/Shot+for+Me,https://www.youtube.com/watch?v=wc7JPaRV5uU,Smooth,부드러운
Gorillaz,Plastic Beach (Feat. Mick Jones and Paul Simonon),0,https://www.last.fm/music/Gorillaz/_/Plastic+Beach+(Feat.+Mick+Jones+and+Paul+Simonon),https://www.youtube.com/watch?v=AGM8BMqBcTo,Smooth,부드러운
The Weeknd,Coming Down,295,https://www.last.fm/music/The+Weeknd/_/Coming+Down,https://www.youtube.com/watch?v=WVg1mbxTkFo,Smooth,부드러운
The Pharcyde,Runnin',293,https://www.last.fm/music/The+Pharcyde/_/Runnin%27,https://www.youtube.com/watch?v=jQ-RrGCSa2M,Smooth,부드러운
Drake,Over My Dead Body,0,https://www.last.fm/music/Drake/_/Over+My+Dead+Body,https://www.youtube.com/watch?v=PMk8L9FNqnY,Smooth,부드러운
Janet Jackson,That's the Way Love Goes,265,https://www.last.fm/music/Janet+Jackson/_/That%27s+the+Way+Love+Goes,https://www.youtube.com/watch?v=2b_KfAGiglc,Smooth,부드러운
Michael Jackson,The Lady in My Life,297,https://www.last.fm/music/Michael+Jackson/_/The+Lady+in+My+Life,https://www.youtube.com/watch?v=Eqcw7tLnrd8,Smooth,부드러운
Aaliyah,Rock the Boat,275,https://www.last.fm/music/Aaliyah/_/Rock+the+Boat,https://www.youtube.com/watch?v=3HSJU5fDg0A,Smooth,부드러운
T-Pain,I'm Sprung,231,https://www.last.fm/music/T-Pain/_/I%27m+Sprung,https://www.youtube.com/watch?v=2RgKneLzA-8,Smooth,부드러운
Mario,How Do I Breathe,216,https://www.last.fm/music/Mario/_/How+Do+I+Breathe,https://www.youtube.com/watch?v=hcie4MOU-wQ,Smooth,부드러운
John Mayer,I Don't Trust Myself (With Loving You),524,https://www.last.fm/music/John+Mayer/_/I+Don%27t+Trust+Myself+(With+Loving+You),https://www.youtube.com/watch?v=4s1sKigA17c,Smooth,부드러운
Lloyd,You,274,https://www.last.fm/music/Lloyd/_/You,https://www.youtube.com/watch?v=FV__1ZNjjR0,Smooth,부드러운
Sade,Cherish the Day,334,https://www.last.fm/music/Sade/_/Cherish+the+Day,https://www.youtube.com/watch?v=pKhfoKOTwZY,Smooth,부드러운
John Legend,Save Room,237,https://www.last.fm/music/John+Legend/_/Save+Room,https://www.youtube.com/watch?v=4jOxhdELxHQ,Smooth,부드러운
Steve Lacy,Give You the World,0,https://www.last.fm/music/Steve+Lacy/_/Give+You+the+World,https://www.youtube.com/watch?v=dXjkN4-iTU4,Smooth,부드러운
Sade,Paradise,218,https://www.last.fm/music/Sade/_/Paradise,https://www.youtube.com/watch?v=C0BLKudnyNo,Smooth,부드러운
Sade,Is It a Crime,381,https://www.last.fm/music/Sade/_/Is+It+a+Crime,https://www.youtube.com/watch?v=NYz8xs163YU,Smooth,부드러운
BTS,Jamais vu,0,https://www.last.fm/music/BTS/_/Jamais+vu,https://www.youtube.com/watch?v=G3x17KyNJtg,Smooth,부드러운
Snoop Dogg,Sensual Seduction,245,https://www.last.fm/music/Snoop+Dogg/_/Sensual+Seduction,https://www.youtube.com/watch?v=Y1PVmANeyAg,Smooth,부드러운
Ginuwine,So Anxious,232,https://www.last.fm/music/Ginuwine/_/So+Anxious,https://www.youtube.com/watch?v=DHpUtOcwhyU,Smooth,부드러운
Chet Faker,Gold,285,https://www.last.fm/music/Chet+Faker/_/Gold,https://www.youtube.com/watch?v=hi4pzKvuEQM,Smooth,부드러운
Lupe Fiasco,"Paris, Tokyo",270,"https://www.last.fm/music/Lupe+Fiasco/_/Paris,+Tokyo",https://www.youtube.com/watch?v=pp2uqGLNm5k,Smooth,부드러운
OutKast,Prototype,262,https://www.last.fm/music/OutKast/_/Prototype,https://www.youtube.com/watch?v=uqhJfjbNuQg,Smooth,부드러운
Wilco,Impossible Germany,362,https://www.last.fm/music/Wilco/_/Impossible+Germany,https://www.youtube.com/watch?v=r_0BPqWpM_M,Smooth,부드러운
Angus & Julia Stone,Paper Aeroplane,223,https://www.last.fm/music/Angus+&+Julia+Stone/_/Paper+Aeroplane,https://www.youtube.com/watch?v=Ly0fz0T_lQE,Smooth,부드러운
D'Angelo,Brown Sugar,262,https://www.last.fm/music/D%27Angelo/_/Brown+Sugar,https://www.youtube.com/watch?v=H_WzjiTzZBA,Smooth,부드러운
Camila Cabello,Havana,0,https://www.last.fm/music/Camila+Cabello/_/Havana,https://www.youtube.com/watch?v=BQ0mxQXmLsk,Smooth,부드러운
Erykah Badu,Appletree,265,https://www.last.fm/music/Erykah+Badu/_/Appletree,https://www.youtube.com/watch?v=Nujt--zPa70,Smooth,부드러운
Alicia Keys,Un-Thinkable (I'm Ready),340,https://www.last.fm/music/Alicia+Keys/_/Un-Thinkable+(I%27m+Ready),https://www.youtube.com/watch?v=HhuGQUZJot8,Smooth,부드러운
Bone Thugs-N-Harmony,1st of tha Month,349,https://www.last.fm/music/Bone+Thugs-N-Harmony/_/1st+of+tha+Month,https://www.youtube.com/watch?v=4j_cOsgRY7w,Smooth,부드러운
Sade,Hang On to Your Love,358,https://www.last.fm/music/Sade/_/Hang+On+to+Your+Love,https://www.youtube.com/watch?v=kxNJV83EMJw,Smooth,부드러운
Robin Thicke,Lost Without U,251,https://www.last.fm/music/Robin+Thicke/_/Lost+Without+U,https://www.youtube.com/watch?v=0DdCoNbbRvQ,Smooth,부드러운
J. Cole,Intro,82,https://www.last.fm/music/J.+Cole/_/Intro,https://www.youtube.com/watch?v=NtjrFw4i2Qo,Smooth,부드러운
Bow Wow,Like You,205,https://www.last.fm/music/Bow+Wow/_/Like+You,https://www.youtube.com/watch?v=4hDll2qgN7M,Smooth,부드러운
Kool & The Gang,Summer Madness,0,https://www.last.fm/music/Kool+&+The+Gang/_/Summer+Madness,https://www.youtube.com/watch?v=vQSI-rUUYqA,Smooth,부드러운
Bruno Mars,Chunky,0,https://www.last.fm/music/Bruno+Mars/_/Chunky,https://www.youtube.com/watch?v=oacaq_1TkMU,Smooth,부드러운
A Tribe Called Quest,Verses from the Abstract,239,https://www.last.fm/music/A+Tribe+Called+Quest/_/Verses+from+the+Abstract,https://www.youtube.com/watch?v=sIqm40Y0LVw,Smooth,부드러운
Wale,Strings,156,https://www.last.fm/music/Wale/_/Strings,https://www.youtube.com/watch?v=HavthH84zqk,Smooth,부드러운
Foo Fighters,Virginia Moon,229,https://www.last.fm/music/Foo+Fighters/_/Virginia+Moon,https://www.youtube.com/watch?v=plXjq-80zb0,Smooth,부드러운
