artist,music_name,duration,lastfm_url,youtube_url,mood_EN,mood_KOR
Olivia Rodrigo,all-american bitch,0,https://www.last.fm/music/Olivia+Rodrigo/_/all-american+bitch,https://www.youtube.com/watch?v=n2BnbpjpRdo,Strong,강한
Doja Cat,Been Like This,0,https://www.last.fm/music/Doja+Cat/_/Been+Like+This,https://www.youtube.com/watch?v=rc9f8-gFa7Q,Strong,강한
Rihanna,What Now,291,https://www.last.fm/music/Rihanna/_/What+Now,https://www.youtube.com/watch?v=b-3BI9AspYc,Strong,강한
Paolo Nutini,Iron Sky,370,https://www.last.fm/music/Paolo+Nutini/_/Iron+Sky,https://www.youtube.com/watch?v=ELKbtFljucQ,Strong,강한
Miranda Lambert,Mama's Broken Heart,177,https://www.last.fm/music/Miranda+Lambert/_/Mama%27s+Broken+Heart,https://www.youtube.com/watch?v=7yg05svXp98,Strong,강한
Imagine Dragons,Nothing Left to Say / Rocks,537,https://www.last.fm/music/Imagine+Dragons/_/Nothing+Left+to+Say+%2F+Rocks,https://www.youtube.com/watch?v=mGv0ze0lHKA,Strong,강한
Warpaint,Shadows,248,https://www.last.fm/music/Warpaint/_/Shadows,https://www.youtube.com/watch?v=FZtF3OdtAnc,Strong,강한
Jason Mraz,Details In The Fabric (feat. James Morrison),345,https://www.last.fm/music/Jason+Mraz/_/Details+In+The+Fabric+(feat.+James+Morrison),https://www.youtube.com/watch?v=OBo2S_IWjKM,Strong,강한
Azealia Banks,Van Vogue,357,https://www.last.fm/music/Azealia+Banks/_/Van+Vogue,https://www.youtube.com/watch?v=S2K1WkdaH2E,Strong,강한
Tove Lo,Grapefruit,0,https://www.last.fm/music/Tove+Lo/_/Grapefruit,https://www.youtube.com/watch?v=K52kfSE4N5U,Strong,강한
Beyoncé,Ring Off,180,https://www.last.fm/music/Beyonc%C3%A9/_/Ring+Off,https://www.youtube.com/watch?v=c4cIBw_yFM4,Strong,강한
Animal Collective,Today's Supernatural,254,https://www.last.fm/music/Animal+Collective/_/Today%27s+Supernatural,https://www.youtube.com/watch?v=47xbkT3calM,Strong,강한
Gavin DeGraw,Soldier,218,https://www.last.fm/music/Gavin+DeGraw/_/Soldier,https://www.youtube.com/watch?v=MYPetx7_g6I,Strong,강한
Demi Lovato,Warrior,231,https://www.last.fm/music/Demi+Lovato/_/Warrior,https://www.youtube.com/watch?v=UFeJkfB4xKo,Strong,강한
Lady Gaga,Til It Happens To You,0,https://www.last.fm/music/Lady+Gaga/_/Til+It+Happens+To+You,https://www.youtube.com/watch?v=ZmWBrN7QV6Y,Strong,강한
Wavves,Mickey Mouse,233,https://www.last.fm/music/Wavves/_/Mickey+Mouse,https://www.youtube.com/watch?v=cAHf522EijQ,Strong,강한
Sia,Elastic Heart (feat. The Weeknd & Diplo),257,https://www.last.fm/music/Sia/_/Elastic+Heart+(feat.+The+Weeknd+&+Diplo),https://www.youtube.com/watch?v=nsc5Efa0aQY,Strong,강한
Macklemore & Ryan Lewis,My Oh My,257,https://www.last.fm/music/Macklemore+&+Ryan+Lewis/_/My+Oh+My,https://www.youtube.com/watch?v=hvNQWQSwmow,Strong,강한
Patrick Wolf,Hard Times,213,https://www.last.fm/music/Patrick+Wolf/_/Hard+Times,https://www.youtube.com/watch?v=VH5vgng9LAg,Strong,강한
Katy Perry,Resilient,0,https://www.last.fm/music/Katy+Perry/_/Resilient,https://www.youtube.com/watch?v=LNHM5CcvMm0,Strong,강한
Emeli Sandé,Daddy (feat. Naughty Boy),300,https://www.last.fm/music/Emeli+Sand%C3%A9/_/Daddy+(feat.+Naughty+Boy),https://www.youtube.com/watch?v=jAnIfqF-Mu8,Strong,강한
Tove Lo,Habits,209,https://www.last.fm/music/Tove+Lo/_/Habits,https://www.youtube.com/watch?v=oh2LWWORoiM,Strong,강한
Anberlin,Disappear,217,https://www.last.fm/music/Anberlin/_/Disappear,https://www.youtube.com/watch?v=CRPe_aAgS3E,Strong,강한
Wild Flag,Romance,232,https://www.last.fm/music/Wild+Flag/_/Romance,https://www.youtube.com/watch?v=q25zB3lJqgY,Strong,강한
Flogging Molly,Man With No Country,0,https://www.last.fm/music/Flogging+Molly/_/Man+With+No+Country,https://www.youtube.com/watch?v=7iGesj94AcQ,Strong,강한
Miranda Lambert,Crazy Ex-Girlfriend,187,https://www.last.fm/music/Miranda+Lambert/_/Crazy+Ex-Girlfriend,https://www.youtube.com/watch?v=sdFrRGLyXz4,Strong,강한
Demi Lovato,Never Been Hurt,236,https://www.last.fm/music/Demi+Lovato/_/Never+Been+Hurt,https://www.youtube.com/watch?v=hUJMaiY_Ovs,Strong,강한
Seether,Love Her,251,https://www.last.fm/music/Seether/_/Love+Her,https://www.youtube.com/watch?v=DVY8YFubAaY,Strong,강한
Demi Lovato,Melon Cake,0,https://www.last.fm/music/Demi+Lovato/_/Melon+Cake,https://www.youtube.com/watch?v=rMmWt1VDbnc,Strong,강한
Kacey Musgraves,keep lookin’ up,0,https://www.last.fm/music/Kacey+Musgraves/_/keep+lookin%E2%80%99+up,https://www.youtube.com/watch?v=x1oTD_b9hyw,Strong,강한
Ryan Adams,Enemy Fire,249,https://www.last.fm/music/Ryan+Adams/_/Enemy+Fire,https://www.youtube.com/watch?v=DVNj-BHFGXw,Strong,강한
Demi Lovato,Lionheart,0,https://www.last.fm/music/Demi+Lovato/_/Lionheart,https://www.youtube.com/watch?v=Z_6YkWxj46o,Strong,강한
Christina Aguilera,Just a Fool,0,https://www.last.fm/music/Christina+Aguilera/_/Just+a+Fool,https://www.youtube.com/watch?v=Eeu0I65v2Dg,Strong,강한
Scott Walker,The World's Strongest Man,141,https://www.last.fm/music/Scott+Walker/_/The+World%27s+Strongest+Man,https://www.youtube.com/watch?v=vqgAG7o74yU,Strong,강한
Nas,Surviving the Times,211,https://www.last.fm/music/Nas/_/Surviving+the+Times,https://www.youtube.com/watch?v=ejcMOUGssbk,Strong,강한
Mars Argo,Angry,0,https://www.last.fm/music/Mars+Argo/_/Angry,https://www.youtube.com/watch?v=2K_c9RGrlXI,Strong,강한
Sharon Van Etten,Peace Signs,173,https://www.last.fm/music/Sharon+Van+Etten/_/Peace+Signs,https://www.youtube.com/watch?v=i87e0MAyH-Q,Strong,강한
Feeder,Miss You,179,https://www.last.fm/music/Feeder/_/Miss+You,https://www.youtube.com/watch?v=C7T3bnEj5Ms,Strong,강한
Shawn Mendes,Hold On,0,https://www.last.fm/music/Shawn+Mendes/_/Hold+On,https://www.youtube.com/watch?v=rE7X2EdpeRE,Strong,강한
Kacey Musgraves,Keep It to Yourself,197,https://www.last.fm/music/Kacey+Musgraves/_/Keep+It+to+Yourself,https://www.youtube.com/watch?v=nUjU2jKOMBA,Strong,강한
Stereophonics,You Stole My Money Honey,257,https://www.last.fm/music/Stereophonics/_/You+Stole+My+Money+Honey,https://www.youtube.com/watch?v=W3xVl36f8ks,Strong,강한
Shawn Mendes,Understand,0,https://www.last.fm/music/Shawn+Mendes/_/Understand,https://www.youtube.com/watch?v=FBsI3YTdZjw,Strong,강한
Natalia Kills,Saturday Night,285,https://www.last.fm/music/Natalia+Kills/_/Saturday+Night,https://www.youtube.com/watch?v=_cnD_efmM6s,Strong,강한
Demi Lovato,Carefully,0,https://www.last.fm/music/Demi+Lovato/_/Carefully,https://www.youtube.com/watch?v=vfgPxOIog6c,Strong,강한
P!nk,'Cuz I Can,223,https://www.last.fm/music/P%21nk/_/%27Cuz+I+Can,https://www.youtube.com/watch?v=3IbGjMFVSzg,Strong,강한
Ted Leo and the Pharmacists,Better Dead than Lead,227,https://www.last.fm/music/Ted+Leo+and+the+Pharmacists/_/Better+Dead+than+Lead,https://www.youtube.com/watch?v=H7FCB-_PhLk,Strong,강한
Atmosphere,The Woman with the Tattooed Hands,0,https://www.last.fm/music/Atmosphere/_/The+Woman+with+the+Tattooed+Hands,https://www.youtube.com/watch?v=NPpBVLnPLNw,Strong,강한
Missy Higgins,Peachy,157,https://www.last.fm/music/Missy+Higgins/_/Peachy,https://www.youtube.com/watch?v=AYZGUJyesrA,Strong,강한
Sam Fischer,What Other People Say (with Sam Fischer),0,https://www.last.fm/music/Sam+Fischer/_/What+Other+People+Say+(with+Sam+Fischer),https://www.youtube.com/watch?v=q-nkVE-91mk,Strong,강한
Christina Aguilera,Stronger Than Ever,256,https://www.last.fm/music/Christina+Aguilera/_/Stronger+Than+Ever,https://www.youtube.com/watch?v=OPMN1M531ks,Strong,강한
Natalia Kills,Not in Love,203,https://www.last.fm/music/Natalia+Kills/_/Not+in+Love,https://www.youtube.com/watch?v=-SRDIIIzhsE,Strong,강한
Jonny Greenwood,Future Markets,161,https://www.last.fm/music/Jonny+Greenwood/_/Future+Markets,https://www.youtube.com/watch?v=9V5xXjLD8KQ,Strong,강한
Demi Lovato,Mad World,0,https://www.last.fm/music/Demi+Lovato/_/Mad+World,https://www.youtube.com/watch?v=2rlCouMD9lE,Strong,강한
