artist,music_name,duration,lastfm_url,youtube_url,mood_EN,mood_KOR
Sixpence None the Richer,Kiss Me,206,https://www.last.fm/music/Sixpence+None+the+Richer/_/Kiss+Me,https://www.youtube.com/watch?v=K2tbQ_g2VbQ,Sweet,달콤한
TV Girl,Lovers Rock,213,https://www.last.fm/music/TV+Girl/_/Lovers+Rock,https://www.youtube.com/watch?v=ksEHfUof184,Sweet,달콤한
Regina Spektor,Fidelity,214,https://www.last.fm/music/Regina+Spektor/_/Fidelity,https://www.youtube.com/watch?v=wigqKfLWjvM,Sweet,달콤한
Daniel Caesar,Get You (feat. Kali Uchis),0,https://www.last.fm/music/Daniel+Caesar/_/Get+You+(feat.+Kali+Uchis),https://www.youtube.com/watch?v=uQFVqltOXRg,Sweet,달콤한
Coldplay,Strawberry Swing,249,https://www.last.fm/music/Coldplay/_/Strawberry+Swing,https://www.youtube.com/watch?v=h3pJZSTQqIg,Sweet,달콤한
Taylor Swift,Enchanted,353,https://www.last.fm/music/Taylor+Swift/_/Enchanted,https://www.youtube.com/watch?v=vv3um0BlygY,Sweet,달콤한
Chris Brown,With You,252,https://www.last.fm/music/Chris+Brown/_/With+You,https://www.youtube.com/watch?v=nmjdaBaZe8Y,Sweet,달콤한
Ed Sheeran,Perfect,0,https://www.last.fm/music/Ed+Sheeran/_/Perfect,https://www.youtube.com/watch?v=2Vv-BfVoq4g,Sweet,달콤한
The White Stripes,We're Going to Be Friends,143,https://www.last.fm/music/The+White+Stripes/_/We%27re+Going+to+Be+Friends,https://www.youtube.com/watch?v=PKfD8d3XJok,Sweet,달콤한
Radiohead,Thinking About You,161,https://www.last.fm/music/Radiohead/_/Thinking+About+You,https://www.youtube.com/watch?v=2jsPEOiMNaA,Sweet,달콤한
Lykke Li,Little Bit,273,https://www.last.fm/music/Lykke+Li/_/Little+Bit,https://www.youtube.com/watch?v=vJyy1yUsPvk,Sweet,달콤한
Frank Ocean,Seigfried,0,https://www.last.fm/music/Frank+Ocean/_/Seigfried,https://www.youtube.com/watch?v=RWgpBlz16-s,Sweet,달콤한
Taylor Swift,Back to December,291,https://www.last.fm/music/Taylor+Swift/_/Back+to+December,https://www.youtube.com/watch?v=QUwxKWT6m7U,Sweet,달콤한
JVKE,golden hour,0,https://www.last.fm/music/JVKE/_/golden+hour,https://www.youtube.com/watch?v=PEM0Vs8jf1w,Sweet,달콤한
Radiohead,True Love Waits,302,https://www.last.fm/music/Radiohead/_/True+Love+Waits,https://www.youtube.com/watch?v=WSnc_6Z7HqQ,Sweet,달콤한
ruth b.,Dandelions,0,https://www.last.fm/music/ruth+b./_/Dandelions,https://www.youtube.com/watch?v=W8a4sUabCUo,Sweet,달콤한
Arctic Monkeys,Baby I'm Yours,161,https://www.last.fm/music/Arctic+Monkeys/_/Baby+I%27m+Yours,https://www.youtube.com/watch?v=WjgE-rCfNi8,Sweet,달콤한
The Moldy Peaches,Anyone Else But You,176,https://www.last.fm/music/The+Moldy+Peaches/_/Anyone+Else+But+You,https://www.youtube.com/watch?v=ceV62E-c86g,Sweet,달콤한
The Velvet Underground,After Hours,127,https://www.last.fm/music/The+Velvet+Underground/_/After+Hours,https://www.youtube.com/watch?v=fND_Y6OgsDs,Sweet,달콤한
Jason Mraz,Lucky,189,https://www.last.fm/music/Jason+Mraz/_/Lucky,https://www.youtube.com/watch?v=acvIVA9-FMQ,Sweet,달콤한
Harry Styles,Little Freak,0,https://www.last.fm/music/Harry+Styles/_/Little+Freak,https://www.youtube.com/watch?v=hJpvI3w3tDc,Sweet,달콤한
Fugazi,I'm So Tired,119,https://www.last.fm/music/Fugazi/_/I%27m+So+Tired,https://www.youtube.com/watch?v=_Nv11dYMsXQ,Sweet,달콤한
Frank Ocean,Biking,0,https://www.last.fm/music/Frank+Ocean/_/Biking,https://www.youtube.com/watch?v=fYGPcfUqzL0,Sweet,달콤한
Ariana Grande,Imagine,0,https://www.last.fm/music/Ariana+Grande/_/Imagine,https://www.youtube.com/watch?v=7_rftpd0u0U,Sweet,달콤한
Chairlift,Bruises,242,https://www.last.fm/music/Chairlift/_/Bruises,https://www.youtube.com/watch?v=SjONd8Brn_U,Sweet,달콤한
Ingrid Michaelson,The Way I Am,124,https://www.last.fm/music/Ingrid+Michaelson/_/The+Way+I+Am,https://www.youtube.com/watch?v=jJOzdLwvTHA,Sweet,달콤한
The Beatles,"Here, There and Everywhere",147,"https://www.last.fm/music/The+Beatles/_/Here,+There+and+Everywhere",https://www.youtube.com/watch?v=FusIKjztap8,Sweet,달콤한
Ed Sheeran,Tenerife Sea,241,https://www.last.fm/music/Ed+Sheeran/_/Tenerife+Sea,https://www.youtube.com/watch?v=4rg6puSP9ks,Sweet,달콤한
Mother Mother,Arms Tonite,218,https://www.last.fm/music/Mother+Mother/_/Arms+Tonite,,Sweet,달콤한
Alvvays,Dreams Tonite,0,https://www.last.fm/music/Alvvays/_/Dreams+Tonite,https://www.youtube.com/watch?v=ZXu6q-6JKjA,Sweet,달콤한
Billie Eilish,L’Amour De Ma Vie,0,https://www.last.fm/music/Billie+Eilish/_/L%E2%80%99Amour+De+Ma+Vie,https://www.youtube.com/watch?v=am5FI9DkO80,Sweet,달콤한
Camila Cabello,Never Be The Same,0,https://www.last.fm/music/Camila+Cabello/_/Never+Be+The+Same,https://www.youtube.com/watch?v=Ph54wQG8ynk,Sweet,달콤한
Dua Lipa,Kiss and Make Up,0,https://www.last.fm/music/Dua+Lipa/_/Kiss+and+Make+Up,https://www.youtube.com/watch?v=AX3Bsiq-13k,Sweet,달콤한
The Beatles,I Will,106,https://www.last.fm/music/The+Beatles/_/I+Will,https://www.youtube.com/watch?v=IJ6bAHOvPH0,Sweet,달콤한
Barry Louis Polisar,All I Want Is You,176,https://www.last.fm/music/Barry+Louis+Polisar/_/All+I+Want+Is+You,https://www.youtube.com/watch?v=JzEs8kYIZ6Y,Sweet,달콤한
Pixies,The Thing,119,https://www.last.fm/music/Pixies/_/The+Thing,https://www.youtube.com/watch?v=9qaJKP0GFwU,Sweet,달콤한
NewJeans,Cookie,0,https://www.last.fm/music/NewJeans/_/Cookie,https://www.youtube.com/watch?v=VOmIplFAGeg,Sweet,달콤한
Twenty One Pilots,House of Gold,173,https://www.last.fm/music/Twenty+One+Pilots/_/House+of+Gold,https://www.youtube.com/watch?v=mDyxykpYeu8,Sweet,달콤한
Miley Cyrus,Adore You,245,https://www.last.fm/music/Miley+Cyrus/_/Adore+You,https://www.youtube.com/watch?v=W1tzURKYFNs,Sweet,달콤한
Paul Anka,Put Your Head on My Shoulder,158,https://www.last.fm/music/Paul+Anka/_/Put+Your+Head+on+My+Shoulder,https://www.youtube.com/watch?v=kvazBqAlx58,Sweet,달콤한
Sweet,Ballroom Blitz,356,https://www.last.fm/music/Sweet/_/Ballroom+Blitz,https://www.youtube.com/watch?v=mPQPdYttl7U,Sweet,달콤한
Dua Lipa,We're Good,0,https://www.last.fm/music/Dua+Lipa/_/We%27re+Good,https://www.youtube.com/watch?v=jr47YisIsz8,Sweet,달콤한
The Velvet Underground,I'm Sticking With You,147,https://www.last.fm/music/The+Velvet+Underground/_/I%27m+Sticking+With+You,https://www.youtube.com/watch?v=1PreKtsgoUM,Sweet,달콤한
Ellie Goulding,Your Song,190,https://www.last.fm/music/Ellie+Goulding/_/Your+Song,https://www.youtube.com/watch?v=bcetqI8zPFw,Sweet,달콤한
Regina Spektor,Two Birds,195,https://www.last.fm/music/Regina+Spektor/_/Two+Birds,https://www.youtube.com/watch?v=Bb3_oDWiD_w,Sweet,달콤한
Feist,Brandy Alexander,216,https://www.last.fm/music/Feist/_/Brandy+Alexander,https://www.youtube.com/watch?v=dfP5kq2iRrE,Sweet,달콤한
Kate Nash,Nicest Thing,245,https://www.last.fm/music/Kate+Nash/_/Nicest+Thing,https://www.youtube.com/watch?v=VmT9jNashAg,Sweet,달콤한
Kate Nash,Merry Happy,327,https://www.last.fm/music/Kate+Nash/_/Merry+Happy,,Sweet,달콤한
Jesse McCartney,Beautiful Soul,237,https://www.last.fm/music/Jesse+McCartney/_/Beautiful+Soul,https://www.youtube.com/watch?v=ek2PDE1cAyY,Sweet,달콤한
Ariana Grande,Sweetener,0,https://www.last.fm/music/Ariana+Grande/_/Sweetener,https://www.youtube.com/watch?v=6vay5SgNPpk,Sweet,달콤한
Jason Mraz,You And I Both,0,https://www.last.fm/music/Jason+Mraz/_/You+And+I+Both,https://www.youtube.com/watch?v=oieBnV_HFB0,Sweet,달콤한
