artist,music_name,duration,lastfm_url,youtube_url,mood_EN,mood_KOR
Lorde,Liability,0,https://www.last.fm/music/Lorde/_/Liability,https://www.youtube.com/watch?v=BtvJaNeELic,Uplifting,고양되는
American Authors,Best Day of My Life,292,https://www.last.fm/music/American+Authors/_/Best+Day+of+My+Life,https://www.youtube.com/watch?v=Y66j_BUCBMY,Uplifting,고양되는
Avicii,Waiting For Love,0,https://www.last.fm/music/Avicii/_/Waiting+For+Love,https://www.youtube.com/watch?v=cHHLHGNpCSA,Uplifting,고양되는
Coldplay,Death and All His Friends,262,https://www.last.fm/music/Coldplay/_/Death+and+All+His+Friends,https://www.youtube.com/watch?v=QvoM6TK8O6w,Uplifting,고양되는
Father John Misty,REAL LOVE BABY,0,https://www.last.fm/music/Father+John+Misty/_/REAL+LOVE+BABY,https://www.youtube.com/watch?v=XkJJPM4qGzE,Uplifting,고양되는
Earl Sweatshirt,Riot!,0,https://www.last.fm/music/Earl+Sweatshirt/_/Riot%21,https://www.youtube.com/watch?v=fh7a5hfh7-Y,Uplifting,고양되는
NewJeans,Attention,0,https://www.last.fm/music/NewJeans/_/Attention,https://www.youtube.com/watch?v=js1CtxSY38I,Uplifting,고양되는
Rusted Root,Send Me On My Way,263,https://www.last.fm/music/Rusted+Root/_/Send+Me+On+My+Way,https://www.youtube.com/watch?v=ZS4m67ElJzU,Uplifting,고양되는
Beyoncé,ALIEN SUPERSTAR,0,https://www.last.fm/music/Beyonc%C3%A9/_/ALIEN+SUPERSTAR,https://www.youtube.com/watch?v=e_aT9pAGQo8,Uplifting,고양되는
Frank Sinatra,Fly Me to the Moon (In Other Words),147,https://www.last.fm/music/Frank+Sinatra/_/Fly+Me+to+the+Moon+(In+Other+Words),https://www.youtube.com/watch?v=ZEcqHA7dbwM,Uplifting,고양되는
Röyksopp,Happy Up Here,163,https://www.last.fm/music/R%C3%B6yksopp/_/Happy+Up+Here,https://www.youtube.com/watch?v=51Bpx63wkbA,Uplifting,고양되는
The 1975,Girls,296,https://www.last.fm/music/The+1975/_/Girls,https://www.youtube.com/watch?v=QkubQCI4Fxo,Uplifting,고양되는
Taylor Swift,State of Grace (Taylor's Version),0,https://www.last.fm/music/Taylor+Swift/_/State+of+Grace+(Taylor%27s+Version),https://www.youtube.com/watch?v=-mrC5tRkxrY,Uplifting,고양되는
Elbow,One Day Like This,394,https://www.last.fm/music/Elbow/_/One+Day+Like+This,https://www.youtube.com/watch?v=0NFV8dHrZYM,Uplifting,고양되는
Hailee Steinfeld,Love Myself,0,https://www.last.fm/music/Hailee+Steinfeld/_/Love+Myself,https://www.youtube.com/watch?v=bMpFmHSgC4Q,Uplifting,고양되는
Avicii,Levels - Radio Edit,0,https://www.last.fm/music/Avicii/_/Levels+-+Radio+Edit,https://www.youtube.com/watch?v=_ovdm2yX4MA,Uplifting,고양되는
Passion Pit,To Kingdom Come,247,https://www.last.fm/music/Passion+Pit/_/To+Kingdom+Come,https://www.youtube.com/watch?v=xh0ueJN5rvA,Uplifting,고양되는
OutKast,Hey Ya! - Radio Mix / Club Mix,0,https://www.last.fm/music/OutKast/_/Hey+Ya%21+-+Radio+Mix+%2F+Club+Mix,https://www.youtube.com/watch?v=PWgvGjAhvIw,Uplifting,고양되는
Janet Jackson,Together Again,241,https://www.last.fm/music/Janet+Jackson/_/Together+Again,https://www.youtube.com/watch?v=69fx7n-D_nU,Uplifting,고양되는
Animal Collective,Brother Sport,359,https://www.last.fm/music/Animal+Collective/_/Brother+Sport,https://www.youtube.com/watch?v=MGQjyGT1-mc,Uplifting,고양되는
Beyoncé,THIQUE,0,https://www.last.fm/music/Beyonc%C3%A9/_/THIQUE,https://www.youtube.com/watch?v=kmh-ejuvnAg,Uplifting,고양되는
Jason Derülo,Want To Want Me,0,https://www.last.fm/music/Jason+Der%C3%BClo/_/Want+To+Want+Me,https://www.youtube.com/watch?v=yO_w_2n2Pm4,Uplifting,고양되는
Sam & Dave,"Hold On, I'm Comin'",151,"https://www.last.fm/music/Sam+&+Dave/_/Hold+On,+I%27m+Comin%27",https://www.youtube.com/watch?v=6JElrEbAcwY,Uplifting,고양되는
Jackie Wilson,(Your Love Keeps Lifting Me) Higher & Higher,182,https://www.last.fm/music/Jackie+Wilson/_/(Your+Love+Keeps+Lifting+Me)+Higher+&+Higher,https://www.youtube.com/watch?v=Gn6SNbTD0_Q,Uplifting,고양되는
M83,Steve McQueen,228,https://www.last.fm/music/M83/_/Steve+McQueen,https://www.youtube.com/watch?v=a8Iqskd_Vq8,Uplifting,고양되는
Jason Mraz,Live High,252,https://www.last.fm/music/Jason+Mraz/_/Live+High,https://www.youtube.com/watch?v=lGZxzrzPE2g,Uplifting,고양되는
JPEGMAFIA,HAZARD DUTY PAY!,0,https://www.last.fm/music/JPEGMAFIA/_/HAZARD+DUTY+PAY%21,https://www.youtube.com/watch?v=2CGFU1lBdCI,Uplifting,고양되는
The Mountain Goats,This Year,236,https://www.last.fm/music/The+Mountain+Goats/_/This+Year,https://www.youtube.com/watch?v=ii6kJaGiRaI,Uplifting,고양되는
Childish Gambino,The Night Me And Your Mama Met,0,https://www.last.fm/music/Childish+Gambino/_/The+Night+Me+And+Your+Mama+Met,https://www.youtube.com/watch?v=HT4MgAtBbJA,Uplifting,고양되는
